,0
FSC-H_mean,865866.9375
FSC-H_median,576463.1875
FSC-H_mode,262243.5
FSC-H_std,665501.25
FSC-H_var,442891927552.0
FSC-H_range,3887476.75
FSC-H_iqr,866429.59375
FSC-H_cv,0.768595278263092
FSC-H_skew,1.1304189216654286
FSC-H_kurtosis,0.010887431768703326
FSC-H_min,233401.796875
FSC-H_q05,264616.321875
FSC-H_q25,349014.59375
FSC-H_q75,1215444.1875
FSC-H_q95,2294975.1999999997
FSC-H_max,4120878.5
FSC-H_entropy,5.070188229463756
FSC-H_num_outliers,35086.0
FSC-H_num_modes,6.0
FSC-A_mean,1184301.5
FSC-A_median,778518.8125
FSC-A_mode,290076.59375
FSC-A_std,1017210.5
FSC-A_var,1034717167616.0
FSC-A_range,104073840.0
FSC-A_iqr,1188467.078125
FSC-A_cv,0.8589117527008057
FSC-A_skew,2.8117384527081595
FSC-A_kurtosis,105.73980468767778
FSC-A_min,-726091.3125
FSC-A_q05,279960.925
FSC-A_q25,435394.609375
FSC-A_q75,1623861.6875
FSC-A_q95,3323856.9749999996
FSC-A_max,103347752.0
FSC-A_entropy,7.686137304732689
FSC-A_num_outliers,190508.0
FSC-A_num_modes,36.0
SSC-H_mean,647053.75
SSC-H_median,233425.703125
SSC-H_mode,45620.30078125
SSC-H_std,978703.875
SSC-H_var,957861330944.0
SSC-H_range,5660480.5
SSC-H_iqr,434334.921875
SSC-H_cv,1.5125541687011719
SSC-H_skew,2.1494891658973088
SSC-H_kurtosis,3.71242421506052
SSC-H_min,0.30000001192092896
SSC-H_q05,43901.5
SSC-H_q25,106439.296875
SSC-H_q75,540774.21875
SSC-H_q95,3061432.9499999997
SSC-H_max,5660481.0
SSC-H_entropy,5.653715229992781
SSC-H_num_outliers,792611.0
SSC-H_num_modes,3.0
SSC-A_mean,751781.8125
SSC-A_median,264211.3125
SSC-A_mode,92001.6015625
SSC-A_std,1170633.5
SSC-A_var,1370382925824.0
SSC-A_range,93454760.0
SSC-A_iqr,524271.875
SSC-A_cv,1.5571452379226685
SSC-A_skew,3.0951729225872424
SSC-A_kurtosis,40.84008748802185
SSC-A_min,-2368145.25
SSC-A_q05,48157.709375
SSC-A_q25,112622.5
SSC-A_q75,636894.375
SSC-A_q95,3520811.6499999994
SSC-A_max,91086616.0
SSC-A_entropy,8.092295667512348
SSC-A_num_outliers,807122.0
SSC-A_num_modes,38.0
CD103 FITC-H_mean,2583.6240234375
CD103 FITC-H_median,549.5
CD103 FITC-H_mode,437.29998779296875
CD103 FITC-H_std,35030.7421875
CD103 FITC-H_var,1227152896.0
CD103 FITC-H_range,5679004.0
CD103 FITC-H_iqr,1124.0999755859375
CD103 FITC-H_cv,13.558761596679688
CD103 FITC-H_skew,74.8419780054213
CD103 FITC-H_kurtosis,7934.168632295979
CD103 FITC-H_min,0.10000000149011612
CD103 FITC-H_q05,297.0
CD103 FITC-H_q25,424.0
CD103 FITC-H_q75,1548.0999755859375
CD103 FITC-H_q95,6244.89990234375
CD103 FITC-H_max,5679004.0
CD103 FITC-H_entropy,5.816757732538046
CD103 FITC-H_num_outliers,855241.0
CD103 FITC-H_num_modes,56.0
CD103 FITC-A_mean,2860.464111328125
CD103 FITC-A_median,416.0
CD103 FITC-A_mode,142.1999969482422
CD103 FITC-A_std,43046.12109375
CD103 FITC-A_var,1852968576.0
CD103 FITC-A_range,12142201.0
CD103 FITC-A_iqr,1390.199951171875
CD103 FITC-A_cv,15.048648834228516
CD103 FITC-A_skew,88.91183303315283
CD103 FITC-A_kurtosis,12695.314650390827
CD103 FITC-A_min,-8802.7001953125
CD103 FITC-A_q05,-218.39999389648438
CD103 FITC-A_q25,127.0
CD103 FITC-A_q75,1517.199951171875
CD103 FITC-A_q95,7637.0
CD103 FITC-A_max,12133398.0
CD103 FITC-A_entropy,6.829023696319842
CD103 FITC-A_num_outliers,852756.0
CD103 FITC-A_num_modes,48.0
B7 PE-H_mean,3319.906982421875
B7 PE-H_median,742.2999877929688
B7 PE-H_mode,644.0999755859375
B7 PE-H_std,24775.66015625
B7 PE-H_var,613833344.0
B7 PE-H_range,5705415.5
B7 PE-H_iqr,1610.7000122070312
B7 PE-H_cv,7.462757110595703
B7 PE-H_skew,91.35994073224913
B7 PE-H_kurtosis,13174.732518998182
B7 PE-H_min,0.0
B7 PE-H_q05,328.3999938964844
B7 PE-H_q25,540.7999877929688
B7 PE-H_q75,2151.5
B7 PE-H_q95,8809.289843749944
B7 PE-H_max,5705415.5
B7 PE-H_entropy,5.87416622054451
B7 PE-H_num_outliers,804841.0
B7 PE-H_num_modes,59.0
B7 PE-A_mean,3881.309814453125
B7 PE-A_median,684.4000244140625
B7 PE-A_mode,146.3000030517578
B7 PE-A_std,34811.2578125
B7 PE-A_var,1211823616.0
B7 PE-A_range,23402494.0
B7 PE-A_iqr,2455.7999572753906
B7 PE-A_cv,8.968945503234863
B7 PE-A_skew,164.4538413293357
B7 PE-A_kurtosis,63536.37665623159
B7 PE-A_min,-60585.8984375
B7 PE-A_q05,-538.9000244140625
B7 PE-A_q25,130.39999389648438
B7 PE-A_q75,2586.199951171875
B7 PE-A_q95,11651.400390625
B7 PE-A_max,23341908.0
B7 PE-A_entropy,7.645469527033783
B7 PE-A_num_outliers,632661.0
B7 PE-A_num_modes,22.0
CD38 PC7-H_mean,9246.8544921875
CD38 PC7-H_median,1920.0999755859375
CD38 PC7-H_mode,1090.0999755859375
CD38 PC7-H_std,33525.03515625
CD38 PC7-H_var,1123927936.0
CD38 PC7-H_range,5735467.5
CD38 PC7-H_iqr,4332.1998291015625
CD38 PC7-H_cv,3.625560998916626
CD38 PC7-H_skew,25.332459494755323
CD38 PC7-H_kurtosis,1903.638199221917
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,719.9000244140625
CD38 PC7-H_q25,1206.5999755859375
CD38 PC7-H_q75,5538.7998046875
CD38 PC7-H_q95,30468.589648437446
CD38 PC7-H_max,5735467.5
CD38 PC7-H_entropy,6.004973543298037
CD38 PC7-H_num_outliers,853590.0
CD38 PC7-H_num_modes,37.0
CD38 PC7-A_mean,11416.8720703125
CD38 PC7-A_median,1991.4000244140625
CD38 PC7-A_mode,1149.9000244140625
CD38 PC7-A_std,44114.19140625
CD38 PC7-A_var,1946061952.0
CD38 PC7-A_range,19666898.0
CD38 PC7-A_iqr,4839.099853515625
CD38 PC7-A_cv,3.8639471530914307
CD38 PC7-A_skew,46.659137708920426
CD38 PC7-A_kurtosis,11385.735240503167
CD38 PC7-A_min,-4622.5
CD38 PC7-A_q05,436.79998779296875
CD38 PC7-A_q25,1123.800048828125
CD38 PC7-A_q75,5962.89990234375
CD38 PC7-A_q95,39078.79062499994
CD38 PC7-A_max,19662276.0
CD38 PC7-A_entropy,7.214965574669528
CD38 PC7-A_num_outliers,937941.0
CD38 PC7-A_num_modes,22.0
CD8 APC-H_mean,21366.00390625
CD8 APC-H_median,714.2000122070312
CD8 APC-H_mode,481.1000061035156
CD8 APC-H_std,106956.5390625
CD8 APC-H_var,11439700992.0
CD8 APC-H_range,5642994.0
CD8 APC-H_iqr,828.7000122070312
CD8 APC-H_cv,5.005921363830566
CD8 APC-H_skew,5.672888052248744
CD8 APC-H_kurtosis,36.13442359231982
CD8 APC-H_min,0.0
CD8 APC-H_q05,279.8999938964844
CD8 APC-H_q25,475.79998779296875
CD8 APC-H_q75,1304.5
CD8 APC-H_q95,6545.2698242185825
CD8 APC-H_max,5642994.0
CD8 APC-H_entropy,6.440611800431559
CD8 APC-H_num_outliers,550060.0
CD8 APC-H_num_modes,12.0
CD8 APC-A_mean,30192.80078125
CD8 APC-A_median,452.70001220703125
CD8 APC-A_mode,242.5
CD8 APC-A_std,154625.46875
CD8 APC-A_var,23909036032.0
CD8 APC-A_range,21644094.0
CD8 APC-A_iqr,1180.700050354004
CD8 APC-A_cv,5.121269702911377
CD8 APC-A_skew,6.323047238904728
CD8 APC-A_kurtosis,120.64246319413915
CD8 APC-A_min,-10104.400390625
CD8 APC-A_q05,-262.0
CD8 APC-A_q25,102.0999984741211
CD8 APC-A_q75,1282.800048828125
CD8 APC-A_q95,8942.7998046875
CD8 APC-A_max,21633990.0
CD8 APC-A_entropy,7.871598706624024
CD8 APC-A_num_outliers,573218.0
CD8 APC-A_num_modes,16.0
FSC-Width_mean,1342.91455078125
FSC-Width_median,1349.3699951171875
FSC-Width_mode,1088.0
FSC-Width_std,232.59434509277344
FSC-Width_var,54100.1328125
FSC-Width_range,30068.830078125
FSC-Width_iqr,301.3521728515625
FSC-Width_cv,0.17320114374160767
FSC-Width_skew,3.4127722129875493
FSC-Width_kurtosis,167.31545874619653
FSC-Width_min,-2345.68310546875
FSC-Width_q05,1015.526611328125
FSC-Width_q25,1175.2042846679688
FSC-Width_q75,1476.5564575195312
FSC-Width_q95,1664.1851074218746
FSC-Width_max,27723.146484375
FSC-Width_entropy,5.47641856850567
FSC-Width_num_outliers,74659.0
FSC-Width_num_modes,32.0
Time_mean,28986288.0
Time_median,28647638.0
Time_mode,33993388.0
Time_std,16274195.0
Time_var,264849426743296.0
Time_range,57298328.0
Time_iqr,27235532.0
Time_cv,0.5614445805549622
Time_skew,0.0608286386967289
Time_kurtosis,-1.1621343501254184
Time_min,399264.0625
Time_q05,3901462.2
Time_q25,15079196.0
Time_q75,42314728.0
Time_q95,55035083.599999994
Time_max,57697592.0
Time_entropy,5.193465205094278
Time_num_outliers,0.0
Time_num_modes,14.0
