,0
FSC-H_mean,684381.5
FSC-H_median,424681.40625
FSC-H_mode,251864.296875
FSC-H_std,616526.4375
FSC-H_var,380104867840.0
FSC-H_range,3745157.75
FSC-H_iqr,332909.5
FSC-H_cv,0.9008519649505615
FSC-H_skew,1.8770724181507987
FSC-H_kurtosis,2.209176697162378
FSC-H_min,233265.796875
FSC-H_q05,262290.59375
FSC-H_q25,320119.0
FSC-H_q75,653028.5
FSC-H_q95,2287608.3
FSC-H_max,3978423.5
FSC-H_entropy,5.7051529020458265
FSC-H_num_outliers,1257619.0
FSC-H_num_modes,5.0
FSC-A_mean,941287.875
FSC-A_median,537293.0
FSC-A_mode,333672.40625
FSC-A_std,999502.375
FSC-A_var,999005028352.0
FSC-A_range,96782592.0
FSC-A_iqr,451019.0625
FSC-A_cv,1.0618455410003662
FSC-A_skew,3.368164316688641
FSC-A_kurtosis,94.94652241214979
FSC-A_min,-890981.625
FSC-A_q05,287575.59375
FSC-A_q25,389647.75
FSC-A_q75,840666.8125
FSC-A_q95,3489136.65
FSC-A_max,95891608.0
FSC-A_entropy,8.44539058570125
FSC-A_num_outliers,1283174.0
FSC-A_num_modes,41.0
SSC-H_mean,459366.0625
SSC-H_median,139275.5
SSC-H_mode,38335.5
SSC-H_std,862975.5
SSC-H_var,744726724608.0
SSC-H_range,5660138.5
SSC-H_iqr,243588.796875
SSC-H_cv,1.8786226511001587
SSC-H_skew,2.785930790013886
SSC-H_kurtosis,6.938537382640927
SSC-H_min,2.0
SSC-H_q05,38314.5
SSC-H_q25,71078.703125
SSC-H_q75,314667.5
SSC-H_q95,2821398.15
SSC-H_max,5660140.5
SSC-H_entropy,5.857301675175863
SSC-H_num_outliers,973362.0
SSC-H_num_modes,3.0
SSC-A_mean,543918.625
SSC-A_median,154649.203125
SSC-A_mode,90949.296875
SSC-A_std,1065668.625
SSC-A_var,1135649488896.0
SSC-A_range,133085248.0
SSC-A_iqr,277708.3515625
SSC-A_cv,1.9592427015304565
SSC-A_skew,4.147859743225386
SSC-A_kurtosis,83.26131296204619
SSC-A_min,-3804207.25
SSC-A_q05,40793.969531250004
SSC-A_q25,79236.3984375
SSC-A_q75,356944.75
SSC-A_q95,3344108.0999999996
SSC-A_max,129281040.0
SSC-A_entropy,9.211590114516103
SSC-A_num_outliers,1004908.0
SSC-A_num_modes,28.0
CD103 FITC-H_mean,1576.754638671875
CD103 FITC-H_median,496.1000061035156
CD103 FITC-H_mode,437.6000061035156
CD103 FITC-H_std,21033.4453125
CD103 FITC-H_var,442405792.0
CD103 FITC-H_range,5679502.0
CD103 FITC-H_iqr,269.39996337890625
CD103 FITC-H_cv,13.339707374572754
CD103 FITC-H_skew,142.82149099582904
CD103 FITC-H_kurtosis,29286.04320064552
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,288.0
CD103 FITC-H_q25,399.20001220703125
CD103 FITC-H_q75,668.5999755859375
CD103 FITC-H_q95,4914.10009765625
CD103 FITC-H_max,5679502.0
CD103 FITC-H_entropy,6.938293854221172
CD103 FITC-H_num_outliers,1436686.0
CD103 FITC-H_num_modes,50.0
CD103 FITC-A_mean,1727.074462890625
CD103 FITC-A_median,324.1000061035156
CD103 FITC-A_mode,238.8000030517578
CD103 FITC-A_std,36486.546875
CD103 FITC-A_var,1331267968.0
CD103 FITC-A_range,33534462.0
CD103 FITC-A_iqr,605.3000030517578
CD103 FITC-A_cv,21.1262149810791
CD103 FITC-A_skew,358.78314374875873
