,0
FSC-H_mean,705937.0625
FSC-H_median,468423.3125
FSC-H_mode,258032.203125
FSC-H_std,579951.375
FSC-H_var,336343597056.0
FSC-H_range,3884222.75
FSC-H_iqr,470794.96875
FSC-H_cv,0.8215340971946716
FSC-H_skew,1.7951833744484063
FSC-H_kurtosis,2.266284339151161
FSC-H_min,225824.296875
FSC-H_q05,262131.47187500002
FSC-H_q25,325535.8125
FSC-H_q75,796330.78125
FSC-H_q95,2229305.8249999997
FSC-H_max,4110047.0
FSC-H_entropy,5.6815660911286585
FSC-H_num_outliers,1438254.0
FSC-H_num_modes,5.0
FSC-A_mean,909713.8125
FSC-A_median,547037.5
FSC-A_mode,290802.40625
FSC-A_std,920292.375
FSC-A_var,846938112000.0
FSC-A_range,102005240.0
FSC-A_iqr,605835.90625
FSC-A_cv,1.01162850856781
FSC-A_skew,3.704184978459922
FSC-A_kurtosis,121.70328405467329
FSC-A_min,-3263420.5
FSC-A_q05,269200.159375
FSC-A_q25,355373.09375
FSC-A_q75,961209.0
FSC-A_q95,3284948.774999998
FSC-A_max,98741816.0
FSC-A_entropy,8.419610530689006
FSC-A_num_outliers,1580395.0
FSC-A_num_modes,49.0
SSC-H_mean,492889.25
SSC-H_median,136604.703125
SSC-H_mode,36407.5
SSC-H_std,965883.4375
SSC-H_var,932930781184.0
SSC-H_range,5661810.0
SSC-H_iqr,244272.5
SSC-H_cv,1.959635853767395
SSC-H_skew,2.7992992850610996
SSC-H_kurtosis,6.907170238657477
SSC-H_min,0.0
SSC-H_q05,35125.6015625
SSC-H_q25,67034.703125
SSC-H_q75,311307.203125
SSC-H_q95,3152323.5749999997
SSC-H_max,5661810.0
SSC-H_entropy,6.016647452362093
SSC-H_num_outliers,1519036.0
SSC-H_num_modes,3.0
SSC-A_mean,575807.6875
SSC-A_median,142863.203125
SSC-A_mode,42178.8984375
SSC-A_std,1200786.375
SSC-A_var,1441887813632.0
SSC-A_range,106977120.0
SSC-A_iqr,272390.90625
SSC-A_cv,2.085394859313965
SSC-A_skew,4.095652593439457
SSC-A_kurtosis,62.99265666464372
SSC-A_min,-9243152.0
SSC-A_q05,33203.80078125
SSC-A_q25,69212.0
SSC-A_q75,341602.90625
SSC-A_q95,3738079.8499999978
SSC-A_max,97733968.0
SSC-A_entropy,8.98333866487015
SSC-A_num_outliers,1542037.0
SSC-A_num_modes,45.0
CD103 FITC-H_mean,2162.131591796875
CD103 FITC-H_median,732.9000244140625
CD103 FITC-H_mode,580.5999755859375
CD103 FITC-H_std,21669.22265625
CD103 FITC-H_var,469555232.0
CD103 FITC-H_range,5681086.0
CD103 FITC-H_iqr,633.9000244140625
CD103 FITC-H_cv,10.022156715393066
CD103 FITC-H_skew,102.6469849955246
CD103 FITC-H_kurtosis,16049.18134733982
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,352.6000061035156
CD103 FITC-H_q25,544.4000244140625
CD103 FITC-H_q75,1178.300048828125
CD103 FITC-H_q95,8108.39990234375
CD103 FITC-H_max,5681086.0
CD103 FITC-H_entropy,6.8308278259868755
CD103 FITC-H_num_outliers,2060373.0
CD103 FITC-H_num_modes,55.0
CD103 FITC-A_mean,2386.355224609375
CD103 FITC-A_median,617.2999877929688
CD103 FITC-A_mode,465.3999938964844
CD103 FITC-A_std,33030.29296875
CD103 FITC-A_var,1091000320.0
CD103 FITC-A_range,37939724.0
CD103 FITC-A_iqr,932.9000244140625
CD103 FITC-A_cv,13.841314315795898
CD103 FITC-A_skew,371.0062008881345
CD103 FITC-A_kurtosis,327040.82648600836
CD103 FITC-A_min,-168517.90625
CD103 FITC-A_q05,-104.0999984741211
CD103 FITC-A_q25,298.5
CD103 FITC-A_q75,1231.4000244140625
CD103 FITC-A_q95,9851.0
CD103 FITC-A_max,37771208.0
CD103 FITC-A_entropy,9.369550382842533
CD103 FITC-A_num_outliers,1901105.0
CD103 FITC-A_num_modes,20.0
B7 PE-H_mean,1853.768310546875
B7 PE-H_median,691.2999877929688
B7 PE-H_mode,575.0
B7 PE-H_std,13536.15625
B7 PE-H_var,183227536.0
B7 PE-H_range,5707402.0
B7 PE-H_iqr,488.0
B7 PE-H_cv,7.301967620849609
B7 PE-H_skew,159.3739125276355
B7 PE-H_kurtosis,46025.4704518345
