,0
FSC-H_mean,877626.25
FSC-H_median,513254.75
FSC-H_mode,254132.296875
FSC-H_std,729115.4375
FSC-H_var,531609354240.0
FSC-H_range,3725677.0
FSC-H_iqr,1027090.15625
FSC-H_cv,0.8307812809944153
FSC-H_skew,1.1632696676109786
FSC-H_kurtosis,-0.05987501560202668
FSC-H_min,247531.59375
FSC-H_q05,264633.23125
FSC-H_q25,340618.0
FSC-H_q75,1367708.15625
FSC-H_q95,2406829.0
FSC-H_max,3973208.5
FSC-H_entropy,4.937550519312531
FSC-H_num_outliers,11316.0
FSC-H_num_modes,4.0
FSC-A_mean,1271503.625
FSC-A_median,664628.4375
FSC-A_mode,289125.0
FSC-A_std,1246732.125
FSC-A_var,1554341036032.0
FSC-A_range,106017816.0
FSC-A_iqr,1474929.0234375
FSC-A_cv,0.9805179238319397
FSC-A_skew,2.220759695458992
FSC-A_kurtosis,45.41512783034017
FSC-A_min,156365.5
FSC-A_q05,296185.90625
FSC-A_q25,418911.6640625
FSC-A_q75,1893840.6875
FSC-A_q95,3887605.9875
FSC-A_max,106174184.0
FSC-A_entropy,7.57690181634165
FSC-A_num_outliers,180698.0
FSC-A_num_modes,38.0
SSC-H_mean,767320.625
SSC-H_median,194804.953125
SSC-H_mode,32940.1015625
SSC-H_std,1245443.625
SSC-H_var,1551129903104.0
SSC-H_range,5661118.5
SSC-H_iqr,349734.625
SSC-H_cv,1.6231071949005127
SSC-H_skew,1.8971483846197763
SSC-H_kurtosis,2.193729499748584
SSC-H_min,1.7999999523162842
SSC-H_q05,41333.734765625006
SSC-H_q25,107463.8984375
SSC-H_q75,457198.5234375
SSC-H_q95,3744511.862499998
SSC-H_max,5661120.5
SSC-H_entropy,5.884470395189532
SSC-H_num_outliers,1360881.0
SSC-H_num_modes,3.0
SSC-A_mean,951177.1875
SSC-A_median,214635.09375
SSC-A_mode,41249.80078125
SSC-A_std,1630801.75
SSC-A_var,2659514318848.0
SSC-A_range,149313808.0
SSC-A_iqr,421758.478515625
SSC-A_cv,1.7145088911056519
SSC-A_skew,2.7319211404043657
SSC-A_kurtosis,28.791413272443947
SSC-A_min,-59750.1015625
SSC-A_q05,46023.1357421875
SSC-A_q25,115879.677734375
SSC-A_q75,537638.15625
SSC-A_q95,4672718.924999997
SSC-A_max,149254064.0
SSC-A_entropy,9.145654656140552
SSC-A_num_outliers,1376284.0
SSC-A_num_modes,28.0
CD103 FITC-H_mean,3823.984375
CD103 FITC-H_median,809.9000244140625
CD103 FITC-H_mode,582.0999755859375
CD103 FITC-H_std,43533.95703125
CD103 FITC-H_var,1895205504.0
CD103 FITC-H_range,5679461.0
CD103 FITC-H_iqr,1944.5
CD103 FITC-H_cv,11.38444995880127
CD103 FITC-H_skew,57.112778713604186
CD103 FITC-H_kurtosis,4554.085422840744
CD103 FITC-H_min,0.20000000298023224
CD103 FITC-H_q05,422.3999938964844
CD103 FITC-H_q25,595.5
CD103 FITC-H_q75,2540.0
