,0
FSC-H_mean,1339917.875
FSC-H_median,1513368.5
FSC-H_mode,252701.0
FSC-H_std,835478.5
FSC-H_var,698024329216.0
FSC-H_range,3826345.75
FSC-H_iqr,1626815.75
FSC-H_cv,0.6235296130180359
FSC-H_skew,0.06638118758094276
FSC-H_kurtosis,-1.2794088516016615
FSC-H_min,180472.59375
FSC-H_q05,264958.1875
FSC-H_q25,383843.5
FSC-H_q75,2010659.25
FSC-H_q95,2606259.55
FSC-H_max,4006818.25
FSC-H_entropy,4.494606017477912
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,2007230.375
FSC-A_median,2074648.0
FSC-A_mode,324383.3125
FSC-A_std,1507599.25
FSC-A_var,2272855588864.0
FSC-A_range,101755320.0
FSC-A_iqr,2755689.5
FSC-A_cv,0.7510843276977539
FSC-A_skew,1.866633304508236
FSC-A_kurtosis,38.89147178510213
FSC-A_min,-2196061.25
FSC-A_q05,295258.9375
FSC-A_q25,462448.5
FSC-A_q75,3218138.0
FSC-A_q95,4231880.1
FSC-A_max,99559256.0
FSC-A_entropy,6.7696840693862566
FSC-A_num_outliers,11488.0
FSC-A_num_modes,35.0
SSC-H_mean,934295.5
SSC-H_median,374359.8125
SSC-H_mode,117869.0
SSC-H_std,1066331.0
SSC-H_var,1137061920768.0
SSC-H_range,5660607.0
SSC-H_iqr,1582627.046875
SSC-H_cv,1.1413209438323975
SSC-H_skew,1.2928815124804431
SSC-H_kurtosis,0.7032192180599606
SSC-H_min,0.20000000298023224
SSC-H_q05,83304.54062500001
SSC-H_q25,161311.703125
SSC-H_q75,1743938.75
SSC-H_q95,3056572.1999999965
SSC-H_max,5660607.0
SSC-H_entropy,4.570893266497289
SSC-H_num_outliers,24638.0
SSC-H_num_modes,3.0
SSC-A_mean,1185991.125
SSC-A_median,430421.1875
SSC-A_mode,101616.0
SSC-A_std,1520384.375
SSC-A_var,2311568490496.0
SSC-A_range,121352208.0
SSC-A_iqr,2011179.046875
SSC-A_cv,1.2819526195526123
SSC-A_skew,3.8625332675722825
SSC-A_kurtosis,82.7552428430475
SSC-A_min,-10713847.0
SSC-A_q05,78843.8984375
SSC-A_q25,170954.203125
SSC-A_q75,2182133.25
SSC-A_q95,3976072.05
SSC-A_max,110638360.0
SSC-A_entropy,7.205022056904242
SSC-A_num_outliers,43873.0
SSC-A_num_modes,36.0
CD103 FITC-H_mean,3239.23876953125
CD103 FITC-H_median,1885.0
CD103 FITC-H_mode,495.20001220703125
CD103 FITC-H_std,29964.6484375
CD103 FITC-H_var,897880192.0
CD103 FITC-H_range,5678229.0
CD103 FITC-H_iqr,2857.0001220703125
CD103 FITC-H_cv,9.250521659851074
CD103 FITC-H_skew,117.29607479470738
CD103 FITC-H_kurtosis,17464.95291820162
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,326.70001220703125
CD103 FITC-H_q25,720.5999755859375
CD103 FITC-H_q75,3577.60009765625
CD103 FITC-H_q95,7825.0
CD103 FITC-H_max,5678229.0
CD103 FITC-H_entropy,5.703745080639312
CD103 FITC-H_num_outliers,150554.0
CD103 FITC-H_num_modes,54.0
CD103 FITC-A_mean,4152.6640625
CD103 FITC-A_median,2166.800048828125
CD103 FITC-A_mode,250.8000030517578
CD103 FITC-A_std,48212.1171875
CD103 FITC-A_var,2324408320.0
CD103 FITC-A_range,21714714.0
CD103 FITC-A_iqr,4080.3997802734375
CD103 FITC-A_cv,11.60992431640625
CD103 FITC-A_skew,210.90043362229667
CD103 FITC-A_kurtosis,67172.0978055722
CD103 FITC-A_min,-112657.6015625
CD103 FITC-A_q05,-395.1000061035156
CD103 FITC-A_q25,594.4000244140625
CD103 FITC-A_q75,4674.7998046875
CD103 FITC-A_q95,11211.019921874973
CD103 FITC-A_max,21602056.0
CD103 FITC-A_entropy,7.138039459336175
CD103 FITC-A_num_outliers,161580.0
CD103 FITC-A_num_modes,37.0
B7 PE-H_mean,7300.1201171875
B7 PE-H_median,3267.199951171875
B7 PE-H_mode,2.9000000953674316
B7 PE-H_std,23185.96484375
B7 PE-H_var,537588928.0
B7 PE-H_range,5627628.5
B7 PE-H_iqr,4772.000244140625
B7 PE-H_cv,3.176107406616211
B7 PE-H_skew,72.94819889943346
B7 PE-H_kurtosis,11718.669645782013
B7 PE-H_min,0.0
B7 PE-H_q05,295.1000061035156
B7 PE-H_q25,1078.699951171875
B7 PE-H_q75,5850.7001953125
B7 PE-H_q95,29872.480468749887
B7 PE-H_max,5627628.5
B7 PE-H_entropy,5.924069090467968
B7 PE-H_num_outliers,374267.0
B7 PE-H_num_modes,42.0
B7 PE-A_mean,10059.865234375
B7 PE-A_median,4508.10009765625
B7 PE-A_mode,308.1000061035156
B7 PE-A_std,33642.234375
B7 PE-A_var,1131799936.0
B7 PE-A_range,11349653.0
B7 PE-A_iqr,8244.099609375
B7 PE-A_cv,3.344203233718872
B7 PE-A_skew,87.9011316769137
B7 PE-A_kurtosis,18380.9830511905
B7 PE-A_min,-87633.8984375
B7 PE-A_q05,-1506.5199951171858
B7 PE-A_q25,897.5
B7 PE-A_q75,9141.599609375
B7 PE-A_q95,41877.09999999986
B7 PE-A_max,11262019.0
B7 PE-A_entropy,6.513417779783518
B7 PE-A_num_outliers,334829.0
B7 PE-A_num_modes,36.0
CD38 PC7-H_mean,25780.619140625
CD38 PC7-H_median,8692.599609375
CD38 PC7-H_mode,1200.800048828125
CD38 PC7-H_std,62187.0078125
CD38 PC7-H_var,3867224064.0
CD38 PC7-H_range,5560746.5
CD38 PC7-H_iqr,18779.19921875
CD38 PC7-H_cv,2.412161111831665
CD38 PC7-H_skew,9.122838687025954
CD38 PC7-H_kurtosis,218.83829851558588
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,937.7000122070312
CD38 PC7-H_q25,2809.5
CD38 PC7-H_q75,21588.69921875
CD38 PC7-H_q95,113678.64062499994
CD38 PC7-H_max,5560746.5
CD38 PC7-H_entropy,5.6664314722040645
CD38 PC7-H_num_outliers,323292.0
CD38 PC7-H_num_modes,32.0
CD38 PC7-A_mean,34422.81640625
CD38 PC7-A_median,10930.7001953125
CD38 PC7-A_mode,1510.5
CD38 PC7-A_std,83947.7265625
CD38 PC7-A_var,7047221248.0
CD38 PC7-A_range,8656525.0
CD38 PC7-A_iqr,27458.000732421875
CD38 PC7-A_cv,2.43872332572937
CD38 PC7-A_skew,9.705948329246743
CD38 PC7-A_kurtosis,270.6470437361403
CD38 PC7-A_min,-230867.90625
CD38 PC7-A_q05,594.7000122070312
CD38 PC7-A_q25,2839.800048828125
CD38 PC7-A_q75,30297.80078125
CD38 PC7-A_q95,154465.46562499992
CD38 PC7-A_max,8425657.0
CD38 PC7-A_entropy,5.800166924205445
CD38 PC7-A_num_outliers,305143.0
CD38 PC7-A_num_modes,38.0
CD8 APC-H_mean,45299.52734375
CD8 APC-H_median,816.5999755859375
CD8 APC-H_mode,4.099999904632568
CD8 APC-H_std,131091.890625
CD8 APC-H_var,17185085440.0
CD8 APC-H_range,4212639.0
CD8 APC-H_iqr,1584.9999694824219
CD8 APC-H_cv,2.893890857696533
CD8 APC-H_skew,3.221359117027729
CD8 APC-H_kurtosis,10.204446415889285
CD8 APC-H_min,0.0
CD8 APC-H_q05,171.8000030517578
CD8 APC-H_q25,443.1000061035156
CD8 APC-H_q75,2028.0999755859375
CD8 APC-H_q95,393490.3312499998
CD8 APC-H_max,4212639.0
CD8 APC-H_entropy,6.4346305545726254
CD8 APC-H_num_outliers,559352.0
CD8 APC-H_num_modes,9.0
CD8 APC-A_mean,49897.60546875
CD8 APC-A_median,304.6000061035156
CD8 APC-A_mode,-148.60000610351562
CD8 APC-A_std,154595.875
CD8 APC-A_var,23899883520.0
CD8 APC-A_range,5781069.5
CD8 APC-A_iqr,2107.1000061035156
CD8 APC-A_cv,3.098262310028076
CD8 APC-A_skew,3.683215041593848
CD8 APC-A_kurtosis,15.121761035969715
CD8 APC-A_min,-250257.296875
CD8 APC-A_q05,-987.9000244140625
CD8 APC-A_q25,-243.10000610351562
CD8 APC-A_q75,1864.0
CD8 APC-A_q95,430770.13749999984
CD8 APC-A_max,5530812.0
CD8 APC-A_entropy,6.757556257336702
CD8 APC-A_num_outliers,548081.0
CD8 APC-A_num_modes,23.0
FSC-Width_mean,1423.7398681640625
