,0
FSC-H_mean,644421.6875
FSC-H_median,454367.0625
FSC-H_mode,267035.8125
FSC-H_std,530853.6875
FSC-H_var,281805619200.0
FSC-H_range,3783438.75
FSC-H_iqr,349466.1171875
FSC-H_cv,0.8237675428390503
FSC-H_skew,2.3109715257533554
FSC-H_kurtosis,4.783965909194097
FSC-H_min,213258.59375
FSC-H_q05,264293.0
FSC-H_q25,332333.5703125
FSC-H_q75,681799.6875
FSC-H_q95,2172204.9375
FSC-H_max,3996697.25
FSC-H_entropy,5.917476948284849
FSC-H_num_outliers,1552579.0
FSC-H_num_modes,8.0
FSC-A_mean,856478.0625
FSC-A_median,573206.6875
FSC-A_mode,270590.5
FSC-A_std,848948.0
FSC-A_var,720712695808.0
FSC-A_range,91172888.0
FSC-A_iqr,471814.3984375
FSC-A_cv,0.9912081360816956
FSC-A_skew,3.9726285456902963
FSC-A_kurtosis,67.03936955482125
FSC-A_min,-114408.296875
FSC-A_q05,288133.78125
FSC-A_q25,403445.4765625
FSC-A_q75,875259.875
FSC-A_q95,3159794.9375
FSC-A_max,91058480.0
FSC-A_entropy,8.521150773350268
FSC-A_num_outliers,1605368.0
FSC-A_num_modes,39.0
SSC-H_mean,373056.625
SSC-H_median,154430.15625
SSC-H_mode,69967.0
SSC-H_std,688400.375
SSC-H_var,473895043072.0
SSC-H_range,5661121.5
SSC-H_iqr,211341.109375
SSC-H_cv,1.8452973365783691
SSC-H_skew,3.573507546558125
SSC-H_kurtosis,13.126179707707767
SSC-H_min,0.5
SSC-H_q05,41156.6015625
SSC-H_q25,89016.703125
SSC-H_q75,300357.8125
SSC-H_q95,2249039.0625
SSC-H_max,5661122.0
SSC-H_entropy,6.175542686504205
SSC-H_num_outliers,1420075.0
SSC-H_num_modes,4.0
SSC-A_mean,440777.4375
SSC-A_median,167965.046875
SSC-A_mode,84904.703125
SSC-A_std,891467.875
SSC-A_var,794714963968.0
SSC-A_range,91726136.0
SSC-A_iqr,242657.0390625
SSC-A_cv,2.0224897861480713
SSC-A_skew,6.215345142467253
SSC-A_kurtosis,134.15959003269992
SSC-A_min,-12178994.0
SSC-A_q05,45479.19921875
SSC-A_q25,96747.796875
SSC-A_q75,339404.8359375
SSC-A_q95,2637288.3125
SSC-A_max,79547144.0
SSC-A_entropy,8.872622420559498
SSC-A_num_outliers,1475756.0
SSC-A_num_modes,38.0
CD103 FITC-H_mean,1559.279541015625
CD103 FITC-H_median,677.5999755859375
CD103 FITC-H_mode,543.0
CD103 FITC-H_std,15366.7666015625
CD103 FITC-H_var,236137520.0
CD103 FITC-H_range,5679472.0
CD103 FITC-H_iqr,431.39996337890625
CD103 FITC-H_cv,9.855042457580566
CD103 FITC-H_skew,148.104439548717
CD103 FITC-H_kurtosis,37181.088107703355
CD103 FITC-H_min,0.10000000149011612
CD103 FITC-H_q05,374.29998779296875
CD103 FITC-H_q25,524.2000122070312
CD103 FITC-H_q75,955.5999755859375
CD103 FITC-H_q95,5368.10009765625
CD103 FITC-H_max,5679472.0
CD103 FITC-H_entropy,6.927816970251851
CD103 FITC-H_num_outliers,2019991.0
CD103 FITC-H_num_modes,55.0
CD103 FITC-A_mean,1647.0635986328125
CD103 FITC-A_median,539.2000122070312
CD103 FITC-A_mode,368.70001220703125
CD103 FITC-A_std,25557.716796875
CD103 FITC-A_var,653196928.0
CD103 FITC-A_range,32192632.0
CD103 FITC-A_iqr,647.5
CD103 FITC-A_cv,15.51714038848877
CD103 FITC-A_skew,471.73702448925707
CD103 FITC-A_kurtosis,404811.6915583273
CD103 FITC-A_min,-66523.796875
CD103 FITC-A_q05,-19.899999618530273
CD103 FITC-A_q25,287.29998779296875
CD103 FITC-A_q75,934.7999877929688
CD103 FITC-A_q95,6344.7001953125
CD103 FITC-A_max,32126108.0
CD103 FITC-A_entropy,9.154555926432494
CD103 FITC-A_num_outliers,1831397.0
CD103 FITC-A_num_modes,22.0
B7 PE-H_mean,1782.310546875
B7 PE-H_median,667.5
B7 PE-H_mode,582.4000244140625
B7 PE-H_std,15184.896484375
B7 PE-H_var,230581088.0
B7 PE-H_range,5706324.5
B7 PE-H_iqr,342.70001220703125
B7 PE-H_cv,8.519781112670898
B7 PE-H_skew,169.19793027650866
B7 PE-H_kurtosis,48141.495752107934
B7 PE-H_min,0.0
B7 PE-H_q05,376.8999938964844
B7 PE-H_q25,532.2000122070312
B7 PE-H_q75,874.9000244140625
B7 PE-H_q95,5609.89990234375
B7 PE-H_max,5706324.5
B7 PE-H_entropy,7.065713516924597
B7 PE-H_num_outliers,1999196.0
B7 PE-H_num_modes,59.0
B7 PE-A_mean,1975.50830078125
B7 PE-A_median,506.0
B7 PE-A_mode,376.20001220703125
B7 PE-A_std,26963.1171875
B7 PE-A_var,727009728.0
B7 PE-A_range,30316150.0
B7 PE-A_iqr,743.5999908447266
B7 PE-A_cv,13.648698806762695
B7 PE-A_skew,432.90000512237737
B7 PE-A_kurtosis,317761.9552657555
B7 PE-A_min,-240782.703125
B7 PE-A_q05,-201.60000610351562
B7 PE-A_q25,197.6999969482422
B7 PE-A_q75,941.2999877929688
B7 PE-A_q95,6919.60009765625
B7 PE-A_max,30075368.0
B7 PE-A_entropy,9.020339143382689
B7 PE-A_num_outliers,1840876.0
B7 PE-A_num_modes,23.0
CD38 PC7-H_mean,6588.4130859375
CD38 PC7-H_median,2335.0
CD38 PC7-H_mode,1676.0999755859375
CD38 PC7-H_std,25592.33984375
CD38 PC7-H_var,654967872.0
CD38 PC7-H_range,5734978.5
CD38 PC7-H_iqr,2915.8001708984375
CD38 PC7-H_cv,3.884446859359741
CD38 PC7-H_skew,26.193889919170257
CD38 PC7-H_kurtosis,2384.3975712162874
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,912.0999755859375
CD38 PC7-H_q25,1573.9000244140625
CD38 PC7-H_q75,4489.7001953125
CD38 PC7-H_q95,17671.19921875
CD38 PC7-H_max,5734978.5
CD38 PC7-H_entropy,6.59242753393121
CD38 PC7-H_num_outliers,1843046.0
CD38 PC7-H_num_modes,36.0
CD38 PC7-A_mean,7955.732421875
CD38 PC7-A_median,2417.5
CD38 PC7-A_mode,1539.699951171875
CD38 PC7-A_std,38623.7265625
CD38 PC7-A_var,1491792128.0
CD38 PC7-A_range,61263364.0
CD38 PC7-A_iqr,3173.699951171875
CD38 PC7-A_cv,4.854829788208008
CD38 PC7-A_skew,317.8226123879325
CD38 PC7-A_kurtosis,447535.07558859995
CD38 PC7-A_min,-6928.0
CD38 PC7-A_q05,711.7999877929688
CD38 PC7-A_q25,1535.300048828125
CD38 PC7-A_q75,4709.0
CD38 PC7-A_q95,23012.5
CD38 PC7-A_max,61256436.0
CD38 PC7-A_entropy,10.036199865534824
CD38 PC7-A_num_outliers,1863249.0
CD38 PC7-A_num_modes,12.0
CD8 APC-H_mean,5118.98779296875
CD8 APC-H_median,620.4000244140625
CD8 APC-H_mode,476.29998779296875
CD8 APC-H_std,46364.61328125
CD8 APC-H_var,2149677312.0
CD8 APC-H_range,5641643.0
CD8 APC-H_iqr,479.6999816894531
CD8 APC-H_cv,9.057378768920898
CD8 APC-H_skew,12.911884529970274
CD8 APC-H_kurtosis,205.4254265790905
CD8 APC-H_min,0.0
CD8 APC-H_q05,271.1000061035156
CD8 APC-H_q25,440.1000061035156
CD8 APC-H_q75,919.7999877929688
CD8 APC-H_q95,2252.39990234375
CD8 APC-H_max,5641643.0
CD8 APC-H_entropy,6.773796714713716
CD8 APC-H_num_outliers,1318384.0
CD8 APC-H_num_modes,20.0
CD8 APC-A_mean,6964.626953125
CD8 APC-A_median,368.1000061035156
CD8 APC-A_mode,213.5
CD8 APC-A_std,69285.9453125
CD8 APC-A_var,4800541696.0
CD8 APC-A_range,46611284.0
CD8 APC-A_iqr,655.4999847412109
CD8 APC-A_cv,9.948264122009277
CD8 APC-A_skew,33.318610270354526
CD8 APC-A_kurtosis,14234.615099235252
CD8 APC-A_min,-15733.599609375
CD8 APC-A_q05,-202.5
CD8 APC-A_q25,101.80000305175781
CD8 APC-A_q75,757.2999877929688
CD8 APC-A_q95,2735.89990234375
CD8 APC-A_max,46595552.0
CD8 APC-A_entropy,9.955173428538856
CD8 APC-A_num_outliers,1399004.0
CD8 APC-A_num_modes,10.0
FSC-Width_mean,1299.7828369140625
FSC-Width_median,1254.86767578125
FSC-Width_mode,1088.0
FSC-Width_std,234.7957763671875
FSC-Width_var,55129.05859375
FSC-Width_range,23994.119140625
FSC-Width_iqr,299.077880859375
FSC-Width_cv,0.18064230680465698
FSC-Width_skew,3.081152802707475
FSC-Width_kurtosis,50.96152478204713
FSC-Width_min,-342.7583923339844
FSC-Width_q05,1046.498046875
FSC-Width_q25,1126.6884765625
FSC-Width_q75,1425.766357421875
FSC-Width_q95,1667.3242797851562
FSC-Width_max,23651.361328125
FSC-Width_entropy,5.7350754583227825
FSC-Width_num_outliers,288606.0
FSC-Width_num_modes,33.0
Time_mean,64940948.0
Time_median,65889592.0
Time_mode,86188992.0
Time_std,36802132.0
Time_var,1354396864610304.0
Time_range,127848432.0
Time_iqr,63685127.0
Time_cv,0.5667014718055725
Time_skew,-0.06179665549111682
Time_kurtosis,-1.2016186628647045
Time_min,0.0
Time_q05,6202714.0
Time_q25,33207283.0
Time_q75,96892410.0
Time_q95,120956434.0
Time_max,127848432.0
Time_entropy,5.504627142816288
Time_num_outliers,0.0
Time_num_modes,13.0
