,0
FSC-H_mean,771062.125
FSC-H_median,429779.25
FSC-H_mode,250895.0
FSC-H_std,723505.4375
FSC-H_var,523460149248.0
FSC-H_range,3755808.0
FSC-H_iqr,438156.7890625
FSC-H_cv,0.9383231401443481
FSC-H_skew,1.6035749192053224
FSC-H_kurtosis,1.183638327760379
FSC-H_min,236460.40625
FSC-H_q05,261774.703125
FSC-H_q25,318809.1171875
FSC-H_q75,756965.90625
FSC-H_q95,2462979.5875
FSC-H_max,3992268.5
FSC-H_entropy,5.601357325107327
FSC-H_num_outliers,1740224.0
FSC-H_num_modes,4.0
FSC-A_mean,1100576.5
FSC-A_median,548284.125
FSC-A_mode,358356.09375
FSC-A_std,1239323.0
FSC-A_var,1535921356800.0
FSC-A_range,71161872.0
FSC-A_iqr,613298.90625
FSC-A_cv,1.1260671615600586
FSC-A_skew,2.7804993210004882
FSC-A_kurtosis,22.181577753724856
FSC-A_min,-139219.90625
FSC-A_q05,293928.8734375
FSC-A_q25,393123.6875
FSC-A_q75,1006422.59375
FSC-A_q95,3811516.5
FSC-A_max,71022656.0
FSC-A_entropy,7.7912154197280525
FSC-A_num_outliers,1762994.0
FSC-A_num_modes,43.0
SSC-H_mean,587931.8125
SSC-H_median,183858.90625
SSC-H_mode,98640.796875
SSC-H_std,995170.5
SSC-H_var,990364368896.0
SSC-H_range,5660860.5
SSC-H_iqr,234456.7265625
SSC-H_cv,1.6926630735397339
SSC-H_skew,2.3721752647534116
SSC-H_kurtosis,4.652528688204679
SSC-H_min,0.5
SSC-H_q05,58694.566015625
SSC-H_q25,118701.296875
SSC-H_q75,353158.0234375
SSC-H_q95,3090333.7624999997
SSC-H_max,5660861.0
SSC-H_entropy,6.143676293674301
SSC-H_num_outliers,1440938.0
SSC-H_num_modes,3.0
SSC-A_mean,717134.5
SSC-A_median,195740.90625
SSC-A_mode,116767.8984375
SSC-A_std,1347363.375
SSC-A_var,1815387963392.0
SSC-A_range,121500672.0
SSC-A_iqr,278377.7421875
SSC-A_cv,1.8788154125213623
SSC-A_skew,4.448153656182743
SSC-A_kurtosis,67.23423577592388
SSC-A_min,-27053660.0
SSC-A_q05,69637.296875
SSC-A_q25,123773.2265625
SSC-A_q75,402150.96875
SSC-A_q95,3766931.6874999995
SSC-A_max,94447008.0
SSC-A_entropy,9.17106665836429
SSC-A_num_outliers,1463733.0
SSC-A_num_modes,36.0
CD103 FITC-H_mean,2377.103515625
CD103 FITC-H_median,643.7000122070312
CD103 FITC-H_mode,483.70001220703125
CD103 FITC-H_std,27534.974609375
CD103 FITC-H_var,758174848.0
CD103 FITC-H_range,5678350.0
CD103 FITC-H_iqr,851.3999938964844
CD103 FITC-H_cv,11.583414077758789
CD103 FITC-H_skew,85.72383089929184
CD103 FITC-H_kurtosis,11243.914398814504
CD103 FITC-H_min,0.10000000149011612
CD103 FITC-H_q05,354.29998779296875
CD103 FITC-H_q25,492.6000061035156
CD103 FITC-H_q75,1344.0
CD103 FITC-H_q95,6258.89990234375
CD103 FITC-H_max,5678350.0
CD103 FITC-H_entropy,6.3577890875834955
CD103 FITC-H_num_outliers,1669360.0
CD103 FITC-H_num_modes,62.0
CD103 FITC-A_mean,2782.777587890625
CD103 FITC-A_median,512.0999755859375
CD103 FITC-A_mode,282.29998779296875
CD103 FITC-A_std,44235.76171875
CD103 FITC-A_var,1956802560.0
CD103 FITC-A_range,41119476.0
CD103 FITC-A_iqr,1081.5
CD103 FITC-A_cv,15.896262168884277
CD103 FITC-A_skew,290.39429200258985
CD103 FITC-A_kurtosis,187471.03005816496
CD103 FITC-A_min,-56024.30078125
CD103 FITC-A_q05,-48.5
CD103 FITC-A_q25,250.5
CD103 FITC-A_q75,1332.0
CD103 FITC-A_q95,7879.0
CD103 FITC-A_max,41063452.0
CD103 FITC-A_entropy,9.265607091855703
CD103 FITC-A_num_outliers,1653436.0
CD103 FITC-A_num_modes,18.0
B7 PE-H_mean,3199.57666015625
B7 PE-H_median,726.5
B7 PE-H_mode,592.5
B7 PE-H_std,25786.017578125
B7 PE-H_var,664918656.0
B7 PE-H_range,5704457.5
B7 PE-H_iqr,901.7999877929688
B7 PE-H_cv,8.059196472167969
B7 PE-H_skew,99.50334445306373
B7 PE-H_kurtosis,16131.908330320204
B7 PE-H_min,0.0
B7 PE-H_q05,383.8999938964844
B7 PE-H_q25,555.7000122070312
B7 PE-H_q75,1457.5
B7 PE-H_q95,7640.0
B7 PE-H_max,5704457.5
B7 PE-H_entropy,6.471854126683132
B7 PE-H_num_outliers,1955475.0
B7 PE-H_num_modes,55.0
B7 PE-A_mean,3996.5263671875
B7 PE-A_median,608.2000122070312
B7 PE-A_mode,353.8999938964844
B7 PE-A_std,61114.1953125
B7 PE-A_var,3734945024.0
B7 PE-A_range,54398020.0
B7 PE-A_iqr,1354.4999542236328
B7 PE-A_cv,15.291828155517578
B7 PE-A_skew,459.392916831816
B7 PE-A_kurtosis,312681.3229800663
B7 PE-A_min,-107576.8984375
B7 PE-A_q05,-179.0
B7 PE-A_q25,242.1999969482422
B7 PE-A_q75,1596.699951171875
B7 PE-A_q95,10268.5
B7 PE-A_max,54290444.0
B7 PE-A_entropy,9.951369760469206
B7 PE-A_num_outliers,1909228.0
B7 PE-A_num_modes,21.0
CD38 PC7-H_mean,11049.015625
CD38 PC7-H_median,3963.0
CD38 PC7-H_mode,1641.800048828125
CD38 PC7-H_std,37506.578125
CD38 PC7-H_var,1406743424.0
CD38 PC7-H_range,5734688.5
CD38 PC7-H_iqr,6427.400390625
CD38 PC7-H_cv,3.3945629596710205
CD38 PC7-H_skew,21.19823052949138
CD38 PC7-H_kurtosis,1414.9620826889125
CD38 PC7-H_min,0.4000000059604645
CD38 PC7-H_q05,1236.9000244140625
CD38 PC7-H_q25,2197.0
CD38 PC7-H_q75,8624.400390625
CD38 PC7-H_q95,26880.634472656213
CD38 PC7-H_max,5734689.0
CD38 PC7-H_entropy,6.214398623309596
CD38 PC7-H_num_outliers,852756.0
CD38 PC7-H_num_modes,45.0
CD38 PC7-A_mean,14081.912109375
CD38 PC7-A_median,4113.39990234375
CD38 PC7-A_mode,1987.9000244140625
CD38 PC7-A_std,60525.84765625
CD38 PC7-A_var,3663378176.0
CD38 PC7-A_range,56684160.0
CD38 PC7-A_iqr,7128.77490234375
CD38 PC7-A_cv,4.298127174377441
CD38 PC7-A_skew,191.53814302563487
CD38 PC7-A_kurtosis,127536.33584224616
CD38 PC7-A_min,-8670.5
CD38 PC7-A_q05,1181.9000244140625
CD38 PC7-A_q25,2279.5
CD38 PC7-A_q75,9408.27490234375
CD38 PC7-A_q95,37606.13574218746
CD38 PC7-A_max,56675488.0
CD38 PC7-A_entropy,9.265387799224774
CD38 PC7-A_num_outliers,1182448.0
CD38 PC7-A_num_modes,17.0
CD8 APC-H_mean,9159.4970703125
CD8 APC-H_median,661.7999877929688
CD8 APC-H_mode,481.29998779296875
CD8 APC-H_std,64050.8046875
CD8 APC-H_var,4102505472.0
CD8 APC-H_range,5642238.0
CD8 APC-H_iqr,676.8999633789062
CD8 APC-H_cv,6.9928297996521
CD8 APC-H_skew,9.644373561326852
CD8 APC-H_kurtosis,163.2920449753214
CD8 APC-H_min,0.0
CD8 APC-H_q05,268.5
CD8 APC-H_q25,449.20001220703125
CD8 APC-H_q75,1126.0999755859375
CD8 APC-H_q95,2869.39990234375
CD8 APC-H_max,5642238.0
CD8 APC-H_entropy,6.543887170564201
CD8 APC-H_num_outliers,773487.0
CD8 APC-H_num_modes,11.0
CD8 APC-A_mean,13043.396484375
CD8 APC-A_median,422.5
CD8 APC-A_mode,261.70001220703125
CD8 APC-A_std,97909.3828125
CD8 APC-A_var,9586247680.0
CD8 APC-A_range,44346660.0
CD8 APC-A_iqr,918.9000244140625
CD8 APC-A_cv,7.506433010101318
CD8 APC-A_skew,27.24555862199275
CD8 APC-A_kurtosis,6648.174332943306
CD8 APC-A_min,-27185.400390625
CD8 APC-A_q05,-186.6999969482422
