,0
FSC-H_mean,950595.125
FSC-H_median,493975.59375
FSC-H_mode,250747.09375
FSC-H_std,806743.5625
FSC-H_var,650835132416.0
FSC-H_range,5556113.0
FSC-H_iqr,1261205.015625
FSC-H_cv,0.848672091960907
FSC-H_skew,1.1121908145658064
FSC-H_kurtosis,0.3429474205520662
FSC-H_min,217400.40625
FSC-H_q05,260520.40625
FSC-H_q25,318084.453125
FSC-H_q75,1579289.46875
FSC-H_q95,2501853.1875000005
FSC-H_max,5773513.5
FSC-H_entropy,4.567529540373182
FSC-H_num_outliers,22499.0
FSC-H_num_modes,5.0
FSC-A_mean,1517695.625
FSC-A_median,601137.75
FSC-A_mode,322066.0
FSC-A_std,2152695.0
FSC-A_var,4634096173056.0
FSC-A_range,102656552.0
FSC-A_iqr,1870017.609375
FSC-A_cv,1.418397068977356
FSC-A_skew,7.871374251151035
FSC-A_kurtosis,145.19409014222154
FSC-A_min,-1079831.125
FSC-A_q05,285490.9484375
FSC-A_q25,367699.328125
FSC-A_q75,2237716.9375
FSC-A_q95,4296480.85
FSC-A_max,101576720.0
FSC-A_entropy,7.014880600205946
FSC-A_num_outliers,83686.0
FSC-A_num_modes,53.0
SSC-H_mean,692137.9375
SSC-H_median,199356.5
SSC-H_mode,94212.0
SSC-H_std,1055865.625
SSC-H_var,1114852294656.0
SSC-H_range,5660946.5
SSC-H_iqr,388237.1953125
SSC-H_cv,1.5255132913589478
SSC-H_skew,2.162323321907269
SSC-H_kurtosis,4.236672067080558
SSC-H_min,0.0
SSC-H_q05,76375.116796875
SSC-H_q25,114257.2734375
SSC-H_q75,502494.46875
SSC-H_q95,3081467.887500004
SSC-H_max,5660946.5
SSC-H_entropy,5.450380234035298
SSC-H_num_outliers,591168.0
SSC-H_num_modes,3.0
SSC-A_mean,1005663.0625
SSC-A_median,215341.25
SSC-A_mode,103473.703125
SSC-A_std,2435374.5
SSC-A_var,5931048894464.0
SSC-A_range,163928352.0
SSC-A_iqr,488911.359375
SSC-A_cv,2.4216604232788086
SSC-A_skew,11.874835169167175
SSC-A_kurtosis,296.3362895521589
SSC-A_min,-14465574.0
SSC-A_q05,68377.7171875
SSC-A_q25,113290.296875
SSC-A_q75,602201.65625
SSC-A_q95,4181790.7125000004
SSC-A_max,149462784.0
SSC-A_entropy,8.876921500339817
SSC-A_num_outliers,599546.0
SSC-A_num_modes,48.0
CD103 FITC-H_mean,3225.18408203125
CD103 FITC-H_median,984.9000244140625
CD103 FITC-H_mode,547.2000122070312
CD103 FITC-H_std,26408.771484375
CD103 FITC-H_var,697423232.0
CD103 FITC-H_range,5677617.0
CD103 FITC-H_iqr,2448.324951171875
CD103 FITC-H_cv,8.188299179077148
CD103 FITC-H_skew,115.11220803814541
CD103 FITC-H_kurtosis,18996.297361795747
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,280.20001220703125
CD103 FITC-H_q25,547.9000244140625
CD103 FITC-H_q75,2996.2249755859375
CD103 FITC-H_q95,9601.2001953125
CD103 FITC-H_max,5677617.0
CD103 FITC-H_entropy,5.7032832444609705
CD103 FITC-H_num_outliers,266788.0
CD103 FITC-H_num_modes,46.0
CD103 FITC-A_mean,4650.42138671875
CD103 FITC-A_median,1122.800048828125
CD103 FITC-A_mode,98.19999694824219
CD103 FITC-A_std,64103.359375
CD103 FITC-A_var,4109240832.0
CD103 FITC-A_range,49829320.0
CD103 FITC-A_iqr,3641.3999938964844
CD103 FITC-A_cv,13.784419059753418
CD103 FITC-A_skew,424.87121444507267
CD103 FITC-A_kurtosis,254693.42354129982
CD103 FITC-A_min,-109135.296875
CD103 FITC-A_q05,-558.0
CD103 FITC-A_q25,225.10000610351562
CD103 FITC-A_q75,3866.5
CD103 FITC-A_q95,14878.400390625
CD103 FITC-A_max,49720184.0
CD103 FITC-A_entropy,8.843227319411701
CD103 FITC-A_num_outliers,286972.0
CD103 FITC-A_num_modes,18.0
B7 PE-H_mean,4266.111328125
B7 PE-H_median,1458.4000244140625
B7 PE-H_mode,4.0
B7 PE-H_std,18457.537109375
B7 PE-H_var,340680672.0
B7 PE-H_range,5700647.5
B7 PE-H_iqr,3228.0999755859375
B7 PE-H_cv,4.3265485763549805
B7 PE-H_skew,119.71416394566405
B7 PE-H_kurtosis,28790.961337833243
B7 PE-H_min,0.0
B7 PE-H_q05,157.51500091552677
B7 PE-H_q25,754.0999755859375
B7 PE-H_q75,3982.199951171875
B7 PE-H_q95,14615.98505859376
B7 PE-H_max,5700647.5
B7 PE-H_entropy,5.777958147349359
B7 PE-H_num_outliers,250219.0
B7 PE-H_num_modes,39.0
B7 PE-A_mean,6443.265625
B7 PE-A_median,1887.300048828125
B7 PE-A_mode,248.6999969482422
B7 PE-A_std,44574.6875
B7 PE-A_var,1986902912.0
B7 PE-A_range,42995888.0
B7 PE-A_iqr,6386.399803161621
B7 PE-A_cv,6.918027400970459
B7 PE-A_skew,464.27321859610896
B7 PE-A_kurtosis,355874.6992010434
B7 PE-A_min,-579601.125
B7 PE-A_q05,-2127.10009765625
B7 PE-A_q25,61.900001525878906
B7 PE-A_q75,6448.2998046875
B7 PE-A_q95,25564.099609375
B7 PE-A_max,42416288.0
B7 PE-A_entropy,8.412182282047052
B7 PE-A_num_outliers,251588.0
B7 PE-A_num_modes,17.0
CD38 PC7-H_mean,12118.369140625
CD38 PC7-H_median,3740.800048828125
CD38 PC7-H_mode,1287.300048828125
CD38 PC7-H_std,40253.703125
CD38 PC7-H_var,1620360704.0
CD38 PC7-H_range,5732560.5
CD38 PC7-H_iqr,6141.800048828125
CD38 PC7-H_cv,3.321709632873535
CD38 PC7-H_skew,20.061658976896283
CD38 PC7-H_kurtosis,1218.635143158216
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,733.0999755859375
CD38 PC7-H_q25,2020.699951171875
CD38 PC7-H_q75,8162.5
CD38 PC7-H_q95,43439.69921875
CD38 PC7-H_max,5732560.5
CD38 PC7-H_entropy,5.996772880668146
CD38 PC7-H_num_outliers,352646.0
CD38 PC7-H_num_modes,44.0
CD38 PC7-A_mean,17127.103515625
CD38 PC7-A_median,3925.699951171875
CD38 PC7-A_mode,1467.0
CD38 PC7-A_std,63784.04296875
CD38 PC7-A_var,4068404224.0
CD38 PC7-A_range,23200308.0
CD38 PC7-A_iqr,8562.900390625
CD38 PC7-A_cv,3.72415828704834
CD38 PC7-A_skew,32.72414986411834
CD38 PC7-A_kurtosis,6361.62667496452
CD38 PC7-A_min,-214998.09375
CD38 PC7-A_q05,430.0
CD38 PC7-A_q25,1904.5
CD38 PC7-A_q75,10467.400390625
CD38 PC7-A_q95,63540.45156250009
CD38 PC7-A_max,22985310.0
CD38 PC7-A_entropy,7.192982535846331
CD38 PC7-A_num_outliers,385034.0
CD38 PC7-A_num_modes,16.0
CD8 APC-H_mean,20458.85546875
CD8 APC-H_median,534.5
CD8 APC-H_mode,384.70001220703125
CD8 APC-H_std,97135.078125
CD8 APC-H_var,9435223040.0
CD8 APC-H_range,5642697.5
CD8 APC-H_iqr,525.0999755859375
CD8 APC-H_cv,4.747825622558594
CD8 APC-H_skew,5.513851425546146
CD8 APC-H_kurtosis,34.45753222619718
CD8 APC-H_min,0.0
CD8 APC-H_q05,177.89999389648438
CD8 APC-H_q25,345.20001220703125
CD8 APC-H_q75,870.2999877929688
CD8 APC-H_q95,44582.76367187509
CD8 APC-H_max,5642697.5
CD8 APC-H_entropy,6.496264080047875
CD8 APC-H_num_outliers,328691.0
CD8 APC-H_num_modes,8.0
CD8 APC-A_mean,24441.4296875
CD8 APC-A_median,84.9000015258789
