,0
FSC-H_mean,943975.5
FSC-H_median,474794.6875
FSC-H_mode,251953.09375
FSC-H_std,815124.625
FSC-H_var,664428150784.0
FSC-H_range,3821391.0
FSC-H_iqr,1289387.765625
FSC-H_cv,0.8635019063949585
FSC-H_skew,1.180455160009465
FSC-H_kurtosis,0.6741896543180399
FSC-H_min,239164.5
FSC-H_q05,260328.16328125002
FSC-H_q25,316361.640625
FSC-H_q75,1605749.40625
FSC-H_q95,2463715.3124999995
FSC-H_max,4060555.5
FSC-H_entropy,4.527264820832144
FSC-H_num_outliers,42815.0
FSC-H_num_modes,6.0
FSC-A_mean,1428996.375
FSC-A_median,533052.375
FSC-A_mode,274859.90625
FSC-A_std,2378652.5
FSC-A_var,5657988169728.0
FSC-A_range,109885408.0
FSC-A_iqr,1752886.8984375
FSC-A_cv,1.6645616292953491
FSC-A_skew,10.15043316215398
FSC-A_kurtosis,200.80081598436797
FSC-A_min,-1741989.25
FSC-A_q05,260816.7546875
FSC-A_q25,337981.3828125
FSC-A_q75,2090868.28125
FSC-A_q95,3803772.0875
FSC-A_max,108143416.0
FSC-A_entropy,7.23655955802826
FSC-A_num_outliers,119798.0
FSC-A_num_modes,49.0
SSC-H_mean,726334.625
SSC-H_median,184766.296875
SSC-H_mode,83008.296875
SSC-H_std,1113061.125
SSC-H_var,1238904995840.0
SSC-H_range,5660185.0
SSC-H_iqr,421002.125
SSC-H_cv,1.5324357748031616
SSC-H_skew,2.0820320295802914
SSC-H_kurtosis,3.868357179397842
SSC-H_min,0.0
SSC-H_q05,74179.703125
SSC-H_q25,112114.203125
SSC-H_q75,533116.328125
SSC-H_q95,3182413.3874999974
SSC-H_max,5660185.0
SSC-H_entropy,5.458225758430444
SSC-H_num_outliers,845478.0
SSC-H_num_modes,3.0
SSC-A_mean,1050033.5
SSC-A_median,186439.796875
SSC-A_mode,103016.0
SSC-A_std,3063488.0
SSC-A_var,9384958623744.0
SSC-A_range,183005200.0
SSC-A_iqr,497406.1484375
SSC-A_cv,2.9175145626068115
SSC-A_skew,14.067339791618327
SSC-A_kurtosis,340.2174204663113
SSC-A_min,-19920224.0
SSC-A_q05,60168.30078125
SSC-A_q25,102938.8984375
SSC-A_q75,600345.046875
SSC-A_q95,4026028.25
SSC-A_max,163084976.0
SSC-A_entropy,9.1237320788257
SSC-A_num_outliers,851746.0
SSC-A_num_modes,49.0
CD103 FITC-H_mean,2904.783935546875
CD103 FITC-H_median,806.5999755859375
CD103 FITC-H_mode,473.20001220703125
CD103 FITC-H_std,20004.84765625
CD103 FITC-H_var,400193920.0
CD103 FITC-H_range,5678220.5
CD103 FITC-H_iqr,2561.10009765625
CD103 FITC-H_cv,6.886862754821777
CD103 FITC-H_skew,162.55203131573018
CD103 FITC-H_kurtosis,36725.43015769181
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,311.70001220703125
CD103 FITC-H_q25,498.5
CD103 FITC-H_q75,3059.60009765625
CD103 FITC-H_q95,9248.099609375
CD103 FITC-H_max,5678220.5
CD103 FITC-H_entropy,5.600031775930375
CD103 FITC-H_num_outliers,337376.0
CD103 FITC-H_num_modes,50.0
CD103 FITC-A_mean,3849.610595703125
CD103 FITC-A_median,720.4000244140625
CD103 FITC-A_mode,172.8000030517578
CD103 FITC-A_std,37223.41796875
CD103 FITC-A_var,1385582976.0
CD103 FITC-A_range,32585020.0
CD103 FITC-A_iqr,3182.099899291992
CD103 FITC-A_cv,9.669398307800293
CD103 FITC-A_skew,353.02382056648685
CD103 FITC-A_kurtosis,214293.52651702816
CD103 FITC-A_min,-59437.69921875
CD103 FITC-A_q05,-237.1999969482422
CD103 FITC-A_q25,193.3000030517578
CD103 FITC-A_q75,3375.39990234375
CD103 FITC-A_q95,12751.7001953125
CD103 FITC-A_max,32525582.0
CD103 FITC-A_entropy,7.898088206256351
CD103 FITC-A_num_outliers,386617.0
CD103 FITC-A_num_modes,19.0
B7 PE-H_mean,3532.6865234375
B7 PE-H_median,1078.0999755859375
B7 PE-H_mode,709.5
B7 PE-H_std,15385.8828125
B7 PE-H_var,236725376.0
B7 PE-H_range,5700573.0
B7 PE-H_iqr,3088.2000732421875
B7 PE-H_cv,4.355292320251465
B7 PE-H_skew,152.98029755903892
B7 PE-H_kurtosis,43112.36763722855
B7 PE-H_min,0.0
B7 PE-H_q05,302.29998779296875
B7 PE-H_q25,648.5999755859375
B7 PE-H_q75,3736.800048828125
B7 PE-H_q95,11813.5
B7 PE-H_max,5700573.0
B7 PE-H_entropy,5.687965823563182
B7 PE-H_num_outliers,298248.0
B7 PE-H_num_modes,39.0
B7 PE-A_mean,4766.18603515625
B7 PE-A_median,1073.699951171875
B7 PE-A_mode,196.1999969482422
B7 PE-A_std,31055.75390625
B7 PE-A_var,964459904.0
B7 PE-A_range,33366254.0
B7 PE-A_iqr,4472.500198364258
B7 PE-A_cv,6.515850067138672
B7 PE-A_skew,442.1542295528017
B7 PE-A_kurtosis,377351.1575647081
B7 PE-A_min,-316176.40625
B7 PE-A_q05,-974.7000122070312
B7 PE-A_q25,77.69999694824219
B7 PE-A_q75,4550.2001953125
B7 PE-A_q95,18104.690136718695
B7 PE-A_max,33050078.0
B7 PE-A_entropy,7.987999779722914
B7 PE-A_num_outliers,331655.0
B7 PE-A_num_modes,15.0
CD38 PC7-H_mean,10568.037109375
CD38 PC7-H_median,3162.699951171875
CD38 PC7-H_mode,1664.0999755859375
CD38 PC7-H_std,34785.0859375
CD38 PC7-H_var,1210002304.0
CD38 PC7-H_range,4857275.5
CD38 PC7-H_iqr,5452.5999755859375
CD38 PC7-H_cv,3.291537046432495
CD38 PC7-H_skew,18.093098735711518
CD38 PC7-H_kurtosis,985.1979543291121
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,643.5999755859375
CD38 PC7-H_q25,1690.4000244140625
CD38 PC7-H_q75,7143.0
CD38 PC7-H_q95,36628.44414062497
CD38 PC7-H_max,4857275.5
CD38 PC7-H_entropy,6.006540698010335
CD38 PC7-H_num_outliers,496370.0
CD38 PC7-H_num_modes,41.0
CD38 PC7-A_mean,14555.806640625
CD38 PC7-A_median,3044.0
CD38 PC7-A_mode,1146.0999755859375
CD38 PC7-A_std,58292.45703125
CD38 PC7-A_var,3398010368.0
CD38 PC7-A_range,11101267.0
CD38 PC7-A_iqr,7019.1995849609375
CD38 PC7-A_cv,4.004755973815918
CD38 PC7-A_skew,21.649663479333864
CD38 PC7-A_kurtosis,1405.8611104728195
CD38 PC7-A_min,-16849.0
CD38 PC7-A_q05,246.0
CD38 PC7-A_q25,1422.4000244140625
CD38 PC7-A_q75,8441.599609375
CD38 PC7-A_q95,52230.334570312414
CD38 PC7-A_max,11084418.0
CD38 PC7-A_entropy,6.484072109240176
CD38 PC7-A_num_outliers,537026.0
CD38 PC7-A_num_modes,34.0
CD8 APC-H_mean,15721.0986328125
CD8 APC-H_median,498.29998779296875
CD8 APC-H_mode,349.79998779296875
CD8 APC-H_std,81320.6171875
CD8 APC-H_var,6613042688.0
CD8 APC-H_range,2424358.5
CD8 APC-H_iqr,483.20001220703125
CD8 APC-H_cv,5.17270565032959
CD8 APC-H_skew,6.170805249083456
CD8 APC-H_kurtosis,40.562213401176045
CD8 APC-H_min,0.0
CD8 APC-H_q05,178.5
CD8 APC-H_q25,325.29998779296875
CD8 APC-H_q75,808.5
CD8 APC-H_q95,13475.389892578069
CD8 APC-H_max,2424358.5
CD8 APC-H_entropy,6.205784929102653
CD8 APC-H_num_outliers,426510.0
CD8 APC-H_num_modes,16.0
CD8 APC-A_mean,22243.404296875
CD8 APC-A_median,115.9000015258789
CD8 APC-A_mode,-90.80000305175781
CD8 APC-A_std,118386.3671875
CD8 APC-A_var,14015331328.0
CD8 APC-A_range,6667126.5
CD8 APC-A_iqr,678.5
CD8 APC-A_cv,5.32231330871582
CD8 APC-A_skew,6.25603362361739
CD8 APC-A_kurtosis,43.955412507669955
CD8 APC-A_min,-30621.900390625
CD8 APC-A_q05,-405.0
CD8 APC-A_q25,-133.0
CD8 APC-A_q75,545.5
CD8 APC-A_q95,20675.660253906026
CD8 APC-A_max,6636504.5
CD8 APC-A_entropy,6.728890983000701
CD8 APC-A_num_outliers,437227.0
CD8 APC-A_num_modes,13.0
FSC-Width_mean,1285.189697265625
FSC-Width_median,1172.72412109375
FSC-Width_mode,1088.0
FSC-Width_std,532.2631225585938
FSC-Width_var,283304.03125
FSC-Width_range,33574.12109375
FSC-Width_iqr,339.7650146484375
FSC-Width_cv,0.4141514003276825
FSC-Width_skew,11.704414841560437
FSC-Width_kurtosis,267.24866576023766
FSC-Width_min,-5810.11328125
FSC-Width_q05,953.8555755615234
FSC-Width_q25,1050.970947265625
FSC-Width_q75,1390.7359619140625
FSC-Width_q95,1756.3316894531245
FSC-Width_max,27764.0078125
FSC-Width_entropy,5.421657521120721
FSC-Width_num_outliers,151077.0
FSC-Width_num_modes,41.0
Time_mean,20949502.0
Time_median,21000660.0
Time_mode,22684996.0
Time_std,10762908.0
Time_var,115840183697408.0
Time_range,41145384.0
Time_iqr,17741806.5
Time_cv,0.5137548446655273
