,0
FSC-H_mean,1177541.125
FSC-H_median,1204321.75
FSC-H_mode,255759.5
FSC-H_std,810569.375
FSC-H_var,657022713856.0
FSC-H_range,3802759.0
FSC-H_iqr,1482813.9140625
FSC-H_cv,0.6883575916290283
FSC-H_skew,0.31389868312833824
FSC-H_kurtosis,-1.220365405225483
FSC-H_min,216353.0
FSC-H_q05,260552.18515625
FSC-H_q25,339095.0234375
FSC-H_q75,1821908.9375
FSC-H_q95,2447980.5749999997
FSC-H_max,4019112.0
FSC-H_entropy,4.49491850426608
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,1693521.0
FSC-A_median,1693034.25
FSC-A_mode,382304.8125
FSC-A_std,1498742.375
FSC-A_var,2246228574208.0
FSC-A_range,106001800.0
FSC-A_iqr,2207286.3515625
FSC-A_cv,0.8849859833717346
FSC-A_skew,5.61693274796706
FSC-A_kurtosis,165.75041972400555
FSC-A_min,-1028471.625
FSC-A_q05,271977.5890625
FSC-A_q25,398483.3359375
FSC-A_q75,2605769.6875
FSC-A_q95,3671886.0
FSC-A_max,104973328.0
FSC-A_entropy,6.9877081878359615
FSC-A_num_outliers,30645.0
FSC-A_num_modes,47.0
SSC-H_mean,836422.75
SSC-H_median,320734.59375
SSC-H_mode,74970.6015625
SSC-H_std,1033193.3125
SSC-H_var,1067488378880.0
SSC-H_range,5660055.5
SSC-H_iqr,1325422.078125
SSC-H_cv,1.2352524995803833
SSC-H_skew,1.4476068073029016
SSC-H_kurtosis,1.0874449486067475
SSC-H_min,0.20000000298023224
SSC-H_q05,80238.433984375
SSC-H_q25,142220.171875
SSC-H_q75,1467642.25
SSC-H_q95,2952821.474999999
SSC-H_max,5660055.5
SSC-H_entropy,4.53788158499254
SSC-H_num_outliers,56363.0
SSC-H_num_modes,3.0
SSC-A_mean,1012961.0
SSC-A_median,356717.09375
SSC-A_mode,91140.203125
SSC-A_std,1547696.625
SSC-A_var,2395364655104.0
SSC-A_range,99806360.0
SSC-A_iqr,1568623.05078125
SSC-A_cv,1.5278935432434082
SSC-A_skew,8.468718628467691
SSC-A_kurtosis,209.33213026412443
SSC-A_min,-1810878.75
SSC-A_q05,71362.7453125
SSC-A_q25,147574.32421875
SSC-A_q75,1716197.375
SSC-A_q95,3562715.024999999
SSC-A_max,97995480.0
SSC-A_entropy,7.038518166810596
SSC-A_num_outliers,80585.0
SSC-A_num_modes,39.0
CD103 FITC-H_mean,5420.61279296875
CD103 FITC-H_median,1660.4000244140625
CD103 FITC-H_mode,548.2000122070312
CD103 FITC-H_std,62138.53515625
CD103 FITC-H_var,3861197568.0
CD103 FITC-H_range,5676944.5
CD103 FITC-H_iqr,3371.4000244140625
CD103 FITC-H_cv,11.463377952575684
CD103 FITC-H_skew,52.815471326063424
CD103 FITC-H_kurtosis,3611.4802667672516
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,366.70001220703125
CD103 FITC-H_q25,619.9000244140625
CD103 FITC-H_q75,3991.300048828125
CD103 FITC-H_q95,12915.509960937463
CD103 FITC-H_max,5676944.5
CD103 FITC-H_entropy,5.5789401146626085
CD103 FITC-H_num_outliers,230193.0
CD103 FITC-H_num_modes,57.0
CD103 FITC-A_mean,6708.13818359375
CD103 FITC-A_median,1638.0
CD103 FITC-A_mode,178.10000610351562
CD103 FITC-A_std,105575.3046875
CD103 FITC-A_var,11146144768.0
CD103 FITC-A_range,65502352.0
CD103 FITC-A_iqr,4269.2001953125
CD103 FITC-A_cv,15.738391876220703
CD103 FITC-A_skew,177.8994854198422
CD103 FITC-A_kurtosis,70556.80990874083
CD103 FITC-A_min,-26520.80078125
CD103 FITC-A_q05,-136.39999389648438
