,0
FSC-H_mean,1007089.1875
FSC-H_median,638024.1875
FSC-H_mode,259175.40625
FSC-H_std,751266.5625
FSC-H_var,564401405952.0
FSC-H_range,3764396.75
FSC-H_iqr,1287894.59375
FSC-H_cv,0.7459781765937805
FSC-H_skew,0.7408752137537489
FSC-H_kurtosis,-0.387414031512586
FSC-H_min,238488.703125
FSC-H_q05,261857.296875
FSC-H_q25,331560.90625
FSC-H_q75,1619455.5
FSC-H_q95,2377557.0
FSC-H_max,4002885.5
FSC-H_entropy,4.578999180500852
FSC-H_num_outliers,7690.0
FSC-H_num_modes,4.0
FSC-A_mean,1437531.875
FSC-A_median,762466.6875
FSC-A_mode,285264.90625
FSC-A_std,1433728.0
FSC-A_var,2055575961600.0
FSC-A_range,78500944.0
FSC-A_iqr,1791908.9375
FSC-A_cv,0.9973539113998413
FSC-A_skew,3.2738170231159067
FSC-A_kurtosis,35.34966891332236
FSC-A_min,132597.09375
FSC-A_q05,274607.9625
FSC-A_q25,370883.8125
FSC-A_q75,2162792.75
FSC-A_q95,3681024.0999999996
FSC-A_max,78633544.0
FSC-A_entropy,6.726674388819963
FSC-A_num_outliers,72966.0
FSC-A_num_modes,32.0
SSC-H_mean,603491.1875
SSC-H_median,245026.40625
SSC-H_mode,118015.203125
SSC-H_std,904739.25
SSC-H_var,818553094144.0
SSC-H_range,5659883.0
SSC-H_iqr,332328.6875
SSC-H_cv,1.4991755485534668
SSC-H_skew,2.445795275110716
SSC-H_kurtosis,5.677837106185038
SSC-H_min,0.4000000059604645
SSC-H_q05,82416.959375
SSC-H_q25,126846.0
SSC-H_q75,459174.6875
SSC-H_q95,2793178.3
SSC-H_max,5659883.5
SSC-H_entropy,5.6072241774116405
SSC-H_num_outliers,560371.0
SSC-H_num_modes,4.0
SSC-A_mean,752166.8125
SSC-A_median,263547.90625
SSC-A_mode,121862.0
SSC-A_std,1367264.625
SSC-A_var,1869412696064.0
SSC-A_range,133841264.0
SSC-A_iqr,390986.6875
SSC-A_cv,1.817767858505249
SSC-A_skew,5.284818353778294
SSC-A_kurtosis,77.83538345544629
SSC-A_min,-36657172.0
SSC-A_q05,79034.621875
SSC-A_q25,127798.5
SSC-A_q75,518785.1875
SSC-A_q95,3441681.3
SSC-A_max,97184096.0
SSC-A_entropy,8.765056099823482
SSC-A_num_outliers,571833.0
SSC-A_num_modes,28.0
CD103 FITC-H_mean,4078.379638671875
CD103 FITC-H_median,1221.4000244140625
CD103 FITC-H_mode,565.5999755859375
CD103 FITC-H_std,40367.0234375
CD103 FITC-H_var,1629496576.0
CD103 FITC-H_range,5676781.0
CD103 FITC-H_iqr,2519.9000244140625
CD103 FITC-H_cv,9.897809028625488
CD103 FITC-H_skew,87.49986845031155
CD103 FITC-H_kurtosis,9639.81806603573
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,384.79998779296875
CD103 FITC-H_q25,614.4000244140625
CD103 FITC-H_q75,3134.300048828125
CD103 FITC-H_q95,13169.2001953125
CD103 FITC-H_max,5676781.0
CD103 FITC-H_entropy,5.763127625142078
CD103 FITC-H_num_outliers,323844.0
CD103 FITC-H_num_modes,60.0
CD103 FITC-A_mean,4891.533203125
CD103 FITC-A_median,1153.0999755859375
CD103 FITC-A_mode,339.70001220703125
CD103 FITC-A_std,69445.6796875
CD103 FITC-A_var,4822702592.0
CD103 FITC-A_range,33886420.0
CD103 FITC-A_iqr,3045.7001037597656
CD103 FITC-A_cv,14.197118759155273
CD103 FITC-A_skew,189.48208771776328
CD103 FITC-A_kurtosis,54747.000890185715
CD103 FITC-A_min,-98964.0
CD103 FITC-A_q05,-115.80000305175781
CD103 FITC-A_q25,359.8999938964844
CD103 FITC-A_q75,3405.60009765625
CD103 FITC-A_q95,17277.44023437499
CD103 FITC-A_max,33787456.0
CD103 FITC-A_entropy,8.060202760779237
CD103 FITC-A_num_outliers,358359.0
CD103 FITC-A_num_modes,36.0
B7 PE-H_mean,5004.931640625
B7 PE-H_median,1387.699951171875
B7 PE-H_mode,786.2000122070312
B7 PE-H_std,29767.3046875
B7 PE-H_var,886092416.0
B7 PE-H_range,5700047.5
B7 PE-H_iqr,2998.2000732421875
B7 PE-H_cv,5.94759464263916
B7 PE-H_skew,101.19309697896234
B7 PE-H_kurtosis,15344.374191348172
B7 PE-H_min,0.0
B7 PE-H_q05,417.20001220703125
B7 PE-H_q25,775.5999755859375
B7 PE-H_q75,3773.800048828125
B7 PE-H_q95,18879.920312499973
B7 PE-H_max,5700047.5
B7 PE-H_entropy,5.893887313177289
B7 PE-H_num_outliers,398961.0
B7 PE-H_num_modes,56.0
B7 PE-A_mean,6351.73828125
B7 PE-A_median,1443.5
B7 PE-A_mode,152.8000030517578
B7 PE-A_std,61675.44140625
B7 PE-A_var,3803859968.0
B7 PE-A_range,34468640.0
B7 PE-A_iqr,4385.200103759766
B7 PE-A_cv,9.710009574890137
B7 PE-A_skew,284.90415090074833
B7 PE-A_kurtosis,116918.58228061514
B7 PE-A_min,-342071.8125
B7 PE-A_q05,-656.7000122070312
B7 PE-A_q25,321.3999938964844
B7 PE-A_q75,4706.60009765625
B7 PE-A_q95,27040.88046874998
B7 PE-A_max,34126568.0
B7 PE-A_entropy,8.099298615752403
B7 PE-A_num_outliers,404937.0
B7 PE-A_num_modes,29.0
CD38 PC7-H_mean,16519.259765625
CD38 PC7-H_median,3834.800048828125
CD38 PC7-H_mode,1915.0999755859375
CD38 PC7-H_std,49709.9375
CD38 PC7-H_var,2471077888.0
CD38 PC7-H_range,5730681.0
CD38 PC7-H_iqr,9975.599609375
CD38 PC7-H_cv,3.0092110633850098
CD38 PC7-H_skew,11.35199690981165
CD38 PC7-H_kurtosis,346.10579653301005
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,932.5999755859375
CD38 PC7-H_q25,2059.0
CD38 PC7-H_q75,12034.599609375
CD38 PC7-H_q95,68263.44062499994
CD38 PC7-H_max,5730681.0
CD38 PC7-H_entropy,5.759989788897058
CD38 PC7-H_num_outliers,390519.0
CD38 PC7-H_num_modes,30.0
CD38 PC7-A_mean,21348.609375
CD38 PC7-A_median,3874.0
CD38 PC7-A_mode,1207.199951171875
CD38 PC7-A_std,71535.671875
CD38 PC7-A_var,5117352448.0
CD38 PC7-A_range,39605820.0
CD38 PC7-A_iqr,13335.600219726562
CD38 PC7-A_cv,3.3508353233337402
CD38 PC7-A_skew,62.87618975549105
CD38 PC7-A_kurtosis,27542.43535545056
CD38 PC7-A_min,-36573.80078125
CD38 PC7-A_q05,520.4000244140625
CD38 PC7-A_q25,1836.0999755859375
CD38 PC7-A_q75,15171.7001953125
CD38 PC7-A_q95,89185.42031249992
CD38 PC7-A_max,39569248.0
CD38 PC7-A_entropy,7.814997239731364
CD38 PC7-A_num_outliers,414514.0
CD38 PC7-A_num_modes,14.0
CD8 APC-H_mean,34085.234375
CD8 APC-H_median,538.5999755859375
CD8 APC-H_mode,353.1000061035156
CD8 APC-H_std,91639.25
CD8 APC-H_var,8397752832.0
CD8 APC-H_range,5641170.5
CD8 APC-H_iqr,794.4999694824219
CD8 APC-H_cv,2.6885321140289307
CD8 APC-H_skew,3.2785085617943976
CD8 APC-H_kurtosis,21.4075162862271
CD8 APC-H_min,0.0
CD8 APC-H_q05,190.5
CD8 APC-H_q25,340.6000061035156
CD8 APC-H_q75,1135.0999755859375
CD8 APC-H_q95,264985.5375
CD8 APC-H_max,5641170.5
CD8 APC-H_entropy,6.880018223716833
CD8 APC-H_num_outliers,730511.0
CD8 APC-H_num_modes,4.0
CD8 APC-A_mean,49288.2109375
CD8 APC-A_median,214.8000030517578
CD8 APC-A_mode,-13.399999618530273
CD8 APC-A_std,136060.421875
CD8 APC-A_var,18512439296.0
CD8 APC-A_range,29901452.0
CD8 APC-A_iqr,1180.3000259399414
CD8 APC-A_cv,2.7605063915252686
CD8 APC-A_skew,7.145068516016788
CD8 APC-A_kurtosis,824.9878869715003
CD8 APC-A_min,-53565.80078125
CD8 APC-A_q05,-339.79998779296875
CD8 APC-A_q25,-68.4000015258789
CD8 APC-A_q75,1111.9000244140625
CD8 APC-A_q95,385288.5375
CD8 APC-A_max,29847886.0
CD8 APC-A_entropy,8.752523580508402
CD8 APC-A_num_outliers,731147.0
CD8 APC-A_num_modes,6.0
FSC-Width_mean,1314.434326171875
FSC-Width_median,1277.763916015625
FSC-Width_mode,1088.0
FSC-Width_std,324.6004638671875
FSC-Width_var,105365.453125
FSC-Width_range,25296.328125
FSC-Width_iqr,318.8994140625
FSC-Width_cv,0.2469506859779358
FSC-Width_skew,4.553617664324919
FSC-Width_kurtosis,74.08855057282246
FSC-Width_min,485.8544006347656
FSC-Width_q05,1001.8239501953125
FSC-Width_q25,1106.5140380859375
FSC-Width_q75,1425.4134521484375
FSC-Width_q95,1747.6915771484373
FSC-Width_max,25782.181640625
FSC-Width_entropy,5.3857920701410995
FSC-Width_num_outliers,116980.0
FSC-Width_num_modes,32.0
Time_mean,18140494.0
Time_median,18785230.0
Time_mode,29431736.0
Time_std,8135645.0
Time_var,66188721782784.0
Time_range,32903664.0
Time_iqr,12525409.0
Time_cv,0.4484798014163971
Time_skew,-0.28862311655580514
Time_kurtosis,-0.9152106960058584
Time_min,0.0
Time_q05,3670912.4
Time_q25,12382633.0
Time_q75,24908042.0
Time_q95,30035628.0
Time_max,32903664.0
Time_entropy,5.253797434067932
Time_num_outliers,0.0
Time_num_modes,11.0
