,0
FSC-H_mean,1047378.625
FSC-H_median,908870.1875
FSC-H_mode,254418.203125
FSC-H_std,717038.6875
FSC-H_var,514144468992.0
FSC-H_range,3754525.75
FSC-H_iqr,1248483.53125
FSC-H_cv,0.6846031546592712
FSC-H_skew,0.5375569067123586
FSC-H_kurtosis,-0.8737378778649787
FSC-H_min,236345.796875
FSC-H_q05,264968.1875
FSC-H_q25,357514.8125
FSC-H_q75,1605998.34375
FSC-H_q95,2341035.9875
FSC-H_max,3990871.5
FSC-H_entropy,4.908255220312379
FSC-H_num_outliers,3764.0
FSC-H_num_modes,4.0
FSC-A_mean,1438162.875
FSC-A_median,1191294.75
FSC-A_mode,311634.09375
FSC-A_std,1188422.5
FSC-A_var,1412348116992.0
FSC-A_range,75335208.0
FSC-A_iqr,1744111.9453125
FSC-A_cv,0.8263476490974426
FSC-A_skew,1.842844775238351
FSC-A_kurtosis,14.46340714926794
FSC-A_min,-1350908.125
FSC-A_q05,287630.3125
FSC-A_q25,408637.4296875
FSC-A_q75,2152749.375
FSC-A_q95,3450022.9749999996
FSC-A_max,73984296.0
FSC-A_entropy,6.960727261750245
FSC-A_num_outliers,63170.0
FSC-A_num_modes,27.0
SSC-H_mean,623999.75
SSC-H_median,250199.5
SSC-H_mode,91766.3984375
SSC-H_std,887412.4375
SSC-H_var,787500826624.0
SSC-H_range,5659912.0
SSC-H_iqr,398699.53515625
SSC-H_cv,1.422135829925537
SSC-H_skew,2.16179550919352
SSC-H_kurtosis,4.081940875659414
SSC-H_min,0.10000000149011612
SSC-H_q05,73538.0
SSC-H_q25,118849.34765625
SSC-H_q75,517548.8828125
SSC-H_q95,2740588.9499999993
SSC-H_max,5659912.0
SSC-H_entropy,5.729042059371294
SSC-H_num_outliers,1040347.0
SSC-H_num_modes,4.0
SSC-A_mean,735478.1875
SSC-A_median,278593.90625
SSC-A_mode,80486.5
SSC-A_std,1144223.75
SSC-A_var,1309247930368.0
SSC-A_range,85973088.0
SSC-A_iqr,470850.4296875
SSC-A_cv,1.5557547807693481
SSC-A_skew,3.3881270366505625
SSC-A_kurtosis,32.39501862873985
SSC-A_min,-13143941.0
SSC-A_q05,70767.296875
SSC-A_q25,121204.3984375
SSC-A_q75,592054.828125
SSC-A_q95,3255860.3374999976
SSC-A_max,72829144.0
SSC-A_entropy,8.095375194154938
SSC-A_num_outliers,1041571.0
SSC-A_num_modes,37.0
CD103 FITC-H_mean,4074.82177734375
CD103 FITC-H_median,940.5999755859375
CD103 FITC-H_mode,554.0999755859375
CD103 FITC-H_std,45491.9765625
CD103 FITC-H_var,2069520000.0
CD103 FITC-H_range,5677364.5
CD103 FITC-H_iqr,2690.7000732421875
CD103 FITC-H_cv,11.164163589477539
CD103 FITC-H_skew,73.15982430417827
CD103 FITC-H_kurtosis,6707.310708961296
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,390.1000061035156
CD103 FITC-H_q25,589.5999755859375
CD103 FITC-H_q75,3280.300048828125
CD103 FITC-H_q95,12057.0
CD103 FITC-H_max,5677364.5
CD103 FITC-H_entropy,5.786626578549991
CD103 FITC-H_num_outliers,547600.0
CD103 FITC-H_num_modes,60.0
CD103 FITC-A_mean,4721.61767578125
CD103 FITC-A_median,866.4000244140625
CD103 FITC-A_mode,306.29998779296875
CD103 FITC-A_std,72988.71875
CD103 FITC-A_var,5327352832.0
CD103 FITC-A_range,35804128.0
CD103 FITC-A_iqr,3242.2000122070312
CD103 FITC-A_cv,15.458413124084473
CD103 FITC-A_skew,186.52513910069243
CD103 FITC-A_kurtosis,59374.28412148194
CD103 FITC-A_min,-25641.0
CD103 FITC-A_q05,-74.0
CD103 FITC-A_q25,351.79998779296875
CD103 FITC-A_q75,3594.0
CD103 FITC-A_q95,14971.599609375
CD103 FITC-A_max,35778488.0
CD103 FITC-A_entropy,8.215909611779935
CD103 FITC-A_num_outliers,575039.0
CD103 FITC-A_num_modes,40.0
B7 PE-H_mean,4011.139892578125
B7 PE-H_median,1132.4000244140625
B7 PE-H_mode,706.7999877929688
B7 PE-H_std,25231.810546875
B7 PE-H_var,636644224.0
B7 PE-H_range,5702081.5
B7 PE-H_iqr,2705.5000610351562
B7 PE-H_cv,6.290433883666992
B7 PE-H_skew,98.36732432502531
B7 PE-H_kurtosis,16256.443991819307
B7 PE-H_min,0.0
B7 PE-H_q05,429.79998779296875
B7 PE-H_q25,724.2999877929688
B7 PE-H_q75,3429.800048828125
B7 PE-H_q95,11605.400390625
B7 PE-H_max,5702081.5
B7 PE-H_entropy,5.927507807548323
B7 PE-H_num_outliers,519771.0
B7 PE-H_num_modes,50.0
B7 PE-A_mean,4852.3095703125
B7 PE-A_median,1163.9000244140625
B7 PE-A_mode,375.8999938964844
B7 PE-A_std,44467.1875
B7 PE-A_var,1977330688.0
B7 PE-A_range,33869088.0
B7 PE-A_iqr,3700.39990234375
B7 PE-A_cv,9.164128303527832
B7 PE-A_skew,308.93150859878557
B7 PE-A_kurtosis,172234.79534738578
B7 PE-A_min,-86518.3984375
B7 PE-A_q05,-472.70001220703125
B7 PE-A_q25,329.0
B7 PE-A_q75,4029.39990234375
B7 PE-A_q95,15774.599609375
B7 PE-A_max,33782568.0
B7 PE-A_entropy,8.220653916685075
B7 PE-A_num_outliers,551135.0
B7 PE-A_num_modes,28.0
CD38 PC7-H_mean,2084.69384765625
CD38 PC7-H_median,756.7999877929688
CD38 PC7-H_mode,431.5
CD38 PC7-H_std,7413.4521484375
CD38 PC7-H_var,54959276.0
CD38 PC7-H_range,5707652.5
CD38 PC7-H_iqr,1530.7999877929688
CD38 PC7-H_cv,3.5561347007751465
CD38 PC7-H_skew,232.94998192999162
CD38 PC7-H_kurtosis,137207.0999600587
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,283.6000061035156
CD38 PC7-H_q25,456.79998779296875
CD38 PC7-H_q75,1987.5999755859375
CD38 PC7-H_q95,6597.5
CD38 PC7-H_max,5707652.5
CD38 PC7-H_entropy,6.025599688980238
CD38 PC7-H_num_outliers,614372.0
CD38 PC7-H_num_modes,22.0
CD38 PC7-A_mean,2359.011474609375
CD38 PC7-A_median,627.0999755859375
CD38 PC7-A_mode,244.8000030517578
CD38 PC7-A_std,12063.267578125
CD38 PC7-A_var,145522432.0
CD38 PC7-A_range,17544570.0
CD38 PC7-A_iqr,1884.4000549316406
CD38 PC7-A_cv,5.113696098327637
CD38 PC7-A_skew,631.2091775094732
CD38 PC7-A_kurtosis,790962.8268882097
CD38 PC7-A_min,-5970.60009765625
CD38 PC7-A_q05,-38.70000076293945
CD38 PC7-A_q25,256.3999938964844
CD38 PC7-A_q75,2140.800048828125
CD38 PC7-A_q95,8522.0
CD38 PC7-A_max,17538600.0
CD38 PC7-A_entropy,7.167801219219263
CD38 PC7-A_num_outliers,674086.0
CD38 PC7-A_num_modes,10.0
CD8 APC-H_mean,26661.625
CD8 APC-H_median,511.79998779296875
CD8 APC-H_mode,356.20001220703125
CD8 APC-H_std,87161.4921875
CD8 APC-H_var,7597126144.0
CD8 APC-H_range,5641222.5
CD8 APC-H_iqr,534.7000122070312
CD8 APC-H_cv,3.269174098968506
CD8 APC-H_skew,4.053982830415549
CD8 APC-H_kurtosis,36.797031595126796
CD8 APC-H_min,0.0
CD8 APC-H_q05,199.10000610351562
CD8 APC-H_q25,342.0
CD8 APC-H_q75,876.7000122070312
CD8 APC-H_q95,249978.98515624978
CD8 APC-H_max,5641222.5
CD8 APC-H_entropy,7.028586550015693
CD8 APC-H_num_outliers,982487.0
CD8 APC-H_num_modes,8.0
CD8 APC-A_mean,38617.27734375
CD8 APC-A_median,181.5
CD8 APC-A_mode,-10.899999618530273
CD8 APC-A_std,130999.359375
CD8 APC-A_var,17160833024.0
CD8 APC-A_range,28796574.0
CD8 APC-A_iqr,784.4999847412109
CD8 APC-A_cv,3.392247438430786
CD8 APC-A_skew,10.716579259466116
CD8 APC-A_kurtosis,1393.7179423919795
CD8 APC-A_min,-8624.900390625
CD8 APC-A_q05,-348.79998779296875
CD8 APC-A_q25,-77.69999694824219
CD8 APC-A_q75,706.7999877929688
CD8 APC-A_q95,364551.9578124966
CD8 APC-A_max,28787950.0
CD8 APC-A_entropy,8.931567355111671
CD8 APC-A_num_outliers,969356.0
CD8 APC-A_num_modes,11.0
FSC-Width_mean,1310.9471435546875
FSC-Width_median,1283.6199951171875
FSC-Width_mode,1024.0
FSC-Width_std,254.67819213867188
