,0
FSC-H_mean,1739775.5
FSC-H_median,1796763.0
FSC-H_mode,2534150.0
FSC-H_std,713778.375
FSC-H_var,509479583744.0
FSC-H_range,3887447.5
FSC-H_iqr,910705.125
FSC-H_cv,0.4102703928947449
FSC-H_skew,-0.5809885256311151
FSC-H_kurtosis,-0.34828667616322573
FSC-H_min,244699.59375
FSC-H_q05,301613.9578125
FSC-H_q25,1408728.9375
FSC-H_q75,2319434.0625
FSC-H_q95,2630855.8625
FSC-H_max,4132147.0
FSC-H_entropy,5.303199257617386
FSC-H_num_outliers,3949.0
FSC-H_num_modes,4.0
FSC-A_mean,2557712.25
FSC-A_median,2448628.0
FSC-A_mode,3309275.0
FSC-A_std,1361727.5
FSC-A_var,1854301929472.0
FSC-A_range,97441552.0
FSC-A_iqr,1548043.6875
FSC-A_cv,0.5324006080627441
FSC-A_skew,2.299071873870628
FSC-A_kurtosis,53.5192443498621
FSC-A_min,-587623.375
FSC-A_q05,343624.51875
FSC-A_q25,1877990.6875
FSC-A_q75,3426034.375
FSC-A_q95,4176924.1124999984
FSC-A_max,96853928.0
FSC-A_entropy,7.454192522675647
FSC-A_num_outliers,71020.0
FSC-A_num_modes,37.0
SSC-H_mean,1474890.0
SSC-H_median,971960.0
SSC-H_mode,92836.8984375
SSC-H_std,1266294.375
SSC-H_var,1603501555712.0
SSC-H_range,5660616.5
SSC-H_iqr,2250460.6484375
SSC-H_cv,0.8585686683654785
SSC-H_skew,0.4936703072659903
SSC-H_kurtosis,-0.9561520757138497
SSC-H_min,1.5
SSC-H_q05,103901.1015625
SSC-H_q25,302440.3515625
SSC-H_q75,2552901.0
SSC-H_q95,3532408.7249999996
SSC-H_max,5660618.0
SSC-H_entropy,4.633808053278747
SSC-H_num_outliers,0.0
SSC-H_num_modes,3.0
SSC-A_mean,1817050.875
SSC-A_median,1177873.0
SSC-A_mode,93365.5
SSC-A_std,1847462.625
SSC-A_var,3413118025728.0
SSC-A_range,122721160.0
SSC-A_iqr,2700451.9375
SSC-A_cv,1.0167368650436401
SSC-A_skew,4.596386932501738
SSC-A_kurtosis,81.3031903217393
SSC-A_min,-14808278.0
SSC-A_q05,103977.796875
SSC-A_q25,337807.8125
SSC-A_q75,3038259.75
SSC-A_q95,4452465.225
SSC-A_max,107912880.0
SSC-A_entropy,7.15820213668051
SSC-A_num_outliers,27090.0
SSC-A_num_modes,31.0
CD103 FITC-H_mean,8820.4775390625
CD103 FITC-H_median,3700.0
CD103 FITC-H_mode,461.70001220703125
CD103 FITC-H_std,73038.984375
CD103 FITC-H_var,5334692864.0
