,0
FSC-H_mean,1134661.375
FSC-H_median,795997.125
FSC-H_mode,251540.0
FSC-H_std,848651.875
FSC-H_var,720210034688.0
FSC-H_range,3813108.75
FSC-H_iqr,1409080.984375
FSC-H_cv,0.7479340434074402
FSC-H_skew,0.6254510736207856
FSC-H_kurtosis,-0.6449169761773663
FSC-H_min,243544.40625
FSC-H_q05,263882.1359375
FSC-H_q25,344427.984375
FSC-H_q75,1753508.96875
FSC-H_q95,2520732.6375
FSC-H_max,4056653.25
FSC-H_entropy,4.531190832328377
FSC-H_num_outliers,11380.0
FSC-H_num_modes,6.0
FSC-A_mean,1659453.125
FSC-A_median,964228.25
FSC-A_mode,288423.40625
FSC-A_std,2082567.125
FSC-A_var,4337085710336.0
FSC-A_range,102526304.0
FSC-A_iqr,1922534.4609375
FSC-A_cv,1.254971981048584
FSC-A_skew,8.333507531618196
FSC-A_kurtosis,166.82954431699648
FSC-A_min,135001.09375
FSC-A_q05,277676.6921875
FSC-A_q25,377749.4765625
FSC-A_q75,2300283.9375
FSC-A_q95,3730699.112499999
FSC-A_max,102661304.0
FSC-A_entropy,7.024815019600842
FSC-A_num_outliers,81597.0
FSC-A_num_modes,48.0
SSC-H_mean,750647.25
SSC-H_median,264445.6875
SSC-H_mode,82200.5
SSC-H_std,1089906.25
SSC-H_var,1187895705600.0
SSC-H_range,5659869.5
SSC-H_iqr,394186.765625
SSC-H_cv,1.4519553184509277
SSC-H_skew,2.0161089332913775
SSC-H_kurtosis,3.58154461642569
SSC-H_min,0.30000001192092896
SSC-H_q05,74134.291015625
SSC-H_q25,121577.3984375
SSC-H_q75,515764.1640625
SSC-H_q95,3117172.7624999993
SSC-H_max,5659870.0
SSC-H_entropy,5.543558497857443
SSC-H_num_outliers,671285.0
SSC-H_num_modes,3.0
SSC-A_mean,1002885.9375
SSC-A_median,279147.125
SSC-A_mode,85625.796875
SSC-A_std,2338509.75
SSC-A_var,5468627927040.0
SSC-A_range,166876848.0
SSC-A_iqr,470373.607421875
SSC-A_cv,2.331780433654785
SSC-A_skew,12.345582371688419
SSC-A_kurtosis,324.3365300236199
SSC-A_min,-6392302.5
SSC-A_q05,70001.045703125
SSC-A_q25,118961.751953125
SSC-A_q75,589335.359375
SSC-A_q95,3970979.1624999996
SSC-A_max,160484544.0
SSC-A_entropy,8.964480225353288
SSC-A_num_outliers,675856.0
SSC-A_num_modes,54.0
CD103 FITC-H_mean,3520.185791015625
CD103 FITC-H_median,1151.5999755859375
CD103 FITC-H_mode,460.79998779296875
CD103 FITC-H_std,36250.87890625
CD103 FITC-H_var,1314126336.0
CD103 FITC-H_range,5677185.0
CD103 FITC-H_iqr,2950.6000366210938
CD103 FITC-H_cv,10.298001289367676
CD103 FITC-H_skew,111.10219840217775
CD103 FITC-H_kurtosis,15239.80422089592
CD103 FITC-H_min,0.20000000298023224
CD103 FITC-H_q05,354.70001220703125
CD103 FITC-H_q25,555.7000122070312
CD103 FITC-H_q75,3506.300048828125
CD103 FITC-H_q95,9961.554785156231
CD103 FITC-H_max,5677185.0
CD103 FITC-H_entropy,5.504840322549169
CD103 FITC-H_num_outliers,210724.0
CD103 FITC-H_num_modes,56.0
CD103 FITC-A_mean,4507.83154296875
CD103 FITC-A_median,1078.9000244140625
CD103 FITC-A_mode,242.1999969482422
CD103 FITC-A_std,85759.28125
CD103 FITC-A_var,7354654720.0
CD103 FITC-A_range,58969936.0
CD103 FITC-A_iqr,3646.4000854492188
CD103 FITC-A_cv,19.02450942993164
CD103 FITC-A_skew,289.7665251193933
CD103 FITC-A_kurtosis,124712.4586509828
CD103 FITC-A_min,-24051.900390625
CD103 FITC-A_q05,-81.80000305175781
CD103 FITC-A_q25,328.70001220703125
CD103 FITC-A_q75,3975.10009765625
CD103 FITC-A_q95,13501.599609375
CD103 FITC-A_max,58945884.0
CD103 FITC-A_entropy,9.062048570421304
CD103 FITC-A_num_outliers,237216.0
CD103 FITC-A_num_modes,29.0
B7 PE-H_mean,6958.1611328125
B7 PE-H_median,1413.5
B7 PE-H_mode,553.4000244140625
B7 PE-H_std,34059.375
B7 PE-H_var,1160040960.0
B7 PE-H_range,5703391.0
B7 PE-H_iqr,5500.199890136719
B7 PE-H_cv,4.894881725311279
B7 PE-H_skew,96.02057309522371
B7 PE-H_kurtosis,13329.17049908708
B7 PE-H_min,0.0
B7 PE-H_q05,390.1000061035156
B7 PE-H_q25,681.2000122070312
B7 PE-H_q75,6181.39990234375
B7 PE-H_q95,30103.95517578123
B7 PE-H_max,5703391.0
B7 PE-H_entropy,5.4626159074407195
B7 PE-H_num_outliers,347111.0
B7 PE-H_num_modes,52.0
B7 PE-A_mean,9203.4638671875
B7 PE-A_median,1636.5999755859375
B7 PE-A_mode,443.1000061035156
B7 PE-A_std,85297.421875
B7 PE-A_var,7275650048.0
B7 PE-A_range,62556016.0
B7 PE-A_iqr,7399.199890136719
B7 PE-A_cv,9.267969131469727
B7 PE-A_skew,381.5946246472093
B7 PE-A_kurtosis,224769.81222115477
B7 PE-A_min,-85162.1015625
B7 PE-A_q05,-401.20001220703125
B7 PE-A_q25,359.20001220703125
B7 PE-A_q75,7758.39990234375
B7 PE-A_q95,40725.87656249991
B7 PE-A_max,62470852.0
B7 PE-A_entropy,8.983754178888002
B7 PE-A_num_outliers,361874.0
B7 PE-A_num_modes,25.0
CD38 PC7-H_mean,27334.669921875
CD38 PC7-H_median,4604.5
CD38 PC7-H_mode,1750.9000244140625
CD38 PC7-H_std,78716.828125
CD38 PC7-H_var,6196339200.0
CD38 PC7-H_range,5732005.5
CD38 PC7-H_iqr,14410.299560546875
CD38 PC7-H_cv,2.8797430992126465
CD38 PC7-H_skew,7.698359880523606
CD38 PC7-H_kurtosis,145.76296923443212
CD38 PC7-H_min,0.30000001192092896
CD38 PC7-H_q05,871.7999877929688
CD38 PC7-H_q25,2105.800048828125
CD38 PC7-H_q75,16516.099609375
CD38 PC7-H_q95,135176.3648437498
CD38 PC7-H_max,5732006.0
