,0
FSC-H_mean,994523.25
FSC-H_median,536959.0
FSC-H_mode,257148.296875
FSC-H_std,791104.75
FSC-H_var,625846714368.0
FSC-H_range,3783017.5
FSC-H_iqr,1303915.84375
FSC-H_cv,0.7954612970352173
FSC-H_skew,0.8426087727770175
FSC-H_kurtosis,-0.43031150732561674
FSC-H_min,235717.40625
FSC-H_q05,262514.59375
FSC-H_q25,330675.90625
FSC-H_q75,1634591.75
FSC-H_q95,2447394.4000000004
FSC-H_max,4018735.0
FSC-H_entropy,4.649005392710672
FSC-H_num_outliers,12769.0
FSC-H_num_modes,4.0
FSC-A_mean,1411213.625
FSC-A_median,623243.375
FSC-A_mode,341231.5
FSC-A_std,1545181.375
FSC-A_var,2387585531904.0
FSC-A_range,76476712.0
FSC-A_iqr,1757923.1875
FSC-A_cv,1.09493088722229
FSC-A_skew,3.845704289390185
FSC-A_kurtosis,39.62314734353078
FSC-A_min,115064.3984375
FSC-A_q05,277869.575
FSC-A_q25,369827.8125
FSC-A_q75,2127751.0
FSC-A_q95,3729286.5500000007
FSC-A_max,76591776.0
FSC-A_entropy,6.803931642676038
FSC-A_num_outliers,105605.0
FSC-A_num_modes,39.0
SSC-H_mean,656038.0
SSC-H_median,205937.90625
SSC-H_mode,101981.5
SSC-H_std,1037586.1875
SSC-H_var,1076585103360.0
SSC-H_range,5659718.0
SSC-H_iqr,306634.8046875
SSC-H_cv,1.5815945863723755
SSC-H_skew,2.223686494400776
SSC-H_kurtosis,4.213347214203174
SSC-H_min,1.7999999523162842
SSC-H_q05,77229.1828125
SSC-H_q25,118062.6015625
SSC-H_q75,424697.40625
SSC-H_q95,3095620.4000000004
SSC-H_max,5659720.0
SSC-H_entropy,5.775986814080622
SSC-H_num_outliers,888569.0
SSC-H_num_modes,3.0
SSC-A_mean,829211.625
SSC-A_median,214151.40625
SSC-A_mode,87792.296875
SSC-A_std,1642702.5
SSC-A_var,2698471538688.0
SSC-A_range,131253248.0
SSC-A_iqr,360263.609375
SSC-A_cv,1.9810413122177124
SSC-A_skew,5.795720673143517
SSC-A_kurtosis,78.76937339679841
SSC-A_min,-30505140.0
SSC-A_q05,72841.1015625
SSC-A_q25,116859.203125
SSC-A_q75,477122.8125
SSC-A_q95,3806286.6000000024
SSC-A_max,100748112.0
SSC-A_entropy,8.912896149089013
SSC-A_num_outliers,904676.0
SSC-A_num_modes,33.0
CD103 FITC-H_mean,3614.967529296875
CD103 FITC-H_median,852.5999755859375
CD103 FITC-H_mode,555.2999877929688
CD103 FITC-H_std,35240.1484375
CD103 FITC-H_var,1241868160.0
CD103 FITC-H_range,5676582.0
CD103 FITC-H_iqr,2317.3999633789062
CD103 FITC-H_cv,9.74839973449707
CD103 FITC-H_skew,96.55025072208946
CD103 FITC-H_kurtosis,12358.381472492652
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,344.5
CD103 FITC-H_q25,532.2999877929688
CD103 FITC-H_q75,2849.699951171875
CD103 FITC-H_q95,13192.7998046875
CD103 FITC-H_max,5676582.0
CD103 FITC-H_entropy,5.840308425461812
CD103 FITC-H_num_outliers,636512.0
CD103 FITC-H_num_modes,57.0
CD103 FITC-A_mean,4536.74609375
CD103 FITC-A_median,811.0999755859375
CD103 FITC-A_mode,158.5
CD103 FITC-A_std,69686.390625
CD103 FITC-A_var,4856192512.0
CD103 FITC-A_range,42546188.0
