,0
FSC-H_mean,1218429.5
FSC-H_median,1256597.0
FSC-H_mode,250381.5
FSC-H_std,814083.6875
FSC-H_var,662732275712.0
FSC-H_range,3767075.25
FSC-H_iqr,1484706.8671875
FSC-H_cv,0.668141782283783
FSC-H_skew,0.3014729508087293
FSC-H_kurtosis,-1.1835197209397503
FSC-H_min,235464.59375
FSC-H_q05,267704.3171875
FSC-H_q25,379132.7890625
FSC-H_q75,1863839.65625
FSC-H_q95,2494664.2375
FSC-H_max,4002539.75
FSC-H_entropy,4.629323401802763
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,1708259.375
FSC-A_median,1700710.0
FSC-A_mode,2124100.0
FSC-A_std,1428139.0
FSC-A_var,2039581114368.0
FSC-A_range,91365224.0
FSC-A_iqr,2172132.5546875
FSC-A_cv,0.8360199928283691
FSC-A_skew,2.2681247353838003
FSC-A_kurtosis,32.23433657187573
FSC-A_min,-1142156.5
FSC-A_q05,286807.9109375
FSC-A_q25,426947.3203125
FSC-A_q75,2599079.875
FSC-A_q95,3669072.925
FSC-A_max,90223064.0
FSC-A_entropy,6.835524011378136
FSC-A_num_outliers,43862.0
FSC-A_num_modes,34.0
SSC-H_mean,867651.0625
SSC-H_median,287146.75
SSC-H_mode,129898.203125
SSC-H_std,1120413.625
SSC-H_var,1255326613504.0
SSC-H_range,5660184.0
SSC-H_iqr,1256491.875
SSC-H_cv,1.2913181781768799
SSC-H_skew,1.527313574411186
SSC-H_kurtosis,1.2946784941512597
SSC-H_min,0.5
SSC-H_q05,89349.106640625
SSC-H_q25,150463.90625
SSC-H_q75,1406955.78125
SSC-H_q95,3219434.4875
SSC-H_max,5660184.5
SSC-H_entropy,4.587601184211602
SSC-H_num_outliers,145928.0
SSC-H_num_modes,3.0
SSC-A_mean,1037400.4375
SSC-A_median,310214.125
SSC-A_mode,146516.703125
SSC-A_std,1512570.5
SSC-A_var,2287869624320.0
SSC-A_range,174974144.0
SSC-A_iqr,1488130.48046875
SSC-A_cv,1.4580391645431519
SSC-A_skew,3.3569843255752967
SSC-A_kurtosis,47.94662148566225
SSC-A_min,-65859360.0
SSC-A_q05,85700.3984375
SSC-A_q25,150699.64453125
SSC-A_q75,1638830.125
