,0
FSC-H_mean,766806.6875
FSC-H_median,414546.8125
FSC-H_mode,250312.703125
FSC-H_std,686999.25
FSC-H_var,471967956992.0
FSC-H_range,3907833.5
FSC-H_iqr,677904.53125
FSC-H_cv,0.8959223628044128
FSC-H_skew,1.4413187828711773
FSC-H_kurtosis,0.7682739774250744
FSC-H_min,235230.203125
FSC-H_q05,258379.5
FSC-H_q25,301467.59375
FSC-H_q75,979372.125
FSC-H_q95,2328032.75
FSC-H_max,4143063.75
FSC-H_entropy,5.022460557095559
FSC-H_num_outliers,713510.0
FSC-H_num_modes,4.0
FSC-A_mean,1086044.75
FSC-A_median,529550.8125
FSC-A_mode,280133.8125
FSC-A_std,1203618.25
FSC-A_var,1448696872960.0
FSC-A_range,107220784.0
FSC-A_iqr,898944.9375
FSC-A_cv,1.1082584857940674
FSC-A_skew,4.060861197396125
FSC-A_kurtosis,122.08760886524583
FSC-A_min,46562.8984375
FSC-A_q05,273730.59375
FSC-A_q25,356079.3125
FSC-A_q75,1255024.25
FSC-A_q95,3652104.6
FSC-A_max,107267344.0
FSC-A_entropy,7.9195569274729545
FSC-A_num_outliers,834065.0
FSC-A_num_modes,48.0
SSC-H_mean,525852.8125
SSC-H_median,116809.203125
SSC-H_mode,36700.69921875
SSC-H_std,962811.6875
SSC-H_var,927006392320.0
SSC-H_range,5660392.0
SSC-H_iqr,285435.9140625
SSC-H_cv,1.830952763557434
SSC-H_skew,2.2810060664349705
SSC-H_kurtosis,4.066336623154324
SSC-H_min,4.199999809265137
SSC-H_q05,33135.6015625
SSC-H_q25,46824.8984375
SSC-H_q75,332260.8125
SSC-H_q95,2974492.5
SSC-H_max,5660396.0
SSC-H_entropy,5.522043846018475
SSC-H_num_outliers,929151.0
SSC-H_num_modes,4.0
SSC-A_mean,636121.125
SSC-A_median,125272.0
SSC-A_mode,42970.69921875
SSC-A_std,1262863.125
SSC-A_var,1594823147520.0
SSC-A_range,108721816.0
SSC-A_iqr,316930.3984375
SSC-A_cv,1.9852557182312012
SSC-A_skew,4.836894506122876
SSC-A_kurtosis,102.67262595695362
SSC-A_min,-1284666.75
SSC-A_q05,35494.8984375
SSC-A_q25,56092.6015625
SSC-A_q75,373023.0
SSC-A_q95,3558802.55
SSC-A_max,107437152.0
SSC-A_entropy,8.607629116184269
SSC-A_num_outliers,952174.0
SSC-A_num_modes,39.0
CD103 FITC-H_mean,2149.218505859375
CD103 FITC-H_median,553.7000122070312
CD103 FITC-H_mode,456.5
CD103 FITC-H_std,25188.087890625
CD103 FITC-H_var,634439808.0
CD103 FITC-H_range,5678745.5
CD103 FITC-H_iqr,938.1000061035156
CD103 FITC-H_cv,11.719649314880371
CD103 FITC-H_skew,128.33187072417243
CD103 FITC-H_kurtosis,23507.553376923464
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,293.29998779296875
CD103 FITC-H_q25,425.8999938964844
CD103 FITC-H_q75,1364.0
CD103 FITC-H_q95,5615.89990234375
CD103 FITC-H_max,5678745.5
CD103 FITC-H_entropy,6.0136150958768315
CD103 FITC-H_num_outliers,1066498.0
CD103 FITC-H_num_modes,49.0
CD103 FITC-A_mean,2507.96484375
CD103 FITC-A_median,404.6000061035156
CD103 FITC-A_mode,182.39999389648438
CD103 FITC-A_std,57001.734375
CD103 FITC-A_var,3249197824.0
CD103 FITC-A_range,40679532.0
CD103 FITC-A_iqr,1276.599998474121
CD103 FITC-A_cv,22.728282928466797
CD103 FITC-A_skew,372.242358458997
CD103 FITC-A_kurtosis,186064.67841851368
CD103 FITC-A_min,-8866.2998046875
CD103 FITC-A_q05,-235.6999969482422
CD103 FITC-A_q25,118.4000015258789
CD103 FITC-A_q75,1395.0
CD103 FITC-A_q95,7345.0
CD103 FITC-A_max,40670664.0
CD103 FITC-A_entropy,8.990133352372354
CD103 FITC-A_num_outliers,1026709.0
CD103 FITC-A_num_modes,31.0
B7 PE-H_mean,3203.37109375
B7 PE-H_median,768.9000244140625
B7 PE-H_mode,620.2999877929688
B7 PE-H_std,23707.345703125
B7 PE-H_var,562038272.0
B7 PE-H_range,5703670.5
B7 PE-H_iqr,1344.8999633789062
B7 PE-H_cv,7.400749206542969
B7 PE-H_skew,130.68583507066282
B7 PE-H_kurtosis,25750.708119434155
B7 PE-H_min,0.0
B7 PE-H_q05,333.29998779296875
B7 PE-H_q25,561.7000122070312
B7 PE-H_q75,1906.5999755859375
B7 PE-H_q95,9937.7998046875
B7 PE-H_max,5703670.5
B7 PE-H_entropy,6.0910348724731564
B7 PE-H_num_outliers,989619.0
B7 PE-H_num_modes,56.0
B7 PE-A_mean,4008.83642578125
B7 PE-A_median,660.0999755859375
B7 PE-A_mode,312.3999938964844
B7 PE-A_std,54926.58203125
B7 PE-A_var,3016929280.0
B7 PE-A_range,38157844.0
B7 PE-A_iqr,2392.10009765625
B7 PE-A_cv,13.701377868652344
B7 PE-A_skew,377.12324545242467
B7 PE-A_kurtosis,195606.88972208853
B7 PE-A_min,-119021.3984375
B7 PE-A_q05,-598.7000122070312
B7 PE-A_q25,107.5
B7 PE-A_q75,2499.60009765625
B7 PE-A_q95,13791.0
B7 PE-A_max,38038824.0
B7 PE-A_entropy,8.663887945632542
B7 PE-A_num_outliers,736134.0
B7 PE-A_num_modes,36.0
CD38 PC7-H_mean,13711.3916015625
CD38 PC7-H_median,1970.5
CD38 PC7-H_mode,1103.0999755859375
CD38 PC7-H_std,48435.00390625
CD38 PC7-H_var,2345949440.0
CD38 PC7-H_range,5734908.5
CD38 PC7-H_iqr,5228.9000244140625
CD38 PC7-H_cv,3.5324645042419434
CD38 PC7-H_skew,13.711429322491442
CD38 PC7-H_kurtosis,708.5301072973414
CD38 PC7-H_min,0.699999988079071
CD38 PC7-H_q05,779.2999877929688
CD38 PC7-H_q25,1273.0999755859375
CD38 PC7-H_q75,6502.0
