,0
FSC-H_mean,1232770.875
FSC-H_median,1237458.75
FSC-H_mode,290654.0
FSC-H_std,751740.875
FSC-H_var,565114306560.0
FSC-H_range,3742281.0
FSC-H_iqr,1163054.640625
FSC-H_cv,0.6097977161407471
FSC-H_skew,0.49978477701028445
FSC-H_kurtosis,-0.4555773275650581
FSC-H_min,248958.5
FSC-H_q05,273501.8828125
FSC-H_q25,503384.890625
FSC-H_q75,1666439.53125
FSC-H_q95,2484377.6875
FSC-H_max,3991239.5
FSC-H_entropy,4.810875488781709
FSC-H_num_outliers,11007.0
FSC-H_num_modes,5.0
FSC-A_mean,1809370.75
FSC-A_median,1554342.0
FSC-A_mode,300517.40625
FSC-A_std,1792791.875
FSC-A_var,3214102495232.0
FSC-A_range,104039728.0
FSC-A_iqr,1683951.125
FSC-A_cv,0.9908372163772583
FSC-A_skew,7.495853360695856
FSC-A_kurtosis,154.50025876000302
FSC-A_min,-511711.40625
FSC-A_q05,284039.140625
FSC-A_q25,614794.25
FSC-A_q75,2298745.375
FSC-A_q95,3911602.3125
FSC-A_max,103528016.0
FSC-A_entropy,7.209093825938769
FSC-A_num_outliers,46134.0
FSC-A_num_modes,52.0
SSC-H_mean,931250.375
SSC-H_median,340027.15625
SSC-H_mode,114865.296875
SSC-H_std,1199073.125
SSC-H_var,1437776216064.0
SSC-H_range,5660462.0
SSC-H_iqr,1001214.15234375
SSC-H_cv,1.2875947952270508
SSC-H_skew,1.514643350727419
SSC-H_kurtosis,1.220653248405494
SSC-H_min,4.599999904632568
SSC-H_q05,66256.8984375
SSC-H_q25,156829.72265625
SSC-H_q75,1158043.875
SSC-H_q95,3408545.5
SSC-H_max,5660466.5
SSC-H_entropy,4.801735288076086
SSC-H_num_outliers,295637.0
SSC-H_num_modes,3.0
SSC-A_mean,1204782.75
SSC-A_median,370019.5625
SSC-A_mode,90019.5
SSC-A_std,2257536.25
SSC-A_var,5096470478848.0
SSC-A_range,133612784.0
SSC-A_iqr,1289534.25390625
SSC-A_cv,1.8738118410110474
SSC-A_skew,9.589968713225488
SSC-A_kurtosis,205.96069149325393
SSC-A_min,-638712.3125
SSC-A_q05,69341.525390625
SSC-A_q25,161834.65234375
SSC-A_q75,1451368.90625
SSC-A_q95,4205524.375
SSC-A_max,132974072.0
SSC-A_entropy,7.60246945375288
SSC-A_num_outliers,236988.0
SSC-A_num_modes,51.0
CD103 FITC-H_mean,5387.32666015625
CD103 FITC-H_median,1547.300048828125
CD103 FITC-H_mode,512.2999877929688
CD103 FITC-H_std,50771.22265625
CD103 FITC-H_var,2577716992.0
CD103 FITC-H_range,5678085.5
CD103 FITC-H_iqr,3201.0001220703125
CD103 FITC-H_cv,9.424196243286133
CD103 FITC-H_skew,73.78385670654384
CD103 FITC-H_kurtosis,7097.265237026541
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,379.70001220703125
CD103 FITC-H_q25,588.0999755859375
CD103 FITC-H_q75,3789.10009765625
CD103 FITC-H_q95,15266.2998046875
CD103 FITC-H_max,5678085.5
CD103 FITC-H_entropy,5.528310027602825
CD103 FITC-H_num_outliers,202062.0
CD103 FITC-H_num_modes,54.0
CD103 FITC-A_mean,6925.673828125
CD103 FITC-A_median,1510.699951171875
CD103 FITC-A_mode,326.20001220703125
CD103 FITC-A_std,111271.390625
CD103 FITC-A_var,12381322240.0
CD103 FITC-A_range,45486496.0
CD103 FITC-A_iqr,4101.400085449219
CD103 FITC-A_cv,16.06650733947754
CD103 FITC-A_skew,185.76927246334884
CD103 FITC-A_kurtosis,48363.30767054129
CD103 FITC-A_min,-48554.69921875
CD103 FITC-A_q05,-11.300000190734863
CD103 FITC-A_q25,418.20001220703125
CD103 FITC-A_q75,4519.60009765625
CD103 FITC-A_q95,20160.30078125
CD103 FITC-A_max,45437940.0
CD103 FITC-A_entropy,8.348598413027121
CD103 FITC-A_num_outliers,209327.0
CD103 FITC-A_num_modes,39.0
B7 PE-H_mean,7528.25146484375
B7 PE-H_median,2702.199951171875
B7 PE-H_mode,570.7999877929688
B7 PE-H_std,34875.71484375
B7 PE-H_var,1216315392.0
B7 PE-H_range,5704306.0
B7 PE-H_iqr,4671.0
B7 PE-H_cv,4.6326446533203125
B7 PE-H_skew,77.65353564236288
B7 PE-H_kurtosis,9773.04678256892
B7 PE-H_min,0.10000000149011612
B7 PE-H_q05,427.1000061035156
B7 PE-H_q25,683.0
B7 PE-H_q75,5354.0
B7 PE-H_q95,32859.525390625
B7 PE-H_max,5704306.0
B7 PE-H_entropy,5.509053285421285
B7 PE-H_num_outliers,277231.0
B7 PE-H_num_modes,53.0
B7 PE-A_mean,9775.5185546875
B7 PE-A_median,3005.10009765625
B7 PE-A_mode,270.79998779296875
B7 PE-A_std,64470.296875
B7 PE-A_var,4156419328.0
B7 PE-A_range,40180600.0
B7 PE-A_iqr,6376.599792480469
B7 PE-A_cv,6.595077037811279
B7 PE-A_skew,249.48559985411353
