,0
FSC-H_mean,800175.6875
FSC-H_median,432553.6875
FSC-H_mode,255889.796875
FSC-H_std,723859.6875
FSC-H_var,523972870144.0
FSC-H_range,3749122.0
FSC-H_iqr,742262.59375
FSC-H_cv,0.9046259522438049
FSC-H_skew,1.3963298909559418
FSC-H_kurtosis,0.6000794786655881
FSC-H_min,235134.09375
FSC-H_q05,261631.09375
FSC-H_q25,319003.71875
FSC-H_q75,1061266.3125
FSC-H_q95,2408043.424999999
FSC-H_max,3984256.0
FSC-H_entropy,5.094114347776779
FSC-H_num_outliers,747027.0
FSC-H_num_modes,4.0
FSC-A_mean,1125420.75
FSC-A_median,565839.25
FSC-A_mode,383158.90625
FSC-A_std,1169405.5
FSC-A_var,1367509303296.0
FSC-A_range,91005512.0
FSC-A_iqr,1087146.0
FSC-A_cv,1.0390828847885132
FSC-A_skew,2.7678353805988163
FSC-A_kurtosis,35.561628362209454
FSC-A_min,-317318.3125
FSC-A_q05,309953.42031250003
FSC-A_q25,416376.40625
FSC-A_q75,1503522.40625
FSC-A_q95,3556037.9749999996
FSC-A_max,90688192.0
FSC-A_entropy,7.5909021549665665
FSC-A_num_outliers,779112.0
FSC-A_num_modes,34.0
SSC-H_mean,659594.9375
SSC-H_median,202125.703125
SSC-H_mode,95350.3984375
SSC-H_std,1076399.75
SSC-H_var,1158636371968.0
SSC-H_range,5659866.0
SSC-H_iqr,337174.3828125
SSC-H_cv,1.6319103240966797
SSC-H_skew,2.2246570687190097
SSC-H_kurtosis,4.07001709985407
SSC-H_min,1.399999976158142
SSC-H_q05,49585.8984375
SSC-H_q25,101779.5
SSC-H_q75,438953.8828125
SSC-H_q95,3274980.9499999993
SSC-H_max,5659867.5
SSC-H_entropy,5.957752692394731
SSC-H_num_outliers,1439734.0
SSC-H_num_modes,3.0
SSC-A_mean,807393.625
SSC-A_median,226142.15625
SSC-A_mode,80247.5
SSC-A_std,1502134.0
SSC-A_var,2256406577152.0
SSC-A_range,115434976.0
SSC-A_iqr,388382.4609375
SSC-A_cv,1.8604729175567627
SSC-A_skew,4.986758646026475
SSC-A_kurtosis,73.17589826115136
SSC-A_min,-7001279.0
SSC-A_q05,57220.403515625
SSC-A_q25,112855.703125
SSC-A_q75,501238.1640625
SSC-A_q95,3885634.3499999978
SSC-A_max,108433696.0
SSC-A_entropy,8.835121462823661
SSC-A_num_outliers,1467311.0
SSC-A_num_modes,40.0
CD103 FITC-H_mean,7431.24609375
CD103 FITC-H_median,574.4000244140625
CD103 FITC-H_mode,459.3999938964844
CD103 FITC-H_std,85749.4296875
CD103 FITC-H_var,7352965120.0
CD103 FITC-H_range,5677500.5
CD103 FITC-H_iqr,1595.2000122070312
CD103 FITC-H_cv,11.539037704467773
CD103 FITC-H_skew,25.86171579232253
CD103 FITC-H_kurtosis,978.1397667911743
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,324.6000061035156
CD103 FITC-H_q25,448.20001220703125
CD103 FITC-H_q75,2043.4000244140625
CD103 FITC-H_q95,9813.89536132805
CD103 FITC-H_max,5677500.5
CD103 FITC-H_entropy,5.805611063414493
CD103 FITC-H_num_outliers,1243590.0
CD103 FITC-H_num_modes,57.0
CD103 FITC-A_mean,8645.771484375
CD103 FITC-A_median,444.1000061035156
CD103 FITC-A_mode,244.60000610351562
CD103 FITC-A_std,110160.09375
CD103 FITC-A_var,12135245824.0
CD103 FITC-A_range,46484580.0
CD103 FITC-A_iqr,1917.4999084472656
CD103 FITC-A_cv,12.741499900817871
CD103 FITC-A_skew,61.79027237013064
CD103 FITC-A_kurtosis,12280.588706599265
CD103 FITC-A_min,-82090.3984375
CD103 FITC-A_q05,-113.5999984741211
CD103 FITC-A_q25,186.39999389648438
CD103 FITC-A_q75,2103.89990234375
CD103 FITC-A_q95,12056.900390625
CD103 FITC-A_max,46402488.0
CD103 FITC-A_entropy,9.113136025193135
CD103 FITC-A_num_outliers,1309366.0
CD103 FITC-A_num_modes,32.0
B7 PE-H_mean,5729.26708984375
B7 PE-H_median,698.7999877929688
B7 PE-H_mode,574.4000244140625
B7 PE-H_std,48020.00390625
B7 PE-H_var,2305920768.0
B7 PE-H_range,5703051.5
B7 PE-H_iqr,2263.4998779296875
B7 PE-H_cv,8.381526947021484
B7 PE-H_skew,31.9430673838903
B7 PE-H_kurtosis,1944.030110601162
B7 PE-H_min,0.0
B7 PE-H_q05,364.6000061035156
B7 PE-H_q25,533.4000244140625
B7 PE-H_q75,2796.89990234375
B7 PE-H_q95,10508.89536132805
B7 PE-H_max,5703051.5
B7 PE-H_entropy,5.657020573563905
B7 PE-H_num_outliers,922498.0
B7 PE-H_num_modes,51.0
B7 PE-A_mean,7065.14013671875
B7 PE-A_median,597.5999755859375
B7 PE-A_mode,304.79998779296875
B7 PE-A_std,71136.9140625
B7 PE-A_var,5060461056.0
B7 PE-A_range,44538260.0
B7 PE-A_iqr,2998.199951171875
B7 PE-A_cv,10.068719863891602
B7 PE-A_skew,134.52251527219397
B7 PE-A_kurtosis,54679.124390208046
B7 PE-A_min,-265978.09375
B7 PE-A_q05,-251.89999389648438
B7 PE-A_q25,201.5
B7 PE-A_q75,3199.699951171875
B7 PE-A_q95,14567.400390625
B7 PE-A_max,44272280.0
B7 PE-A_entropy,8.781222865578679
B7 PE-A_num_outliers,932409.0
B7 PE-A_num_modes,28.0
CD38 PC7-H_mean,12705.9228515625
CD38 PC7-H_median,1911.4000244140625
CD38 PC7-H_mode,1312.300048828125
CD38 PC7-H_std,58473.52734375
CD38 PC7-H_var,3419153408.0
CD38 PC7-H_range,5732505.0
CD38 PC7-H_iqr,3605.1002197265625
CD38 PC7-H_cv,4.6020684242248535
CD38 PC7-H_skew,15.665757864116907
CD38 PC7-H_kurtosis,492.46407938828764
CD38 PC7-H_min,2.799999952316284
CD38 PC7-H_q05,788.0999755859375
CD38 PC7-H_q25,1295.5999755859375
CD38 PC7-H_q75,4900.7001953125
CD38 PC7-H_q95,42725.494921874924
CD38 PC7-H_max,5732508.0
CD38 PC7-H_entropy,6.325141515842022
CD38 PC7-H_num_outliers,1596289.0
CD38 PC7-H_num_modes,37.0
