,0
FSC-H_mean,719799.1875
FSC-H_median,439067.0
FSC-H_mode,251179.09375
FSC-H_std,613177.875
FSC-H_var,375987109888.0
FSC-H_range,3751172.0
FSC-H_iqr,443936.125
FSC-H_cv,0.851873517036438
FSC-H_skew,1.5778754926112786
FSC-H_kurtosis,1.2272954175942319
FSC-H_min,240418.796875
FSC-H_q05,261671.0
FSC-H_q25,320098.6875
FSC-H_q75,764034.8125
FSC-H_q95,2215008.0
FSC-H_max,3991590.75
FSC-H_entropy,5.654416977472909
FSC-H_num_outliers,1843710.0
FSC-H_num_modes,4.0
FSC-A_mean,975675.0625
FSC-A_median,556946.6875
FSC-A_mode,396715.40625
FSC-A_std,953985.75
FSC-A_var,910088863744.0
FSC-A_range,84339464.0
FSC-A_iqr,593146.3125
FSC-A_cv,0.9777699708938599
FSC-A_skew,2.643120525524272
FSC-A_kurtosis,52.646237415827265
FSC-A_min,75191.1015625
FSC-A_q05,284268.90625
FSC-A_q25,388072.3125
FSC-A_q75,981218.625
FSC-A_q95,3204704.5
FSC-A_max,84414656.0
FSC-A_entropy,8.137151370841908
FSC-A_num_outliers,1975649.0
FSC-A_num_modes,47.0
SSC-H_mean,509165.875
SSC-H_median,152843.0
SSC-H_mode,38748.30078125
SSC-H_std,908880.9375
SSC-H_var,826064568320.0
SSC-H_range,5662657.0
SSC-H_iqr,290485.9140625
SSC-H_cv,1.785038948059082
SSC-H_skew,2.533180387932732
SSC-H_kurtosis,5.570635196804368
SSC-H_min,3.0999999046325684
SSC-H_q05,36323.1015625
SSC-H_q25,65521.3984375
SSC-H_q75,356007.3125
SSC-H_q95,2886229.0
SSC-H_max,5662660.0
SSC-H_entropy,5.900615889451772
SSC-H_num_outliers,1537720.0
SSC-H_num_modes,4.0
SSC-A_mean,596378.625
SSC-A_median,171570.703125
SSC-A_mode,41852.69921875
SSC-A_std,1135956.25
SSC-A_var,1290396499968.0
SSC-A_range,125015168.0
SSC-A_iqr,325198.2109375
SSC-A_cv,1.904756784439087
SSC-A_skew,4.5293255937061305
SSC-A_kurtosis,94.54379629345283
SSC-A_min,-7668012.5
SSC-A_q05,36524.6015625
SSC-A_q25,73706.1015625
SSC-A_q75,398904.3125
SSC-A_q95,3353641.25
SSC-A_max,117347152.0
SSC-A_entropy,9.111582259279057
SSC-A_num_outliers,1575107.0
SSC-A_num_modes,38.0
CD103 FITC-H_mean,3761.086669921875
CD103 FITC-H_median,806.5
CD103 FITC-H_mode,649.5999755859375
CD103 FITC-H_std,51316.78125
CD103 FITC-H_var,2633412096.0
CD103 FITC-H_range,5681635.0
CD103 FITC-H_iqr,896.300048828125
CD103 FITC-H_cv,13.644136428833008
CD103 FITC-H_skew,53.14469197436119
CD103 FITC-H_kurtosis,3963.0454518707033
CD103 FITC-H_min,0.20000000298023224
CD103 FITC-H_q05,418.3999938964844
CD103 FITC-H_q25,609.5999755859375
CD103 FITC-H_q75,1505.9000244140625
CD103 FITC-H_q95,9192.900390625
CD103 FITC-H_max,5681635.0
CD103 FITC-H_entropy,6.604598335479928
CD103 FITC-H_num_outliers,2067547.0
CD103 FITC-H_num_modes,63.0
CD103 FITC-A_mean,4278.58544921875
CD103 FITC-A_median,727.2000122070312
CD103 FITC-A_mode,494.3999938964844
CD103 FITC-A_std,67761.3125
CD103 FITC-A_var,4591595008.0
CD103 FITC-A_range,26599750.0
CD103 FITC-A_iqr,1232.3000183105469
CD103 FITC-A_cv,15.837316513061523
CD103 FITC-A_skew,90.87441603649734
CD103 FITC-A_kurtosis,16457.473858330024
CD103 FITC-A_min,-47049.5
CD103 FITC-A_q05,33.79999923706055
CD103 FITC-A_q25,400.6000061035156
CD103 FITC-A_q75,1632.9000244140625
CD103 FITC-A_q95,11193.099609375
CD103 FITC-A_max,26552700.0
CD103 FITC-A_entropy,8.43070594081873
CD103 FITC-A_num_outliers,1949478.0
CD103 FITC-A_num_modes,39.0
B7 PE-H_mean,2901.260498046875
B7 PE-H_median,725.0
B7 PE-H_mode,636.2999877929688
B7 PE-H_std,28613.84375
B7 PE-H_var,818752000.0
B7 PE-H_range,5707547.5
B7 PE-H_iqr,629.3999633789062
B7 PE-H_cv,9.862555503845215
B7 PE-H_skew,65.60671451253661
B7 PE-H_kurtosis,7258.985244949676
B7 PE-H_min,0.0
B7 PE-H_q05,355.0
B7 PE-H_q25,548.2999877929688
B7 PE-H_q75,1177.699951171875
B7 PE-H_q95,6889.60009765625
B7 PE-H_max,5707547.5
B7 PE-H_entropy,6.823696941148826
B7 PE-H_num_outliers,2453584.0
B7 PE-H_num_modes,62.0
B7 PE-A_mean,3391.91357421875
B7 PE-A_median,636.2999877929688
B7 PE-A_mode,352.1000061035156
B7 PE-A_std,41268.59375
B7 PE-A_var,1703096832.0
B7 PE-A_range,28078826.0
B7 PE-A_iqr,1546.4000244140625
B7 PE-A_cv,12.16675853729248
B7 PE-A_skew,158.38074336977027
B7 PE-A_kurtosis,64257.483668154
B7 PE-A_min,-147170.296875
B7 PE-A_q05,-353.0
B7 PE-A_q25,190.0
B7 PE-A_q75,1736.4000244140625
B7 PE-A_q95,8782.400390625
B7 PE-A_max,27931656.0
B7 PE-A_entropy,8.46524035601476
B7 PE-A_num_outliers,2080509.0
B7 PE-A_num_modes,29.0
CD38 PC7-H_mean,9444.5546875
CD38 PC7-H_median,1472.699951171875
CD38 PC7-H_mode,961.5999755859375
CD38 PC7-H_std,42774.6328125
CD38 PC7-H_var,1829669376.0
CD38 PC7-H_range,5736335.0
CD38 PC7-H_iqr,1999.5
CD38 PC7-H_cv,4.529026031494141
CD38 PC7-H_skew,21.185721688544916
CD38 PC7-H_kurtosis,992.7862189219925
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,518.4000244140625
CD38 PC7-H_q25,964.0
CD38 PC7-H_q75,2963.5
CD38 PC7-H_q95,31755.400390625
CD38 PC7-H_max,5736335.0
CD38 PC7-H_entropy,6.753546244244064
CD38 PC7-H_num_outliers,2121830.0
CD38 PC7-H_num_modes,42.0
CD38 PC7-A_mean,11568.55078125
CD38 PC7-A_median,1453.199951171875
CD38 PC7-A_mode,807.5999755859375
CD38 PC7-A_std,53215.59765625
CD38 PC7-A_var,2831899904.0
CD38 PC7-A_range,16546560.0
CD38 PC7-A_iqr,2443.60009765625
CD38 PC7-A_cv,4.600022792816162
CD38 PC7-A_skew,31.01290776385676
CD38 PC7-A_kurtosis,4146.870698765954
CD38 PC7-A_min,-12936.5
CD38 PC7-A_q05,241.0
CD38 PC7-A_q25,835.0
CD38 PC7-A_q75,3278.60009765625
CD38 PC7-A_q95,40796.1015625
CD38 PC7-A_max,16533624.0
CD38 PC7-A_entropy,7.6783369927301965
CD38 PC7-A_num_outliers,2121682.0
CD38 PC7-A_num_modes,30.0
CD8 APC-H_mean,6747.10595703125
CD8 APC-H_median,627.7000122070312
CD8 APC-H_mode,448.0
CD8 APC-H_std,53634.609375
CD8 APC-H_var,2876671232.0
CD8 APC-H_range,5644570.5
CD8 APC-H_iqr,593.8000183105469
CD8 APC-H_cv,7.949276447296143
CD8 APC-H_skew,11.592214783277896
CD8 APC-H_kurtosis,241.22661275647064
CD8 APC-H_min,0.0
CD8 APC-H_q05,265.6000061035156
CD8 APC-H_q25,436.6000061035156
CD8 APC-H_q75,1030.4000244140625
CD8 APC-H_q95,2906.10009765625
CD8 APC-H_max,5644570.5
CD8 APC-H_entropy,6.656890662401141
