,0
FSC-H_mean,1128089.25
FSC-H_median,1184419.0
FSC-H_mode,270836.8125
FSC-H_std,772159.625
FSC-H_var,596230471680.0
FSC-H_range,3805261.0
FSC-H_iqr,1340941.8125
FSC-H_cv,0.6844845414161682
FSC-H_skew,0.429662641519682
FSC-H_kurtosis,-0.8283427960875245
FSC-H_min,238806.0
FSC-H_q05,264216.8734375
FSC-H_q25,353282.8125
FSC-H_q75,1694224.625
FSC-H_q95,2335878.0875
FSC-H_max,4044067.0
FSC-H_entropy,4.647913313026876
FSC-H_num_outliers,9658.0
FSC-H_num_modes,5.0
FSC-A_mean,1641158.625
FSC-A_median,1633640.0
FSC-A_mode,265447.8125
FSC-A_std,1815233.875
FSC-A_var,3295074058240.0
FSC-A_range,113072224.0
FSC-A_iqr,1864762.03125
FSC-A_cv,1.10606849193573
FSC-A_skew,8.742809761175906
FSC-A_kurtosis,202.4746028472682
FSC-A_min,-2094957.375
FSC-A_q05,275250.40625
FSC-A_q25,390749.03125
FSC-A_q75,2255511.0625
FSC-A_q95,3589080.3499999996
FSC-A_max,110977264.0
FSC-A_entropy,7.296031697510392
FSC-A_num_outliers,77376.0
FSC-A_num_modes,48.0
SSC-H_mean,774897.5625
SSC-H_median,328328.25
SSC-H_mode,105290.203125
SSC-H_std,1026841.8125
SSC-H_var,1054404116480.0
SSC-H_range,5661991.5
SSC-H_iqr,415878.0390625
SSC-H_cv,1.3251323699951172
SSC-H_skew,2.080821403932238
SSC-H_kurtosis,3.9483312639700516
SSC-H_min,1.5
SSC-H_q05,105580.796875
SSC-H_q25,199096.4296875
SSC-H_q75,614974.46875
SSC-H_q95,3040645.662499998
SSC-H_max,5661993.0
SSC-H_entropy,5.743884308600009
SSC-H_num_outliers,806699.0
SSC-H_num_modes,3.0
SSC-A_mean,997589.6875
SSC-A_median,351768.3125
SSC-A_mode,151039.296875
SSC-A_std,2053625.625
SSC-A_var,4217378177024.0
SSC-A_range,167623376.0
SSC-A_iqr,531963.91015625
SSC-A_cv,2.0585875511169434
SSC-A_skew,13.300339798970608
SSC-A_kurtosis,394.66783242283014
SSC-A_min,-11188080.0
SSC-A_q05,102378.157421875
SSC-A_q25,199675.57421875
SSC-A_q75,731639.484375
