,0
FSC-H_mean,1129831.875
FSC-H_median,846588.1875
FSC-H_mode,270504.0
FSC-H_std,822564.8125
FSC-H_var,676612866048.0
FSC-H_range,3787345.25
FSC-H_iqr,1624428.265625
FSC-H_cv,0.7280417680740356
FSC-H_skew,0.3190587605949818
FSC-H_kurtosis,-1.4658719352720608
FSC-H_min,227547.703125
FSC-H_q05,261085.0
FSC-H_q25,325978.546875
FSC-H_q75,1950406.8125
FSC-H_q95,2351625.375
FSC-H_max,4014893.0
FSC-H_entropy,4.322382220244348
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,1598726.875
FSC-A_median,1094165.125
FSC-A_mode,330455.59375
FSC-A_std,1388607.375
FSC-A_var,1928230469632.0
FSC-A_range,113153784.0
FSC-A_iqr,2566712.265625
FSC-A_cv,0.8685707449913025
FSC-A_skew,2.8052020181276727
FSC-A_kurtosis,73.39629262661893
FSC-A_min,-481014.90625
FSC-A_q05,270843.046875
FSC-A_q25,362561.359375
FSC-A_q75,2929273.625
FSC-A_q95,3489408.5
FSC-A_max,112672768.0
FSC-A_entropy,6.952633932119744
FSC-A_num_outliers,7611.0
FSC-A_num_modes,41.0
SSC-H_mean,753461.75
SSC-H_median,263952.5
SSC-H_mode,91551.796875
SSC-H_std,983727.5625
SSC-H_var,967719911424.0
SSC-H_range,5660632.0
SSC-H_iqr,787443.359375
SSC-H_cv,1.3056105375289917
SSC-H_skew,1.561719243498466
SSC-H_kurtosis,1.5861645330746281
SSC-H_min,0.30000001192092896
SSC-H_q05,75448.5
SSC-H_q25,111716.703125
SSC-H_q75,899160.0625
SSC-H_q95,2784233.75
SSC-H_max,5660632.5
SSC-H_entropy,4.981075291468752
SSC-H_num_outliers,721190.0
SSC-H_num_modes,4.0
SSC-A_mean,897179.5625
SSC-A_median,288395.8125
SSC-A_mode,89884.796875
SSC-A_std,1485047.0
SSC-A_var,2205364518912.0
SSC-A_range,109601064.0
SSC-A_iqr,1026560.22265625
SSC-A_cv,1.655239462852478
SSC-A_skew,9.665820093780372
SSC-A_kurtosis,222.52207037712301
SSC-A_min,-25016898.0
SSC-A_q05,67638.5
SSC-A_q25,110098.15234375
SSC-A_q75,1136658.375
SSC-A_q95,3273720.875
SSC-A_max,84584168.0
SSC-A_entropy,7.635138660154717
SSC-A_num_outliers,525833.0
SSC-A_num_modes,41.0
CD103 FITC-H_mean,2819.74169921875
CD103 FITC-H_median,1264.4000244140625
CD103 FITC-H_mode,458.3999938964844
CD103 FITC-H_std,36012.265625
CD103 FITC-H_var,1296883200.0
CD103 FITC-H_range,5678395.0
CD103 FITC-H_iqr,3239.199951171875
CD103 FITC-H_cv,12.771476745605469
CD103 FITC-H_skew,133.04076068733875
CD103 FITC-H_kurtosis,19145.571725819485
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,324.0
CD103 FITC-H_q25,522.0
CD103 FITC-H_q75,3761.199951171875
CD103 FITC-H_q95,7634.7001953125
CD103 FITC-H_max,5678395.0
CD103 FITC-H_entropy,5.429916325692976
