,0
FSC-H_mean,705598.75
FSC-H_median,397687.1875
FSC-H_mode,292427.1875
FSC-H_std,661006.875
FSC-H_var,436930117632.0
FSC-H_range,3772297.5
FSC-H_iqr,337638.6875
FSC-H_cv,0.9368028044700623
FSC-H_skew,1.6824799766492824
FSC-H_kurtosis,1.4248299988778115
FSC-H_min,218523.203125
FSC-H_q05,259516.296875
FSC-H_q25,307738.6875
FSC-H_q75,645377.375
FSC-H_q95,2329739.125
FSC-H_max,3990820.75
FSC-H_entropy,5.712282997777154
FSC-H_num_outliers,1819715.0
FSC-H_num_modes,4.0
FSC-A_mean,1106507.125
FSC-A_median,581434.0
FSC-A_mode,483375.40625
FSC-A_std,1188567.375
FSC-A_var,1412692312064.0
FSC-A_range,112258808.0
FSC-A_iqr,543394.1484375
FSC-A_cv,1.0741615295410156
FSC-A_skew,3.1891510376266057
FSC-A_kurtosis,75.39590234849493
FSC-A_min,45614.6015625
FSC-A_q05,326076.09375
FSC-A_q25,437872.0703125
FSC-A_q75,981266.21875
FSC-A_q95,3921710.75
FSC-A_max,112304424.0
FSC-A_entropy,8.62439560327265
FSC-A_num_outliers,1832680.0
FSC-A_num_modes,43.0
SSC-H_mean,457964.625
SSC-H_median,201223.59375
SSC-H_mode,61149.3984375
SSC-H_std,751310.3125
SSC-H_var,564467204096.0
SSC-H_range,5659575.5
SSC-H_iqr,252021.421875
SSC-H_cv,1.6405422687530518
SSC-H_skew,2.9366350713200333
SSC-H_kurtosis,8.27371346333791
SSC-H_min,0.30000001192092896
SSC-H_q05,52861.8984375
SSC-H_q25,111227.1015625
SSC-H_q75,363248.5234375
SSC-H_q95,2506613.6875
SSC-H_max,5659576.0
SSC-H_entropy,6.070465548532042
SSC-H_num_outliers,1125583.0
SSC-H_num_modes,3.0
SSC-A_mean,600430.4375
SSC-A_median,247467.25
SSC-A_mode,87796.0
SSC-A_std,1061775.0
SSC-A_var,1127366262784.0
SSC-A_range,94060752.0
SSC-A_iqr,330132.03125
SSC-A_cv,1.768356442451477
SSC-A_skew,5.480134953164995
SSC-A_kurtosis,128.23197836886158
SSC-A_min,-1266073.5
SSC-A_q05,60587.775390625
SSC-A_q25,131514.90625
SSC-A_q75,461646.9375
SSC-A_q95,3269764.875
SSC-A_max,92794680.0
SSC-A_entropy,8.64619388504507
SSC-A_num_outliers,1169868.0
SSC-A_num_modes,42.0
