,0
FSC-H_mean,1285012.875
FSC-H_median,1365090.75
FSC-H_mode,254523.796875
FSC-H_std,702300.0625
FSC-H_var,493225410560.0
FSC-H_range,3793593.0
FSC-H_iqr,1158779.96875
FSC-H_cv,0.5465315580368042
FSC-H_skew,0.17696305573091373
FSC-H_kurtosis,-0.755896782083398
FSC-H_min,249042.40625
FSC-H_q05,281061.065625
FSC-H_q25,613430.125
FSC-H_q75,1772210.09375
FSC-H_q95,2426388.9375
FSC-H_max,4042635.5
FSC-H_entropy,5.029900600664944
FSC-H_num_outliers,5569.0
FSC-H_num_modes,5.0
FSC-A_mean,1792891.875
FSC-A_median,1804884.25
FSC-A_mode,2117776.5
FSC-A_std,1351045.25
FSC-A_var,1825323352064.0
FSC-A_range,66091780.0
FSC-A_iqr,1597108.609375
FSC-A_cv,0.7535564303398132
FSC-A_skew,3.8760601565754653
FSC-A_kurtosis,53.563058800690634
FSC-A_min,-145706.796875
FSC-A_q05,292962.4859375
FSC-A_q25,770127.328125
FSC-A_q75,2367235.9375
FSC-A_q95,3687429.874999999
FSC-A_max,65946072.0
FSC-A_entropy,6.837079247526105
FSC-A_num_outliers,63859.0
FSC-A_num_modes,43.0
SSC-H_mean,1035908.8125
SSC-H_median,435496.84375
SSC-H_mode,87797.296875
SSC-H_std,1134677.875
SSC-H_var,1287493910528.0
SSC-H_range,5659386.5
SSC-H_iqr,1770614.83203125
SSC-H_cv,1.095345377922058
SSC-H_skew,1.147580537641601
SSC-H_kurtosis,0.17416912298920462
SSC-H_min,4.699999809265137
SSC-H_q05,73536.96953125
SSC-H_q25,184232.48046875
SSC-H_q75,1954847.3125
SSC-H_q95,3273459.5249999994
SSC-H_max,5659391.0
SSC-H_entropy,4.6049009426926695
SSC-H_num_outliers,12664.0
SSC-H_num_modes,4.0
SSC-A_mean,1250102.0
SSC-A_median,472301.9375
SSC-A_mode,82919.5
SSC-A_std,1562503.5
SSC-A_var,2441417064448.0
SSC-A_range,72312488.0
SSC-A_iqr,2109018.359375
SSC-A_cv,1.2499008178710938
SSC-A_skew,3.246048259594448
SSC-A_kurtosis,37.691914285354144
SSC-A_min,-1142932.875
SSC-A_q05,71410.0
SSC-A_q25,198230.953125
SSC-A_q75,2307249.3125
SSC-A_q95,3946715.3124999995
SSC-A_max,71169552.0
SSC-A_entropy,6.464064429379215
SSC-A_num_outliers,42868.0
SSC-A_num_modes,46.0
CD103 FITC-H_mean,6924.4365234375
CD103 FITC-H_median,1963.300048828125
CD103 FITC-H_mode,500.0
CD103 FITC-H_std,30380.00390625
CD103 FITC-H_var,922944640.0
CD103 FITC-H_range,5676652.0
CD103 FITC-H_iqr,4615.2000732421875
CD103 FITC-H_cv,4.3873610496521
CD103 FITC-H_skew,85.22005964833365
CD103 FITC-H_kurtosis,11890.208400424262
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,364.29998779296875
CD103 FITC-H_q25,552.4000244140625
CD103 FITC-H_q75,5167.60009765625
CD103 FITC-H_q95,27696.80078125
CD103 FITC-H_max,5676652.0
CD103 FITC-H_entropy,5.59923222399365
CD103 FITC-H_num_outliers,538156.0
CD103 FITC-H_num_modes,52.0
CD103 FITC-A_mean,8272.1279296875
CD103 FITC-A_median,1979.699951171875
CD103 FITC-A_mode,290.1000061035156
CD103 FITC-A_std,39281.1484375
CD103 FITC-A_var,1543008512.0
CD103 FITC-A_range,19196254.0
CD103 FITC-A_iqr,6099.600006103516
CD103 FITC-A_cv,4.74861478805542
CD103 FITC-A_skew,122.07611879166095
CD103 FITC-A_kurtosis,31880.72443392794
CD103 FITC-A_min,-8614.5
CD103 FITC-A_q05,-79.5
CD103 FITC-A_q25,368.8999938964844
CD103 FITC-A_q75,6468.5
CD103 FITC-A_q95,33752.515234374994
CD103 FITC-A_max,19187640.0
CD103 FITC-A_entropy,6.811506211516783
CD103 FITC-A_num_outliers,508827.0
CD103 FITC-A_num_modes,32.0
B7 PE-H_mean,6166.5908203125
B7 PE-H_median,2323.199951171875
B7 PE-H_mode,649.9000244140625
B7 PE-H_std,17958.185546875
B7 PE-H_var,322496448.0
B7 PE-H_range,5406615.5
B7 PE-H_iqr,5790.999816894531
B7 PE-H_cv,2.9121739864349365
B7 PE-H_skew,62.26902757157145
B7 PE-H_kurtosis,10448.651014218458
B7 PE-H_min,0.0
B7 PE-H_q05,446.5
B7 PE-H_q25,763.7999877929688
B7 PE-H_q75,6554.7998046875
B7 PE-H_q95,22835.61455078124
B7 PE-H_max,5406615.5
B7 PE-H_entropy,5.504577858624787
B7 PE-H_num_outliers,287564.0
B7 PE-H_num_modes,41.0
B7 PE-A_mean,7993.81640625
B7 PE-A_median,2742.39990234375
B7 PE-A_mode,487.79998779296875
B7 PE-A_std,23799.689453125
B7 PE-A_var,566425216.0
B7 PE-A_range,6631908.0
B7 PE-A_iqr,8138.2998046875
B7 PE-A_cv,2.977262496948242
B7 PE-A_skew,56.294869427894426
B7 PE-A_kurtosis,9127.83719648039
B7 PE-A_min,-28439.900390625
B7 PE-A_q05,-259.29998779296875
B7 PE-A_q25,587.0
B7 PE-A_q75,8725.2998046875
B7 PE-A_q95,31002.400390625
B7 PE-A_max,6603468.0
B7 PE-A_entropy,5.789604464744416
B7 PE-A_num_outliers,284500.0
B7 PE-A_num_modes,37.0
CD38 PC7-H_mean,23798.197265625
CD38 PC7-H_median,5487.2998046875
CD38 PC7-H_mode,987.0999755859375
CD38 PC7-H_std,69487.8203125
CD38 PC7-H_var,4828557312.0
CD38 PC7-H_range,3698091.75
CD38 PC7-H_iqr,15244.699951171875
CD38 PC7-H_cv,2.919877529144287
CD38 PC7-H_skew,7.830547089927217
CD38 PC7-H_kurtosis,107.52505345022905
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,697.5999755859375
CD38 PC7-H_q25,1506.300048828125
CD38 PC7-H_q75,16751.0
CD38 PC7-H_q95,108811.015234375
CD38 PC7-H_max,3698091.75
CD38 PC7-H_entropy,5.401599313538098
CD38 PC7-H_num_outliers,343429.0
CD38 PC7-H_num_modes,38.0
CD38 PC7-A_mean,30443.6796875
CD38 PC7-A_median,5936.2001953125
CD38 PC7-A_mode,898.2000122070312
CD38 PC7-A_std,90266.6171875
CD38 PC7-A_var,8148062720.0
CD38 PC7-A_range,35274408.0
CD38 PC7-A_iqr,21005.97509765625
CD38 PC7-A_cv,2.965036392211914
CD38 PC7-A_skew,24.43668519613781
CD38 PC7-A_kurtosis,6806.564972694577
CD38 PC7-A_min,-15606.7001953125
CD38 PC7-A_q05,479.5
CD38 PC7-A_q25,1438.0
CD38 PC7-A_q75,22443.97509765625
CD38 PC7-A_q95,145050.87187499995
CD38 PC7-A_max,35258800.0
CD38 PC7-A_entropy,7.329394627449885
CD38 PC7-A_num_outliers,333064.0
CD38 PC7-A_num_modes,5.0
CD8 APC-H_mean,31120.75390625
CD8 APC-H_median,572.5999755859375
CD8 APC-H_mode,376.1000061035156
CD8 APC-H_std,121557.8125
CD8 APC-H_var,14776302592.0
CD8 APC-H_range,1970874.25
CD8 APC-H_iqr,574.8000183105469
CD8 APC-H_cv,3.9060046672821045
CD8 APC-H_skew,4.395183610753043
CD8 APC-H_kurtosis,19.330135630386422
CD8 APC-H_min,0.0
CD8 APC-H_q05,213.3000030517578
CD8 APC-H_q25,371.3999938964844
CD8 APC-H_q75,946.2000122070312
CD8 APC-H_q95,293445.93124999985
CD8 APC-H_max,1970874.25
CD8 APC-H_entropy,6.287604174037633
CD8 APC-H_num_outliers,434318.0
CD8 APC-H_num_modes,16.0
CD8 APC-A_mean,42874.453125
CD8 APC-A_median,273.1000061035156
CD8 APC-A_mode,8.899999618530273
CD8 APC-A_std,170002.765625
CD8 APC-A_var,28900937728.0
CD8 APC-A_range,4142247.5
CD8 APC-A_iqr,874.8750123977661
CD8 APC-A_cv,3.9651296138763428
CD8 APC-A_skew,4.448980272939479
CD8 APC-A_kurtosis,20.293890559352985
CD8 APC-A_min,-2259.10009765625
CD8 APC-A_q05,-355.0
CD8 APC-A_q25,-43.17500019073486
CD8 APC-A_q75,831.7000122070312
CD8 APC-A_q95,407600.2390624989
CD8 APC-A_max,4139988.5
CD8 APC-A_entropy,6.5525410652576594
CD8 APC-A_num_outliers,424114.0
CD8 APC-A_num_modes,18.0
FSC-Width_mean,1343.4447021484375
FSC-Width_median,1313.181640625
FSC-Width_mode,1024.0
FSC-Width_std,307.0166931152344
FSC-Width_var,94259.2578125
FSC-Width_range,17645.18359375
FSC-Width_iqr,245.37167358398438
FSC-Width_cv,0.2285294532775879
FSC-Width_skew,5.451699120051529
FSC-Width_kurtosis,74.77754379998899
FSC-Width_min,-532.4472045898438
FSC-Width_q05,1023.1637634277344
FSC-Width_q25,1188.0240783691406
FSC-Width_q75,1433.395751953125
FSC-Width_q95,1714.8220642089843
FSC-Width_max,17112.736328125
FSC-Width_entropy,5.537632789094576
FSC-Width_num_outliers,132926.0
FSC-Width_num_modes,38.0
Time_mean,19797182.0
Time_median,18778696.0
Time_mode,34004176.0
Time_std,13675600.0
Time_var,187022035648512.0
Time_range,45614120.0
Time_iqr,25417338.0
Time_cv,0.6907851696014404
Time_skew,0.242769854377763
Time_kurtosis,-1.2406942141422281
Time_min,0.0
Time_q05,1837579.8
Time_q25,6111042.0
Time_q75,31528380.0
Time_q95,43238717.8
Time_max,45614120.0
Time_entropy,4.868892585390784
Time_num_outliers,0.0
Time_num_modes,9.0
