,0
FSC-H_mean,989709.0
FSC-H_median,607438.625
FSC-H_mode,271081.3125
FSC-H_std,732127.5625
FSC-H_var,536010752000.0
FSC-H_range,4736277.0
FSC-H_iqr,1299309.4375
FSC-H_cv,0.739740252494812
FSC-H_skew,0.7435485622901855
FSC-H_kurtosis,-0.10926214466872919
FSC-H_min,241123.90625
FSC-H_q05,261715.6625
FSC-H_q25,328825.3125
FSC-H_q75,1628134.75
FSC-H_q95,2214682.15
FSC-H_max,4977401.0
FSC-H_entropy,4.328268056385971
FSC-H_num_outliers,9274.0
FSC-H_num_modes,5.0
FSC-A_mean,1347866.25
FSC-A_median,672911.125
FSC-A_mode,301885.1875
FSC-A_std,1894973.375
FSC-A_var,3590924271616.0
FSC-A_range,101930440.0
FSC-A_iqr,1668587.0625
FSC-A_cv,1.405906081199646
FSC-A_skew,13.348347556171765
FSC-A_kurtosis,358.2727177765527
FSC-A_min,-306994.8125
FSC-A_q05,263853.075
FSC-A_q25,352623.8125
FSC-A_q75,2021210.875
FSC-A_q95,3161091.05
FSC-A_max,101623448.0
FSC-A_entropy,6.909901438885497
FSC-A_num_outliers,38228.0
FSC-A_num_modes,51.0
SSC-H_mean,540573.25
SSC-H_median,223897.796875
SSC-H_mode,76013.0
SSC-H_std,935388.75
SSC-H_var,874952065024.0
SSC-H_range,5660199.0
SSC-H_iqr,285523.203125
SSC-H_cv,1.730364441871643
SSC-H_skew,3.0223124428371486
SSC-H_kurtosis,8.91261138274103
SSC-H_min,0.4000000059604645
SSC-H_q05,74032.9796875
SSC-H_q25,115261.703125
SSC-H_q75,400784.90625
SSC-H_q95,2979320.0999999996
SSC-H_max,5660199.5
SSC-H_entropy,5.431513885582355
SSC-H_num_outliers,249595.0
SSC-H_num_modes,4.0
SSC-A_mean,728481.375
SSC-A_median,236434.40625
SSC-A_mode,100846.1015625
SSC-A_std,2352153.0
SSC-A_var,5532623568896.0
SSC-A_range,159176816.0
SSC-A_iqr,327656.515625
SSC-A_cv,3.228844404220581
SSC-A_skew,19.044452506715018
SSC-A_kurtosis,638.9533154710166
SSC-A_min,-10165154.0
SSC-A_q05,68930.359375
SSC-A_q25,112677.796875
SSC-A_q75,440334.3125
SSC-A_q95,3563817.65
SSC-A_max,149011664.0
SSC-A_entropy,8.992309895294978
SSC-A_num_outliers,255605.0
SSC-A_num_modes,56.0
CD103 FITC-H_mean,4982.40576171875
CD103 FITC-H_median,1242.5999755859375
CD103 FITC-H_mode,619.4000244140625
CD103 FITC-H_std,60044.3046875
CD103 FITC-H_var,3605318400.0
CD103 FITC-H_range,5677033.5
CD103 FITC-H_iqr,1645.8999633789062
CD103 FITC-H_cv,12.051267623901367
CD103 FITC-H_skew,55.95919517929272
CD103 FITC-H_kurtosis,4114.908428253393
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,393.8999938964844
CD103 FITC-H_q25,646.7999877929688
CD103 FITC-H_q75,2292.699951171875
CD103 FITC-H_q95,11261.400390625
CD103 FITC-H_max,5677033.5
CD103 FITC-H_entropy,5.926088971570941
CD103 FITC-H_num_outliers,273004.0
CD103 FITC-H_num_modes,60.0
CD103 FITC-A_mean,6502.94482421875
CD103 FITC-A_median,1214.5
CD103 FITC-A_mode,350.0
CD103 FITC-A_std,90013.84375
CD103 FITC-A_var,8102492160.0
CD103 FITC-A_range,36754908.0
CD103 FITC-A_iqr,2171.8999938964844
CD103 FITC-A_cv,13.842012405395508
CD103 FITC-A_skew,115.12380351932977
CD103 FITC-A_kurtosis,26353.849651004995
CD103 FITC-A_min,-92788.6015625
CD103 FITC-A_q05,-95.19999694824219
CD103 FITC-A_q25,428.1000061035156
CD103 FITC-A_q75,2600.0
CD103 FITC-A_q95,14563.720117187495
CD103 FITC-A_max,36662120.0
CD103 FITC-A_entropy,8.338830292792647
CD103 FITC-A_num_outliers,275887.0
CD103 FITC-A_num_modes,29.0
B7 PE-H_mean,6621.03955078125
B7 PE-H_median,1595.4000244140625
B7 PE-H_mode,853.4000244140625
B7 PE-H_std,40677.1171875
B7 PE-H_var,1654627712.0
B7 PE-H_range,5701043.5
B7 PE-H_iqr,2904.5001220703125
B7 PE-H_cv,6.143614768981934
B7 PE-H_skew,45.48011954705246
B7 PE-H_kurtosis,3432.160512379095
B7 PE-H_min,0.0
B7 PE-H_q05,458.79998779296875
B7 PE-H_q25,890.5999755859375
B7 PE-H_q75,3795.10009765625
B7 PE-H_q95,21834.77929687498
B7 PE-H_max,5701043.5
B7 PE-H_entropy,5.86279868570337
B7 PE-H_num_outliers,273287.0
B7 PE-H_num_modes,53.0
B7 PE-A_mean,9136.84765625
B7 PE-A_median,1918.0
B7 PE-A_mode,370.8999938964844
B7 PE-A_std,57740.08203125
B7 PE-A_var,3333916928.0
B7 PE-A_range,20151882.0
B7 PE-A_iqr,4752.8001708984375
B7 PE-A_cv,6.319475173950195
B7 PE-A_skew,58.969469007760374
B7 PE-A_kurtosis,9864.152943189032
B7 PE-A_min,-201477.296875
B7 PE-A_q05,-614.7000122070312
B7 PE-A_q25,540.9000244140625
B7 PE-A_q75,5293.7001953125
B7 PE-A_q95,31687.940624999967
B7 PE-A_max,19950404.0
B7 PE-A_entropy,7.096205208990676
B7 PE-A_num_outliers,255793.0
B7 PE-A_num_modes,19.0
CD38 PC7-H_mean,21926.26953125
CD38 PC7-H_median,4465.2001953125
CD38 PC7-H_mode,1706.0
CD38 PC7-H_std,60760.6875
CD38 PC7-H_var,3691860992.0
CD38 PC7-H_range,5666547.0
CD38 PC7-H_iqr,12009.0
CD38 PC7-H_cv,2.771136522293091
CD38 PC7-H_skew,8.820675031911065
CD38 PC7-H_kurtosis,180.12463584323694
CD38 PC7-H_min,0.10000000149011612
CD38 PC7-H_q05,900.7000122070312
CD38 PC7-H_q25,2216.5
CD38 PC7-H_q75,14225.5
CD38 PC7-H_q95,100871.42187499993
CD38 PC7-H_max,5666547.0
CD38 PC7-H_entropy,5.654531181840725
CD38 PC7-H_num_outliers,305827.0
CD38 PC7-H_num_modes,27.0
CD38 PC7-A_mean,27907.99609375
CD38 PC7-A_median,4533.39990234375
CD38 PC7-A_mode,1655.800048828125
CD38 PC7-A_std,100564.15625
CD38 PC7-A_var,10113149952.0
CD38 PC7-A_range,45495156.0
CD38 PC7-A_iqr,15494.400390625
CD38 PC7-A_cv,3.60341739654541
CD38 PC7-A_skew,61.4182897976774
CD38 PC7-A_kurtosis,20879.61527518648
CD38 PC7-A_min,-278063.8125
CD38 PC7-A_q05,518.9000244140625
CD38 PC7-A_q25,2003.5
CD38 PC7-A_q75,17497.900390625
CD38 PC7-A_q95,123215.28281249998
CD38 PC7-A_max,45217092.0
CD38 PC7-A_entropy,7.924769648399638
CD38 PC7-A_num_outliers,297128.0
CD38 PC7-A_num_modes,12.0
CD8 APC-H_mean,37751.19140625
CD8 APC-H_median,508.3999938964844
CD8 APC-H_mode,363.0
