,0
FSC-H_mean,1260424.25
FSC-H_median,1492021.625
FSC-H_mode,1561334.25
FSC-H_std,655578.8125
FSC-H_var,429783613440.0
FSC-H_range,3844543.0
FSC-H_iqr,1155945.765625
FSC-H_cv,0.5201255083084106
FSC-H_skew,-0.010100828371407255
FSC-H_kurtosis,-0.27240495380882956
FSC-H_min,245257.59375
FSC-H_q05,274680.2234375
FSC-H_q25,539343.015625
FSC-H_q75,1695288.78125
FSC-H_q95,2179459.8
FSC-H_max,4089800.5
FSC-H_entropy,4.538442277451258
FSC-H_num_outliers,6385.0
FSC-H_num_modes,6.0
FSC-A_mean,1742530.875
FSC-A_median,1920194.25
FSC-A_mode,2104080.0
FSC-A_std,1650506.875
FSC-A_var,2724172922880.0
FSC-A_range,105349128.0
FSC-A_iqr,1553107.40625
FSC-A_cv,0.947189450263977
FSC-A_skew,12.654126382173478
FSC-A_kurtosis,364.18809352584327
FSC-A_min,-2725163.5
FSC-A_q05,295805.39375
FSC-A_q25,614756.09375
FSC-A_q75,2167863.5
FSC-A_q95,3277590.8124999995
FSC-A_max,102623968.0
FSC-A_entropy,7.086626332184746
FSC-A_num_outliers,32286.0
FSC-A_num_modes,49.0
SSC-H_mean,625749.625
SSC-H_median,326518.375
SSC-H_mode,362913.59375
SSC-H_std,935967.1875
SSC-H_var,876034523136.0
SSC-H_range,5660382.0
SSC-H_iqr,238077.2890625
SSC-H_cv,1.495753526687622
SSC-H_skew,2.7548380758293316
SSC-H_kurtosis,7.137790682630007
SSC-H_min,1.100000023841858
SSC-H_q05,85332.454296875
SSC-H_q25,196991.0703125
SSC-H_q75,435068.359375
SSC-H_q95,3061718.1999999997
SSC-H_max,5660383.0
SSC-H_entropy,5.727439868515915
SSC-H_num_outliers,244268.0
SSC-H_num_modes,4.0
SSC-A_mean,811703.4375
SSC-A_median,358288.125
SSC-A_mode,368079.90625
SSC-A_std,1965969.875
SSC-A_var,3865037766656.0
SSC-A_range,153710080.0
SSC-A_iqr,285666.92578125
SSC-A_cv,2.422029733657837
SSC-A_skew,16.722027301207994
SSC-A_kurtosis,589.4686399945108
SSC-A_min,-2001177.25
SSC-A_q05,81959.566015625
SSC-A_q25,206763.01953125
SSC-A_q75,492429.9453125
SSC-A_q95,3755386.1749999984
SSC-A_max,151708896.0
SSC-A_entropy,9.092528478689706
SSC-A_num_outliers,248712.0
SSC-A_num_modes,49.0
CD103 FITC-H_mean,4933.61083984375
CD103 FITC-H_median,1818.5999755859375
CD103 FITC-H_mode,547.0999755859375
CD103 FITC-H_std,41865.9921875
CD103 FITC-H_var,1752761216.0
CD103 FITC-H_range,5677563.5
CD103 FITC-H_iqr,1695.5001220703125
CD103 FITC-H_cv,8.485872268676758
CD103 FITC-H_skew,65.0675189631108
CD103 FITC-H_kurtosis,6042.048618061974
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,461.70001220703125
CD103 FITC-H_q25,1025.5999755859375
CD103 FITC-H_q75,2721.10009765625
CD103 FITC-H_q95,12719.400390625
CD103 FITC-H_max,5677563.5
CD103 FITC-H_entropy,6.070391592845872
CD103 FITC-H_num_outliers,251536.0
CD103 FITC-H_num_modes,56.0
CD103 FITC-A_mean,6297.8525390625
CD103 FITC-A_median,1930.0
CD103 FITC-A_mode,1928.0
