,0
FSC-H_mean,926649.4375
FSC-H_median,454188.8125
FSC-H_mode,252544.09375
FSC-H_std,791588.625
FSC-H_var,626612568064.0
FSC-H_range,3788715.75
FSC-H_iqr,1305199.65625
FSC-H_cv,0.8542482256889343
FSC-H_skew,0.9736723547103739
FSC-H_kurtosis,-0.33122149353074226
FSC-H_min,235037.703125
FSC-H_q05,259447.0
FSC-H_q25,311571.28125
FSC-H_q75,1616770.9375
FSC-H_q95,2407812.1499999994
FSC-H_max,4023753.5
FSC-H_entropy,4.352496775946614
FSC-H_num_outliers,8717.0
FSC-H_num_modes,5.0
FSC-A_mean,1301831.75
FSC-A_median,516354.5625
FSC-A_mode,282298.1875
FSC-A_std,1572145.875
FSC-A_var,2471642791936.0
FSC-A_range,81318752.0
FSC-A_iqr,1808304.875
FSC-A_cv,1.207641363143921
FSC-A_skew,5.58415374772808
FSC-A_kurtosis,88.92439093313152
FSC-A_min,-10084.099609375
FSC-A_q05,266646.6875
FSC-A_q25,340208.0
FSC-A_q75,2148512.875
FSC-A_q95,3556603.3125
FSC-A_max,81308664.0
FSC-A_entropy,6.64122530993395
FSC-A_num_outliers,49844.0
FSC-A_num_modes,47.0
SSC-H_mean,575178.5
SSC-H_median,161372.5
SSC-H_mode,96098.703125
SSC-H_std,902795.375
SSC-H_var,815039447040.0
SSC-H_range,5660573.5
SSC-H_iqr,287788.478515625
SSC-H_cv,1.5695916414260864
SSC-H_skew,2.280858556369465
SSC-H_kurtosis,5.022726458586664
SSC-H_min,0.699999988079071
SSC-H_q05,72345.1015625
SSC-H_q25,105622.974609375
SSC-H_q75,393411.453125
SSC-H_q95,2614849.6499999994
SSC-H_max,5660574.0
SSC-H_entropy,5.545398821813717
SSC-H_num_outliers,629401.0
SSC-H_num_modes,3.0
SSC-A_mean,720582.1875
SSC-A_median,165701.5
SSC-A_mode,95610.796875
SSC-A_std,1513519.75
SSC-A_var,2290742198272.0
SSC-A_range,94463696.0
SSC-A_iqr,346747.4609375
SSC-A_cv,2.100412368774414
SSC-A_skew,9.150382360265349
SSC-A_kurtosis,199.58914944843107
SSC-A_min,-586040.125
SSC-A_q05,63282.795703125004
SSC-A_q25,101970.8984375
SSC-A_q75,448718.359375
SSC-A_q95,3228847.524999998
SSC-A_max,93877656.0
SSC-A_entropy,8.19204592046328
SSC-A_num_outliers,636555.0
SSC-A_num_modes,42.0
CD103 FITC-H_mean,2336.69091796875
CD103 FITC-H_median,774.2000122070312
CD103 FITC-H_mode,534.4000244140625
CD103 FITC-H_std,24023.32421875
CD103 FITC-H_var,577120064.0
CD103 FITC-H_range,5677938.0
CD103 FITC-H_iqr,1825.7999877929688
CD103 FITC-H_cv,10.280916213989258
CD103 FITC-H_skew,146.2584533825026
CD103 FITC-H_kurtosis,27850.805466413847
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,314.79998779296875
CD103 FITC-H_q25,512.2000122070312
CD103 FITC-H_q75,2338.0
CD103 FITC-H_q95,7229.205175781231
CD103 FITC-H_max,5677938.0
CD103 FITC-H_entropy,5.677037115153087
CD103 FITC-H_num_outliers,263984.0
CD103 FITC-H_num_modes,53.0
CD103 FITC-A_mean,2843.4599609375
CD103 FITC-A_median,729.0
CD103 FITC-A_mode,220.0
CD103 FITC-A_std,46699.86328125
CD103 FITC-A_var,2180877056.0
CD103 FITC-A_range,38469340.0
CD103 FITC-A_iqr,2429.300094604492
CD103 FITC-A_cv,16.42360496520996
CD103 FITC-A_skew,374.2300111561875
CD103 FITC-A_kurtosis,220316.64072673031
CD103 FITC-A_min,-7274.2998046875
CD103 FITC-A_q05,-302.29998779296875
CD103 FITC-A_q25,205.8000030517578
CD103 FITC-A_q75,2635.10009765625
CD103 FITC-A_q95,9618.400390625
CD103 FITC-A_max,38462064.0
CD103 FITC-A_entropy,8.348473843723314
CD103 FITC-A_num_outliers,282355.0
CD103 FITC-A_num_modes,24.0
B7 PE-H_mean,4419.80126953125
B7 PE-H_median,954.4000244140625
B7 PE-H_mode,643.7999877929688
B7 PE-H_std,20740.755859375
B7 PE-H_var,430178976.0
B7 PE-H_range,5673982.0
B7 PE-H_iqr,2972.2999877929688
B7 PE-H_cv,4.692689895629883
B7 PE-H_skew,56.578670869797286
B7 PE-H_kurtosis,10100.092499444181
B7 PE-H_min,0.0
B7 PE-H_q05,322.8999938964844
B7 PE-H_q25,606.7000122070312
B7 PE-H_q75,3579.0
B7 PE-H_q95,15212.809814453089
B7 PE-H_max,5673982.0
B7 PE-H_entropy,5.582947764880791
B7 PE-H_num_outliers,268572.0
B7 PE-H_num_modes,30.0
B7 PE-A_mean,5657.77783203125
B7 PE-A_median,944.7999877929688
B7 PE-A_mode,138.60000610351562
B7 PE-A_std,32452.490234375
B7 PE-A_var,1053164096.0
B7 PE-A_range,21116512.0
B7 PE-A_iqr,4084.300003051758
B7 PE-A_cv,5.735907554626465
B7 PE-A_skew,155.07102546894743
B7 PE-A_kurtosis,76062.1145627165
B7 PE-A_min,-43379.8984375
B7 PE-A_q05,-679.2000122070312
B7 PE-A_q25,156.1999969482422
B7 PE-A_q75,4240.5
B7 PE-A_q95,21252.70429687498
B7 PE-A_max,21073132.0
B7 PE-A_entropy,7.136982842227746
B7 PE-A_num_outliers,292814.0
B7 PE-A_num_modes,16.0
CD38 PC7-H_mean,16169.7900390625
CD38 PC7-H_median,4211.25
CD38 PC7-H_mode,2350.60009765625
CD38 PC7-H_std,62918.48828125
CD38 PC7-H_var,3958736384.0
CD38 PC7-H_range,5732476.0
CD38 PC7-H_iqr,8479.0
CD38 PC7-H_cv,3.891113519668579
CD38 PC7-H_skew,15.832824855462878
CD38 PC7-H_kurtosis,417.81671571756806
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,867.5949768066417
CD38 PC7-H_q25,2200.5
CD38 PC7-H_q75,10679.5
CD38 PC7-H_q95,58367.22929687489
CD38 PC7-H_max,5732476.0
CD38 PC7-H_entropy,5.896915060137291
CD38 PC7-H_num_outliers,355296.0
CD38 PC7-H_num_modes,34.0
CD38 PC7-A_mean,20608.859375
CD38 PC7-A_median,4231.89990234375
CD38 PC7-A_mode,1336.199951171875
CD38 PC7-A_std,94298.0859375
CD38 PC7-A_var,8892129280.0
CD38 PC7-A_range,62780628.0
CD38 PC7-A_iqr,11234.000244140625
CD38 PC7-A_cv,4.57560920715332
CD38 PC7-A_skew,118.44263133109702
CD38 PC7-A_kurtosis,65329.4332836572
CD38 PC7-A_min,-5675.10009765625
CD38 PC7-A_q05,385.29998779296875
CD38 PC7-A_q25,1920.699951171875
CD38 PC7-A_q75,13154.7001953125
CD38 PC7-A_q95,75526.27304687473
CD38 PC7-A_max,62774952.0
CD38 PC7-A_entropy,8.940541767402747
CD38 PC7-A_num_outliers,366065.0
CD38 PC7-A_num_modes,7.0
CD8 APC-H_mean,16089.166015625
CD8 APC-H_median,496.29998779296875
CD8 APC-H_mode,326.79998779296875
CD8 APC-H_std,89623.984375
CD8 APC-H_var,8032458752.0
CD8 APC-H_range,5638381.0
CD8 APC-H_iqr,436.5
CD8 APC-H_cv,5.570455551147461
CD8 APC-H_skew,6.7168021453149995
CD8 APC-H_kurtosis,51.77539435606811
CD8 APC-H_min,0.0
CD8 APC-H_q05,186.39999389648438
CD8 APC-H_q25,332.79998779296875
CD8 APC-H_q75,769.2999877929688
CD8 APC-H_q95,5831.414916992131
CD8 APC-H_max,5638381.0
CD8 APC-H_entropy,6.464307660033088
CD8 APC-H_num_outliers,311658.0
CD8 APC-H_num_modes,10.0
CD8 APC-A_mean,23493.994140625
CD8 APC-A_median,114.69999694824219
CD8 APC-A_mode,-91.30000305175781
CD8 APC-A_std,134835.21875
CD8 APC-A_var,18180534272.0
CD8 APC-A_range,10294792.0
CD8 APC-A_iqr,621.9999847412109
CD8 APC-A_cv,5.7391357421875
CD8 APC-A_skew,6.861311516228094
CD8 APC-A_kurtosis,60.87582211272846
CD8 APC-A_min,-2617.800048828125
CD8 APC-A_q05,-390.8999938964844
CD8 APC-A_q25,-123.19999694824219
CD8 APC-A_q75,498.79998779296875
CD8 APC-A_q95,8082.505004882794
CD8 APC-A_max,10292174.0
CD8 APC-A_entropy,6.979655658629557
CD8 APC-A_num_outliers,316348.0
CD8 APC-A_num_modes,12.0
FSC-Width_mean,1265.1842041015625
FSC-Width_median,1178.855224609375
FSC-Width_mode,1024.0
FSC-Width_std,337.38128662109375
FSC-Width_var,113826.1328125
FSC-Width_range,21225.47265625
FSC-Width_iqr,318.21575927734375
FSC-Width_cv,0.2666657567024231
FSC-Width_skew,7.28725677645473
FSC-Width_kurtosis,133.4074557174466
FSC-Width_min,-38.021854400634766
FSC-Width_q05,974.7493041992187
FSC-Width_q25,1081.781005859375
FSC-Width_q75,1399.9967651367188
FSC-Width_q95,1651.1098693847657
FSC-Width_max,21187.451171875
FSC-Width_entropy,5.302380168649995
FSC-Width_num_outliers,74208.0
FSC-Width_num_modes,42.0
Time_mean,21779502.0
Time_median,23703404.0
Time_mode,33819464.0
Time_std,13105058.0
Time_var,171742555275264.0
Time_range,43493640.0
Time_iqr,22225183.75
Time_cv,0.6017152070999146
Time_skew,-0.20206372395079164
Time_kurtosis,-1.2271568116922709
Time_min,0.0
Time_q05,1162353.9
Time_q25,11010270.25
Time_q75,33235454.0
Time_q95,40647384.4
Time_max,43493640.0
Time_entropy,4.929533416165624
Time_num_outliers,0.0
Time_num_modes,6.0
