,0
FSC-H_mean,1431028.25
FSC-H_median,1616633.0
FSC-H_mode,269346.40625
FSC-H_std,778283.875
FSC-H_var,605725786112.0
FSC-H_range,3781957.75
FSC-H_iqr,1357795.9375
FSC-H_cv,0.5438634157180786
FSC-H_skew,-0.06073791400512517
FSC-H_kurtosis,-0.823422620405502
FSC-H_min,231376.0
FSC-H_q05,273800.59375
FSC-H_q25,567577.0
FSC-H_q75,1925372.9375
FSC-H_q95,2620479.575
FSC-H_max,4013333.75
FSC-H_entropy,4.764653674737652
FSC-H_num_outliers,1387.0
FSC-H_num_modes,4.0
FSC-A_mean,2172741.5
FSC-A_median,2262621.25
FSC-A_mode,290179.3125
FSC-A_std,1601909.125
FSC-A_var,2566112935936.0
FSC-A_range,114821976.0
FSC-A_iqr,2148643.453125
FSC-A_cv,0.7372755408287048
FSC-A_skew,2.9547606455952993
FSC-A_kurtosis,43.46835899468214
FSC-A_min,151162.09375
FSC-A_q05,299973.3734375
FSC-A_q25,682176.546875
FSC-A_q75,2830820.0
FSC-A_q95,4379102.375
FSC-A_max,114973136.0
FSC-A_entropy,7.2309604967020515
FSC-A_num_outliers,53905.0
FSC-A_num_modes,27.0
SSC-H_mean,1246364.625
SSC-H_median,464290.15625
SSC-H_mode,78447.5
SSC-H_std,1324809.875
SSC-H_var,1755121188864.0
SSC-H_range,5660234.0
SSC-H_iqr,2173830.4375
SSC-H_cv,1.0629392862319946
SSC-H_skew,0.9579291367682422
SSC-H_kurtosis,-0.3710929751581338
SSC-H_min,1.100000023841858
SSC-H_q05,78222.77890625001
SSC-H_q25,220197.0
SSC-H_q75,2394027.4375
SSC-H_q95,3750998.5249999994
SSC-H_max,5660235.0
SSC-H_entropy,4.42178620567166
SSC-H_num_outliers,684.0
SSC-H_num_modes,4.0
SSC-A_mean,1622477.875
SSC-A_median,537130.625
SSC-A_mode,90792.0
SSC-A_std,1926248.375
SSC-A_var,3710432575488.0
SSC-A_range,132143824.0
SSC-A_iqr,2799691.15234375
SSC-A_cv,1.1872262954711914
SSC-A_skew,2.343724185379053
SSC-A_kurtosis,21.487529229095973
SSC-A_min,-24516364.0
SSC-A_q05,76396.883203125
SSC-A_q25,239123.97265625
SSC-A_q75,3038815.125
SSC-A_q95,4911257.824999999
SSC-A_max,107627456.0
SSC-A_entropy,7.0725645168183835
SSC-A_num_outliers,30224.0
SSC-A_num_modes,22.0
CD103 FITC-H_mean,8292.8974609375
CD103 FITC-H_median,2521.60009765625
CD103 FITC-H_mode,489.79998779296875
CD103 FITC-H_std,60356.59765625
CD103 FITC-H_var,3642918912.0
CD103 FITC-H_range,5677507.5
CD103 FITC-H_iqr,6353.775146484375
CD103 FITC-H_cv,7.278107166290283
CD103 FITC-H_skew,54.96242778808589
CD103 FITC-H_kurtosis,3999.3110699605622
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,403.0
CD103 FITC-H_q25,903.9000244140625
CD103 FITC-H_q75,7257.6751708984375
CD103 FITC-H_q95,22405.21445312499
CD103 FITC-H_max,5677507.5
CD103 FITC-H_entropy,5.551196755454373
CD103 FITC-H_num_outliers,263452.0
CD103 FITC-H_num_modes,63.0
CD103 FITC-A_mean,11260.46875
CD103 FITC-A_median,2961.300048828125
CD103 FITC-A_mode,88.9000015258789
CD103 FITC-A_std,98487.4296875
CD103 FITC-A_var,9699773440.0
CD103 FITC-A_range,32723888.0
CD103 FITC-A_iqr,8903.699584960938
CD103 FITC-A_cv,8.746299743652344
CD103 FITC-A_skew,113.29312048887668
CD103 FITC-A_kurtosis,22641.426464440046
CD103 FITC-A_min,-66269.0
CD103 FITC-A_q05,-45.400001525878906
CD103 FITC-A_q25,880.9000244140625
CD103 FITC-A_q75,9784.599609375
CD103 FITC-A_q95,32995.3984375
CD103 FITC-A_max,32657620.0
CD103 FITC-A_entropy,7.503163395271335
CD103 FITC-A_num_outliers,279287.0
CD103 FITC-A_num_modes,33.0
B7 PE-H_mean,11005.8046875
B7 PE-H_median,4097.89990234375
B7 PE-H_mode,726.2999877929688
B7 PE-H_std,42995.1953125
B7 PE-H_var,1848586752.0
B7 PE-H_range,5703829.0
B7 PE-H_iqr,7578.6002197265625
B7 PE-H_cv,3.906592607498169
B7 PE-H_skew,51.73076862084482
B7 PE-H_kurtosis,4519.644523742809
B7 PE-H_min,0.0
B7 PE-H_q05,509.20001220703125
B7 PE-H_q25,1226.0999755859375
B7 PE-H_q75,8804.7001953125
B7 PE-H_q95,43653.02988281248
B7 PE-H_max,5703829.0
B7 PE-H_entropy,5.790187465515064
B7 PE-H_num_outliers,401627.0
B7 PE-H_num_modes,51.0
B7 PE-A_mean,15903.5185546875
B7 PE-A_median,5961.0
B7 PE-A_mode,707.7000122070312
B7 PE-A_std,65200.98828125
B7 PE-A_var,4251168768.0
B7 PE-A_range,21427326.0
B7 PE-A_iqr,12222.899658203125
B7 PE-A_cv,4.099783897399902
B7 PE-A_skew,84.90687774156844
B7 PE-A_kurtosis,15415.454436843882
B7 PE-A_min,-111292.796875
B7 PE-A_q05,-474.8999938964844
B7 PE-A_q25,1290.699951171875
B7 PE-A_q75,13513.599609375
B7 PE-A_q95,64023.413671874994
B7 PE-A_max,21316034.0
B7 PE-A_entropy,6.971910446439144
B7 PE-A_num_outliers,384036.0
B7 PE-A_num_modes,39.0
CD38 PC7-H_mean,31548.76953125
CD38 PC7-H_median,9214.7001953125
CD38 PC7-H_mode,1930.9000244140625
CD38 PC7-H_std,78194.1796875
CD38 PC7-H_var,6114330112.0
CD38 PC7-H_range,5650738.0
CD38 PC7-H_iqr,16640.374267578125
