,0
FSC-H_mean,974283.375
FSC-H_median,504277.40625
FSC-H_mode,321532.59375
FSC-H_std,778753.125
FSC-H_var,606456381440.0
FSC-H_range,3774351.25
FSC-H_iqr,1379446.375
FSC-H_cv,0.7993086576461792
FSC-H_skew,0.7797107764939392
FSC-H_kurtosis,-0.6478330381236304
FSC-H_min,238336.296875
FSC-H_q05,261005.0
FSC-H_q25,321295.0
FSC-H_q75,1700741.375
FSC-H_q95,2370900.0
FSC-H_max,4012687.5
FSC-H_entropy,4.402534167737058
FSC-H_num_outliers,4754.0
FSC-H_num_modes,4.0
FSC-A_mean,1324858.25
FSC-A_median,562772.125
FSC-A_mode,297704.09375
FSC-A_std,1442035.375
FSC-A_var,2079465930752.0
FSC-A_range,86430456.0
FSC-A_iqr,1864256.75
FSC-A_cv,1.0884450674057007
FSC-A_skew,4.667572137501166
FSC-A_kurtosis,69.26868043530123
FSC-A_min,-492282.6875
FSC-A_q05,268565.8125
FSC-A_q25,346828.0
FSC-A_q75,2211084.75
FSC-A_q95,3414258.0
FSC-A_max,85938176.0
FSC-A_entropy,6.740185065035335
FSC-A_num_outliers,47797.0
FSC-A_num_modes,40.0
SSC-H_mean,656733.375
SSC-H_median,185148.09375
SSC-H_mode,90975.8984375
SSC-H_std,1011326.5625
SSC-H_var,1022781358080.0
SSC-H_range,5661138.0
SSC-H_iqr,337216.2890625
SSC-H_cv,1.539934754371643
SSC-H_skew,2.0547974328672454
SSC-H_kurtosis,3.356251294022405
SSC-H_min,2.200000047683716
SSC-H_q05,73423.0
SSC-H_q25,108954.8984375
SSC-H_q75,446171.1875
SSC-H_q95,3049230.5
SSC-H_max,5661140.0
SSC-H_entropy,5.558809241641141
SSC-H_num_outliers,684759.0
SSC-H_num_modes,3.0
SSC-A_mean,807376.375
SSC-A_median,192273.90625
SSC-A_mode,75052.0
SSC-A_std,1493733.125
SSC-A_var,2231238656000.0
SSC-A_range,102209832.0
SSC-A_iqr,401847.7890625
SSC-A_cv,1.8501075506210327
SSC-A_skew,6.045658993111522
SSC-A_kurtosis,111.31142333966821
SSC-A_min,-6228926.5
SSC-A_q05,69291.8984375
SSC-A_q25,107302.8984375
SSC-A_q75,509150.6875
SSC-A_q95,3718014.0
SSC-A_max,95980904.0
SSC-A_entropy,8.261713436225453
SSC-A_num_outliers,692439.0
SSC-A_num_modes,46.0
CD103 FITC-H_mean,8190.482421875
CD103 FITC-H_median,676.5
CD103 FITC-H_mode,454.3999938964844
CD103 FITC-H_std,86262.234375
CD103 FITC-H_var,7441172480.0
CD103 FITC-H_range,5678971.5
CD103 FITC-H_iqr,1892.2999572753906
CD103 FITC-H_cv,10.53200912475586
CD103 FITC-H_skew,32.03824866646
CD103 FITC-H_kurtosis,1474.7909986118927
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,308.8999938964844
CD103 FITC-H_q25,457.8999938964844
CD103 FITC-H_q75,2350.199951171875
CD103 FITC-H_q95,14289.900390625
CD103 FITC-H_max,5678971.5
CD103 FITC-H_entropy,5.824079749544838
CD103 FITC-H_num_outliers,561052.0
CD103 FITC-H_num_modes,58.0
CD103 FITC-A_mean,9927.0859375
CD103 FITC-A_median,562.5
CD103 FITC-A_mode,160.3000030517578
CD103 FITC-A_std,140435.609375
CD103 FITC-A_var,19722160128.0
CD103 FITC-A_range,43808408.0
CD103 FITC-A_iqr,2349.800094604492
CD103 FITC-A_cv,14.146710395812988
CD103 FITC-A_skew,87.06362571064797
CD103 FITC-A_kurtosis,12831.359832764834
CD103 FITC-A_min,-20595.80078125
CD103 FITC-A_q05,-178.6999969482422
CD103 FITC-A_q25,165.3000030517578
CD103 FITC-A_q75,2515.10009765625
CD103 FITC-A_q95,18212.19921875
CD103 FITC-A_max,43787812.0
CD103 FITC-A_entropy,8.756326274343044
CD103 FITC-A_num_outliers,572423.0
CD103 FITC-A_num_modes,35.0
B7 PE-H_mean,7403.03759765625
B7 PE-H_median,932.5
B7 PE-H_mode,580.7999877929688
B7 PE-H_std,47299.9453125
B7 PE-H_var,2237284864.0
B7 PE-H_range,5703556.0
B7 PE-H_iqr,3746.89990234375
B7 PE-H_cv,6.389261722564697
B7 PE-H_skew,55.06518937573782
B7 PE-H_kurtosis,5065.654467629022
B7 PE-H_min,0.0
B7 PE-H_q05,359.20001220703125
B7 PE-H_q25,610.0
B7 PE-H_q75,4356.89990234375
B7 PE-H_q95,29748.599609375
B7 PE-H_max,5703556.0
B7 PE-H_entropy,5.540994483643665
B7 PE-H_num_outliers,386247.0
B7 PE-H_num_modes,52.0
B7 PE-A_mean,9514.0302734375
B7 PE-A_median,877.0
B7 PE-A_mode,126.19999694824219
B7 PE-A_std,77362.0234375
B7 PE-A_var,5984882688.0
B7 PE-A_range,38646640.0
B7 PE-A_iqr,5206.899810791016
B7 PE-A_cv,8.131361961364746
B7 PE-A_skew,141.48570488668852
B7 PE-A_kurtosis,41831.729267576964
B7 PE-A_min,-428986.3125
B7 PE-A_q05,-516.4000244140625
B7 PE-A_q25,164.39999389648438
B7 PE-A_q75,5371.2998046875
B7 PE-A_q95,39922.30078125
B7 PE-A_max,38217652.0
B7 PE-A_entropy,8.0883931434857
B7 PE-A_num_outliers,393031.0
B7 PE-A_num_modes,29.0
CD38 PC7-H_mean,15974.947265625
CD38 PC7-H_median,4679.2001953125
CD38 PC7-H_mode,2507.89990234375
CD38 PC7-H_std,49472.609375
CD38 PC7-H_var,2447539200.0
CD38 PC7-H_range,5733577.5
CD38 PC7-H_iqr,8359.7998046875
CD38 PC7-H_cv,3.0968871116638184
CD38 PC7-H_skew,13.984120292798545
CD38 PC7-H_kurtosis,548.7241111446194
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,1021.0999755859375
CD38 PC7-H_q25,2570.5
CD38 PC7-H_q75,10930.2998046875
CD38 PC7-H_q95,60517.0
CD38 PC7-H_max,5733577.5
CD38 PC7-H_entropy,5.986057608873538
CD38 PC7-H_num_outliers,398451.0
CD38 PC7-H_num_modes,37.0
CD38 PC7-A_mean,20228.58203125
CD38 PC7-A_median,4640.39990234375
CD38 PC7-A_mode,1848.0999755859375
CD38 PC7-A_std,70984.8515625
CD38 PC7-A_var,5038849024.0
CD38 PC7-A_range,18608232.0
CD38 PC7-A_iqr,11033.899658203125
CD38 PC7-A_cv,3.509136199951172
CD38 PC7-A_skew,28.500740227633184
CD38 PC7-A_kurtosis,4235.709552427546
CD38 PC7-A_min,-7060.7998046875
CD38 PC7-A_q05,727.5
CD38 PC7-A_q25,2356.199951171875
CD38 PC7-A_q75,13390.099609375
CD38 PC7-A_q95,75381.0
CD38 PC7-A_max,18601172.0
CD38 PC7-A_entropy,6.8248107332278165
CD38 PC7-A_num_outliers,407500.0
CD38 PC7-A_num_modes,19.0
CD8 APC-H_mean,25045.25390625
CD8 APC-H_median,493.8999938964844
CD8 APC-H_mode,340.1000061035156
CD8 APC-H_std,105969.0546875
CD8 APC-H_var,11229440000.0
CD8 APC-H_range,5642749.0
CD8 APC-H_iqr,508.1999816894531
CD8 APC-H_cv,4.231103420257568
