,0
FSC-H_mean,1314056.0
FSC-H_median,1593604.375
FSC-H_mode,263076.09375
FSC-H_std,775127.3125
FSC-H_var,600822382592.0
FSC-H_range,3788047.25
FSC-H_iqr,1501163.1640625
FSC-H_cv,0.5898739099502563
FSC-H_skew,-0.0940464174947782
FSC-H_kurtosis,-1.2694950929539908
FSC-H_min,232342.59375
FSC-H_q05,264994.9484375
FSC-H_q25,401780.7421875
FSC-H_q75,1902943.90625
FSC-H_q95,2388241.5999999996
FSC-H_max,4020389.75
FSC-H_entropy,4.5214287840550345
FSC-H_num_outliers,0.0
FSC-H_num_modes,3.0
FSC-A_mean,1868391.125
FSC-A_median,2152405.5
FSC-A_mode,281063.40625
FSC-A_std,1348933.25
FSC-A_var,1819620802560.0
FSC-A_range,101321416.0
FSC-A_iqr,2218295.1875
FSC-A_cv,0.7219758629798889
FSC-A_skew,2.5823839362962313
FSC-A_kurtosis,69.08171184995976
FSC-A_min,133606.90625
FSC-A_q05,280950.896875
FSC-A_q25,467896.8125
FSC-A_q75,2686192.0
FSC-A_q95,3594591.5
FSC-A_max,101455024.0
FSC-A_entropy,6.951380779185761
FSC-A_num_outliers,24700.0
FSC-A_num_modes,36.0
SSC-H_mean,1212376.5
SSC-H_median,408123.4375
SSC-H_mode,100656.296875
SSC-H_std,1353243.375
SSC-H_var,1831267729408.0
SSC-H_range,5660241.0
SSC-H_iqr,2243303.86328125
SSC-H_cv,1.1161906719207764
SSC-H_skew,1.0017416859231394
SSC-H_kurtosis,-0.3746508025594677
SSC-H_min,1.899999976158142
SSC-H_q05,86746.63359375
SSC-H_q25,182962.32421875
SSC-H_q75,2426266.1875
SSC-H_q95,3797163.8875
SSC-H_max,5660243.0
SSC-H_entropy,4.364522422751864
SSC-H_num_outliers,0.0
SSC-H_num_modes,3.0
SSC-A_mean,1498538.5
SSC-A_median,466922.65625
SSC-A_mode,107997.703125
SSC-A_std,1848770.625
SSC-A_var,3417952747520.0
SSC-A_range,73280616.0
SSC-A_iqr,2746639.65234375
SSC-A_cv,1.2337157726287842
SSC-A_skew,2.825811512051248
SSC-A_kurtosis,34.72399844908229
SSC-A_min,-268136.40625
SSC-A_q05,78897.342578125
SSC-A_q25,193218.34765625
SSC-A_q75,2939858.0
SSC-A_q95,4726302.149999999
SSC-A_max,73012480.0
SSC-A_entropy,6.241014818796144
SSC-A_num_outliers,23913.0
SSC-A_num_modes,44.0
CD103 FITC-H_mean,11769.6357421875
CD103 FITC-H_median,2686.10009765625
CD103 FITC-H_mode,527.5
CD103 FITC-H_std,93020.3984375
CD103 FITC-H_var,8652794880.0
CD103 FITC-H_range,5677694.0
CD103 FITC-H_iqr,6375.700012207031
CD103 FITC-H_cv,7.903421878814697
CD103 FITC-H_skew,27.493518121545257
CD103 FITC-H_kurtosis,1117.848091963573
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,414.29998779296875
CD103 FITC-H_q25,797.2999877929688
CD103 FITC-H_q75,7173.0
CD103 FITC-H_q95,16039.900390625
CD103 FITC-H_max,5677694.0
CD103 FITC-H_entropy,5.4827009067059205
CD103 FITC-H_num_outliers,146045.0
CD103 FITC-H_num_modes,60.0
CD103 FITC-A_mean,14582.853515625
CD103 FITC-A_median,2905.699951171875
CD103 FITC-A_mode,371.6000061035156
CD103 FITC-A_std,125057.4609375
CD103 FITC-A_var,15639367680.0
CD103 FITC-A_range,34057812.0
CD103 FITC-A_iqr,8176.899597167969
CD103 FITC-A_cv,8.575651168823242
CD103 FITC-A_skew,42.68485738605299
CD103 FITC-A_kurtosis,4226.35138833298
CD103 FITC-A_min,-10922.099609375
CD103 FITC-A_q05,-2.799999952316284
CD103 FITC-A_q25,694.7000122070312
CD103 FITC-A_q75,8871.599609375
CD103 FITC-A_q95,21399.15439453123
CD103 FITC-A_max,34046888.0
CD103 FITC-A_entropy,7.540498929285275
CD103 FITC-A_num_outliers,159141.0
CD103 FITC-A_num_modes,27.0
B7 PE-H_mean,9314.98828125
B7 PE-H_median,3562.25
B7 PE-H_mode,685.2000122070312
B7 PE-H_std,46440.7109375
B7 PE-H_var,2156739584.0
B7 PE-H_range,5703621.0
B7 PE-H_iqr,6093.400085449219
B7 PE-H_cv,4.985589981079102
B7 PE-H_skew,35.599766540675695
B7 PE-H_kurtosis,2415.4950400886282
B7 PE-H_min,0.0
B7 PE-H_q05,473.20001220703125
B7 PE-H_q25,1009.7000122070312
B7 PE-H_q75,7103.10009765625
B7 PE-H_q95,25461.65439453123
B7 PE-H_max,5703621.0
B7 PE-H_entropy,5.680742831725607
B7 PE-H_num_outliers,247093.0
B7 PE-H_num_modes,46.0
B7 PE-A_mean,12342.8671875
B7 PE-A_median,4358.60009765625
B7 PE-A_mode,563.5999755859375
B7 PE-A_std,70333.96875
B7 PE-A_var,4946866688.0
B7 PE-A_range,36219884.0
B7 PE-A_iqr,8595.199829101562
B7 PE-A_cv,5.698349475860596
B7 PE-A_skew,103.67347336364718
B7 PE-A_kurtosis,33125.67939427369
B7 PE-A_min,-101166.6015625
B7 PE-A_q05,-433.20001220703125
B7 PE-A_q25,867.0999755859375
B7 PE-A_q75,9462.2998046875
B7 PE-A_q95,35770.5
B7 PE-A_max,36118716.0
B7 PE-A_entropy,7.848075642817792
B7 PE-A_num_outliers,255185.0
B7 PE-A_num_modes,23.0
CD38 PC7-H_mean,25388.423828125
CD38 PC7-H_median,6339.7001953125
CD38 PC7-H_mode,997.5
CD38 PC7-H_std,68096.796875
CD38 PC7-H_var,4637173760.0
CD38 PC7-H_range,5643674.0
CD38 PC7-H_iqr,13001.800170898438
CD38 PC7-H_cv,2.6821987628936768
CD38 PC7-H_skew,6.676383520650488
CD38 PC7-H_kurtosis,91.26965105509487
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,698.2000122070312
CD38 PC7-H_q25,1991.4000244140625
CD38 PC7-H_q75,14993.2001953125
CD38 PC7-H_q95,131574.65390624997
CD38 PC7-H_max,5643674.0
CD38 PC7-H_entropy,5.8220212092228145
CD38 PC7-H_num_outliers,397846.0
CD38 PC7-H_num_modes,28.0
CD38 PC7-A_mean,32834.31640625
CD38 PC7-A_median,7632.60009765625
CD38 PC7-A_mode,1279.0999755859375
CD38 PC7-A_std,90072.0
CD38 PC7-A_var,8112964608.0
CD38 PC7-A_range,20191596.0
CD38 PC7-A_iqr,18439.274658203125
CD38 PC7-A_cv,2.743227481842041
CD38 PC7-A_skew,11.235414982251703
CD38 PC7-A_kurtosis,1047.9439205829176
CD38 PC7-A_min,-2839.0
CD38 PC7-A_q05,325.5
CD38 PC7-A_q25,1928.800048828125
CD38 PC7-A_q75,20368.07470703125
CD38 PC7-A_q95,172995.62109374994
CD38 PC7-A_max,20188756.0
CD38 PC7-A_entropy,6.743521131000902
CD38 PC7-A_num_outliers,382079.0
CD38 PC7-A_num_modes,13.0
CD8 APC-H_mean,26615.369140625
CD8 APC-H_median,644.7999877929688
