,0
FSC-H_mean,1105273.875
FSC-H_median,580219.375
FSC-H_mode,250708.09375
FSC-H_std,874228.8125
FSC-H_var,764275982336.0
FSC-H_range,3780604.0
FSC-H_iqr,1750656.03125
FSC-H_cv,0.7909612655639648
FSC-H_skew,0.6091988958399068
FSC-H_kurtosis,-1.0251252505891466
FSC-H_min,233486.296875
FSC-H_q05,263338.59375
FSC-H_q25,334578.59375
FSC-H_q75,2085234.625
FSC-H_q95,2410582.5
FSC-H_max,4014090.25
FSC-H_entropy,4.402224010635594
FSC-H_num_outliers,0.0
FSC-H_num_modes,6.0
FSC-A_mean,1787468.375
FSC-A_median,687721.125
FSC-A_mode,286847.09375
FSC-A_std,2258674.25
FSC-A_var,5101609549824.0
FSC-A_range,107091816.0
FSC-A_iqr,2907577.09375
FSC-A_cv,1.2636163234710693
FSC-A_skew,7.29792529933497
FSC-A_kurtosis,135.50691441467416
FSC-A_min,-1523408.25
FSC-A_q05,278348.1875
FSC-A_q25,372918.90625
FSC-A_q75,3280496.0
FSC-A_q95,4165833.5
FSC-A_max,105568408.0
FSC-A_entropy,6.91684747020793
FSC-A_num_outliers,84211.0
FSC-A_num_modes,53.0
SSC-H_mean,1015095.375
SSC-H_median,204870.59375
SSC-H_mode,103687.796875
SSC-H_std,1284391.25
SSC-H_var,1649660788736.0
SSC-H_range,5662424.5
SSC-H_iqr,2092260.046875
SSC-H_cv,1.2652912139892578
SSC-H_skew,1.1574719503440383
SSC-H_kurtosis,0.20377168892421693
SSC-H_min,2.700000047683716
SSC-H_q05,68848.1015625
SSC-H_q25,103945.203125
SSC-H_q75,2196205.25
SSC-H_q95,3395209.75
SSC-H_max,5662427.0
SSC-H_entropy,4.17774337021762
SSC-H_num_outliers,39882.0
SSC-H_num_modes,4.0
SSC-A_mean,1420850.125
SSC-A_median,216146.5
SSC-A_mode,95326.203125
SSC-A_std,2772465.0
SSC-A_var,7686562775040.0
SSC-A_range,152091680.0
SSC-A_iqr,2610214.3984375
SSC-A_cv,1.9512720108032227
SSC-A_skew,10.848025423410348
SSC-A_kurtosis,252.47123066446227
SSC-A_min,-30326.69921875
SSC-A_q05,64546.8984375
SSC-A_q25,102760.1015625
SSC-A_q75,2712974.5
SSC-A_q95,4558150.5
SSC-A_max,152061360.0
SSC-A_entropy,7.38100989536107
SSC-A_num_outliers,112261.0
SSC-A_num_modes,50.0
CD103 FITC-H_mean,1938.8800048828125
CD103 FITC-H_median,746.4000244140625
CD103 FITC-H_mode,444.6000061035156
CD103 FITC-H_std,14252.2080078125
CD103 FITC-H_var,203125440.0
CD103 FITC-H_range,5681048.5
CD103 FITC-H_iqr,2361.8001098632812
CD103 FITC-H_cv,7.350742816925049
CD103 FITC-H_skew,273.798672562203
CD103 FITC-H_kurtosis,93787.15947187756
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,310.5
CD103 FITC-H_q25,472.79998779296875
CD103 FITC-H_q75,2834.60009765625
CD103 FITC-H_q95,4594.60009765625
CD103 FITC-H_max,5681048.5
CD103 FITC-H_entropy,5.478224962579777
CD103 FITC-H_num_outliers,214878.0
CD103 FITC-H_num_modes,50.0
CD103 FITC-A_mean,2523.232666015625
CD103 FITC-A_median,718.7999877929688
CD103 FITC-A_mode,152.3000030517578
CD103 FITC-A_std,33994.1875
CD103 FITC-A_var,1155604864.0
CD103 FITC-A_range,28793924.0
CD103 FITC-A_iqr,3207.60009765625
CD103 FITC-A_cv,13.472474098205566
CD103 FITC-A_skew,511.9939150944879
CD103 FITC-A_kurtosis,339667.4182824234
CD103 FITC-A_min,-27993.80078125
CD103 FITC-A_q05,-188.8000030517578
CD103 FITC-A_q25,204.5
CD103 FITC-A_q75,3412.10009765625
CD103 FITC-A_q95,6940.7001953125
CD103 FITC-A_max,28765930.0
CD103 FITC-A_entropy,7.592923239127137
CD103 FITC-A_num_outliers,274449.0
CD103 FITC-A_num_modes,27.0
B7 PE-H_mean,3366.859130859375
B7 PE-H_median,1020.7999877929688
B7 PE-H_mode,545.0999755859375
B7 PE-H_std,17599.99609375
B7 PE-H_var,309759872.0
B7 PE-H_range,5708085.5
B7 PE-H_iqr,3210.10009765625
B7 PE-H_cv,5.227422714233398
B7 PE-H_skew,172.36713958226898
B7 PE-H_kurtosis,45186.60063805181
B7 PE-H_min,0.0
B7 PE-H_q05,298.8999938964844
B7 PE-H_q25,567.0
B7 PE-H_q75,3777.10009765625
B7 PE-H_q95,10443.599609375
B7 PE-H_max,5708085.5
B7 PE-H_entropy,5.656215068106775
B7 PE-H_num_outliers,374489.0
B7 PE-H_num_modes,50.0
B7 PE-A_mean,4490.39599609375
B7 PE-A_median,1288.199951171875
B7 PE-A_mode,104.19999694824219
