,0
FSC-H_mean,1065890.125
FSC-H_median,657623.3125
FSC-H_mode,250614.59375
FSC-H_std,813418.0625
FSC-H_var,661648965632.0
FSC-H_range,3769744.25
FSC-H_iqr,1506067.515625
FSC-H_cv,0.7631350159645081
FSC-H_skew,0.6358857425489117
FSC-H_kurtosis,-0.9625788983504635
FSC-H_min,240377.09375
FSC-H_q05,263036.359375
FSC-H_q25,338706.796875
FSC-H_q75,1844774.3125
FSC-H_q95,2389555.625
FSC-H_max,4010121.25
FSC-H_entropy,4.572693965814245
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,1620855.75
FSC-A_median,805054.3125
FSC-A_mode,280784.1875
FSC-A_std,1706244.25
FSC-A_var,2911269552128.0
FSC-A_range,106695808.0
FSC-A_iqr,2580495.5
FSC-A_cv,1.0526810884475708
FSC-A_skew,4.436021260381518
FSC-A_kurtosis,82.58349923274066
FSC-A_min,125658.3984375
FSC-A_q05,276797.75
FSC-A_q25,379907.75
FSC-A_q75,2960403.25
FSC-A_q95,3860741.875
FSC-A_max,106821464.0
FSC-A_entropy,6.950179967579356
FSC-A_num_outliers,49629.0
FSC-A_num_modes,42.0
SSC-H_mean,960428.9375
SSC-H_median,301753.8125
SSC-H_mode,89373.203125
SSC-H_std,1206512.125
SSC-H_var,1455671607296.0
SSC-H_range,5660294.5
SSC-H_iqr,1822930.69921875
SSC-H_cv,1.256222128868103
SSC-H_skew,1.3398697998027997
SSC-H_kurtosis,0.7437322102739956
SSC-H_min,0.6000000238418579
SSC-H_q05,76565.8984375
SSC-H_q25,128977.30078125
SSC-H_q75,1951908.0
SSC-H_q95,3323114.0
SSC-H_max,5660295.0
SSC-H_entropy,4.416843430183479
SSC-H_num_outliers,40052.0
SSC-H_num_modes,3.0
SSC-A_mean,1247992.25
SSC-A_median,323380.09375
SSC-A_mode,96145.203125
SSC-A_std,1991611.125
SSC-A_var,3966515019776.0
SSC-A_range,122448176.0
SSC-A_iqr,2249151.15234375
SSC-A_cv,1.5958521366119385
SSC-A_skew,6.1352810342559145
SSC-A_kurtosis,108.60524753326973
SSC-A_min,-65455.3984375
SSC-A_q05,72101.65234375
SSC-A_q25,127713.34765625
SSC-A_q75,2376864.5
SSC-A_q95,4258361.5
SSC-A_max,122382720.0
SSC-A_entropy,7.16295884419212
SSC-A_num_outliers,83372.0
SSC-A_num_modes,43.0
CD103 FITC-H_mean,2412.85107421875
CD103 FITC-H_median,973.5
CD103 FITC-H_mode,455.70001220703125
CD103 FITC-H_std,12643.263671875
CD103 FITC-H_var,159852128.0
CD103 FITC-H_range,5678325.5
CD103 FITC-H_iqr,2831.0999450683594
CD103 FITC-H_cv,5.239968299865723
CD103 FITC-H_skew,240.07784231533125
CD103 FITC-H_kurtosis,84209.91548096554
CD103 FITC-H_min,1.2999999523162842
CD103 FITC-H_q05,333.20001220703125
CD103 FITC-H_q25,500.1000061035156
CD103 FITC-H_q75,3331.199951171875
CD103 FITC-H_q95,7216.0
CD103 FITC-H_max,5678327.0
CD103 FITC-H_entropy,5.457255046920157
CD103 FITC-H_num_outliers,228973.0
CD103 FITC-H_num_modes,42.0
CD103 FITC-A_mean,3145.138671875
CD103 FITC-A_median,891.7999877929688
CD103 FITC-A_mode,210.10000610351562
CD103 FITC-A_std,35799.0703125
CD103 FITC-A_var,1281573504.0
CD103 FITC-A_range,59090332.0
CD103 FITC-A_iqr,3709.10009765625
CD103 FITC-A_cv,11.382349967956543
CD103 FITC-A_skew,1034.8505507152713
CD103 FITC-A_kurtosis,1578212.4270262807
CD103 FITC-A_min,-20569.69921875
CD103 FITC-A_q05,-71.30000305175781
CD103 FITC-A_q25,272.0
CD103 FITC-A_q75,3981.10009765625
CD103 FITC-A_q95,10648.75
CD103 FITC-A_max,59069764.0
CD103 FITC-A_entropy,9.0805408807714
CD103 FITC-A_num_outliers,267389.0
CD103 FITC-A_num_modes,12.0
B7 PE-H_mean,4668.60107421875
B7 PE-H_median,1170.300048828125
B7 PE-H_mode,548.0999755859375
B7 PE-H_std,21209.81640625
B7 PE-H_var,449856352.0
B7 PE-H_range,5705957.0
B7 PE-H_iqr,3945.4998779296875
B7 PE-H_cv,4.54307746887207
B7 PE-H_skew,139.14517398666115
B7 PE-H_kurtosis,31125.411324399254
B7 PE-H_min,0.0
B7 PE-H_q05,360.3999938964844
B7 PE-H_q25,587.4000244140625
B7 PE-H_q75,4532.89990234375
B7 PE-H_q95,18790.75
B7 PE-H_max,5705957.0
B7 PE-H_entropy,5.540036769327266
B7 PE-H_num_outliers,389718.0
B7 PE-H_num_modes,49.0
B7 PE-A_mean,6245.9345703125
B7 PE-A_median,1276.5
B7 PE-A_mode,202.3000030517578
B7 PE-A_std,61010.44921875
B7 PE-A_var,3722275072.0
B7 PE-A_range,62301016.0
B7 PE-A_iqr,5418.199798583984
B7 PE-A_cv,9.768025398254395
B7 PE-A_skew,552.2660068380259
B7 PE-A_kurtosis,435215.9205273392
B7 PE-A_min,-27917.30078125
B7 PE-A_q05,-275.29998779296875
B7 PE-A_q25,280.6000061035156
B7 PE-A_q75,5698.7998046875
B7 PE-A_q95,26104.099609375
B7 PE-A_max,62273100.0
B7 PE-A_entropy,9.17715959314562
B7 PE-A_num_outliers,419662.0
B7 PE-A_num_modes,22.0
CD38 PC7-H_mean,18456.681640625
CD38 PC7-H_median,6036.89990234375
CD38 PC7-H_mode,2114.89990234375
CD38 PC7-H_std,51116.14453125
CD38 PC7-H_var,2612860160.0
CD38 PC7-H_range,5735350.0
CD38 PC7-H_iqr,10912.80029296875
CD38 PC7-H_cv,2.769519805908203
CD38 PC7-H_skew,13.694093077372944
CD38 PC7-H_kurtosis,663.0457083540886
CD38 PC7-H_min,0.6000000238418579
CD38 PC7-H_q05,1313.9000244140625
CD38 PC7-H_q25,2844.60009765625
CD38 PC7-H_q75,13757.400390625
CD38 PC7-H_q95,77213.8984375
CD38 PC7-H_max,5735350.5
CD38 PC7-H_entropy,5.990394316200927
CD38 PC7-H_num_outliers,495204.0
CD38 PC7-H_num_modes,41.0
CD38 PC7-A_mean,25682.5
CD38 PC7-A_median,6532.5
CD38 PC7-A_mode,2446.0
CD38 PC7-A_std,82162.734375
CD38 PC7-A_var,6750714880.0
CD38 PC7-A_range,41434580.0
CD38 PC7-A_iqr,15873.199951171875
CD38 PC7-A_cv,3.199172019958496
CD38 PC7-A_skew,56.038442041067675
CD38 PC7-A_kurtosis,19484.21954917811
CD38 PC7-A_min,-4348.60009765625
CD38 PC7-A_q05,1081.5
CD38 PC7-A_q25,2729.300048828125
CD38 PC7-A_q75,18602.5
CD38 PC7-A_q95,113034.44921875
CD38 PC7-A_max,41430232.0
CD38 PC7-A_entropy,8.014959348504453
CD38 PC7-A_num_outliers,487254.0
CD38 PC7-A_num_modes,22.0
CD8 APC-H_mean,14379.3583984375
CD8 APC-H_median,957.4000244140625
CD8 APC-H_mode,486.29998779296875
CD8 APC-H_std,81400.8359375
CD8 APC-H_var,6626095616.0
CD8 APC-H_range,5642475.5
CD8 APC-H_iqr,1236.5
CD8 APC-H_cv,5.660950660705566
CD8 APC-H_skew,7.545384815749682
CD8 APC-H_kurtosis,77.97358869328768
CD8 APC-H_min,0.0
CD8 APC-H_q05,315.79998779296875
CD8 APC-H_q25,565.5999755859375
CD8 APC-H_q75,1802.0999755859375
CD8 APC-H_q95,9390.5498046875
CD8 APC-H_max,5642475.5
CD8 APC-H_entropy,6.295085941715147
CD8 APC-H_num_outliers,421736.0
CD8 APC-H_num_modes,12.0
CD8 APC-A_mean,20599.8828125
CD8 APC-A_median,771.9000244140625
CD8 APC-A_mode,228.89999389648438
CD8 APC-A_std,120667.4375
CD8 APC-A_var,14560629760.0
CD8 APC-A_range,31733402.0
CD8 APC-A_iqr,1881.3000946044922
CD8 APC-A_cv,5.857676029205322
CD8 APC-A_skew,14.807853697893238
CD8 APC-A_kurtosis,1819.8052623198453
CD8 APC-A_min,-11887.099609375
CD8 APC-A_q05,-165.0
CD8 APC-A_q25,239.8000030517578
CD8 APC-A_q75,2121.10009765625
CD8 APC-A_q95,15837.85009765625
CD8 APC-A_max,31721514.0
CD8 APC-A_entropy,8.307785257536066
CD8 APC-A_num_outliers,442972.0
CD8 APC-A_num_modes,14.0
FSC-Width_mean,1366.262939453125
FSC-Width_median,1279.6541748046875
FSC-Width_mode,1088.0
FSC-Width_std,395.346435546875
FSC-Width_var,156298.8125
FSC-Width_range,27238.48828125
FSC-Width_iqr,452.40472412109375
FSC-Width_cv,0.2893633544445038
FSC-Width_skew,5.645408388837247
FSC-Width_kurtosis,108.02613316315993
FSC-Width_min,535.300048828125
FSC-Width_q05,1011.9873046875
FSC-Width_q25,1107.8240966796875
FSC-Width_q75,1560.2288208007812
FSC-Width_q95,1820.376953125
FSC-Width_max,27773.7890625
FSC-Width_entropy,5.2354505526840605
FSC-Width_num_outliers,107615.0
FSC-Width_num_modes,47.0
Time_mean,42226776.0
Time_median,44041656.0
Time_mode,68709248.0
Time_std,23144096.0
Time_var,535649161576448.0
Time_range,83317720.0
Time_iqr,39300517.0
Time_cv,0.5480905175209045
Time_skew,-0.15352605186546361
Time_kurtosis,-1.1297498548132152
Time_min,0.0
Time_q05,3696759.5
Time_q25,22621815.0
Time_q75,61922332.0
Time_q95,77492316.0
Time_max,83317720.0
Time_entropy,5.178463912157287
Time_num_outliers,0.0
Time_num_modes,11.0
