,0
FSC-H_mean,1192421.25
FSC-H_median,1052948.75
FSC-H_mode,253850.796875
FSC-H_std,696307.5625
FSC-H_var,484844240896.0
FSC-H_range,3766048.5
FSC-H_iqr,1115938.28125
FSC-H_cv,0.5839442610740662
FSC-H_skew,0.5040902335120001
FSC-H_kurtosis,-0.7535199307444631
FSC-H_min,246797.90625
FSC-H_q05,289343.09375
FSC-H_q25,595521.03125
FSC-H_q75,1711459.3125
FSC-H_q95,2418449.375
FSC-H_max,4012846.5
FSC-H_entropy,5.332503929633489
FSC-H_num_outliers,6256.0
FSC-H_num_modes,5.0
FSC-A_mean,1670822.25
FSC-A_median,1379113.125
FSC-A_mode,2140649.0
FSC-A_std,1179168.125
FSC-A_var,1390437597184.0
FSC-A_range,109446392.0
FSC-A_iqr,1445076.75
FSC-A_cv,0.7057412266731262
FSC-A_skew,5.253799340814233
FSC-A_kurtosis,155.32813769166506
FSC-A_min,-1140160.25
FSC-A_q05,344844.953125
FSC-A_q25,838315.25
FSC-A_q75,2283392.0
FSC-A_q95,3562129.25
FSC-A_max,108306232.0
FSC-A_entropy,7.852751435895777
FSC-A_num_outliers,80642.0
FSC-A_num_modes,42.0
SSC-H_mean,799548.1875
SSC-H_median,377067.3125
SSC-H_mode,91303.8984375
SSC-H_std,941175.3125
SSC-H_var,885810921472.0
SSC-H_range,5660626.5
SSC-H_iqr,872538.3203125
SSC-H_cv,1.1771339178085327
SSC-H_skew,1.709068085100224
SSC-H_kurtosis,2.5831576185779346
SSC-H_min,1.600000023841858
SSC-H_q05,55588.55078125
SSC-H_q25,159053.6484375
SSC-H_q75,1031591.96875
SSC-H_q95,2803806.5
SSC-H_max,5660628.0
SSC-H_entropy,5.458696927891928
SSC-H_num_outliers,677520.0
SSC-H_num_modes,3.0
SSC-A_mean,972958.125
SSC-A_median,436665.1875
SSC-A_mode,51100.1015625
SSC-A_std,1439790.0
SSC-A_var,2072995168256.0
SSC-A_range,146594688.0
SSC-A_iqr,1045731.4609375
SSC-A_cv,1.4798067808151245
SSC-A_skew,10.712904199898349
SSC-A_kurtosis,296.21046636262935
SSC-A_min,-7443431.0
SSC-A_q05,64455.8984375
SSC-A_q25,188303.3515625
SSC-A_q75,1234034.8125
SSC-A_q95,3378423.75
SSC-A_max,139151264.0
SSC-A_entropy,8.417400199926295
SSC-A_num_outliers,658453.0
SSC-A_num_modes,33.0
CD103 FITC-H_mean,4679.46826171875
CD103 FITC-H_median,662.2000122070312
CD103 FITC-H_mode,464.1000061035156
CD103 FITC-H_std,60994.69921875
CD103 FITC-H_var,3720353536.0
CD103 FITC-H_range,5678199.0
CD103 FITC-H_iqr,2542.300048828125
CD103 FITC-H_cv,13.034536361694336
CD103 FITC-H_skew,68.9176385867816
CD103 FITC-H_kurtosis,5630.829309125001
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,318.29998779296875
CD103 FITC-H_q25,466.0
CD103 FITC-H_q75,3008.300048828125
CD103 FITC-H_q95,12106.900390625
CD103 FITC-H_max,5678199.0
CD103 FITC-H_entropy,5.653048450521036
CD103 FITC-H_num_outliers,638282.0
CD103 FITC-H_num_modes,56.0
CD103 FITC-A_mean,5801.98779296875
CD103 FITC-A_median,587.5999755859375
CD103 FITC-A_mode,162.10000610351562
CD103 FITC-A_std,116630.7890625
CD103 FITC-A_var,13602740224.0
CD103 FITC-A_range,87837760.0
CD103 FITC-A_iqr,3146.800003051758
CD103 FITC-A_cv,20.10186767578125
CD103 FITC-A_skew,176.43052696965938
CD103 FITC-A_kurtosis,69119.16121373518
CD103 FITC-A_min,-12267.400390625
CD103 FITC-A_q05,-265.5
CD103 FITC-A_q25,149.1999969482422
CD103 FITC-A_q75,3296.0
CD103 FITC-A_q95,15034.9501953125
CD103 FITC-A_max,87825496.0
CD103 FITC-A_entropy,10.504409292656149
CD103 FITC-A_num_outliers,654468.0
CD103 FITC-A_num_modes,22.0
B7 PE-H_mean,5822.5654296875
B7 PE-H_median,1028.199951171875
B7 PE-H_mode,736.9000244140625
B7 PE-H_std,47831.89453125
B7 PE-H_var,2287890176.0
B7 PE-H_range,5703234.5
B7 PE-H_iqr,3451.4000854492188
B7 PE-H_cv,8.214917182922363
B7 PE-H_skew,75.4223086369401
B7 PE-H_kurtosis,7244.808483671217
B7 PE-H_min,0.0
B7 PE-H_q05,400.1000061035156
B7 PE-H_q25,692.7000122070312
B7 PE-H_q75,4144.10009765625
B7 PE-H_q95,23528.5498046875
B7 PE-H_max,5703234.5
B7 PE-H_entropy,5.819937590207158
B7 PE-H_num_outliers,793355.0
B7 PE-H_num_modes,57.0
B7 PE-A_mean,7427.47412109375
B7 PE-A_median,1071.9000244140625
B7 PE-A_mode,136.10000610351562
B7 PE-A_std,91295.796875
B7 PE-A_var,8334922240.0
B7 PE-A_range,86641696.0
B7 PE-A_iqr,4846.800094604492
B7 PE-A_cv,12.291634559631348
B7 PE-A_skew,266.4983494731304
B7 PE-A_kurtosis,160765.18862574955
B7 PE-A_min,-58988.69921875
B7 PE-A_q05,-842.2999877929688
B7 PE-A_q25,140.3000030517578
B7 PE-A_q75,4987.10009765625
B7 PE-A_q95,30252.0
B7 PE-A_max,86582704.0
B7 PE-A_entropy,10.384595881692405
B7 PE-A_num_outliers,786649.0
B7 PE-A_num_modes,25.0
CD38 PC7-H_mean,15773.31640625
CD38 PC7-H_median,1987.800048828125
CD38 PC7-H_mode,980.2000122070312
CD38 PC7-H_std,49774.3046875
CD38 PC7-H_var,2477481472.0
CD38 PC7-H_range,5733083.0
CD38 PC7-H_iqr,11445.400024414062
CD38 PC7-H_cv,3.155601739883423
CD38 PC7-H_skew,11.001008279185434
CD38 PC7-H_kurtosis,330.4699516945645
CD38 PC7-H_min,0.10000000149011612
CD38 PC7-H_q05,608.7999877929688
CD38 PC7-H_q25,1158.5999755859375
CD38 PC7-H_q75,12604.0
CD38 PC7-H_q95,73411.15234375
CD38 PC7-H_max,5733083.0
CD38 PC7-H_entropy,5.499514056073208
CD38 PC7-H_num_outliers,709565.0
CD38 PC7-H_num_modes,32.0
CD38 PC7-A_mean,19832.458984375
CD38 PC7-A_median,2125.89990234375
CD38 PC7-A_mode,937.7000122070312
CD38 PC7-A_std,66777.2578125
CD38 PC7-A_var,4459202048.0
CD38 PC7-A_range,31750888.0
CD38 PC7-A_iqr,15301.800415039062
CD38 PC7-A_cv,3.3670690059661865
CD38 PC7-A_skew,47.5778844502373
CD38 PC7-A_kurtosis,14926.186229304112
CD38 PC7-A_min,-3220.39990234375
CD38 PC7-A_q05,239.1999969482422
CD38 PC7-A_q25,1025.5999755859375
CD38 PC7-A_q75,16327.400390625
CD38 PC7-A_q95,93692.09765625
CD38 PC7-A_max,31747668.0
CD38 PC7-A_entropy,7.268784235016202
CD38 PC7-A_num_outliers,701702.0
CD38 PC7-A_num_modes,17.0
CD8 APC-H_mean,34905.10546875
CD8 APC-H_median,543.9000244140625
CD8 APC-H_mode,369.5
CD8 APC-H_std,139246.34375
CD8 APC-H_var,19389544448.0
CD8 APC-H_range,5641359.0
CD8 APC-H_iqr,477.0999755859375
CD8 APC-H_cv,3.9892830848693848
CD8 APC-H_skew,4.328491984668638
CD8 APC-H_kurtosis,19.787495496775882
CD8 APC-H_min,0.0
CD8 APC-H_q05,210.10000610351562
CD8 APC-H_q25,369.5
CD8 APC-H_q75,846.5999755859375
CD8 APC-H_q95,374204.796875
CD8 APC-H_max,5641359.0
CD8 APC-H_entropy,6.935428585770393
CD8 APC-H_num_outliers,873255.0
CD8 APC-H_num_modes,11.0
CD8 APC-A_mean,50478.71875
CD8 APC-A_median,139.0
CD8 APC-A_mode,-33.5
CD8 APC-A_std,205414.859375
CD8 APC-A_var,42195263488.0
CD8 APC-A_range,29538256.0
CD8 APC-A_iqr,713.7999877929688
CD8 APC-A_cv,4.0693359375
CD8 APC-A_skew,5.169886676314436
CD8 APC-A_kurtosis,119.97665492954623
CD8 APC-A_min,-16206.0
CD8 APC-A_q05,-447.79998779296875
CD8 APC-A_q25,-138.0
CD8 APC-A_q75,575.7999877929688
CD8 APC-A_q95,552866.6875
CD8 APC-A_max,29522050.0
CD8 APC-A_entropy,8.92139363977724
CD8 APC-A_num_outliers,838900.0
CD8 APC-A_num_modes,19.0
FSC-Width_mean,1404.6737060546875
FSC-Width_median,1390.120361328125
FSC-Width_mode,1259.1107177734375
FSC-Width_std,255.70431518554688
FSC-Width_var,65384.6953125
FSC-Width_range,29923.6328125
FSC-Width_iqr,232.40350341796875
FSC-Width_cv,0.18203823268413544
FSC-Width_skew,7.15905504232711
FSC-Width_kurtosis,236.7220431476907
FSC-Width_min,-1773.7501220703125
FSC-Width_q05,1072.4872436523438
FSC-Width_q25,1271.4558715820312
FSC-Width_q75,1503.859375
FSC-Width_q95,1735.00439453125
FSC-Width_max,28149.8828125
FSC-Width_entropy,5.82766794183775
FSC-Width_num_outliers,223948.0
FSC-Width_num_modes,37.0
Time_mean,28348586.0
Time_median,28381316.0
Time_mode,37600916.0
Time_std,15412671.0
Time_var,237550413283328.0
Time_range,56881420.0
Time_iqr,26169716.0
Time_cv,0.5436839461326599
Time_skew,-0.003424739867479392
Time_kurtosis,-1.1375373324285825
Time_min,0.0
Time_q05,4057193.5
Time_q25,15267766.0
Time_q75,41437482.0
Time_q95,52584194.0
Time_max,56881420.0
Time_entropy,5.3400918920196885
Time_num_outliers,0.0
Time_num_modes,13.0
