,0
FSC-H_mean,1393421.625
FSC-H_median,1570175.5
FSC-H_mode,2195076.0
FSC-H_std,778724.1875
FSC-H_var,606411358208.0
FSC-H_range,5913203.0
FSC-H_iqr,1494731.8125
FSC-H_cv,0.5588575601577759
FSC-H_skew,-0.0645369609711914
FSC-H_kurtosis,-1.3057237224155422
FSC-H_min,237345.796875
FSC-H_q05,277049.3125
FSC-H_q25,578422.1875
FSC-H_q75,2073154.0
FSC-H_q95,2503677.4625
FSC-H_max,6150549.0
FSC-H_entropy,4.952856825710716
FSC-H_num_outliers,1.0
FSC-H_num_modes,4.0
FSC-A_mean,1897734.125
FSC-A_median,1999595.5
FSC-A_mode,2109444.0
FSC-A_std,1228646.75
FSC-A_var,1509572739072.0
FSC-A_range,100993416.0
FSC-A_iqr,2114773.109375
FSC-A_cv,0.6474282741546631
FSC-A_skew,2.8031980495358355
FSC-A_kurtosis,87.07902450429627
FSC-A_min,-386676.8125
FSC-A_q05,301428.8125
FSC-A_q25,777274.140625
FSC-A_q75,2892047.25
FSC-A_q95,3578149.587499999
FSC-A_max,100606736.0
FSC-A_entropy,7.1955849172074515
FSC-A_num_outliers,12766.0
FSC-A_num_modes,38.0
SSC-H_mean,916387.5625
SSC-H_median,381028.3125
SSC-H_mode,74592.5
SSC-H_std,1020869.0
SSC-H_var,1042173526016.0
SSC-H_range,5661027.5
SSC-H_iqr,1472371.359375
SSC-H_cv,1.1140145063400269
SSC-H_skew,1.3777058131310442
SSC-H_kurtosis,1.2645724634696576
SSC-H_min,4.5
SSC-H_q05,72144.53046875
SSC-H_q25,184243.171875
SSC-H_q75,1656614.53125
SSC-H_q95,2966205.049999997
SSC-H_max,5661032.0
SSC-H_entropy,4.8132160542647044
SSC-H_num_outliers,58067.0
SSC-H_num_modes,4.0
SSC-A_mean,1087975.125
SSC-A_median,435311.3125
SSC-A_mode,84501.5
SSC-A_std,1427767.0
SSC-A_var,2038518775808.0
SSC-A_range,93332888.0
SSC-A_iqr,1687037.50390625
SSC-A_cv,1.312315821647644
SSC-A_skew,7.183187645293804
SSC-A_kurtosis,164.63190889600384
SSC-A_min,-1318285.75
SSC-A_q05,74300.61679687501
SSC-A_q25,205465.87109375
SSC-A_q75,1892503.375
SSC-A_q95,3557716.4625
SSC-A_max,92014600.0
SSC-A_entropy,7.106444918564211
SSC-A_num_outliers,87421.0
SSC-A_num_modes,41.0
CD103 FITC-H_mean,5320.119140625
CD103 FITC-H_median,1754.800048828125
CD103 FITC-H_mode,468.5
CD103 FITC-H_std,46434.484375
CD103 FITC-H_var,2156161280.0
CD103 FITC-H_range,5678093.0
CD103 FITC-H_iqr,3390.0001220703125
CD103 FITC-H_cv,8.7280912399292
CD103 FITC-H_skew,69.75215275457532
CD103 FITC-H_kurtosis,6780.508218726798
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,347.5
CD103 FITC-H_q25,568.0999755859375
CD103 FITC-H_q75,3958.10009765625
CD103 FITC-H_q95,13782.784863281213
CD103 FITC-H_max,5678093.0
CD103 FITC-H_entropy,5.729136653377138
CD103 FITC-H_num_outliers,418151.0
CD103 FITC-H_num_modes,59.0
CD103 FITC-A_mean,6404.71728515625
CD103 FITC-A_median,1782.0
CD103 FITC-A_mode,170.10000610351562
CD103 FITC-A_std,84508.921875
CD103 FITC-A_var,7141757440.0
CD103 FITC-A_range,38808288.0
CD103 FITC-A_iqr,4218.799987792969
CD103 FITC-A_cv,13.194793701171875
CD103 FITC-A_skew,174.81991516318152
CD103 FITC-A_kurtosis,48443.9116792263
CD103 FITC-A_min,-16290.099609375
CD103 FITC-A_q05,-175.1999969482422
CD103 FITC-A_q25,389.70001220703125
CD103 FITC-A_q75,4608.5
CD103 FITC-A_q95,17160.885449218713
CD103 FITC-A_max,38791996.0
CD103 FITC-A_entropy,8.261839096234484
CD103 FITC-A_num_outliers,423305.0
CD103 FITC-A_num_modes,38.0
B7 PE-H_mean,7076.29541015625
B7 PE-H_median,2376.89990234375
B7 PE-H_mode,844.4000244140625
B7 PE-H_std,40753.2265625
B7 PE-H_var,1660825600.0
B7 PE-H_range,5703594.0
B7 PE-H_iqr,4711.9000244140625
B7 PE-H_cv,5.759119033813477
B7 PE-H_skew,80.0431664794529
B7 PE-H_kurtosis,8889.029652150348
B7 PE-H_min,0.0
