,0
FSC-H_mean,854160.0
FSC-H_median,463905.90625
FSC-H_mode,254522.59375
FSC-H_std,727505.375
FSC-H_var,529264082944.0
FSC-H_range,3755545.75
FSC-H_iqr,1044796.96875
FSC-H_cv,0.8517202734947205
FSC-H_skew,1.4030438499445723
FSC-H_kurtosis,1.513989030589891
FSC-H_min,244564.90625
FSC-H_q05,261372.9296875
FSC-H_q25,319701.40625
FSC-H_q75,1364498.375
FSC-H_q95,2349654.5
FSC-H_max,4000110.75
FSC-H_entropy,4.773639183170472
FSC-H_num_outliers,73233.0
FSC-H_num_modes,5.0
FSC-A_mean,1263132.375
FSC-A_median,523668.9375
FSC-A_mode,271400.1875
FSC-A_std,1828659.25
FSC-A_var,3343994585088.0
FSC-A_range,106471648.0
FSC-A_iqr,1500378.125
FSC-A_cv,1.4477177858352661
FSC-A_skew,7.6548485111373905
FSC-A_kurtosis,133.78275262982433
FSC-A_min,64212.30078125
FSC-A_q05,273767.9296875
FSC-A_q25,348790.8125
FSC-A_q75,1849168.9375
FSC-A_q95,3648333.5
FSC-A_max,106535864.0
FSC-A_entropy,7.401883666808192
FSC-A_num_outliers,160926.0
FSC-A_num_modes,43.0
SSC-H_mean,575202.75
SSC-H_median,165832.296875
SSC-H_mode,96682.8984375
SSC-H_std,1032927.0625
SSC-H_var,1066938335232.0
SSC-H_range,5660350.0
SSC-H_iqr,220280.5625
SSC-H_cv,1.7957617044448853
SSC-H_skew,2.6120324748829287
SSC-H_kurtosis,6.243205164947435
SSC-H_min,5.199999809265137
SSC-H_q05,73601.626953125
SSC-H_q25,108878.6015625
SSC-H_q75,329159.1640625
SSC-H_q95,3128238.5625
SSC-H_max,5660355.0
SSC-H_entropy,5.871824540313316
SSC-H_num_outliers,841652.0
SSC-H_num_modes,3.0
SSC-A_mean,796012.375
SSC-A_median,168747.90625
SSC-A_mode,98014.703125
SSC-A_std,2197989.5
SSC-A_var,4831157682176.0
SSC-A_range,146823968.0
SSC-A_iqr,260878.53125
SSC-A_cv,2.7612504959106445
SSC-A_skew,9.812526019241826
SSC-A_kurtosis,175.25443140249212
SSC-A_min,-99987.0
SSC-A_q05,70478.296875
SSC-A_q25,107248.2265625
SSC-A_q75,368126.7578125
SSC-A_q95,3837942.0
SSC-A_max,146723984.0
SSC-A_entropy,9.344818291172896
SSC-A_num_outliers,856550.0
SSC-A_num_modes,44.0
CD103 FITC-H_mean,4660.4833984375
CD103 FITC-H_median,778.0999755859375
CD103 FITC-H_mode,526.2000122070312
CD103 FITC-H_std,47878.34375
CD103 FITC-H_var,2292335616.0
CD103 FITC-H_range,5677081.5
CD103 FITC-H_iqr,1823.8001098632812
CD103 FITC-H_cv,10.2732572555542
CD103 FITC-H_skew,47.78424451053767
CD103 FITC-H_kurtosis,3761.747120944361
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,351.29998779296875
CD103 FITC-H_q25,522.7999877929688
CD103 FITC-H_q75,2346.60009765625
CD103 FITC-H_q95,10669.900390625
CD103 FITC-H_max,5677081.5
CD103 FITC-H_entropy,5.952832565254147
CD103 FITC-H_num_outliers,672967.0
CD103 FITC-H_num_modes,62.0
CD103 FITC-A_mean,5698.99169921875
CD103 FITC-A_median,662.2000122070312
CD103 FITC-A_mode,292.79998779296875
CD103 FITC-A_std,75295.2890625
CD103 FITC-A_var,5669380608.0
CD103 FITC-A_range,35860980.0
CD103 FITC-A_iqr,2204.0999145507812
CD103 FITC-A_cv,13.212037086486816
CD103 FITC-A_skew,154.5641069151518
CD103 FITC-A_kurtosis,48212.97351753876
CD103 FITC-A_min,-9114.400390625
CD103 FITC-A_q05,-90.80000305175781
CD103 FITC-A_q25,265.29998779296875
CD103 FITC-A_q75,2469.39990234375
CD103 FITC-A_q95,14336.675048828125
CD103 FITC-A_max,35851864.0
CD103 FITC-A_entropy,8.440501587096248
CD103 FITC-A_num_outliers,737451.0
CD103 FITC-A_num_modes,36.0
B7 PE-H_mean,6487.9931640625
B7 PE-H_median,890.2000122070312
B7 PE-H_mode,594.7999877929688
B7 PE-H_std,36519.6015625
B7 PE-H_var,1333681408.0
B7 PE-H_range,5703589.5
B7 PE-H_iqr,3472.9999389648438
B7 PE-H_cv,5.628798007965088
B7 PE-H_skew,55.135693423514994
B7 PE-H_kurtosis,5878.720731562291
B7 PE-H_min,0.0
B7 PE-H_q05,367.1000061035156
B7 PE-H_q25,602.2000122070312
B7 PE-H_q75,4075.199951171875
B7 PE-H_q95,28541.599609375
B7 PE-H_max,5703589.5
B7 PE-H_entropy,5.69195012185076
B7 PE-H_num_outliers,646123.0
B7 PE-H_num_modes,54.0
B7 PE-A_mean,8490.0126953125
B7 PE-A_median,810.5999755859375
B7 PE-A_mode,250.6999969482422
B7 PE-A_std,68361.3828125
B7 PE-A_var,4673278464.0
B7 PE-A_range,42113764.0
B7 PE-A_iqr,4731.27490234375
B7 PE-A_cv,8.051976203918457
B7 PE-A_skew,244.5553881818797
B7 PE-A_kurtosis,111828.3971745243
B7 PE-A_min,-48379.19921875
B7 PE-A_q05,-415.8999938964844
B7 PE-A_q25,198.5
B7 PE-A_q75,4929.77490234375
B7 PE-A_q95,38332.775390625
B7 PE-A_max,42065384.0
B7 PE-A_entropy,8.444459450836108
B7 PE-A_num_outliers,674862.0
B7 PE-A_num_modes,32.0
CD38 PC7-H_mean,15527.40625
CD38 PC7-H_median,3707.89990234375
CD38 PC7-H_mode,1776.0999755859375
CD38 PC7-H_std,47453.01953125
CD38 PC7-H_var,2251789056.0
CD38 PC7-H_range,5733523.0
CD38 PC7-H_iqr,7674.799560546875
CD38 PC7-H_cv,3.056081533432007
CD38 PC7-H_skew,15.36741637750988
CD38 PC7-H_kurtosis,888.1131571781006
CD38 PC7-H_min,1.899999976158142
CD38 PC7-H_q05,1076.699951171875
CD38 PC7-H_q25,2092.800048828125
CD38 PC7-H_q75,9767.599609375
CD38 PC7-H_q95,69380.796875
CD38 PC7-H_max,5733525.0
CD38 PC7-H_entropy,6.070963423436038
CD38 PC7-H_num_outliers,693412.0
CD38 PC7-H_num_modes,38.0
CD38 PC7-A_mean,20566.45703125
CD38 PC7-A_median,3711.39990234375
CD38 PC7-A_mode,1553.699951171875
CD38 PC7-A_std,79707.6171875
CD38 PC7-A_var,6353304064.0
CD38 PC7-A_range,41243408.0
CD38 PC7-A_iqr,10129.375
CD38 PC7-A_cv,3.875612497329712
CD38 PC7-A_skew,83.20306420140412
CD38 PC7-A_kurtosis,26651.16052422989
CD38 PC7-A_min,-4283.39990234375
CD38 PC7-A_q05,801.2999877929688
CD38 PC7-A_q25,1912.300048828125
CD38 PC7-A_q75,12041.675048828125
CD38 PC7-A_q95,92755.3984375
CD38 PC7-A_max,41239124.0
CD38 PC7-A_entropy,8.220321860269229
CD38 PC7-A_num_outliers,720052.0
CD38 PC7-A_num_modes,23.0
CD8 APC-H_mean,27621.412109375
CD8 APC-H_median,717.0
CD8 APC-H_mode,469.29998779296875
CD8 APC-H_std,117076.9296875
CD8 APC-H_var,13707008000.0
CD8 APC-H_range,5641431.5
CD8 APC-H_iqr,976.8999938964844
CD8 APC-H_cv,4.238629341125488
CD8 APC-H_skew,5.020451429508197
CD8 APC-H_kurtosis,28.78616710909367
CD8 APC-H_min,0.0
CD8 APC-H_q05,262.70001220703125
CD8 APC-H_q25,461.6000061035156
CD8 APC-H_q75,1438.5
CD8 APC-H_q95,137954.42578125
CD8 APC-H_max,5641431.5
CD8 APC-H_entropy,6.618811205881569
CD8 APC-H_num_outliers,736313.0
CD8 APC-H_num_modes,16.0
CD8 APC-A_mean,39814.84375
CD8 APC-A_median,469.6000061035156
CD8 APC-A_mode,151.6999969482422
CD8 APC-A_std,172375.0
CD8 APC-A_var,29713139712.0
CD8 APC-A_range,27333136.0
CD8 APC-A_iqr,1378.0999755859375
CD8 APC-A_cv,4.329415321350098
CD8 APC-A_skew,6.495676823205721
CD8 APC-A_kurtosis,250.9236947366983
CD8 APC-A_min,-4116.7001953125
CD8 APC-A_q05,-212.8000030517578
CD8 APC-A_q25,117.5
CD8 APC-A_q75,1495.5999755859375
CD8 APC-A_q95,201148.42578125
CD8 APC-A_max,27329020.0
CD8 APC-A_entropy,8.389823053184761
CD8 APC-A_num_outliers,765248.0
CD8 APC-A_num_modes,10.0
FSC-Width_mean,1284.8310546875
FSC-Width_median,1181.458251953125
FSC-Width_mode,1088.0
