,0
FSC-H_mean,837404.1875
FSC-H_median,427771.6875
FSC-H_mode,253635.90625
FSC-H_std,736733.6875
FSC-H_var,542776492032.0
FSC-H_range,3810436.5
FSC-H_iqr,1067285.375
FSC-H_cv,0.8797826766967773
FSC-H_skew,1.1142131508308684
FSC-H_kurtosis,-0.36807506520691646
FSC-H_min,189421.796875
FSC-H_q05,260127.203125
FSC-H_q25,311588.75
FSC-H_q75,1378874.125
FSC-H_q95,2304705.0
FSC-H_max,3999858.25
FSC-H_entropy,4.714325019974904
FSC-H_num_outliers,4442.0
FSC-H_num_modes,4.0
FSC-A_mean,1168876.25
FSC-A_median,541865.8125
FSC-A_mode,362545.3125
FSC-A_std,1169145.875
FSC-A_var,1366902046720.0
FSC-A_range,108697920.0
FSC-A_iqr,1484295.546875
FSC-A_cv,1.0002306699752808
FSC-A_skew,2.510071527295469
FSC-A_kurtosis,70.92948293099687
FSC-A_min,-608156.375
FSC-A_q05,279228.40625
FSC-A_q25,380009.453125
FSC-A_q75,1864305.0
FSC-A_q95,3434321.4499999997
FSC-A_max,108089760.0
FSC-A_entropy,7.541428191074363
FSC-A_num_outliers,43359.0
FSC-A_num_modes,44.0
SSC-H_mean,686153.1875
SSC-H_median,201464.703125
SSC-H_mode,50282.3984375
SSC-H_std,974111.75
SSC-H_var,948893646848.0
SSC-H_range,5660230.0
SSC-H_iqr,500290.01171875
SSC-H_cv,1.4196709394454956
SSC-H_skew,1.6489281762597068
SSC-H_kurtosis,1.5157064796735984
SSC-H_min,0.10000000149011612
SSC-H_q05,44074.1015625
SSC-H_q25,101674.55078125
SSC-H_q75,601964.5625
SSC-H_q95,2828475.124999999
SSC-H_max,5660230.0
SSC-H_entropy,5.619592029799538
SSC-H_num_outliers,1714897.0
SSC-H_num_modes,3.0
SSC-A_mean,803140.5
SSC-A_median,218916.296875
SSC-A_mode,108523.6015625
SSC-A_std,1200478.625
SSC-A_var,1441148829696.0
SSC-A_range,100915680.0
SSC-A_iqr,598620.046875
SSC-A_cv,1.4947304725646973
SSC-A_skew,2.8887721812547764
SSC-A_kurtosis,50.2270987732148
SSC-A_min,-5831108.0
SSC-A_q05,45349.810546875
SSC-A_q25,106306.203125
SSC-A_q75,704926.25
SSC-A_q95,3340957.424999998
SSC-A_max,95084568.0
SSC-A_entropy,8.209979338990241
SSC-A_num_outliers,1718892.0
SSC-A_num_modes,42.0
CD103 FITC-H_mean,2376.085693359375
CD103 FITC-H_median,616.5
CD103 FITC-H_mode,443.8999938964844
CD103 FITC-H_std,20069.564453125
CD103 FITC-H_var,402787456.0
CD103 FITC-H_range,5602370.0
CD103 FITC-H_iqr,2280.7998962402344
CD103 FITC-H_cv,8.446481704711914
CD103 FITC-H_skew,83.84701985649455
CD103 FITC-H_kurtosis,11640.94757482874
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,295.29998779296875
CD103 FITC-H_q25,445.1000061035156
CD103 FITC-H_q75,2725.89990234375
CD103 FITC-H_q95,6349.7998046875
CD103 FITC-H_max,5602370.0
CD103 FITC-H_entropy,5.514927496507107
CD103 FITC-H_num_outliers,427124.0
CD103 FITC-H_num_modes,56.0
CD103 FITC-A_mean,2693.13525390625
CD103 FITC-A_median,544.7999877929688
CD103 FITC-A_mode,200.3000030517578
CD103 FITC-A_std,26358.4765625
CD103 FITC-A_var,694769280.0
CD103 FITC-A_range,24675046.0
CD103 FITC-A_iqr,2868.999954223633
CD103 FITC-A_cv,9.787282943725586
CD103 FITC-A_skew,183.95036709636605
CD103 FITC-A_kurtosis,107692.79631276848
CD103 FITC-A_min,-69664.8984375
CD103 FITC-A_q05,-231.39999389648438
CD103 FITC-A_q25,163.1999969482422
CD103 FITC-A_q75,3032.199951171875
CD103 FITC-A_q95,8071.789843749944
CD103 FITC-A_max,24605382.0
CD103 FITC-A_entropy,7.45094661299302
CD103 FITC-A_num_outliers,461581.0
CD103 FITC-A_num_modes,17.0
B7 PE-H_mean,3001.05078125
B7 PE-H_median,867.9000244140625
B7 PE-H_mode,595.5
B7 PE-H_std,15094.57421875
B7 PE-H_var,227846160.0
B7 PE-H_range,5702103.5
B7 PE-H_iqr,2786.2000732421875
B7 PE-H_cv,5.029763221740723
B7 PE-H_skew,87.27146742609564
B7 PE-H_kurtosis,19195.907975419294
B7 PE-H_min,0.0
B7 PE-H_q05,322.70001220703125
B7 PE-H_q25,585.9000244140625
B7 PE-H_q75,3372.10009765625
B7 PE-H_q95,6883.889892578069
B7 PE-H_max,5702103.5
B7 PE-H_entropy,5.666682253662861
B7 PE-H_num_outliers,367682.0
B7 PE-H_num_modes,39.0
B7 PE-A_mean,3620.530517578125
B7 PE-A_median,941.9000244140625
B7 PE-A_mode,274.8999938964844
B7 PE-A_std,24067.46484375
B7 PE-A_var,579242880.0
B7 PE-A_range,26716722.0
B7 PE-A_iqr,3745.4999084472656
B7 PE-A_cv,6.647496700286865
B7 PE-A_skew,339.77491361632457
B7 PE-A_kurtosis,293078.4874350101
B7 PE-A_min,-105035.203125
B7 PE-A_q05,-595.7000122070312
B7 PE-A_q25,205.39999389648438
B7 PE-A_q75,3950.89990234375
B7 PE-A_q95,9681.2998046875
B7 PE-A_max,26611686.0
B7 PE-A_entropy,7.725608370251172
B7 PE-A_num_outliers,415853.0
B7 PE-A_num_modes,16.0
CD38 PC7-H_mean,10310.4091796875
CD38 PC7-H_median,2860.699951171875
CD38 PC7-H_mode,1256.9000244140625
CD38 PC7-H_std,32361.51171875
CD38 PC7-H_var,1047267392.0
CD38 PC7-H_range,5735835.5
CD38 PC7-H_iqr,7077.1002197265625
CD38 PC7-H_cv,3.1387224197387695
CD38 PC7-H_skew,24.973616560955154
CD38 PC7-H_kurtosis,2697.1199945265753
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,819.2000122070312
CD38 PC7-H_q25,1596.0999755859375
CD38 PC7-H_q75,8673.2001953125
CD38 PC7-H_q95,34279.0
CD38 PC7-H_max,5735835.5
CD38 PC7-H_entropy,5.989178025023792
CD38 PC7-H_num_outliers,681494.0
CD38 PC7-H_num_modes,38.0
CD38 PC7-A_mean,12958.2958984375
CD38 PC7-A_median,3009.199951171875
CD38 PC7-A_mode,1293.4000244140625
CD38 PC7-A_std,54625.06640625
CD38 PC7-A_var,2983897856.0
CD38 PC7-A_range,60686884.0
CD38 PC7-A_iqr,9242.400024414062
CD38 PC7-A_cv,4.215451240539551
CD38 PC7-A_skew,338.5869616959376
CD38 PC7-A_kurtosis,305506.0142954983
CD38 PC7-A_min,-134520.0
CD38 PC7-A_q05,489.79998779296875
CD38 PC7-A_q25,1510.5999755859375
CD38 PC7-A_q75,10753.0
CD38 PC7-A_q95,44290.1015625
CD38 PC7-A_max,60552364.0
CD38 PC7-A_entropy,9.115948114029928
CD38 PC7-A_num_outliers,710813.0
CD38 PC7-A_num_modes,16.0
CD8 APC-H_mean,10210.4033203125
CD8 APC-H_median,779.7999877929688
CD8 APC-H_mode,449.8999938964844
CD8 APC-H_std,67511.046875
CD8 APC-H_var,4557741056.0
CD8 APC-H_range,5643380.0
CD8 APC-H_iqr,1026.8999938964844
CD8 APC-H_cv,6.61198616027832
CD8 APC-H_skew,8.872555521437768
CD8 APC-H_kurtosis,112.83613509008738
CD8 APC-H_min,0.0
CD8 APC-H_q05,279.70001220703125
CD8 APC-H_q25,495.6000061035156
CD8 APC-H_q75,1522.5
CD8 APC-H_q95,4411.10009765625
CD8 APC-H_max,5643380.0
CD8 APC-H_entropy,6.401422300586671
CD8 APC-H_num_outliers,615778.0
CD8 APC-H_num_modes,12.0
CD8 APC-A_mean,14227.2158203125
CD8 APC-A_median,514.0999755859375
CD8 APC-A_mode,255.39999389648438
CD8 APC-A_std,99214.8046875
CD8 APC-A_var,9843576832.0
CD8 APC-A_range,24651024.0
CD8 APC-A_iqr,1536.900001525879
CD8 APC-A_cv,6.973592281341553
CD8 APC-A_skew,14.068542590027057
CD8 APC-A_kurtosis,1376.7556428555142
CD8 APC-A_min,-69332.5
CD8 APC-A_q05,-286.6000061035156
CD8 APC-A_q25,107.5999984741211
CD8 APC-A_q75,1644.5
CD8 APC-A_q95,5851.10009765625
CD8 APC-A_max,24581692.0
CD8 APC-A_entropy,8.004243581424582
CD8 APC-A_num_outliers,605837.0
CD8 APC-A_num_modes,12.0
FSC-Width_mean,1331.8436279296875
FSC-Width_median,1313.7867431640625
FSC-Width_mode,1152.0
FSC-Width_std,246.67909240722656
FSC-Width_var,60850.578125
FSC-Width_range,29738.654296875
FSC-Width_iqr,339.93310546875
FSC-Width_cv,0.1852162629365921
FSC-Width_skew,3.534784451674764
FSC-Width_kurtosis,142.273171452024
FSC-Width_min,-1674.894775390625
FSC-Width_q05,1021.6464294433594
FSC-Width_q25,1142.5692749023438
FSC-Width_q75,1482.5023803710938
FSC-Width_q95,1691.6220336914062
FSC-Width_max,28063.759765625
FSC-Width_entropy,5.554836679835616
FSC-Width_num_outliers,108844.0
FSC-Width_num_modes,45.0
Time_mean,46437408.0
Time_median,48239488.0
Time_mode,91272400.0
Time_std,26415198.0
Time_var,697762735718400.0
Time_range,92874008.0
Time_iqr,45513121.0
Time_cv,0.5688344836235046
Time_skew,-0.03577523804161231
Time_kurtosis,-1.191210380475204
Time_min,36.5
Time_q05,4854642.9
Time_q25,23275431.0
Time_q75,68788552.0
Time_q95,87243303.19999999
Time_max,92874048.0
Time_entropy,5.324447551113485
Time_num_outliers,0.0
Time_num_modes,8.0
