,0
FSC-H_mean,661927.0625
FSC-H_median,418337.6875
FSC-H_mode,278395.59375
FSC-H_std,591345.3125
FSC-H_var,349689282560.0
FSC-H_range,3766218.5
FSC-H_iqr,334620.59375
FSC-H_cv,0.8933693170547485
FSC-H_skew,2.0040231021639436
FSC-H_kurtosis,2.925594309460398
FSC-H_min,225089.90625
FSC-H_q05,260597.90625
FSC-H_q25,313225.09375
FSC-H_q75,647845.6875
FSC-H_q95,2259229.4499999983
FSC-H_max,3991308.5
FSC-H_entropy,5.743248340504654
FSC-H_num_outliers,1409090.0
FSC-H_num_modes,4.0
FSC-A_mean,916004.4375
FSC-A_median,524943.1875
FSC-A_mode,295546.09375
FSC-A_std,1000725.0625
FSC-A_var,1001450635264.0
FSC-A_range,96792992.0
FSC-A_iqr,443029.28125
FSC-A_cv,1.0924893617630005
FSC-A_skew,3.646714738316812
FSC-A_kurtosis,89.8149541864045
FSC-A_min,-1583505.25
FSC-A_q05,285918.6875
FSC-A_q25,378279.59375
FSC-A_q75,821308.875
FSC-A_q95,3557599.549999999
FSC-A_max,95209488.0
FSC-A_entropy,8.507625619790852
FSC-A_num_outliers,1459468.0
FSC-A_num_modes,43.0
SSC-H_mean,373817.71875
SSC-H_median,136292.203125
SSC-H_mode,32840.1015625
SSC-H_std,696834.25
SSC-H_var,485578014720.0
SSC-H_range,5660726.0
SSC-H_iqr,189217.8984375
SSC-H_cv,1.864101767539978
SSC-H_skew,3.0252889340288567
SSC-H_kurtosis,8.651567184359887
SSC-H_min,0.30000001192092896
SSC-H_q05,34312.8984375
SSC-H_q25,70661.1015625
SSC-H_q75,259879.0
SSC-H_q95,2305258.6499999985
SSC-H_max,5660726.5
SSC-H_entropy,6.038525820028139
SSC-H_num_outliers,1058761.0
SSC-H_num_modes,5.0
SSC-A_mean,454348.90625
SSC-A_median,150687.203125
SSC-A_mode,33226.6015625
SSC-A_std,913938.875
SSC-A_var,835284238336.0
SSC-A_range,118373368.0
SSC-A_iqr,216221.203125
SSC-A_cv,2.011535406112671
SSC-A_skew,5.627417953218015
SSC-A_kurtosis,167.24530342575272
SSC-A_min,-1674699.25
SSC-A_q05,35632.9796875
SSC-A_q25,79008.203125
SSC-A_q75,295229.40625
SSC-A_q95,2823632.799999999
SSC-A_max,116698672.0
SSC-A_entropy,9.25697466442779
SSC-A_num_outliers,1100700.0
SSC-A_num_modes,36.0
CD103 FITC-H_mean,1453.5654296875
CD103 FITC-H_median,524.9000244140625
CD103 FITC-H_mode,450.3999938964844
CD103 FITC-H_std,22702.8984375
CD103 FITC-H_var,515421568.0
CD103 FITC-H_range,5678838.0
CD103 FITC-H_iqr,312.5
CD103 FITC-H_cv,15.618765830993652
CD103 FITC-H_skew,126.4321207716912
CD103 FITC-H_kurtosis,22249.56832906884
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,300.6000061035156
CD103 FITC-H_q25,418.79998779296875
CD103 FITC-H_q75,731.2999877929688
CD103 FITC-H_q95,3951.699951171875
CD103 FITC-H_max,5678838.0
CD103 FITC-H_entropy,6.87913262325928
CD103 FITC-H_num_outliers,1692437.0
CD103 FITC-H_num_modes,62.0
CD103 FITC-A_mean,1590.109130859375
CD103 FITC-A_median,374.79998779296875
CD103 FITC-A_mode,176.39999389648438
CD103 FITC-A_std,33927.16796875
CD103 FITC-A_var,1151052672.0
CD103 FITC-A_range,26144150.0
CD103 FITC-A_iqr,682.6000213623047
CD103 FITC-A_cv,21.336376190185547
CD103 FITC-A_skew,269.89300179139536
CD103 FITC-A_kurtosis,134864.4532170714
CD103 FITC-A_min,-4818.60009765625
CD103 FITC-A_q05,-195.8000030517578
CD103 FITC-A_q25,126.30000305175781
CD103 FITC-A_q75,808.9000244140625
CD103 FITC-A_q95,4963.0
CD103 FITC-A_max,26139332.0
CD103 FITC-A_entropy,8.564878938608901
CD103 FITC-A_num_outliers,1481751.0
CD103 FITC-A_num_modes,31.0
B7 PE-H_mean,2402.700927734375
B7 PE-H_median,682.0
B7 PE-H_mode,594.0999755859375
B7 PE-H_std,16581.873046875
B7 PE-H_var,274958496.0
B7 PE-H_range,5704838.5
B7 PE-H_iqr,461.9000244140625
B7 PE-H_cv,6.9013471603393555
B7 PE-H_skew,115.75700242583771
B7 PE-H_kurtosis,27007.62738588122
B7 PE-H_min,0.0
B7 PE-H_q05,332.6000061035156
B7 PE-H_q25,519.0999755859375
B7 PE-H_q75,981.0
B7 PE-H_q95,5985.2001953125
B7 PE-H_max,5704838.5
B7 PE-H_entropy,6.933621952662579
B7 PE-H_num_outliers,1667125.0
B7 PE-H_num_modes,44.0
B7 PE-A_mean,2977.787109375
B7 PE-A_median,563.4000244140625
B7 PE-A_mode,388.8999938964844
B7 PE-A_std,33892.55859375
B7 PE-A_var,1148705408.0
B7 PE-A_range,40598588.0
B7 PE-A_iqr,1211.7999572753906
B7 PE-A_cv,11.381793975830078
B7 PE-A_skew,577.7608716462402
B7 PE-A_kurtosis,563642.0880397742
B7 PE-A_min,-35031.3984375
B7 PE-A_q05,-412.70001220703125
B7 PE-A_q25,138.89999389648438
B7 PE-A_q75,1350.699951171875
B7 PE-A_q95,8402.599609375
B7 PE-A_max,40563556.0
B7 PE-A_entropy,9.36675101521825
B7 PE-A_num_outliers,1516241.0
B7 PE-A_num_modes,15.0
CD38 PC7-H_mean,10798.1884765625
CD38 PC7-H_median,2238.10009765625
CD38 PC7-H_mode,1234.5999755859375
CD38 PC7-H_std,42253.62109375
CD38 PC7-H_var,1785368576.0
CD38 PC7-H_range,5734926.5
CD38 PC7-H_iqr,3470.60009765625
CD38 PC7-H_cv,3.9130287170410156
CD38 PC7-H_skew,15.401661203330267
CD38 PC7-H_kurtosis,803.9066457056585
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,763.2000122070312
CD38 PC7-H_q25,1330.0
CD38 PC7-H_q75,4800.60009765625
CD38 PC7-H_q95,31442.73945312485
CD38 PC7-H_max,5734926.5
CD38 PC7-H_entropy,6.468741698586631
CD38 PC7-H_num_outliers,1444673.0
CD38 PC7-H_num_modes,40.0
CD38 PC7-A_mean,14284.6572265625
CD38 PC7-A_median,2375.300048828125
CD38 PC7-A_mode,1110.5999755859375
CD38 PC7-A_std,64578.51171875
CD38 PC7-A_var,4170384384.0
CD38 PC7-A_range,30686330.0
CD38 PC7-A_iqr,4118.800048828125
CD38 PC7-A_cv,4.520830154418945
CD38 PC7-A_skew,68.94590624902936
CD38 PC7-A_kurtosis,21570.18160989774
CD38 PC7-A_min,-39674.1015625
CD38 PC7-A_q05,472.0
CD38 PC7-A_q25,1265.199951171875
CD38 PC7-A_q75,5384.0
CD38 PC7-A_q95,43287.82031249993
CD38 PC7-A_max,30646656.0
CD38 PC7-A_entropy,8.333307988213432
CD38 PC7-A_num_outliers,1473800.0
CD38 PC7-A_num_modes,30.0
CD8 APC-H_mean,10899.7080078125
CD8 APC-H_median,629.7999877929688
CD8 APC-H_mode,451.20001220703125
CD8 APC-H_std,74968.4140625
CD8 APC-H_var,5620263424.0
CD8 APC-H_range,5642397.5
CD8 APC-H_iqr,634.4000549316406
CD8 APC-H_cv,6.878020286560059
CD8 APC-H_skew,8.687635052368769
CD8 APC-H_kurtosis,97.20130094706788
CD8 APC-H_min,0.0
CD8 APC-H_q05,233.3000030517578
CD8 APC-H_q25,422.3999938964844
CD8 APC-H_q75,1056.800048828125
CD8 APC-H_q95,4146.620117187425
CD8 APC-H_max,5642397.5
CD8 APC-H_entropy,6.694868599030315
CD8 APC-H_num_outliers,1051872.0
CD8 APC-H_num_modes,16.0
CD8 APC-A_mean,14672.7958984375
CD8 APC-A_median,234.89999389648438
CD8 APC-A_mode,80.30000305175781
CD8 APC-A_std,106995.2421875
CD8 APC-A_var,11447981056.0
CD8 APC-A_range,28603742.0
CD8 APC-A_iqr,845.5
CD8 APC-A_cv,7.292082786560059
CD8 APC-A_skew,12.407909468182101
CD8 APC-A_kurtosis,925.8414138434011
CD8 APC-A_min,-25538.900390625
CD8 APC-A_q05,-390.79998779296875
CD8 APC-A_q25,-63.0
CD8 APC-A_q75,782.5
CD8 APC-A_q95,5070.7001953125
CD8 APC-A_max,28578204.0
CD8 APC-A_entropy,8.686894072682637
CD8 APC-A_num_outliers,1151195.0
CD8 APC-A_num_modes,19.0
FSC-Width_mean,1311.457763671875
FSC-Width_median,1253.256103515625
FSC-Width_mode,1152.0
FSC-Width_std,235.1223907470703
FSC-Width_var,55282.5390625
FSC-Width_range,31038.533203125
FSC-Width_iqr,264.3184814453125
FSC-Width_cv,0.1792832314968109
FSC-Width_skew,3.9963661645967785
FSC-Width_kurtosis,127.37414412444383
FSC-Width_min,-2845.153076171875
FSC-Width_q05,1062.9966796875
FSC-Width_q25,1154.03759765625
FSC-Width_q75,1418.3560791015625
FSC-Width_q95,1706.1127197265619
FSC-Width_max,28193.380859375
FSC-Width_entropy,5.717109199030383
FSC-Width_num_outliers,246303.0
FSC-Width_num_modes,38.0
Time_mean,48383476.0
Time_median,47735792.0
Time_mode,57365064.0
Time_std,28196328.0
Time_var,795032940445696.0
Time_range,101401968.0
Time_iqr,50656268.0
Time_cv,0.5827677249908447
Time_skew,0.06066850061347646
Time_kurtosis,-1.1853205080464155
Time_min,0.0
Time_q05,5425009.000000001
Time_q25,23440340.0
