,0
FSC-H_mean,1406754.125
FSC-H_median,1464457.25
FSC-H_mode,1531431.75
FSC-H_std,319866.46875
FSC-H_var,102314549248.0
FSC-H_range,3196087.5
FSC-H_iqr,269165.0
FSC-H_cv,0.22737908363342285
FSC-H_skew,-0.9845730481105037
FSC-H_kurtosis,2.230088299031605
FSC-H_min,249970.0
FSC-H_q05,721383.34375
FSC-H_q25,1313485.1875
FSC-H_q75,1582650.1875
FSC-H_q95,1799311.0625
FSC-H_max,3446057.5
FSC-H_entropy,4.942650789013899
FSC-H_num_outliers,28607.0
FSC-H_num_modes,7.0
FSC-A_mean,1946840.5
FSC-A_median,1980520.25
FSC-A_mode,2198503.75
FSC-A_std,513206.03125
FSC-A_var,263380418560.0
FSC-A_range,7137388.5
FSC-A_iqr,358699.46875
FSC-A_cv,0.26360970735549927
FSC-A_skew,0.4356902987883608
FSC-A_kurtosis,5.588008640650067
FSC-A_min,250446.59375
FSC-A_q05,951870.0
FSC-A_q25,1790865.28125
FSC-A_q75,2149564.75
FSC-A_q95,2658297.75
FSC-A_max,7387835.0
FSC-A_entropy,5.181521795584661
FSC-A_num_outliers,36360.0
FSC-A_num_modes,10.0
SSC-H_mean,397600.78125
SSC-H_median,367892.1875
SSC-H_mode,299596.40625
SSC-H_std,202132.96875
SSC-H_var,40857735168.0
SSC-H_range,2667555.0
SSC-H_iqr,130283.7734375
SSC-H_cv,0.508381724357605
SSC-H_skew,5.186485113546913
SSC-H_kurtosis,38.87487614672682
SSC-H_min,1954.5
SSC-H_q05,215449.30078125
SSC-H_q25,308831.578125
SSC-H_q75,439115.3515625
SSC-H_q95,605023.15625
SSC-H_max,2669509.5
SSC-H_entropy,4.872057863150425
SSC-H_num_outliers,12751.0
SSC-H_num_modes,13.0
SSC-A_mean,472141.15625
SSC-A_median,417661.0
SSC-A_mode,366217.3125
SSC-A_std,288608.125
SSC-A_var,83294658560.0
SSC-A_range,2810104.0
SSC-A_iqr,160471.4140625
SSC-A_cv,0.6112750768661499
SSC-A_skew,4.432945702984644
SSC-A_kurtosis,25.079386372069422
SSC-A_min,1595.9000244140625
SSC-A_q05,241809.34375
SSC-A_q25,345543.5625
SSC-A_q75,506014.9765625
SSC-A_q95,842672.03125
SSC-A_max,2811700.0
SSC-A_entropy,4.903505717029385
SSC-A_num_outliers,16924.0
SSC-A_num_modes,7.0
CD103 FITC-H_mean,6193.37548828125
CD103 FITC-H_median,2255.800048828125
CD103 FITC-H_mode,1874.300048828125
CD103 FITC-H_std,70458.4609375
CD103 FITC-H_var,4964394496.0
CD103 FITC-H_range,5616985.5
CD103 FITC-H_iqr,1087.699951171875
CD103 FITC-H_cv,11.376422882080078
CD103 FITC-H_skew,36.35493097865549
CD103 FITC-H_kurtosis,1850.57526191337
CD103 FITC-H_min,1.899999976158142
CD103 FITC-H_q05,1269.4000244140625
CD103 FITC-H_q25,1805.0
CD103 FITC-H_q75,2892.699951171875
CD103 FITC-H_q95,6901.89990234375
CD103 FITC-H_max,5616987.5
CD103 FITC-H_entropy,5.4664113790045326
CD103 FITC-H_num_outliers,21883.0
CD103 FITC-H_num_modes,49.0
CD103 FITC-A_mean,7231.7978515625
CD103 FITC-A_median,2374.10009765625
CD103 FITC-A_mode,1907.800048828125
CD103 FITC-A_std,87812.9765625
CD103 FITC-A_var,7711119360.0
CD103 FITC-A_range,10297157.0
CD103 FITC-A_iqr,1305.9499816894531
CD103 FITC-A_cv,12.142620086669922
CD103 FITC-A_skew,43.60050369038084
CD103 FITC-A_kurtosis,2929.238780726656
CD103 FITC-A_min,-1065.0
