,0
FSC-H_mean,1372064.375
FSC-H_median,1418965.875
FSC-H_mode,1438336.5
FSC-H_std,351857.75
FSC-H_var,123803877376.0
FSC-H_range,3081611.0
FSC-H_iqr,461701.21875
FSC-H_cv,0.2564440667629242
FSC-H_skew,-0.1345738492918941
FSC-H_kurtosis,-0.19398329171427564
FSC-H_min,260349.90625
FSC-H_q05,745723.509375
FSC-H_q25,1122686.28125
FSC-H_q75,1584387.5
FSC-H_q95,1956041.3125
FSC-H_max,3341961.0
FSC-H_entropy,4.796532435787404
FSC-H_num_outliers,1292.0
FSC-H_num_modes,6.0
FSC-A_mean,1974574.125
FSC-A_median,1881797.5
FSC-A_mode,1526320.25
FSC-A_std,444203.8125
FSC-A_var,197317017600.0
FSC-A_range,6474309.0
FSC-A_iqr,461263.25
FSC-A_cv,0.22496183216571808
FSC-A_skew,1.4570999392982802
FSC-A_kurtosis,2.698261635551143
FSC-A_min,181085.796875
FSC-A_q05,1467708.9
FSC-A_q25,1661453.4375
FSC-A_q75,2122716.6875
FSC-A_q95,2944909.6499999994
FSC-A_max,6655395.0
FSC-A_entropy,4.962872534978199
FSC-A_num_outliers,31610.0
FSC-A_num_modes,14.0
SSC-H_mean,392897.8125
SSC-H_median,358821.09375
SSC-H_mode,248422.203125
SSC-H_std,173290.84375
SSC-H_var,30029715456.0
SSC-H_range,2140685.75
SSC-H_iqr,174466.1796875
SSC-H_cv,0.44105830788612366
SSC-H_skew,1.7511948362627254
SSC-H_kurtosis,5.660840887607495
SSC-H_min,1.7999999523162842
SSC-H_q05,186670.97421875
SSC-H_q25,282669.6015625
SSC-H_q75,457135.78125
SSC-H_q95,751417.6437499997
SSC-H_max,2140687.5
SSC-H_entropy,4.934587399307045
SSC-H_num_outliers,25138.0
SSC-H_num_modes,11.0
SSC-A_mean,477825.5
SSC-A_median,428127.59375
SSC-A_mode,297161.90625
SSC-A_std,217374.5625
SSC-A_var,47251697664.0
SSC-A_range,2421371.75
SSC-A_iqr,233665.5078125
SSC-A_cv,0.4549245834350586
SSC-A_skew,1.7343079667135008
SSC-A_kurtosis,5.127657206419375
SSC-A_min,-77842.8984375
SSC-A_q05,235123.37265625
SSC-A_q25,329401.7890625
SSC-A_q75,563067.296875
SSC-A_q95,925108.9374999999
SSC-A_max,2343528.75
SSC-A_entropy,4.849132676168079
SSC-A_num_outliers,22663.0
SSC-A_num_modes,8.0
CD103 FITC-H_mean,2295.91796875
CD103 FITC-H_median,1928.199951171875
CD103 FITC-H_mode,508.20001220703125
CD103 FITC-H_std,10687.775390625
CD103 FITC-H_var,114228536.0
CD103 FITC-H_range,5681848.5
CD103 FITC-H_iqr,2135.9000244140625
CD103 FITC-H_cv,4.655120849609375
CD103 FITC-H_skew,377.9603866294395
CD103 FITC-H_kurtosis,188872.8726520267
CD103 FITC-H_min,5.199999809265137
CD103 FITC-H_q05,413.20001220703125
CD103 FITC-H_q25,677.9000244140625
CD103 FITC-H_q75,2813.800048828125
CD103 FITC-H_q95,6132.115112304684
CD103 FITC-H_max,5681853.5
CD103 FITC-H_entropy,4.984031931402374
CD103 FITC-H_num_outliers,22621.0
CD103 FITC-H_num_modes,11.0
CD103 FITC-A_mean,2477.3232421875
CD103 FITC-A_median,1918.300048828125
CD103 FITC-A_mode,346.79998779296875
CD103 FITC-A_std,25273.119140625
CD103 FITC-A_var,638730560.0
CD103 FITC-A_range,15765791.0
CD103 FITC-A_iqr,2169.199951171875
CD103 FITC-A_cv,10.20178508758545
CD103 FITC-A_skew,569.2698516454318
CD103 FITC-A_kurtosis,352709.1237792113
CD103 FITC-A_min,-4205.60009765625
CD103 FITC-A_q05,134.89999389648438
CD103 FITC-A_q25,769.0
CD103 FITC-A_q75,2938.199951171875
CD103 FITC-A_q95,7488.030029296868
CD103 FITC-A_max,15761585.0
