,0
FSC-H_mean,828016.8125
FSC-H_median,371080.25
FSC-H_mode,254986.0
FSC-H_std,765802.875
FSC-H_var,586454073344.0
FSC-H_range,3777603.25
FSC-H_iqr,1192391.90625
FSC-H_cv,0.9248639345169067
FSC-H_skew,1.1074037766397962
FSC-H_kurtosis,-0.35596252538346995
FSC-H_min,235142.796875
FSC-H_q05,256604.796875
FSC-H_q25,290647.09375
FSC-H_q75,1483039.0
FSC-H_q95,2383276.025
FSC-H_max,4012746.0
FSC-H_entropy,4.322293357612501
FSC-H_num_outliers,1030.0
FSC-H_num_modes,4.0
FSC-A_mean,1081096.375
FSC-A_median,415579.0625
FSC-A_mode,278616.3125
FSC-A_std,1145561.125
FSC-A_var,1312310165504.0
FSC-A_range,106614704.0
FSC-A_iqr,1615123.8828125
FSC-A_cv,1.0596290826797485
FSC-A_skew,1.7697404959396892
FSC-A_kurtosis,29.738690814933406
FSC-A_min,-2373602.5
FSC-A_q05,256716.59375
FSC-A_q25,307833.9296875
FSC-A_q75,1922957.8125
FSC-A_q95,3377775.5
FSC-A_max,104241104.0
FSC-A_entropy,7.221089058768345
FSC-A_num_outliers,22236.0
FSC-A_num_modes,35.0
SSC-H_mean,540740.125
SSC-H_median,117009.046875
SSC-H_mode,82030.796875
SSC-H_std,976927.4375
SSC-H_var,954387202048.0
SSC-H_range,5660667.0
SSC-H_iqr,259923.765625
SSC-H_cv,1.8066487312316895
SSC-H_skew,2.3775345829142207
SSC-H_kurtosis,4.635439978771366
SSC-H_min,0.0
SSC-H_q05,62867.69921875
SSC-H_q25,85301.8984375
SSC-H_q75,345225.6640625
SSC-H_q95,3011536.55
SSC-H_max,5660667.0
SSC-H_entropy,5.560000988308243
SSC-H_num_outliers,1078535.0
SSC-H_num_modes,5.0
SSC-A_mean,608485.0
SSC-A_median,122476.796875
SSC-A_mode,84624.203125
SSC-A_std,1135259.0
SSC-A_var,1288813019136.0
SSC-A_range,98481384.0
SSC-A_iqr,294562.3671875
SSC-A_cv,1.8657140731811523
SSC-A_skew,3.0618702639126667
SSC-A_kurtosis,39.5815961905038
SSC-A_min,-2778681.5
SSC-A_q05,59255.6015625
SSC-A_q25,83628.703125
SSC-A_q75,378191.0703125
SSC-A_q95,3434536.6875
SSC-A_max,95702704.0
SSC-A_entropy,8.475772727030135
SSC-A_num_outliers,1095006.0
SSC-A_num_modes,35.0
CD103 FITC-H_mean,1834.7237548828125
CD103 FITC-H_median,568.5
CD103 FITC-H_mode,450.20001220703125
CD103 FITC-H_std,24295.125
CD103 FITC-H_var,590253120.0
CD103 FITC-H_range,5679508.0
CD103 FITC-H_iqr,1328.199951171875
CD103 FITC-H_cv,13.241843223571777
CD103 FITC-H_skew,186.27687335402652
CD103 FITC-H_kurtosis,38708.61270677491
CD103 FITC-H_min,0.20000000298023224
CD103 FITC-H_q05,304.20001220703125
CD103 FITC-H_q25,431.5
CD103 FITC-H_q75,1759.699951171875
CD103 FITC-H_q95,6203.10009765625
CD103 FITC-H_max,5679508.0
CD103 FITC-H_entropy,5.803588953062759
CD103 FITC-H_num_outliers,1098299.0
CD103 FITC-H_num_modes,58.0
CD103 FITC-A_mean,1971.6031494140625
CD103 FITC-A_median,390.0
