,0
FSC-H_mean,754271.9375
FSC-H_median,370055.8125
FSC-H_mode,255325.0
FSC-H_std,704788.75
FSC-H_var,496727162880.0
FSC-H_range,5713065.0
FSC-H_iqr,925330.375
FSC-H_cv,0.9343960881233215
FSC-H_skew,1.442567907482382
FSC-H_kurtosis,1.0430196117832713
FSC-H_min,227701.796875
FSC-H_q05,256464.6703125
FSC-H_q25,292316.25
FSC-H_q75,1217646.625
FSC-H_q95,2278058.4
FSC-H_max,5940767.0
FSC-H_entropy,4.7355271700412205
FSC-H_num_outliers,81935.0
FSC-H_num_modes,11.0
FSC-A_mean,1114592.125
FSC-A_median,499076.8125
FSC-A_mode,289929.1875
FSC-A_std,1572446.625
FSC-A_var,2472588345344.0
FSC-A_range,105093792.0
FSC-A_iqr,1346949.875
FSC-A_cv,1.4107820987701416
FSC-A_skew,11.175629912873701
FSC-A_kurtosis,318.7735287616397
FSC-A_min,-1403089.75
FSC-A_q05,276292.065625
FSC-A_q25,370237.6875
FSC-A_q75,1717187.5625
FSC-A_q95,3473103.0749999993
FSC-A_max,103690704.0
FSC-A_entropy,7.541711354579436
FSC-A_num_outliers,227842.0
FSC-A_num_modes,54.0
SSC-H_mean,598812.375
SSC-H_median,180874.59375
SSC-H_mode,107632.3984375
SSC-H_std,1059319.375
SSC-H_var,1122157461504.0
SSC-H_range,5662079.5
SSC-H_iqr,250539.5
SSC-H_cv,1.7690339088439941
SSC-H_skew,2.518433180840851
SSC-H_kurtosis,5.480674737992308
SSC-H_min,0.0
SSC-H_q05,52736.071093750004
SSC-H_q25,107576.0
SSC-H_q75,358115.5
SSC-H_q95,3309870.9999999995
SSC-H_max,5662079.5
SSC-H_entropy,6.058199473732422
SSC-H_num_outliers,1198453.0
SSC-H_num_modes,3.0
SSC-A_mean,798438.9375
SSC-A_median,208553.59375
SSC-A_mode,85084.8984375
SSC-A_std,2065861.375
SSC-A_var,4267783225344.0
SSC-A_range,157875776.0
SSC-A_iqr,312298.75
SSC-A_cv,2.5873756408691406
SSC-A_skew,15.275475995018667
SSC-A_kurtosis,521.5790500238832
SSC-A_min,-5594968.0
SSC-A_q05,58079.369140625
SSC-A_q25,115557.0
SSC-A_q75,427855.75
SSC-A_q95,4100210.174999999
SSC-A_max,152280816.0
SSC-A_entropy,9.505291153046214
SSC-A_num_outliers,1198987.0
SSC-A_num_modes,60.0
CD103 FITC-H_mean,11462.431640625
CD103 FITC-H_median,659.2999877929688
CD103 FITC-H_mode,481.5
CD103 FITC-H_std,130507.65625
CD103 FITC-H_var,17032248320.0
CD103 FITC-H_range,5680936.5
CD103 FITC-H_iqr,1628.6000366210938
CD103 FITC-H_cv,11.385686874389648
CD103 FITC-H_skew,19.594578731724976
CD103 FITC-H_kurtosis,465.31222756594553
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,333.6000061035156
CD103 FITC-H_q25,482.20001220703125
CD103 FITC-H_q75,2110.800048828125
CD103 FITC-H_q95,14509.029882812481
CD103 FITC-H_max,5680936.5
CD103 FITC-H_entropy,6.065726528800016
CD103 FITC-H_num_outliers,1165460.0
CD103 FITC-H_num_modes,59.0
CD103 FITC-A_mean,13984.5
CD103 FITC-A_median,564.0999755859375
CD103 FITC-A_mode,242.39999389648438
CD103 FITC-A_std,173302.25
CD103 FITC-A_var,30033670144.0
CD103 FITC-A_range,49230132.0
CD103 FITC-A_iqr,1991.5000457763672
CD103 FITC-A_cv,12.392452239990234
CD103 FITC-A_skew,42.458380095841086
CD103 FITC-A_kurtosis,4876.17945355916
CD103 FITC-A_min,-81814.1015625
CD103 FITC-A_q05,-117.69999694824219
CD103 FITC-A_q25,227.8000030517578
CD103 FITC-A_q75,2219.300048828125
CD103 FITC-A_q95,19298.62949218748
CD103 FITC-A_max,49148316.0
CD103 FITC-A_entropy,9.362777413793308
CD103 FITC-A_num_outliers,1217780.0
CD103 FITC-A_num_modes,38.0
B7 PE-H_mean,8436.3330078125
B7 PE-H_median,813.9000244140625
B7 PE-H_mode,644.2999877929688
B7 PE-H_std,84510.734375
B7 PE-H_var,7142063616.0
B7 PE-H_range,5707916.5
B7 PE-H_iqr,1957.25
B7 PE-H_cv,10.017472267150879
B7 PE-H_skew,23.184077461321944
B7 PE-H_kurtosis,738.3920379412658
B7 PE-H_min,0.0
B7 PE-H_q05,378.29998779296875
B7 PE-H_q25,588.0999755859375
B7 PE-H_q75,2545.3499755859375
B7 PE-H_q95,16377.099609375
B7 PE-H_max,5707916.5
B7 PE-H_entropy,6.0605852958244455
B7 PE-H_num_outliers,1203611.0
B7 PE-H_num_modes,63.0
B7 PE-A_mean,11296.259765625
B7 PE-A_median,764.2999877929688
B7 PE-A_mode,320.5
B7 PE-A_std,132495.25
B7 PE-A_var,17554991104.0
B7 PE-A_range,62270360.0
B7 PE-A_iqr,2732.599899291992
B7 PE-A_cv,11.7291259765625
B7 PE-A_skew,83.66402967586806
B7 PE-A_kurtosis,22897.50077145165
B7 PE-A_min,-161982.59375
B7 PE-A_q05,-317.70001220703125
B7 PE-A_q25,245.8000030517578
B7 PE-A_q75,2978.39990234375
B7 PE-A_q95,22145.52988281248
B7 PE-A_max,62108376.0
B7 PE-A_entropy,9.85470380290412
B7 PE-A_num_outliers,1184618.0
B7 PE-A_num_modes,35.0
CD38 PC7-H_mean,13188.748046875
CD38 PC7-H_median,2071.800048828125
CD38 PC7-H_mode,1082.199951171875
CD38 PC7-H_std,49430.7421875
CD38 PC7-H_var,2443398144.0
CD38 PC7-H_range,5734498.5
CD38 PC7-H_iqr,4884.60009765625
CD38 PC7-H_cv,3.747947931289673
CD38 PC7-H_skew,13.73460101790223
CD38 PC7-H_kurtosis,538.0796749926027
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,623.2699951171886
CD38 PC7-H_q25,1224.5
CD38 PC7-H_q75,6109.10009765625
CD38 PC7-H_q95,54391.53046874998
CD38 PC7-H_max,5734498.5
CD38 PC7-H_entropy,6.218364783428604
CD38 PC7-H_num_outliers,1265726.0
CD38 PC7-H_num_modes,48.0
CD38 PC7-A_mean,17152.400390625
CD38 PC7-A_median,2167.800048828125
CD38 PC7-A_mode,1191.0
CD38 PC7-A_std,75092.859375
CD38 PC7-A_var,5638937600.0
CD38 PC7-A_range,57363896.0
CD38 PC7-A_iqr,6116.7998046875
CD38 PC7-A_cv,4.377979755401611
CD38 PC7-A_skew,90.93233874053784
CD38 PC7-A_kurtosis,51272.04128360924
CD38 PC7-A_min,-155458.40625
CD38 PC7-A_q05,280.8999938964844
CD38 PC7-A_q25,1084.5
CD38 PC7-A_q75,7201.2998046875
CD38 PC7-A_q95,70483.23124999998
CD38 PC7-A_max,57208436.0
CD38 PC7-A_entropy,9.306316270501135
CD38 PC7-A_num_outliers,1353518.0
CD38 PC7-A_num_modes,15.0
CD8 APC-H_mean,8344.0263671875
CD8 APC-H_median,473.6000061035156
CD8 APC-H_mode,354.0
CD8 APC-H_std,61850.27734375
CD8 APC-H_var,3825456896.0
CD8 APC-H_range,5642278.5
CD8 APC-H_iqr,379.1999816894531
CD8 APC-H_cv,7.412521839141846
CD8 APC-H_skew,9.756829105332772
CD8 APC-H_kurtosis,118.44514058035259
CD8 APC-H_min,0.0
CD8 APC-H_q05,199.3000030517578
CD8 APC-H_q25,332.8999938964844
CD8 APC-H_q75,712.0999755859375
CD8 APC-H_q95,2090.0
CD8 APC-H_max,5642278.5
CD8 APC-H_entropy,6.669639978145201
CD8 APC-H_num_outliers,658287.0
CD8 APC-H_num_modes,8.0
CD8 APC-A_mean,11557.8955078125
CD8 APC-A_median,96.4000015258789
CD8 APC-A_mode,-7.699999809265137
CD8 APC-A_std,91144.578125
CD8 APC-A_var,8307334144.0
CD8 APC-A_range,26684936.0
CD8 APC-A_iqr,546.0999984741211
CD8 APC-A_cv,7.8859148025512695
CD8 APC-A_skew,13.554473308369674
CD8 APC-A_kurtosis,1166.0688504749148
CD8 APC-A_min,-96291.296875
CD8 APC-A_q05,-383.0
CD8 APC-A_q25,-124.5999984741211
CD8 APC-A_q75,421.5
CD8 APC-A_q95,2461.0
CD8 APC-A_max,26588644.0
CD8 APC-A_entropy,8.586528098772684
CD8 APC-A_num_outliers,671918.0
CD8 APC-A_num_modes,8.0
FSC-Width_mean,1388.8450927734375
FSC-Width_median,1350.3426513671875
FSC-Width_mode,1024.0
FSC-Width_std,387.25091552734375
FSC-Width_var,149963.28125
FSC-Width_range,30290.130859375
FSC-Width_iqr,367.017333984375
FSC-Width_cv,0.2788294553756714
FSC-Width_skew,9.819442360779245
FSC-Width_kurtosis,284.3102257405401
FSC-Width_min,-2635.220947265625
FSC-Width_q05,1006.2601806640625
FSC-Width_q25,1163.7255249023438
FSC-Width_q75,1530.7428588867188
FSC-Width_q95,1866.0675659179688
FSC-Width_max,27654.91015625
FSC-Width_entropy,5.693428646454828
FSC-Width_num_outliers,202954.0
FSC-Width_num_modes,47.0
Time_mean,43542092.0
Time_median,41164744.0
Time_mode,38013560.0
Time_std,27643524.0
Time_var,764164473618432.0
