,0
FSC-H_mean,1018420.5625
FSC-H_median,551677.5
FSC-H_mode,252052.90625
FSC-H_std,799055.0
FSC-H_var,638488936448.0
FSC-H_range,3791562.25
FSC-H_iqr,1393792.40625
FSC-H_cv,0.784602165222168
FSC-H_skew,0.7260366849279459
FSC-H_kurtosis,-0.8197184102158332
FSC-H_min,240552.40625
FSC-H_q05,263817.09375
FSC-H_q25,336757.09375
FSC-H_q75,1730549.5
FSC-H_q95,2428821.7250000006
FSC-H_max,4032114.75
FSC-H_entropy,4.623704403593593
FSC-H_num_outliers,3668.0
FSC-H_num_modes,4.0
FSC-A_mean,1464086.625
FSC-A_median,659284.375
FSC-A_mode,311258.90625
FSC-A_std,1454698.125
FSC-A_var,2116146561024.0
FSC-A_range,87497456.0
FSC-A_iqr,2024263.40625
FSC-A_cv,0.9935874938964844
FSC-A_skew,2.7667845987693642
FSC-A_kurtosis,24.492102317170865
FSC-A_min,-1680266.0
FSC-A_q05,292376.934375
FSC-A_q25,387577.09375
FSC-A_q75,2411840.5
FSC-A_q95,3647853.175
FSC-A_max,85817192.0
FSC-A_entropy,6.87437017147359
FSC-A_num_outliers,66178.0
FSC-A_num_modes,25.0
SSC-H_mean,888030.6875
SSC-H_median,209806.796875
SSC-H_mode,105537.203125
SSC-H_std,1227926.75
SSC-H_var,1507804184576.0
SSC-H_range,5659473.0
SSC-H_iqr,1393365.8984375
SSC-H_cv,1.3827526569366455
SSC-H_skew,1.49143877655792
SSC-H_kurtosis,1.0027283274417167
SSC-H_min,5.099999904632568
SSC-H_q05,82059.296875
SSC-H_q25,122944.1015625
SSC-H_q75,1516310.0
SSC-H_q95,3509515.5
SSC-H_max,5659478.0
SSC-H_entropy,4.4728105108514224
SSC-H_num_outliers,224325.0
SSC-H_num_modes,3.0
SSC-A_mean,1101471.75
SSC-A_median,222777.203125
SSC-A_mode,95838.796875
SSC-A_std,1718558.75
SSC-A_var,2953444065280.0
SSC-A_range,104026264.0
