,0
FSC-H_mean,768550.75
FSC-H_median,463937.6875
FSC-H_mode,260772.203125
FSC-H_std,646756.3125
FSC-H_var,418293710848.0
FSC-H_range,3863429.75
FSC-H_iqr,600537.8125
FSC-H_cv,0.8415271639823914
FSC-H_skew,1.4644393282757622
FSC-H_kurtosis,0.8547385053472141
FSC-H_min,171833.90625
FSC-H_q05,263429.09375
FSC-H_q25,328538.1875
FSC-H_q75,929076.0
FSC-H_q95,2264344.5
FSC-H_max,4035263.75
FSC-H_entropy,5.569040549688534
FSC-H_num_outliers,1799046.0
FSC-H_num_modes,4.0
FSC-A_mean,1050734.375
FSC-A_median,555620.1875
FSC-A_mode,319149.40625
FSC-A_std,1076698.75
FSC-A_var,1159280197632.0
FSC-A_range,96337128.0
FSC-A_iqr,847791.15625
FSC-A_cv,1.0247106552124023
FSC-A_skew,2.56709507172104
FSC-A_kurtosis,40.92317580910406
FSC-A_min,-1347702.5
FSC-A_q05,290256.0
FSC-A_q25,376960.59375
FSC-A_q75,1224751.75
FSC-A_q95,3485809.75
FSC-A_max,94989424.0
FSC-A_entropy,8.15243706411574
FSC-A_num_outliers,1962539.0
FSC-A_num_modes,42.0
SSC-H_mean,424161.21875
SSC-H_median,122472.6015625
SSC-H_mode,75776.203125
SSC-H_std,763307.6875
SSC-H_var,582638632960.0
SSC-H_range,5661144.0
SSC-H_iqr,193285.8984375
SSC-H_cv,1.7995697259902954
SSC-H_skew,2.7901233589596535
SSC-H_kurtosis,7.442972050025357
SSC-H_min,0.30000001192092896
SSC-H_q05,59908.0
SSC-H_q25,86110.1015625
SSC-H_q75,279396.0
SSC-H_q95,2424113.0
SSC-H_max,5661144.5
SSC-H_entropy,6.118460175102686
SSC-H_num_outliers,2220488.0
SSC-H_num_modes,3.0
SSC-A_mean,509930.3125
SSC-A_median,128898.796875
SSC-A_mode,79250.5
SSC-A_std,988947.6875
SSC-A_var,978017517568.0
SSC-A_range,115873752.0
SSC-A_iqr,236642.109375
SSC-A_cv,1.9393781423568726
SSC-A_skew,4.147983112531785
SSC-A_kurtosis,77.22837631867301
SSC-A_min,-7091432.0
SSC-A_q05,55599.30078125
SSC-A_q25,86400.796875
SSC-A_q75,323042.90625
SSC-A_q95,2972833.875
SSC-A_max,108782320.0
SSC-A_entropy,9.270573627345383
SSC-A_num_outliers,2228794.0
SSC-A_num_modes,39.0
CD103 FITC-H_mean,1343.177734375
CD103 FITC-H_median,584.0
CD103 FITC-H_mode,496.70001220703125
CD103 FITC-H_std,12273.71875
CD103 FITC-H_var,150644176.0
CD103 FITC-H_range,5679916.5
CD103 FITC-H_iqr,388.4000244140625
CD103 FITC-H_cv,9.137822151184082
CD103 FITC-H_skew,376.14047351464956
CD103 FITC-H_kurtosis,159177.83280232744
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,315.3999938964844
CD103 FITC-H_q25,455.29998779296875
CD103 FITC-H_q75,843.7000122070312
CD103 FITC-H_q95,5519.0
