,0
FSC-H_mean,865347.25
FSC-H_median,474355.75
FSC-H_mode,273842.3125
FSC-H_std,713946.875
FSC-H_var,509720100864.0
FSC-H_range,4486927.0
FSC-H_iqr,1195843.859375
FSC-H_cv,0.825040876865387
FSC-H_skew,1.1924131584868016
FSC-H_kurtosis,0.7554779511275775
FSC-H_min,230143.09375
FSC-H_q05,261165.40625
FSC-H_q25,321045.953125
FSC-H_q75,1516889.8125
FSC-H_q95,2238420.1124999993
FSC-H_max,4717070.0
FSC-H_entropy,4.520900995023672
FSC-H_num_outliers,22819.0
FSC-H_num_modes,5.0
FSC-A_mean,1233422.0
FSC-A_median,536903.75
FSC-A_mode,273686.59375
FSC-A_std,1826577.5
FSC-A_var,3336385331200.0
FSC-A_range,109703928.0
FSC-A_iqr,1662496.6015625
FSC-A_cv,1.4809023141860962
FSC-A_skew,10.800201221097684
FSC-A_kurtosis,247.04120791730026
FSC-A_min,-247381.703125
FSC-A_q05,270197.0
FSC-A_q25,353165.0234375
FSC-A_q75,2015661.625
FSC-A_q95,3301175.6499999985
FSC-A_max,109456544.0
FSC-A_entropy,7.200952888984713
FSC-A_num_outliers,68907.0
FSC-A_num_modes,47.0
SSC-H_mean,530607.25
SSC-H_median,183663.65625
SSC-H_mode,106171.5
SSC-H_std,870662.4375
SSC-H_var,758053076992.0
SSC-H_range,5660803.0
SSC-H_iqr,286435.716796875
SSC-H_cv,1.6408792734146118
SSC-H_skew,2.7490654734771427
SSC-H_kurtosis,7.649986972809307
SSC-H_min,0.8999999761581421
SSC-H_q05,74858.6015625
SSC-H_q25,113281.923828125
SSC-H_q75,399717.640625
SSC-H_q95,2675184.2374999947
SSC-H_max,5660804.0
SSC-H_entropy,5.612270585280294
SSC-H_num_outliers,521081.0
SSC-H_num_modes,3.0
SSC-A_mean,710495.5625
SSC-A_median,192946.34375
SSC-A_mode,82262.8984375
SSC-A_std,1968425.625
SSC-A_var,3874699608064.0
SSC-A_range,142902304.0
SSC-A_iqr,341108.951171875
SSC-A_cv,2.7704966068267822
SSC-A_skew,15.962047209872404
SSC-A_kurtosis,491.558788768468
SSC-A_min,-8802415.0
SSC-A_q05,71763.2640625
SSC-A_q25,114154.525390625
SSC-A_q75,455263.4765625
SSC-A_q95,3284748.0249999994
SSC-A_max,134099896.0
SSC-A_entropy,8.956634930030534
SSC-A_num_outliers,532376.0
SSC-A_num_modes,52.0
CD103 FITC-H_mean,3563.28125
CD103 FITC-H_median,797.5
CD103 FITC-H_mode,493.6000061035156
CD103 FITC-H_std,42840.4296875
CD103 FITC-H_var,1835302272.0
CD103 FITC-H_range,5678822.0
CD103 FITC-H_iqr,1515.9999389648438
CD103 FITC-H_cv,12.022747039794922
CD103 FITC-H_skew,75.1322633051907
CD103 FITC-H_kurtosis,7863.60989204166
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,348.29998779296875
CD103 FITC-H_q25,532.7000122070312
CD103 FITC-H_q75,2048.699951171875
CD103 FITC-H_q95,11241.7998046875
CD103 FITC-H_max,5678822.0
CD103 FITC-H_entropy,5.962495850985678
CD103 FITC-H_num_outliers,517305.0
CD103 FITC-H_num_modes,57.0
CD103 FITC-A_mean,4660.92529296875
CD103 FITC-A_median,698.0999755859375
CD103 FITC-A_mode,310.5
CD103 FITC-A_std,92314.3203125
CD103 FITC-A_var,8521933312.0
CD103 FITC-A_range,46232176.0
CD103 FITC-A_iqr,1926.9749755859375
CD103 FITC-A_cv,19.806007385253906
CD103 FITC-A_skew,219.3561315220132
CD103 FITC-A_kurtosis,68744.23128936971
CD103 FITC-A_min,-42793.8984375
CD103 FITC-A_q05,-117.30000305175781
CD103 FITC-A_q25,265.20001220703125
CD103 FITC-A_q75,2192.1749877929688
CD103 FITC-A_q95,14554.7001953125
CD103 FITC-A_max,46189384.0
CD103 FITC-A_entropy,9.003125781472335
CD103 FITC-A_num_outliers,534642.0
CD103 FITC-A_num_modes,40.0
B7 PE-H_mean,7212.01416015625
B7 PE-H_median,1048.199951171875
B7 PE-H_mode,680.0999755859375
B7 PE-H_std,43097.34765625
B7 PE-H_var,1857381376.0
B7 PE-H_range,5703446.0
B7 PE-H_iqr,3067.4000244140625
B7 PE-H_cv,5.975771427154541
B7 PE-H_skew,40.961664635905855
B7 PE-H_kurtosis,3788.0133412879
B7 PE-H_min,0.0
B7 PE-H_q05,397.79998779296875
B7 PE-H_q25,686.9000244140625
B7 PE-H_q75,3754.300048828125
B7 PE-H_q95,24503.335644531213
B7 PE-H_max,5703446.0
B7 PE-H_entropy,5.756423031018693
B7 PE-H_num_outliers,458888.0
B7 PE-H_num_modes,51.0
B7 PE-A_mean,9839.55078125
B7 PE-A_median,1061.5999755859375
B7 PE-A_mode,407.29998779296875
B7 PE-A_std,76626.1640625
B7 PE-A_var,5871568896.0
B7 PE-A_range,44345628.0
B7 PE-A_iqr,4416.400207519531
B7 PE-A_cv,7.787567138671875
B7 PE-A_skew,157.09647143089978
B7 PE-A_kurtosis,58963.29925952153
B7 PE-A_min,-86962.796875
B7 PE-A_q05,-463.3999938964844
B7 PE-A_q25,289.79998779296875
B7 PE-A_q75,4706.2001953125
B7 PE-A_q95,35006.1015625
B7 PE-A_max,44258664.0
B7 PE-A_entropy,8.55858410680636
B7 PE-A_num_outliers,462722.0
B7 PE-A_num_modes,24.0
CD38 PC7-H_mean,23286.66796875
CD38 PC7-H_median,3551.5
CD38 PC7-H_mode,1598.9000244140625
CD38 PC7-H_std,84688.4609375
CD38 PC7-H_var,7172134912.0
CD38 PC7-H_range,5678076.5
CD38 PC7-H_iqr,6913.8751220703125
CD38 PC7-H_cv,3.6367788314819336
CD38 PC7-H_skew,10.61498632603292
CD38 PC7-H_kurtosis,227.55022197540416
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,824.9000244140625
CD38 PC7-H_q25,1923.0999755859375
CD38 PC7-H_q75,8836.97509765625
CD38 PC7-H_q95,120346.4589843744
CD38 PC7-H_max,5678076.5
CD38 PC7-H_entropy,6.102858897937243
CD38 PC7-H_num_outliers,511601.0
CD38 PC7-H_num_modes,45.0
CD38 PC7-A_mean,30575.638671875
CD38 PC7-A_median,3601.0
CD38 PC7-A_mode,1571.0999755859375
CD38 PC7-A_std,119612.5546875
CD38 PC7-A_var,14307164160.0
CD38 PC7-A_range,18343008.0
CD38 PC7-A_iqr,8919.5751953125
CD38 PC7-A_cv,3.9120213985443115
CD38 PC7-A_skew,12.48589500384889
CD38 PC7-A_kurtosis,420.5482658832816
CD38 PC7-A_min,-94174.0
CD38 PC7-A_q05,449.20001220703125
CD38 PC7-A_q25,1721.300048828125
CD38 PC7-A_q75,10640.875244140625
CD38 PC7-A_q95,157151.1851562497
CD38 PC7-A_max,18248834.0
CD38 PC7-A_entropy,6.988363795400314
CD38 PC7-A_num_outliers,533463.0
CD38 PC7-A_num_modes,25.0
CD8 APC-H_mean,24893.384765625
CD8 APC-H_median,476.1000061035156
CD8 APC-H_mode,360.5
CD8 APC-H_std,101176.765625
CD8 APC-H_var,10236737536.0
CD8 APC-H_range,5642477.0
CD8 APC-H_iqr,414.8999938964844
CD8 APC-H_cv,4.064403533935547
CD8 APC-H_skew,4.797200956262948
CD8 APC-H_kurtosis,30.048362421406082
CD8 APC-H_min,0.0
CD8 APC-H_q05,191.89999389648438
CD8 APC-H_q25,327.3999938964844
CD8 APC-H_q75,742.2999877929688
CD8 APC-H_q95,208175.3828124996
CD8 APC-H_max,5642477.0
CD8 APC-H_entropy,6.742049027425325
CD8 APC-H_num_outliers,454340.0
CD8 APC-H_num_modes,9.0
CD8 APC-A_mean,36674.0625
CD8 APC-A_median,114.5999984741211
CD8 APC-A_mode,-38.79999923706055
CD8 APC-A_std,153612.671875
CD8 APC-A_var,23596851200.0
CD8 APC-A_range,31695812.0
CD8 APC-A_iqr,585.2000045776367
CD8 APC-A_cv,4.188591480255127
CD8 APC-A_skew,8.727410912700947
CD8 APC-A_kurtosis,786.670995672038
CD8 APC-A_min,-193665.5
CD8 APC-A_q05,-355.5
CD8 APC-A_q25,-107.0999984741211
CD8 APC-A_q75,478.1000061035156
CD8 APC-A_q95,307993.08281249885
CD8 APC-A_max,31502146.0
CD8 APC-A_entropy,8.935032341453347
CD8 APC-A_num_outliers,459875.0
CD8 APC-A_num_modes,6.0
FSC-Width_mean,1266.8924560546875
FSC-Width_median,1175.3212890625
FSC-Width_mode,1056.0
FSC-Width_std,421.1357116699219
FSC-Width_var,177355.28125
FSC-Width_range,28843.08984375
FSC-Width_iqr,289.8304748535156
FSC-Width_cv,0.332416296005249
FSC-Width_skew,11.880238969574302
FSC-Width_kurtosis,295.96133956258666
FSC-Width_min,-466.0834045410156
