,0
FSC-H_mean,936764.5625
FSC-H_median,450528.6875
FSC-H_mode,286830.1875
FSC-H_std,833408.125
FSC-H_var,694569140224.0
FSC-H_range,3815702.25
FSC-H_iqr,1326191.90625
FSC-H_cv,0.8896665573120117
FSC-H_skew,1.1324240990321064
FSC-H_kurtosis,0.25559946868895356
FSC-H_min,225621.40625
FSC-H_q05,259787.703125
FSC-H_q25,312377.84375
FSC-H_q75,1638569.75
FSC-H_q95,2414330.875
FSC-H_max,4041323.75
FSC-H_entropy,4.248761227734391
FSC-H_num_outliers,19226.0
FSC-H_num_modes,5.0
FSC-A_mean,1416321.625
FSC-A_median,499435.09375
FSC-A_mode,311194.5
FSC-A_std,2384295.75
FSC-A_var,5684865794048.0
FSC-A_range,109627680.0
FSC-A_iqr,1836686.203125
FSC-A_cv,1.6834423542022705
FSC-A_skew,10.070617740835592
FSC-A_kurtosis,199.0016652615273
FSC-A_min,-2556675.75
FSC-A_q05,268500.59375
FSC-A_q25,336959.046875
FSC-A_q75,2173645.25
FSC-A_q95,3565878.3749999995
FSC-A_max,107071008.0
FSC-A_entropy,6.973291690778
FSC-A_num_outliers,79445.0
FSC-A_num_modes,59.0
SSC-H_mean,553474.625
SSC-H_median,133263.5
SSC-H_mode,73783.5
SSC-H_std,935382.8125
SSC-H_var,874941054976.0
SSC-H_range,5660864.0
SSC-H_iqr,330086.79296875
SSC-H_cv,1.6900193691253662
SSC-H_skew,2.67290431573193
SSC-H_kurtosis,7.794995643266413
SSC-H_min,0.699999988079071
SSC-H_q05,63072.810546875
SSC-H_q25,88331.34765625
SSC-H_q75,418418.140625
SSC-H_q95,2553739.475
SSC-H_max,5660864.5
SSC-H_entropy,5.220696951544693
SSC-H_num_outliers,432345.0
SSC-H_num_modes,5.0
SSC-A_mean,813566.5625
SSC-A_median,137424.59375
SSC-A_mode,81528.1015625
SSC-A_std,2698526.75
SSC-A_var,7282046795776.0
SSC-A_range,159057232.0
SSC-A_iqr,384470.453125
SSC-A_cv,3.3169095516204834
SSC-A_skew,15.943998359618472
SSC-A_kurtosis,424.9892801541423
SSC-A_min,-5535998.5
SSC-A_q05,59132.5
SSC-A_q25,86469.796875
SSC-A_q75,470940.25
SSC-A_q95,3140253.099999996
