,0
FSC-H_mean,1356120.0
FSC-H_median,1582782.125
FSC-H_mode,251124.203125
FSC-H_std,816900.5625
FSC-H_var,667326480384.0
FSC-H_range,3775043.0
FSC-H_iqr,1559545.65625
FSC-H_cv,0.6023807525634766
FSC-H_skew,0.011804549082406178
FSC-H_kurtosis,-1.1120899321206974
FSC-H_min,229603.40625
FSC-H_q05,266449.40625
FSC-H_q25,405681.15625
FSC-H_q75,1965226.8125
FSC-H_q95,2508032.675
FSC-H_max,4004646.5
FSC-H_entropy,4.578981411527145
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,1847546.875
FSC-A_median,1948109.0
FSC-A_mode,295907.90625
FSC-A_std,1518804.125
FSC-A_var,2306766012416.0
FSC-A_range,106891848.0
FSC-A_iqr,2173419.953125
FSC-A_cv,0.8220652937889099
FSC-A_skew,3.2910883433906273
FSC-A_kurtosis,38.74654800187385
FSC-A_min,134554.796875
FSC-A_q05,276426.5
FSC-A_q25,446262.546875
FSC-A_q75,2619682.5
FSC-A_q95,3566727.6249999995
FSC-A_max,107026400.0
FSC-A_entropy,7.089628341370118
FSC-A_num_outliers,59373.0
FSC-A_num_modes,26.0
SSC-H_mean,1145384.875
SSC-H_median,361846.5
SSC-H_mode,98422.5
SSC-H_std,1290079.125
SSC-H_var,1664304021504.0
SSC-H_range,5660341.0
SSC-H_iqr,2071567.078125
SSC-H_cv,1.1263281106948853
SSC-H_skew,1.0375375169360423
SSC-H_kurtosis,-0.11011433170796003
SSC-H_min,14.800000190734863
SSC-H_q05,85634.6015625
SSC-H_q25,159672.546875
SSC-H_q75,2231239.625
SSC-H_q95,3602224.0999999996
SSC-H_max,5660356.0
SSC-H_entropy,4.389795201140601
SSC-H_num_outliers,13844.0
SSC-H_num_modes,3.0
SSC-A_mean,1376902.75
SSC-A_median,390682.0
SSC-A_mode,78003.6015625
SSC-A_std,1826790.375
SSC-A_var,3337162850304.0
SSC-A_range,82514728.0
SSC-A_iqr,2363598.53125
SSC-A_cv,1.3267388343811035
SSC-A_skew,3.333834614988254
SSC-A_kurtosis,33.88038637253194
SSC-A_min,-1008.5
SSC-A_q05,80257.5609375
SSC-A_q25,161343.09375
SSC-A_q75,2524941.625
SSC-A_q95,4337078.099999998
SSC-A_max,82513720.0
SSC-A_entropy,6.508921648236833
SSC-A_num_outliers,58532.0
SSC-A_num_modes,40.0
CD103 FITC-H_mean,5904.5205078125
CD103 FITC-H_median,2444.199951171875
CD103 FITC-H_mode,500.1000061035156
CD103 FITC-H_std,49856.73828125
CD103 FITC-H_var,2485694464.0
CD103 FITC-H_range,5677219.0
CD103 FITC-H_iqr,4608.0999755859375
CD103 FITC-H_cv,8.443824768066406
CD103 FITC-H_skew,82.0417654881529
CD103 FITC-H_kurtosis,8123.313944219503
CD103 FITC-H_min,0.10000000149011612
CD103 FITC-H_q05,400.5
CD103 FITC-H_q25,745.4000244140625
CD103 FITC-H_q75,5353.5
CD103 FITC-H_q95,16474.370507812473
CD103 FITC-H_max,5677219.0
CD103 FITC-H_entropy,5.714548222160159
CD103 FITC-H_num_outliers,318345.0
CD103 FITC-H_num_modes,65.0
CD103 FITC-A_mean,7225.470703125
CD103 FITC-A_median,2481.0
CD103 FITC-A_mode,232.10000610351562
CD103 FITC-A_std,95875.2890625
CD103 FITC-A_var,9192071168.0
CD103 FITC-A_range,37566748.0
CD103 FITC-A_iqr,5696.699890136719
CD103 FITC-A_cv,13.269071578979492
CD103 FITC-A_skew,175.71382021004987
CD103 FITC-A_kurtosis,44537.132107654
CD103 FITC-A_min,-4390.5
CD103 FITC-A_q05,14.600000381469727
CD103 FITC-A_q25,612.7000122070312
CD103 FITC-A_q75,6309.39990234375
CD103 FITC-A_q95,21501.80078125
CD103 FITC-A_max,37562356.0
CD103 FITC-A_entropy,8.006498948956473
CD103 FITC-A_num_outliers,328518.0
CD103 FITC-A_num_modes,41.0
B7 PE-H_mean,8719.9736328125
B7 PE-H_median,4598.2001953125
B7 PE-H_mode,730.7999877929688
B7 PE-H_std,38208.62890625
B7 PE-H_var,1459899264.0
B7 PE-H_range,5703272.0
B7 PE-H_iqr,7244.3001708984375
B7 PE-H_cv,4.381736755371094
B7 PE-H_skew,82.55425151146136
B7 PE-H_kurtosis,9660.464831509058
B7 PE-H_min,0.0
B7 PE-H_q05,516.5999755859375
B7 PE-H_q25,1055.9000244140625
B7 PE-H_q75,8300.2001953125
B7 PE-H_q95,30252.370507812473
B7 PE-H_max,5703272.0
B7 PE-H_entropy,5.705097714345895
B7 PE-H_num_outliers,351493.0
B7 PE-H_num_modes,60.0
B7 PE-A_mean,11319.44921875
B7 PE-A_median,5504.7001953125
B7 PE-A_mode,376.8999938964844
B7 PE-A_std,96471.59375
B7 PE-A_var,9306768384.0
B7 PE-A_range,81076568.0
B7 PE-A_iqr,9751.500183105469
B7 PE-A_cv,8.522640228271484
B7 PE-A_skew,369.56137040770113
B7 PE-A_kurtosis,211594.30012776068
B7 PE-A_min,-8227.400390625
B7 PE-A_q05,-193.1999969482422
B7 PE-A_q25,986.7000122070312
B7 PE-A_q75,10738.2001953125
B7 PE-A_q95,40327.440234374946
B7 PE-A_max,81068344.0
B7 PE-A_entropy,9.612383238645245
B7 PE-A_num_outliers,355279.0
B7 PE-A_num_modes,27.0
CD38 PC7-H_mean,23893.181640625
CD38 PC7-H_median,11601.2001953125
CD38 PC7-H_mode,2254.89990234375
CD38 PC7-H_std,52323.5234375
CD38 PC7-H_var,2737751296.0
CD38 PC7-H_range,5732277.0
CD38 PC7-H_iqr,18927.100830078125
CD38 PC7-H_cv,2.1898934841156006
CD38 PC7-H_skew,12.79707383607436
CD38 PC7-H_kurtosis,559.435118923808
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,1226.9000244140625
CD38 PC7-H_q25,3833.199951171875
CD38 PC7-H_q75,22760.30078125
CD38 PC7-H_q95,88036.38046874989
CD38 PC7-H_max,5732277.0
CD38 PC7-H_entropy,5.789372923200389
CD38 PC7-H_num_outliers,327323.0
CD38 PC7-H_num_modes,38.0
CD38 PC7-A_mean,29951.984375
CD38 PC7-A_median,13923.7001953125
CD38 PC7-A_mode,1656.699951171875
CD38 PC7-A_std,77812.453125
CD38 PC7-A_var,6054778368.0
CD38 PC7-A_range,50812808.0
CD38 PC7-A_iqr,26011.799560546875
CD38 PC7-A_cv,2.5979063510894775
CD38 PC7-A_skew,135.2219935244069
CD38 PC7-A_kurtosis,69732.4445221831
CD38 PC7-A_min,-1562.300048828125
CD38 PC7-A_q05,960.2999877929688
CD38 PC7-A_q25,3709.800048828125
CD38 PC7-A_q75,29721.599609375
CD38 PC7-A_q95,111184.76874999997
CD38 PC7-A_max,50811244.0
CD38 PC7-A_entropy,8.117032398435514
CD38 PC7-A_num_outliers,309047.0
CD38 PC7-A_num_modes,17.0
CD8 APC-H_mean,25292.171875
CD8 APC-H_median,624.2000122070312
CD8 APC-H_mode,393.0
CD8 APC-H_std,88186.640625
CD8 APC-H_var,7776884224.0
CD8 APC-H_range,5641538.5
CD8 APC-H_iqr,675.7999877929688
CD8 APC-H_cv,3.4867167472839355
CD8 APC-H_skew,4.288342691172285
CD8 APC-H_kurtosis,35.20899898115487
CD8 APC-H_min,0.10000000149011612
CD8 APC-H_q05,218.5
CD8 APC-H_q25,392.70001220703125
CD8 APC-H_q75,1068.5
CD8 APC-H_q95,250871.1718749997
CD8 APC-H_max,5641538.5
CD8 APC-H_entropy,6.704158994882068
CD8 APC-H_num_outliers,499860.0
CD8 APC-H_num_modes,5.0
CD8 APC-A_mean,34330.171875
CD8 APC-A_median,363.79998779296875
CD8 APC-A_mode,33.0
CD8 APC-A_std,123325.7734375
CD8 APC-A_var,15209246720.0
CD8 APC-A_range,23543256.0
CD8 APC-A_iqr,999.3000001907349
CD8 APC-A_cv,3.59234356880188
CD8 APC-A_skew,8.345548283650164
CD8 APC-A_kurtosis,756.2716403426125
CD8 APC-A_min,-1748.0
CD8 APC-A_q05,-311.6000061035156
CD8 APC-A_q25,6.199999809265137
CD8 APC-A_q75,1005.5
CD8 APC-A_q95,341041.25937499915
CD8 APC-A_max,23541508.0
CD8 APC-A_entropy,8.21517267954955
CD8 APC-A_num_outliers,497838.0
CD8 APC-A_num_modes,12.0
FSC-Width_mean,1295.197021484375
FSC-Width_median,1253.703369140625
FSC-Width_mode,1250.555419921875
FSC-Width_std,324.62298583984375
FSC-Width_var,105380.078125
FSC-Width_range,27161.1875
FSC-Width_iqr,273.60699462890625
FSC-Width_cv,0.2506359815597534
FSC-Width_skew,5.32022502008082
FSC-Width_kurtosis,71.39799715548718
FSC-Width_min,547.3519287109375
FSC-Width_q05,990.1497924804687
FSC-Width_q25,1112.606201171875
FSC-Width_q75,1386.2131958007812
FSC-Width_q95,1660.2195800781249
FSC-Width_max,27708.5390625
FSC-Width_entropy,5.450331220166973
FSC-Width_num_outliers,130151.0
FSC-Width_num_modes,24.0
Time_mean,29821942.0
Time_median,29928124.0
Time_mode,33618808.0
Time_std,14518196.0
Time_var,210778003079168.0
Time_range,57450896.0
Time_iqr,24267570.0
Time_cv,0.48682934045791626
Time_skew,0.0033869436870811293
Time_kurtosis,-1.0773025073353122
Time_min,0.0
Time_q05,7440730.2
Time_q25,17555320.0
Time_q75,41822890.0
Time_q95,53137092.4
Time_max,57450896.0
Time_entropy,5.176415173215245
Time_num_outliers,0.0
Time_num_modes,7.0
