,0
FSC-H_mean,1420170.625
FSC-H_median,1556557.0
FSC-H_mode,251370.796875
FSC-H_std,832592.8125
FSC-H_var,693210841088.0
FSC-H_range,3784800.75
FSC-H_iqr,1587525.140625
FSC-H_cv,0.5862625241279602
FSC-H_skew,0.0939803540947295
FSC-H_kurtosis,-0.8397157462521263
FSC-H_min,242120.296875
FSC-H_q05,269635.565625
FSC-H_q25,480005.421875
FSC-H_q75,2067530.5625
FSC-H_q95,2608874.65
FSC-H_max,4026921.0
FSC-H_entropy,4.654945692190828
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,2202403.5
FSC-A_median,2133283.5
FSC-A_mode,298674.1875
FSC-A_std,1968460.0
FSC-A_var,3874834612224.0
FSC-A_range,111739488.0
FSC-A_iqr,2533054.84375
FSC-A_cv,0.8937780857086182
FSC-A_skew,4.74093783665801
FSC-A_kurtosis,60.910146688364186
FSC-A_min,155733.0
FSC-A_q05,303218.76875
FSC-A_q25,576742.40625
FSC-A_q75,3109797.25
FSC-A_q95,4223931.75
FSC-A_max,111895224.0
FSC-A_entropy,7.056225418186661
FSC-A_num_outliers,63481.0
FSC-A_num_modes,36.0
SSC-H_mean,1291409.5
SSC-H_median,448292.375
SSC-H_mode,106338.796875
SSC-H_std,1355517.625
SSC-H_var,1837428113408.0
SSC-H_range,5659298.0
SSC-H_iqr,2228532.0390625
SSC-H_cv,1.0496419668197632
SSC-H_skew,0.9323640904439229
SSC-H_kurtosis,-0.27273451196769294
SSC-H_min,6.599999904632568
SSC-H_q05,93250.1015625
SSC-H_q25,208252.2734375
SSC-H_q75,2436784.3125
SSC-H_q95,3786226.0124999997
SSC-H_max,5659304.5
SSC-H_entropy,4.421948361127868
SSC-H_num_outliers,0.0
SSC-H_num_modes,3.0
SSC-A_mean,1715589.875
SSC-A_median,517404.09375
SSC-A_mode,101442.296875
SSC-A_std,2389749.75
SSC-A_var,5710903508992.0
SSC-A_range,125092888.0
SSC-A_iqr,2730342.96875
SSC-A_cv,1.392961025238037
SSC-A_skew,5.39476753553993
SSC-A_kurtosis,75.8179397885827
SSC-A_min,-15274266.0
SSC-A_q05,91363.3984375
SSC-A_q25,225817.96875
SSC-A_q75,2956160.9375
SSC-A_q95,5049349.75
SSC-A_max,109818624.0
SSC-A_entropy,7.044338678691355
SSC-A_num_outliers,60112.0
SSC-A_num_modes,39.0
CD103 FITC-H_mean,6440.3388671875
CD103 FITC-H_median,2880.0
CD103 FITC-H_mode,528.4000244140625
CD103 FITC-H_std,58439.390625
CD103 FITC-H_var,3415162368.0
CD103 FITC-H_range,5676733.0
CD103 FITC-H_iqr,4114.39990234375
CD103 FITC-H_cv,9.073962211608887
CD103 FITC-H_skew,69.97017885642916
CD103 FITC-H_kurtosis,5891.960674862365
CD103 FITC-H_min,0.10000000149011612
CD103 FITC-H_q05,415.1000061035156
CD103 FITC-H_q25,935.0
CD103 FITC-H_q75,5049.39990234375
CD103 FITC-H_q95,17016.099609375
CD103 FITC-H_max,5676733.0
CD103 FITC-H_entropy,5.8198472109507655
CD103 FITC-H_num_outliers,304675.0
CD103 FITC-H_num_modes,65.0
CD103 FITC-A_mean,8625.6376953125
CD103 FITC-A_median,3204.39990234375
CD103 FITC-A_mode,242.3000030517578
CD103 FITC-A_std,104540.2109375
CD103 FITC-A_var,10928656384.0
CD103 FITC-A_range,41294212.0
CD103 FITC-A_iqr,5472.0
CD103 FITC-A_cv,12.119708061218262
CD103 FITC-A_skew,126.76248289397236
CD103 FITC-A_kurtosis,25575.96815729388
CD103 FITC-A_min,-36539.8984375
CD103 FITC-A_q05,26.600000381469727
CD103 FITC-A_q25,867.0
CD103 FITC-A_q75,6339.0
CD103 FITC-A_q95,23925.86552734374
CD103 FITC-A_max,41257672.0
CD103 FITC-A_entropy,8.274590895073699
CD103 FITC-A_num_outliers,317034.0
CD103 FITC-A_num_modes,30.0
B7 PE-H_mean,10514.0
