,0
FSC-H_mean,870968.0
FSC-H_median,494144.1875
FSC-H_mode,268630.90625
FSC-H_std,670642.6875
FSC-H_var,449761607680.0
FSC-H_range,3733744.75
FSC-H_iqr,1138168.40625
FSC-H_cv,0.7699969410896301
FSC-H_skew,0.8925364718183474
FSC-H_kurtosis,-0.3164527549253915
FSC-H_min,237120.5
FSC-H_q05,259683.296875
FSC-H_q25,314242.90625
FSC-H_q75,1452411.3125
FSC-H_q95,2189902.2249999996
FSC-H_max,3970865.25
FSC-H_entropy,4.35609222576921
FSC-H_num_outliers,2468.0
FSC-H_num_modes,4.0
FSC-A_mean,1190564.125
FSC-A_median,568244.1875
FSC-A_mode,274774.59375
FSC-A_std,1138192.125
FSC-A_var,1295481307136.0
FSC-A_range,97538400.0
FSC-A_iqr,1639112.015625
FSC-A_cv,0.9560107588768005
FSC-A_skew,3.284600458141894
FSC-A_kurtosis,78.21871869481421
FSC-A_min,-231309.296875
FSC-A_q05,261482.9953125
FSC-A_q25,342125.296875
FSC-A_q75,1981237.3125
FSC-A_q95,3323405.9249999993
FSC-A_max,97307088.0
FSC-A_entropy,6.853507578643079
FSC-A_num_outliers,14568.0
FSC-A_num_modes,29.0
SSC-H_mean,755249.0625
SSC-H_median,256832.5
SSC-H_mode,133910.296875
SSC-H_std,1042830.0625
SSC-H_var,1087494488064.0
SSC-H_range,5660738.0
SSC-H_iqr,638872.62109375
SSC-H_cv,1.3807764053344727
SSC-H_skew,1.7822109496024165
SSC-H_kurtosis,2.1199941893102228
SSC-H_min,1.600000023841858
SSC-H_q05,79891.1015625
SSC-H_q25,127209.34765625
SSC-H_q75,766081.96875
SSC-H_q95,3157327.8249999997
SSC-H_max,5660739.5
SSC-H_entropy,5.005842780385389
SSC-H_num_outliers,344993.0
SSC-H_num_modes,3.0
SSC-A_mean,917468.25
SSC-A_median,275138.90625
SSC-A_mode,93530.296875
SSC-A_std,1509341.125
SSC-A_var,2278110527488.0
SSC-A_range,109239744.0
SSC-A_iqr,756497.03125
SSC-A_cv,1.6451153755187988
SSC-A_skew,6.417513940057497
SSC-A_kurtosis,125.13289347942734
SSC-A_min,-28803864.0
SSC-A_q05,70708.8578125
SSC-A_q25,123899.25
SSC-A_q75,880396.28125
SSC-A_q95,3874735.025
SSC-A_max,80435880.0
SSC-A_entropy,7.684775917724065
SSC-A_num_outliers,351224.0
SSC-A_num_modes,35.0
CD103 FITC-H_mean,18954.78125
CD103 FITC-H_median,1387.4000244140625
CD103 FITC-H_mode,506.0
CD103 FITC-H_std,135287.6875
CD103 FITC-H_var,18302758912.0
CD103 FITC-H_range,5678290.0
CD103 FITC-H_iqr,5511.349853515625
CD103 FITC-H_cv,7.137391090393066
CD103 FITC-H_skew,19.389006367599666
CD103 FITC-H_kurtosis,484.40536809806895
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,352.29998779296875
CD103 FITC-H_q25,614.5
CD103 FITC-H_q75,6125.849853515625
CD103 FITC-H_q95,57050.120312499974
CD103 FITC-H_max,5678290.0
CD103 FITC-H_entropy,5.4830269012444806
CD103 FITC-H_num_outliers,341231.0
CD103 FITC-H_num_modes,53.0
CD103 FITC-A_mean,22983.2265625
CD103 FITC-A_median,1380.5999755859375
CD103 FITC-A_mode,120.19999694824219
CD103 FITC-A_std,194785.4375
CD103 FITC-A_var,37941366784.0
CD103 FITC-A_range,64659332.0
CD103 FITC-A_iqr,6956.150054931641
CD103 FITC-A_cv,8.475112915039062
CD103 FITC-A_skew,60.68266465901398
CD103 FITC-A_kurtosis,10432.393886573513
CD103 FITC-A_min,-37578.19921875
CD103 FITC-A_q05,-277.70001220703125
CD103 FITC-A_q25,337.8999938964844
CD103 FITC-A_q75,7294.050048828125
CD103 FITC-A_q95,69561.02265624997
CD103 FITC-A_max,64621752.0
CD103 FITC-A_entropy,9.00320804279752
CD103 FITC-A_num_outliers,346929.0
CD103 FITC-A_num_modes,27.0
B7 PE-H_mean,9802.0166015625
B7 PE-H_median,1556.4000244140625
B7 PE-H_mode,2.5
B7 PE-H_std,52942.7578125
B7 PE-H_var,2802935552.0
B7 PE-H_range,5703957.0
B7 PE-H_iqr,6293.799987792969
B7 PE-H_cv,5.401210784912109
B7 PE-H_skew,38.37821849387957
B7 PE-H_kurtosis,2842.018137206611
B7 PE-H_min,0.0
B7 PE-H_q05,350.79998779296875
B7 PE-H_q25,825.2000122070312
B7 PE-H_q75,7119.0
B7 PE-H_q95,31667.470117187495
B7 PE-H_max,5703957.0
B7 PE-H_entropy,5.398296188153564
B7 PE-H_num_outliers,237606.0
B7 PE-H_num_modes,45.0
B7 PE-A_mean,12419.818359375
B7 PE-A_median,1937.300048828125
B7 PE-A_mode,308.3999938964844
B7 PE-A_std,86150.1484375
B7 PE-A_var,7421847552.0
B7 PE-A_range,38393088.0
B7 PE-A_iqr,9341.75
B7 PE-A_cv,6.936506271362305
B7 PE-A_skew,144.9715604545631
B7 PE-A_kurtosis,44859.24453128777
B7 PE-A_min,-58296.30078125
B7 PE-A_q05,-1133.4000244140625
B7 PE-A_q25,269.5
B7 PE-A_q75,9611.25
B7 PE-A_q95,41694.24101562499
B7 PE-A_max,38334792.0
B7 PE-A_entropy,7.744421533786875
B7 PE-A_num_outliers,217401.0
B7 PE-A_num_modes,27.0
CD38 PC7-H_mean,19552.08984375
CD38 PC7-H_median,3801.800048828125
CD38 PC7-H_mode,1436.699951171875
CD38 PC7-H_std,57133.421875
CD38 PC7-H_var,3264228096.0
CD38 PC7-H_range,3431315.0
CD38 PC7-H_iqr,9352.199829101562
CD38 PC7-H_cv,2.9221134185791016
CD38 PC7-H_skew,7.936826431633208
CD38 PC7-H_kurtosis,128.1243250947995
CD38 PC7-H_min,0.20000000298023224
CD38 PC7-H_q05,840.7999877929688
CD38 PC7-H_q25,2013.5999755859375
CD38 PC7-H_q75,11365.7998046875
CD38 PC7-H_q95,97848.11874999997
CD38 PC7-H_max,3431315.25
CD38 PC7-H_entropy,5.493872331454828
CD38 PC7-H_num_outliers,248387.0
CD38 PC7-H_num_modes,42.0
CD38 PC7-A_mean,24855.505859375
CD38 PC7-A_median,3877.0
CD38 PC7-A_mode,1764.300048828125
CD38 PC7-A_std,74198.015625
CD38 PC7-A_var,5505345536.0
CD38 PC7-A_range,7197183.0
CD38 PC7-A_iqr,13149.500244140625
CD38 PC7-A_cv,2.9851741790771484
CD38 PC7-A_skew,8.179265774042804
CD38 PC7-A_kurtosis,173.20421207315027
CD38 PC7-A_min,-11094.400390625
CD38 PC7-A_q05,492.5
CD38 PC7-A_q25,1819.699951171875
CD38 PC7-A_q75,14969.2001953125
CD38 PC7-A_q95,131621.11406249998
CD38 PC7-A_max,7186088.5
CD38 PC7-A_entropy,5.675011451413933
CD38 PC7-A_num_outliers,241115.0
CD38 PC7-A_num_modes,28.0
CD8 APC-H_mean,25867.32421875
CD8 APC-H_median,643.7999877929688
CD8 APC-H_mode,495.0
CD8 APC-H_std,120465.6015625
CD8 APC-H_var,14511961088.0
CD8 APC-H_range,5642815.5
CD8 APC-H_iqr,627.8000183105469
CD8 APC-H_cv,4.65705680847168
CD8 APC-H_skew,5.265776711472252
CD8 APC-H_kurtosis,35.01793410655758
CD8 APC-H_min,0.0
CD8 APC-H_q05,227.3000030517578
CD8 APC-H_q25,421.1000061035156
CD8 APC-H_q75,1048.9000244140625
CD8 APC-H_q95,45349.79023437497
CD8 APC-H_max,5642815.5
CD8 APC-H_entropy,6.287390559682013
CD8 APC-H_num_outliers,193147.0
CD8 APC-H_num_modes,7.0
CD8 APC-A_mean,37791.3046875
CD8 APC-A_median,262.6000061035156
CD8 APC-A_mode,64.4000015258789
CD8 APC-A_std,180276.140625
CD8 APC-A_var,32499488768.0
CD8 APC-A_range,24743892.0
CD8 APC-A_iqr,985.2999725341797
CD8 APC-A_cv,4.770307540893555
CD8 APC-A_skew,7.558561342789214
CD8 APC-A_kurtosis,345.2636545790015
CD8 APC-A_min,-31516.099609375
CD8 APC-A_q05,-433.70001220703125
CD8 APC-A_q25,-79.69999694824219
CD8 APC-A_q75,905.5999755859375
CD8 APC-A_q95,67982.15937499996
CD8 APC-A_max,24712376.0
CD8 APC-A_entropy,7.8996171652541145
CD8 APC-A_num_outliers,188884.0
CD8 APC-A_num_modes,7.0
FSC-Width_mean,1269.0797119140625
FSC-Width_median,1217.738037109375
FSC-Width_mode,992.0
FSC-Width_std,276.2336120605469
FSC-Width_var,76305.015625
FSC-Width_range,25894.30859375
FSC-Width_iqr,351.52606201171875
FSC-Width_cv,0.21766451001167297
FSC-Width_skew,3.5673253643302445
FSC-Width_kurtosis,98.81168847221699
FSC-Width_min,-511.7820739746094
FSC-Width_q05,962.8455261230469
FSC-Width_q25,1067.0781860351562
FSC-Width_q75,1418.604248046875
FSC-Width_q95,1709.879797363281
FSC-Width_max,25382.52734375
FSC-Width_entropy,5.093462764210894
FSC-Width_num_outliers,32173.0
FSC-Width_num_modes,25.0
Time_mean,15288502.0
Time_median,15188301.0
Time_mode,18587900.0
Time_std,8823058.0
Time_var,77846357737472.0
Time_range,31595952.0
Time_iqr,15169949.5
Time_cv,0.5771041512489319
Time_skew,0.03277760513218971
Time_kurtosis,-1.1752617275499464
