,0
FSC-H_mean,1000574.9375
FSC-H_median,528981.125
FSC-H_mode,251405.09375
FSC-H_std,789308.3125
FSC-H_var,623007563776.0
FSC-H_range,4002078.5
FSC-H_iqr,1357609.0234375
FSC-H_cv,0.7888547778129578
FSC-H_skew,0.7084392016419725
FSC-H_kurtosis,-0.8434171505489623
FSC-H_min,242839.90625
FSC-H_q05,260296.7359375
FSC-H_q25,317396.3828125
FSC-H_q75,1675005.40625
FSC-H_q95,2444142.0
FSC-H_max,4244918.5
FSC-H_entropy,4.459900240971221
FSC-H_num_outliers,1750.0
FSC-H_num_modes,4.0
FSC-A_mean,1372327.25
FSC-A_median,602835.25
FSC-A_mode,255628.59375
FSC-A_std,1326181.0
FSC-A_var,1758756208640.0
FSC-A_range,100453824.0
FSC-A_iqr,1896326.8984375
FSC-A_cv,0.9663737416267395
FSC-A_skew,3.036119271682674
FSC-A_kurtosis,77.38735857943945
FSC-A_min,-167316.0
FSC-A_q05,263216.73125
FSC-A_q25,343342.3515625
FSC-A_q75,2239669.25
FSC-A_q95,3613233.5874999994
FSC-A_max,100286504.0
FSC-A_entropy,6.981472159509066
FSC-A_num_outliers,36338.0
FSC-A_num_modes,41.0
SSC-H_mean,916577.125
SSC-H_median,244972.6875
SSC-H_mode,91472.0
SSC-H_std,1254893.25
SSC-H_var,1574757072896.0
SSC-H_range,5659934.5
SSC-H_iqr,1035321.765625
SSC-H_cv,1.3691082000732422
SSC-H_skew,1.4757325616372832
SSC-H_kurtosis,0.8533699532649139
SSC-H_min,0.30000001192092896
SSC-H_q05,83300.035546875
SSC-H_q25,127489.703125
SSC-H_q75,1162811.46875
SSC-H_q95,3599117.7499999995
SSC-H_max,5659935.0
SSC-H_entropy,4.720511188392455
SSC-H_num_outliers,509609.0
SSC-H_num_modes,3.0
SSC-A_mean,1102198.125
SSC-A_median,258834.84375
SSC-A_mode,87137.0
SSC-A_std,1680372.875
SSC-A_var,2823653163008.0
SSC-A_range,130099616.0
SSC-A_iqr,1266618.2265625
SSC-A_cv,1.5245652198791504
SSC-A_skew,3.836320833264629
SSC-A_kurtosis,59.56152251385843
SSC-A_min,-16554693.0
SSC-A_q05,77217.933984375
SSC-A_q25,124313.7734375
SSC-A_q75,1390932.0
SSC-A_q95,4347115.949999999
SSC-A_max,113544920.0
SSC-A_entropy,7.6387873076992125
SSC-A_num_outliers,492376.0
SSC-A_num_modes,34.0
CD103 FITC-H_mean,13120.0654296875
CD103 FITC-H_median,964.0999755859375
CD103 FITC-H_mode,487.6000061035156
CD103 FITC-H_std,125380.984375
CD103 FITC-H_var,15720391680.0
CD103 FITC-H_range,5677224.5
CD103 FITC-H_iqr,4157.60009765625
CD103 FITC-H_cv,9.556429862976074
CD103 FITC-H_skew,25.26313717985316
CD103 FITC-H_kurtosis,817.9921789880121
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,335.79998779296875
CD103 FITC-H_q25,514.5
CD103 FITC-H_q75,4672.10009765625
CD103 FITC-H_q95,27894.5
CD103 FITC-H_max,5677224.5
CD103 FITC-H_entropy,5.523935907202678
CD103 FITC-H_num_outliers,458613.0
CD103 FITC-H_num_modes,63.0
CD103 FITC-A_mean,15622.765625
CD103 FITC-A_median,902.4000244140625
CD103 FITC-A_mode,214.89999389648438
CD103 FITC-A_std,167448.46875
CD103 FITC-A_var,28038989824.0
CD103 FITC-A_range,52195692.0
CD103 FITC-A_iqr,5276.900192260742
CD103 FITC-A_cv,10.71823501586914
CD103 FITC-A_skew,48.926976835464956
CD103 FITC-A_kurtosis,6284.620018374688
CD103 FITC-A_min,-11990.400390625
CD103 FITC-A_q05,-144.5
CD103 FITC-A_q25,243.8000030517578
CD103 FITC-A_q75,5520.7001953125
CD103 FITC-A_q95,34465.52421874995
CD103 FITC-A_max,52183700.0
CD103 FITC-A_entropy,8.660806718614921
CD103 FITC-A_num_outliers,461007.0
CD103 FITC-A_num_modes,27.0
B7 PE-H_mean,10736.5185546875
B7 PE-H_median,1239.5999755859375
B7 PE-H_mode,618.0
B7 PE-H_std,62556.46875
B7 PE-H_var,3913312000.0
B7 PE-H_range,5701509.0
B7 PE-H_iqr,6847.10009765625
B7 PE-H_cv,5.826513290405273
B7 PE-H_skew,28.82010725279528
B7 PE-H_kurtosis,1299.7548715659689
B7 PE-H_min,0.0
B7 PE-H_q05,395.8999938964844
B7 PE-H_q25,698.5
B7 PE-H_q75,7545.60009765625
B7 PE-H_q95,35475.80078125
B7 PE-H_max,5701509.0
B7 PE-H_entropy,5.370690518205771
B7 PE-H_num_outliers,386480.0
B7 PE-H_num_modes,60.0
