,0
FSC-H_mean,704519.0
FSC-H_median,456612.09375
FSC-H_mode,250671.296875
FSC-H_std,589361.5625
FSC-H_var,347347025920.0
FSC-H_range,3850039.25
FSC-H_iqr,489565.9375
FSC-H_cv,0.8365445733070374
FSC-H_skew,2.0933482756483923
FSC-H_kurtosis,4.6265111554623335
FSC-H_min,216880.90625
FSC-H_q05,263440.6875
FSC-H_q25,329572.1875
FSC-H_q75,819138.125
FSC-H_q95,2197458.75
FSC-H_max,4066920.25
FSC-H_entropy,5.392710854297247
FSC-H_num_outliers,488954.0
FSC-H_num_modes,8.0
FSC-A_mean,1004335.3125
FSC-A_median,599524.875
FSC-A_mode,366151.5
FSC-A_std,1310347.75
FSC-A_var,1717011087360.0
FSC-A_range,107874832.0
FSC-A_iqr,632935.84375
FSC-A_cv,1.3046915531158447
FSC-A_skew,8.568567072493622
FSC-A_kurtosis,186.6994820331913
FSC-A_min,-1858050.25
FSC-A_q05,305107.40625
FSC-A_q25,418858.40625
FSC-A_q75,1051794.25
FSC-A_q95,3299581.5
FSC-A_max,106016784.0
FSC-A_entropy,8.254231096369455
FSC-A_num_outliers,537952.0
FSC-A_num_modes,44.0
SSC-H_mean,348003.25
SSC-H_median,102288.1015625
SSC-H_mode,38167.6015625
SSC-H_std,716413.375
SSC-H_var,513248100352.0
SSC-H_range,5660286.5
SSC-H_iqr,250147.8984375
SSC-H_cv,2.0586400032043457
SSC-H_skew,3.8993260914056402
SSC-H_kurtosis,16.95132142113157
SSC-H_min,0.800000011920929
SSC-H_q05,33543.0
SSC-H_q25,48865.6015625
SSC-H_q75,299013.5
SSC-H_q95,2166103.0
SSC-H_max,5660287.5
SSC-H_entropy,5.459279065676468
SSC-H_num_outliers,500872.0
SSC-H_num_modes,5.0
SSC-A_mean,464923.71875
SSC-A_median,117543.203125
SSC-A_mode,45835.80078125
SSC-A_std,1392176.25
SSC-A_var,1938154848256.0
SSC-A_range,103022224.0
SSC-A_iqr,274864.79296875
SSC-A_cv,2.9944186210632324
SSC-A_skew,12.165635265533584
SSC-A_kurtosis,297.8036356885203
SSC-A_min,-825085.875
SSC-A_q05,37655.80078125
SSC-A_q25,57893.80078125
SSC-A_q75,332758.59375
SSC-A_q95,2555692.0
SSC-A_max,102197136.0
SSC-A_entropy,8.53364605608754
SSC-A_num_outliers,523103.0
SSC-A_num_modes,52.0
CD103 FITC-H_mean,2906.50830078125
CD103 FITC-H_median,487.29998779296875
CD103 FITC-H_mode,421.0
CD103 FITC-H_std,46241.94921875
CD103 FITC-H_var,2138317824.0
CD103 FITC-H_range,5677821.5
CD103 FITC-H_iqr,258.3000183105469
CD103 FITC-H_cv,15.909793853759766
CD103 FITC-H_skew,57.31174315736076
CD103 FITC-H_kurtosis,4803.454748466399
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,290.1000061035156
CD103 FITC-H_q25,395.6000061035156
CD103 FITC-H_q75,653.9000244140625
CD103 FITC-H_q95,4658.7998046875
CD103 FITC-H_max,5677821.5
CD103 FITC-H_entropy,6.859379913021069
CD103 FITC-H_num_outliers,1023153.0
CD103 FITC-H_num_modes,64.0
CD103 FITC-A_mean,3417.0126953125
CD103 FITC-A_median,282.3999938964844
CD103 FITC-A_mode,168.8000030517578
CD103 FITC-A_std,74493.0625
CD103 FITC-A_var,5549216256.0
CD103 FITC-A_range,46758488.0
CD103 FITC-A_iqr,523.9999771118164
CD103 FITC-A_cv,21.800640106201172
CD103 FITC-A_skew,195.96001079857066
CD103 FITC-A_kurtosis,74353.52614897759
CD103 FITC-A_min,-434761.5
CD103 FITC-A_q05,-197.1999969482422
CD103 FITC-A_q25,82.0999984741211
CD103 FITC-A_q75,606.0999755859375
CD103 FITC-A_q95,5756.5
CD103 FITC-A_max,46323728.0
CD103 FITC-A_entropy,9.899935573393908
CD103 FITC-A_num_outliers,898635.0
CD103 FITC-A_num_modes,32.0
B7 PE-H_mean,4306.86474609375
B7 PE-H_median,618.2999877929688
B7 PE-H_mode,522.0
B7 PE-H_std,38385.54296875
B7 PE-H_var,1473449856.0
B7 PE-H_range,5704273.0
B7 PE-H_iqr,343.1999816894531
B7 PE-H_cv,8.912641525268555
B7 PE-H_skew,61.72869541915457
B7 PE-H_kurtosis,6322.015232753192
B7 PE-H_min,0.0
B7 PE-H_q05,349.8999938964844
B7 PE-H_q25,493.3999938964844
B7 PE-H_q75,836.5999755859375
B7 PE-H_q95,15392.0
B7 PE-H_max,5704273.0
B7 PE-H_entropy,6.978955287238755
B7 PE-H_num_outliers,1027989.0
B7 PE-H_num_modes,57.0
B7 PE-A_mean,5363.6201171875
B7 PE-A_median,420.8999938964844
B7 PE-A_mode,274.79998779296875
B7 PE-A_std,63613.84375
B7 PE-A_var,4046721024.0
B7 PE-A_range,44164556.0
B7 PE-A_iqr,744.9999771118164
B7 PE-A_cv,11.860243797302246
B7 PE-A_skew,212.83648013250283
B7 PE-A_kurtosis,93843.66010142402
B7 PE-A_min,-305168.59375
B7 PE-A_q05,-259.70001220703125
B7 PE-A_q25,127.5999984741211
B7 PE-A_q75,872.5999755859375
B7 PE-A_q95,20809.30078125
B7 PE-A_max,43859388.0
B7 PE-A_entropy,9.736569471552258
B7 PE-A_num_outliers,996616.0
B7 PE-A_num_modes,27.0
CD38 PC7-H_mean,12146.8466796875
CD38 PC7-H_median,2157.0
CD38 PC7-H_mode,1609.800048828125
CD38 PC7-H_std,48870.2734375
CD38 PC7-H_var,2388303616.0
CD38 PC7-H_range,5734039.5
CD38 PC7-H_iqr,2020.5
CD38 PC7-H_cv,4.023288726806641
CD38 PC7-H_skew,15.909777011827371
CD38 PC7-H_kurtosis,574.042376801699
CD38 PC7-H_min,0.800000011920929
CD38 PC7-H_q05,1015.9000244140625
CD38 PC7-H_q25,1563.300048828125
CD38 PC7-H_q75,3583.800048828125
CD38 PC7-H_q95,52095.0
CD38 PC7-H_max,5734040.5
CD38 PC7-H_entropy,6.651782408465356
CD38 PC7-H_num_outliers,976765.0
CD38 PC7-H_num_modes,37.0
CD38 PC7-A_mean,16155.591796875
CD38 PC7-A_median,2317.800048828125
CD38 PC7-A_mode,1904.199951171875
CD38 PC7-A_std,71996.1171875
CD38 PC7-A_var,5183440384.0
CD38 PC7-A_range,28634616.0
CD38 PC7-A_iqr,2537.599853515625
CD38 PC7-A_cv,4.4564208984375
CD38 PC7-A_skew,37.72099803121735
CD38 PC7-A_kurtosis,8226.709371970917
CD38 PC7-A_min,-8082.0
CD38 PC7-A_q05,882.7000122070312
CD38 PC7-A_q25,1583.699951171875
CD38 PC7-A_q75,4121.2998046875
CD38 PC7-A_q95,69141.1015625
CD38 PC7-A_max,28626534.0
CD38 PC7-A_entropy,8.3582677812146
CD38 PC7-A_num_outliers,955312.0
CD38 PC7-A_num_modes,21.0
CD8 APC-H_mean,15600.40234375
CD8 APC-H_median,603.2000122070312
CD8 APC-H_mode,409.5
CD8 APC-H_std,97232.1875
CD8 APC-H_var,9454098432.0
CD8 APC-H_range,5640909.0
CD8 APC-H_iqr,482.5
CD8 APC-H_cv,6.232671737670898
CD8 APC-H_skew,7.309703105810526
CD8 APC-H_kurtosis,62.58763088092239
CD8 APC-H_min,0.0
CD8 APC-H_q05,263.20001220703125
CD8 APC-H_q25,426.29998779296875
CD8 APC-H_q75,908.7999877929688
CD8 APC-H_q95,4272.2001953125
CD8 APC-H_max,5640909.0
CD8 APC-H_entropy,6.630535832970488
CD8 APC-H_num_outliers,631785.0
CD8 APC-H_num_modes,14.0
CD8 APC-A_mean,22085.5546875
CD8 APC-A_median,355.6000061035156
CD8 APC-A_mode,189.10000610351562
CD8 APC-A_std,142834.453125
CD8 APC-A_var,20401682432.0
CD8 APC-A_range,32522604.0
CD8 APC-A_iqr,646.2999725341797
CD8 APC-A_cv,6.467324733734131
CD8 APC-A_skew,13.714617955275601
CD8 APC-A_kurtosis,1419.0147010614114
CD8 APC-A_min,-17909.599609375
CD8 APC-A_q05,-197.60000610351562
CD8 APC-A_q25,97.30000305175781
CD8 APC-A_q75,743.5999755859375
CD8 APC-A_q95,6635.60009765625
CD8 APC-A_max,32504694.0
CD8 APC-A_entropy,8.927039817091016
CD8 APC-A_num_outliers,645245.0
CD8 APC-A_num_modes,14.0
FSC-Width_mean,1351.417236328125
FSC-Width_median,1319.4844970703125
FSC-Width_mode,1280.0
FSC-Width_std,300.9544372558594
FSC-Width_var,90573.578125
FSC-Width_range,31136.337890625
FSC-Width_iqr,213.811767578125
FSC-Width_cv,0.22269542515277863
FSC-Width_skew,8.574071393847085
FSC-Width_kurtosis,221.19263550097017
FSC-Width_min,-3632.88525390625
FSC-Width_q05,1060.227294921875
FSC-Width_q25,1215.1702880859375
FSC-Width_q75,1428.9820556640625
FSC-Width_q95,1667.11767578125
FSC-Width_max,27503.453125
FSC-Width_entropy,5.772798282100219
FSC-Width_num_outliers,215962.0
FSC-Width_num_modes,41.0
Time_mean,42545080.0
Time_median,42723532.0
