,0
FSC-H_mean,1302318.5
FSC-H_median,1353030.75
FSC-H_mode,250715.203125
FSC-H_std,726590.875
FSC-H_var,527934291968.0
FSC-H_range,3771913.5
FSC-H_iqr,1387817.625
FSC-H_cv,0.5579210519790649
FSC-H_skew,0.06547925140673348
FSC-H_kurtosis,-0.9218181467733673
FSC-H_min,242608.40625
FSC-H_q05,268015.16875
FSC-H_q25,520458.0
FSC-H_q75,1908275.625
FSC-H_q95,2374892.0999999996
FSC-H_max,4014522.0
FSC-H_entropy,4.620264524839719
FSC-H_num_outliers,8.0
FSC-H_num_modes,5.0
FSC-A_mean,1943310.0
FSC-A_median,1841065.875
FSC-A_mode,279091.6875
FSC-A_std,1418384.5
FSC-A_var,2011814428672.0
FSC-A_range,106449704.0
FSC-A_iqr,2402869.8125
FSC-A_cv,0.729880690574646
FSC-A_skew,3.937941966811926
FSC-A_kurtosis,123.53859644070987
FSC-A_min,67811.796875
FSC-A_q05,280143.3125
FSC-A_q25,628945.1875
FSC-A_q75,3031815.0
FSC-A_q95,3839854.299999999
FSC-A_max,106517512.0
FSC-A_entropy,6.945464236761353
FSC-A_num_outliers,18061.0
FSC-A_num_modes,37.0
SSC-H_mean,971491.875
SSC-H_median,370599.5
SSC-H_mode,131911.296875
SSC-H_std,1138290.5
SSC-H_var,1295705309184.0
SSC-H_range,5660435.5
SSC-H_iqr,1692031.84375
SSC-H_cv,1.1716933250427246
SSC-H_skew,1.364602633949781
SSC-H_kurtosis,0.8957034976017262
SSC-H_min,0.10000000149011612
SSC-H_q05,91691.378125
SSC-H_q25,203228.90625
SSC-H_q75,1895260.75
SSC-H_q95,3209129.9999999995
SSC-H_max,5660435.5
SSC-H_entropy,4.411863305390497
SSC-H_num_outliers,24633.0
SSC-H_num_modes,5.0
SSC-A_mean,1210137.75
SSC-A_median,416822.8125
SSC-A_mode,94690.0
SSC-A_std,1728803.125
SSC-A_var,2988760104960.0
SSC-A_range,106358176.0
SSC-A_iqr,2020270.703125
SSC-A_cv,1.4286003112792969
SSC-A_skew,6.052769875602702
SSC-A_kurtosis,107.46214266987772
SSC-A_min,-1470588.0
SSC-A_q05,85707.296875
SSC-A_q25,214202.796875
SSC-A_q75,2234473.5
SSC-A_q95,4007932.549999997
SSC-A_max,104887592.0
SSC-A_entropy,6.937435575323195
SSC-A_num_outliers,44638.0
SSC-A_num_modes,35.0
CD103 FITC-H_mean,4825.48583984375
CD103 FITC-H_median,2039.699951171875
CD103 FITC-H_mode,456.8999938964844
CD103 FITC-H_std,43586.1328125
CD103 FITC-H_var,1899751040.0
CD103 FITC-H_range,5678525.0
CD103 FITC-H_iqr,2628.60009765625
CD103 FITC-H_cv,9.032485961914062
CD103 FITC-H_skew,57.67839513763679
CD103 FITC-H_kurtosis,5545.346086318383
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,365.79998779296875
CD103 FITC-H_q25,849.0
CD103 FITC-H_q75,3477.60009765625
CD103 FITC-H_q95,9680.519921874973
CD103 FITC-H_max,5678525.0
CD103 FITC-H_entropy,5.8097909831668355
CD103 FITC-H_num_outliers,197030.0
CD103 FITC-H_num_modes,57.0
CD103 FITC-A_mean,5809.93212890625
CD103 FITC-A_median,2180.39990234375
CD103 FITC-A_mode,174.5
CD103 FITC-A_std,89473.671875
CD103 FITC-A_var,8005537792.0
CD103 FITC-A_range,63073424.0
CD103 FITC-A_iqr,3455.3001708984375
CD103 FITC-A_cv,15.400123596191406
CD103 FITC-A_skew,308.2654409686185
CD103 FITC-A_kurtosis,152858.39803227427
CD103 FITC-A_min,-18219.599609375
CD103 FITC-A_q05,-37.29999923706055
CD103 FITC-A_q25,741.4000244140625
CD103 FITC-A_q75,4196.7001953125
CD103 FITC-A_q95,12320.5
CD103 FITC-A_max,63055204.0
CD103 FITC-A_entropy,9.389056080055573
CD103 FITC-A_num_outliers,205170.0
CD103 FITC-A_num_modes,24.0
B7 PE-H_mean,10123.2451171875
B7 PE-H_median,3586.800048828125
B7 PE-H_mode,592.5999755859375
B7 PE-H_std,44464.1328125
B7 PE-H_var,1977058944.0
B7 PE-H_range,5705078.0
B7 PE-H_iqr,4833.0
B7 PE-H_cv,4.392280578613281
B7 PE-H_skew,40.48874806361438
B7 PE-H_kurtosis,3176.9758520954083
B7 PE-H_min,0.0
B7 PE-H_q05,417.20001220703125
B7 PE-H_q25,1113.5
B7 PE-H_q75,5946.5
B7 PE-H_q95,38673.69921875
