,0
FSC-H_mean,1047022.125
FSC-H_median,895668.3125
FSC-H_mode,252660.796875
FSC-H_std,748896.0625
FSC-H_var,560845291520.0
FSC-H_range,3780740.75
FSC-H_iqr,1184957.25
FSC-H_cv,0.7152628898620605
FSC-H_skew,0.6599203585388841
FSC-H_kurtosis,-0.5413100476201977
FSC-H_min,206091.90625
FSC-H_q05,261564.0
FSC-H_q25,335869.0
FSC-H_q75,1520826.25
FSC-H_q95,2371759.75
FSC-H_max,3986832.75
FSC-H_entropy,4.701748479784395
FSC-H_num_outliers,13215.0
FSC-H_num_modes,5.0
FSC-A_mean,1603227.625
FSC-A_median,1252109.625
FSC-A_mode,308167.1875
FSC-A_std,1589095.0
FSC-A_var,2525222928384.0
FSC-A_range,101291264.0
FSC-A_iqr,1789478.59375
FSC-A_cv,0.9911848902702332
FSC-A_skew,4.300643482121684
FSC-A_kurtosis,69.57786020557401
FSC-A_min,-448290.5
FSC-A_q05,278593.09375
FSC-A_q25,389728.90625
FSC-A_q75,2179207.5
FSC-A_q95,3887283.0
FSC-A_max,100842976.0
FSC-A_entropy,7.16206387664716
FSC-A_num_outliers,62808.0
FSC-A_num_modes,45.0
SSC-H_mean,850052.5
SSC-H_median,339789.5
SSC-H_mode,132398.203125
SSC-H_std,1046302.25
SSC-H_var,1094748340224.0
SSC-H_range,5659473.5
SSC-H_iqr,868390.171875
SSC-H_cv,1.2308677434921265
SSC-H_skew,1.56109578727792
SSC-H_kurtosis,1.5234193227676993
SSC-H_min,0.30000001192092896
SSC-H_q05,92468.0
SSC-H_q25,171328.703125
SSC-H_q75,1039718.875
SSC-H_q95,3034056.75
SSC-H_max,5659474.0
SSC-H_entropy,5.0666808028356005
SSC-H_num_outliers,493336.0
SSC-H_num_modes,3.0
SSC-A_mean,1110783.0
SSC-A_median,386580.59375
SSC-A_mode,88190.796875
SSC-A_std,1706969.25
SSC-A_var,2913743929344.0
SSC-A_range,93443304.0
SSC-A_iqr,1242638.09375
SSC-A_cv,1.5367261171340942
SSC-A_skew,5.612756965112379
SSC-A_kurtosis,89.18039963457751
SSC-A_min,-3147640.75
SSC-A_q05,89046.6015625
SSC-A_q25,175278.40625
SSC-A_q75,1417916.5
SSC-A_q95,3893096.0
SSC-A_max,90295664.0
SSC-A_entropy,7.259983576896672
SSC-A_num_outliers,342360.0
SSC-A_num_modes,43.0
CD103 FITC-H_mean,4905.05908203125
CD103 FITC-H_median,1624.699951171875
CD103 FITC-H_mode,464.6000061035156
CD103 FITC-H_std,27036.1171875
CD103 FITC-H_var,730951680.0
CD103 FITC-H_range,5677861.5
CD103 FITC-H_iqr,2918.2999877929688
CD103 FITC-H_cv,5.5118842124938965
CD103 FITC-H_skew,63.48558358999756
CD103 FITC-H_kurtosis,8982.499793218576
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,362.79998779296875
CD103 FITC-H_q25,585.2000122070312
CD103 FITC-H_q75,3503.5
CD103 FITC-H_q95,15530.400390625
CD103 FITC-H_max,5677861.5
CD103 FITC-H_entropy,5.776220499721445
CD103 FITC-H_num_outliers,324080.0
CD103 FITC-H_num_modes,44.0
CD103 FITC-A_mean,6198.6845703125
CD103 FITC-A_median,1700.0
CD103 FITC-A_mode,240.60000610351562
CD103 FITC-A_std,43942.0703125
CD103 FITC-A_var,1930905472.0
CD103 FITC-A_range,32725182.0
CD103 FITC-A_iqr,3970.6001892089844
CD103 FITC-A_cv,7.088934898376465
CD103 FITC-A_skew,282.9882267227775
CD103 FITC-A_kurtosis,169535.59153499833
CD103 FITC-A_min,-55644.1015625
CD103 FITC-A_q05,-48.29999923706055
CD103 FITC-A_q25,401.1000061035156
CD103 FITC-A_q75,4371.7001953125
CD103 FITC-A_q95,21773.69921875
CD103 FITC-A_max,32669538.0
CD103 FITC-A_entropy,7.8756873596494605
CD103 FITC-A_num_outliers,353972.0
CD103 FITC-A_num_modes,22.0
B7 PE-H_mean,7444.33544921875
B7 PE-H_median,2644.300048828125
B7 PE-H_mode,622.7000122070312
B7 PE-H_std,33598.58984375
