,0
FSC-H_mean,874925.9375
FSC-H_median,399087.5625
FSC-H_mode,252857.40625
FSC-H_std,791532.6875
FSC-H_var,626524028928.0
FSC-H_range,3819629.5
FSC-H_iqr,1237080.0390625
FSC-H_cv,0.904685378074646
FSC-H_skew,1.0417738665001877
FSC-H_kurtosis,-0.4745998110239982
FSC-H_min,225095.90625
FSC-H_q05,258014.296875
FSC-H_q25,299086.5234375
FSC-H_q75,1536166.5625
FSC-H_q95,2412743.45
FSC-H_max,4044725.5
FSC-H_entropy,4.4261629898095105
FSC-H_num_outliers,5589.0
FSC-H_num_modes,4.0
FSC-A_mean,1274501.875
FSC-A_median,544078.3125
FSC-A_mode,370130.90625
FSC-A_std,1346237.5
FSC-A_var,1812355481600.0
FSC-A_range,100981960.0
FSC-A_iqr,1700970.1875
FSC-A_cv,1.0562852621078491
FSC-A_skew,3.3667955603158073
FSC-A_kurtosis,76.61411497663681
FSC-A_min,-172284.5
FSC-A_q05,282737.90625
FSC-A_q25,393501.0
FSC-A_q75,2094471.1875
FSC-A_q95,3632316.6125000007
FSC-A_max,100809672.0
FSC-A_entropy,7.2171162379801945
FSC-A_num_outliers,55568.0
FSC-A_num_modes,47.0
SSC-H_mean,824745.625
SSC-H_median,228380.90625
SSC-H_mode,117060.3984375
SSC-H_std,1180936.375
SSC-H_var,1394610798592.0
SSC-H_range,5660539.0
SSC-H_iqr,540378.169921875
SSC-H_cv,1.4318795204162598
SSC-H_skew,1.6151691270063446
SSC-H_kurtosis,1.252531981440482
SSC-H_min,0.4000000059604645
SSC-H_q05,67043.3984375
SSC-H_q25,126830.126953125
SSC-H_q75,667208.296875
SSC-H_q95,3421488.3250000007
SSC-H_max,5660539.5
SSC-H_entropy,5.5096660615482005
SSC-H_num_outliers,1255749.0
SSC-H_num_modes,3.0
SSC-A_mean,1006623.625
SSC-A_median,269304.40625
SSC-A_mode,99645.796875
SSC-A_std,1577450.125
SSC-A_var,2488348704768.0
SSC-A_range,112244368.0
SSC-A_iqr,668064.6796875
SSC-A_cv,1.567070484161377
SSC-A_skew,3.8084438384191235
SSC-A_kurtosis,57.13176820096812
SSC-A_min,-265876.40625
SSC-A_q05,73078.8984375
SSC-A_q25,137043.9296875
SSC-A_q75,805108.609375
SSC-A_q95,4104179.45
SSC-A_max,111978488.0
SSC-A_entropy,8.218571927456246
SSC-A_num_outliers,1264280.0
SSC-A_num_modes,42.0
CD103 FITC-H_mean,4617.3994140625
CD103 FITC-H_median,596.7000122070312
CD103 FITC-H_mode,453.29998779296875
CD103 FITC-H_std,25254.298828125
CD103 FITC-H_var,637779584.0
CD103 FITC-H_range,5678596.0
CD103 FITC-H_iqr,3044.1000366210938
CD103 FITC-H_cv,5.469377040863037
CD103 FITC-H_skew,59.67921660701273
CD103 FITC-H_kurtosis,8740.953282874938
CD103 FITC-H_min,0.20000000298023224
CD103 FITC-H_q05,309.1000061035156
CD103 FITC-H_q25,435.70001220703125
CD103 FITC-H_q75,3479.800048828125
CD103 FITC-H_q95,15346.495019531269
CD103 FITC-H_max,5678596.0
