,0
FSC-H_mean,850772.9375
FSC-H_median,396007.09375
FSC-H_mode,250504.796875
FSC-H_std,809589.6875
FSC-H_var,655435431936.0
FSC-H_range,3862560.25
FSC-H_iqr,1117386.65625
FSC-H_cv,0.9515931606292725
FSC-H_skew,1.2246740700458938
FSC-H_kurtosis,-0.06317004128463566
FSC-H_min,188031.796875
FSC-H_q05,258682.703125
FSC-H_q25,301820.59375
FSC-H_q75,1419207.25
FSC-H_q95,2502424.8499999996
FSC-H_max,4050592.0
FSC-H_entropy,4.531869213731479
FSC-H_num_outliers,16339.0
FSC-H_num_modes,4.0
FSC-A_mean,1281539.5
FSC-A_median,536563.125
FSC-A_mode,376510.40625
FSC-A_std,1430408.875
FSC-A_var,2046069702656.0
FSC-A_range,109490720.0
FSC-A_iqr,1622060.8125
FSC-A_cv,1.1161644458770752
FSC-A_skew,3.14447903778598
FSC-A_kurtosis,61.984813152878374
FSC-A_min,-270857.40625
FSC-A_q05,298227.6125
FSC-A_q25,396885.1875
FSC-A_q75,2018946.0
FSC-A_q95,3935399.6999999997
FSC-A_max,109219864.0
FSC-A_entropy,7.4087165893940385
FSC-A_num_outliers,94897.0
FSC-A_num_modes,47.0
SSC-H_mean,779479.375
SSC-H_median,216001.90625
SSC-H_mode,105778.296875
SSC-H_std,1153378.625
SSC-H_var,1330282233856.0
SSC-H_range,5659104.5
SSC-H_iqr,454969.390625
SSC-H_cv,1.4796781539916992
SSC-H_skew,1.7412644576154628
SSC-H_kurtosis,1.7305815468233412
SSC-H_min,0.30000001192092896
SSC-H_q05,61716.69921875
SSC-H_q25,119118.296875
SSC-H_q75,574087.6875
SSC-H_q95,3397709.749999999
SSC-H_max,5659105.0
SSC-H_entropy,5.692325346476837
SSC-H_num_outliers,1346765.0
SSC-H_num_modes,3.0
SSC-A_mean,987033.3125
SSC-A_median,249832.203125
SSC-A_mode,97819.3984375
SSC-A_std,1607051.125
SSC-A_var,2582613327872.0
SSC-A_range,115788936.0
SSC-A_iqr,588567.5234375
SSC-A_cv,1.6281629800796509
SSC-A_skew,3.9645219870921795
SSC-A_kurtosis,63.16494979944174
SSC-A_min,-3560679.0
SSC-A_q05,67586.8578125
SSC-A_q25,130328.6015625
SSC-A_q75,718896.125
SSC-A_q95,4221174.5
SSC-A_max,112228256.0
SSC-A_entropy,8.428242881695805
SSC-A_num_outliers,1368177.0
SSC-A_num_modes,43.0
CD103 FITC-H_mean,3720.4990234375
CD103 FITC-H_median,647.7999877929688
CD103 FITC-H_mode,460.29998779296875
CD103 FITC-H_std,31554.748046875
CD103 FITC-H_var,995702144.0
CD103 FITC-H_range,5677819.0
CD103 FITC-H_iqr,3023.7000122070312
CD103 FITC-H_cv,8.481321334838867
CD103 FITC-H_skew,121.59063900835478
CD103 FITC-H_kurtosis,19203.00129945714
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,317.8999938964844
CD103 FITC-H_q25,467.29998779296875
CD103 FITC-H_q75,3491.0
CD103 FITC-H_q95,13626.039843749944
CD103 FITC-H_max,5677819.0
CD103 FITC-H_entropy,5.4351811522591005
CD103 FITC-H_num_outliers,596450.0
CD103 FITC-H_num_modes,61.0
CD103 FITC-A_mean,5319.091796875
CD103 FITC-A_median,593.4000244140625
CD103 FITC-A_mode,192.8000030517578
CD103 FITC-A_std,89126.4765625
CD103 FITC-A_var,7943529472.0
CD103 FITC-A_range,62399792.0
CD103 FITC-A_iqr,4028.400100708008
CD103 FITC-A_cv,16.755956649780273
CD103 FITC-A_skew,316.25443555808766
CD103 FITC-A_kurtosis,140900.4153282472
CD103 FITC-A_min,-11627.0
CD103 FITC-A_q05,-178.89999389648438
CD103 FITC-A_q25,205.1999969482422
CD103 FITC-A_q75,4233.60009765625
CD103 FITC-A_q95,18883.5
CD103 FITC-A_max,62388164.0
CD103 FITC-A_entropy,9.308259762516975
CD103 FITC-A_num_outliers,609508.0
CD103 FITC-A_num_modes,33.0
B7 PE-H_mean,4196.18359375
B7 PE-H_median,777.7000122070312
B7 PE-H_mode,561.5
B7 PE-H_std,24378.125
B7 PE-H_var,594292992.0
B7 PE-H_range,5703999.5
B7 PE-H_iqr,3681.1998291015625
