,0
FSC-H_mean,563083.375
FSC-H_median,420386.90625
FSC-H_mode,250778.703125
FSC-H_std,436972.90625
FSC-H_var,190945312768.0
FSC-H_range,3726247.75
FSC-H_iqr,275912.609375
FSC-H_cv,0.7760359048843384
FSC-H_skew,2.839256416701634
FSC-H_kurtosis,8.276206548784936
FSC-H_min,246046.0
FSC-H_q05,263262.9625
FSC-H_q25,321500.203125
FSC-H_q75,597412.8125
FSC-H_q95,1588600.1875
FSC-H_max,3972293.75
FSC-H_entropy,5.283182418220031
FSC-H_num_outliers,166412.0
FSC-H_num_modes,9.0
FSC-A_mean,703696.375
FSC-A_median,474719.90625
FSC-A_mode,267419.90625
FSC-A_std,763718.625
FSC-A_var,583266140160.0
FSC-A_range,80735264.0
FSC-A_iqr,372328.078125
FSC-A_cv,1.0852956771850586
FSC-A_skew,7.604179864356867
FSC-A_kurtosis,320.28234701928
FSC-A_min,122230.703125
FSC-A_q05,258664.73125
FSC-A_q25,341018.890625
FSC-A_q75,713346.96875
FSC-A_q95,2342149.499999999
FSC-A_max,80857496.0
FSC-A_entropy,7.758490015026396
FSC-A_num_outliers,168583.0
FSC-A_num_modes,35.0
SSC-H_mean,251552.4375
SSC-H_median,52431.8984375
SSC-H_mode,30871.0
SSC-H_std,662529.875
SSC-H_var,438945808384.0
SSC-H_range,5660211.5
SSC-H_iqr,102543.3046875
SSC-H_cv,2.6337645053863525
SSC-H_skew,4.368217286700983
SSC-H_kurtosis,19.311062942771642
SSC-H_min,341.0
SSC-H_q05,30622.0
SSC-H_q25,37270.6015625
SSC-H_q75,139813.90625
SSC-H_q95,1088876.812499998
SSC-H_max,5660552.5
SSC-H_entropy,5.264404909821305
SSC-H_num_outliers,253470.0
SSC-H_num_modes,4.0
SSC-A_mean,300873.5
SSC-A_median,56557.69921875
SSC-A_mode,37069.30078125
SSC-A_std,874611.5
SSC-A_var,764945235968.0
SSC-A_range,83907384.0
SSC-A_iqr,111779.3984375
SSC-A_cv,2.906907796859741
SSC-A_skew,8.65960277426774
SSC-A_kurtosis,284.3028576277547
SSC-A_min,-11322.5
SSC-A_q05,29845.80078125
SSC-A_q25,38263.75
SSC-A_q75,150043.1484375
SSC-A_q95,1528472.125
SSC-A_max,83896064.0
SSC-A_entropy,8.291935664740121
SSC-A_num_outliers,259415.0
SSC-A_num_modes,37.0
CD103 FITC-H_mean,1140.180908203125
CD103 FITC-H_median,459.6000061035156
CD103 FITC-H_mode,450.29998779296875
CD103 FITC-H_std,16704.240234375
CD103 FITC-H_var,279031616.0
CD103 FITC-H_range,5678673.0
CD103 FITC-H_iqr,183.79998779296875
CD103 FITC-H_cv,14.650517463684082
CD103 FITC-H_skew,106.85231782971982
CD103 FITC-H_kurtosis,19283.369470675596
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,283.0
CD103 FITC-H_q25,380.5
CD103 FITC-H_q75,564.2999877929688
CD103 FITC-H_q95,3223.10009765625
CD103 FITC-H_max,5678673.0
CD103 FITC-H_entropy,6.3775145603198755
CD103 FITC-H_num_outliers,201712.0
CD103 FITC-H_num_modes,33.0
CD103 FITC-A_mean,1098.7393798828125
CD103 FITC-A_median,236.39999389648438
CD103 FITC-A_mode,172.3000030517578
CD103 FITC-A_std,22882.966796875
CD103 FITC-A_var,523630144.0
CD103 FITC-A_range,17213520.0
CD103 FITC-A_iqr,372.29998779296875
CD103 FITC-A_cv,20.82656478881836
CD103 FITC-A_skew,280.2895876963894
CD103 FITC-A_kurtosis,174061.50438697427
CD103 FITC-A_min,-2794.10009765625
CD103 FITC-A_q05,-186.39999389648438
CD103 FITC-A_q25,66.5
CD103 FITC-A_q75,438.79998779296875
CD103 FITC-A_q95,3798.6699951171827
CD103 FITC-A_max,17210726.0
CD103 FITC-A_entropy,7.471579455396194
CD103 FITC-A_num_outliers,203134.0
CD103 FITC-A_num_modes,18.0
B7 PE-H_mean,1485.4691162109375
B7 PE-H_median,574.0999755859375
B7 PE-H_mode,528.7000122070312
B7 PE-H_std,16543.818359375
B7 PE-H_var,273697952.0
B7 PE-H_range,5705291.5
B7 PE-H_iqr,247.9000244140625
B7 PE-H_cv,11.137100219726562
B7 PE-H_skew,164.5715169077467
B7 PE-H_kurtosis,44402.84904644594
B7 PE-H_min,0.10000000149011612
B7 PE-H_q05,332.3999938964844
B7 PE-H_q25,466.0
B7 PE-H_q75,713.9000244140625
B7 PE-H_q95,4156.89990234375
B7 PE-H_max,5705291.5
B7 PE-H_entropy,6.364594263320919
B7 PE-H_num_outliers,195199.0
B7 PE-H_num_modes,31.0
B7 PE-A_mean,1588.4830322265625
B7 PE-A_median,327.1000061035156
B7 PE-A_mode,212.60000610351562
B7 PE-A_std,28637.462890625
B7 PE-A_var,820104320.0
B7 PE-A_range,20306744.0
B7 PE-A_iqr,555.3000259399414
B7 PE-A_cv,18.028182983398438
B7 PE-A_skew,402.07779788836086
B7 PE-A_kurtosis,246096.68341483286
B7 PE-A_min,-3209.10009765625
B7 PE-A_q05,-271.1000061035156
B7 PE-A_q25,75.0999984741211
B7 PE-A_q75,630.4000244140625
B7 PE-A_q95,5134.07006835937
B7 PE-A_max,20303534.0
B7 PE-A_entropy,7.641646642480386
B7 PE-A_num_outliers,190347.0
B7 PE-A_num_modes,15.0
CD38 PC7-H_mean,4003.1904296875
CD38 PC7-H_median,1440.800048828125
CD38 PC7-H_mode,1177.5999755859375
CD38 PC7-H_std,19872.763671875
CD38 PC7-H_var,394926752.0
CD38 PC7-H_range,5717581.0
CD38 PC7-H_iqr,935.300048828125
CD38 PC7-H_cv,4.964231491088867
CD38 PC7-H_skew,41.431077473337986
CD38 PC7-H_kurtosis,5540.286309869293
CD38 PC7-H_min,4.599999904632568
CD38 PC7-H_q05,690.2999877929688
CD38 PC7-H_q25,1068.199951171875
CD38 PC7-H_q75,2003.5
CD38 PC7-H_q95,11218.419726562472
CD38 PC7-H_max,5717585.5
CD38 PC7-H_entropy,6.23029481844153
CD38 PC7-H_num_outliers,206808.0
CD38 PC7-H_num_modes,23.0
CD38 PC7-A_mean,5037.4775390625
CD38 PC7-A_median,1349.199951171875
CD38 PC7-A_mode,1215.300048828125
CD38 PC7-A_std,30703.865234375
CD38 PC7-A_var,942727360.0
CD38 PC7-A_range,11896510.0
CD38 PC7-A_iqr,1112.7999877929688
CD38 PC7-A_cv,6.095087051391602
CD38 PC7-A_skew,62.254646165137224
CD38 PC7-A_kurtosis,14526.707611662256
CD38 PC7-A_min,-1096.199951171875
CD38 PC7-A_q05,441.8999938964844
CD38 PC7-A_q25,916.2000122070312
CD38 PC7-A_q75,2029.0
CD38 PC7-A_q95,14762.269921874995
CD38 PC7-A_max,11895414.0
CD38 PC7-A_entropy,6.827094111803229
CD38 PC7-A_num_outliers,210290.0
CD38 PC7-A_num_modes,18.0
CD8 APC-H_mean,4316.734375
CD8 APC-H_median,573.0
CD8 APC-H_mode,411.8999938964844
CD8 APC-H_std,40758.0390625
CD8 APC-H_var,1661217664.0
