,0
FSC-H_mean,1188921.375
FSC-H_median,1218292.5
FSC-H_mode,259870.796875
FSC-H_std,809476.1875
FSC-H_var,655251734528.0
FSC-H_range,3793238.0
FSC-H_iqr,1689591.390625
FSC-H_cv,0.6808491945266724
FSC-H_skew,0.2099535890002519
FSC-H_kurtosis,-1.4829902897954037
FSC-H_min,227941.203125
FSC-H_q05,260944.76875
FSC-H_q25,339530.296875
FSC-H_q75,2029121.6875
FSC-H_q95,2362379.825
FSC-H_max,4021179.25
FSC-H_entropy,4.400359264061564
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,1809977.75
FSC-A_median,1766340.375
FSC-A_mode,296371.3125
FSC-A_std,1454662.875
FSC-A_var,2116044062720.0
FSC-A_range,98575504.0
FSC-A_iqr,2782214.53125
FSC-A_cv,0.803691029548645
FSC-A_skew,2.581582140998664
FSC-A_kurtosis,75.44684744982926
FSC-A_min,-297059.0
FSC-A_q05,278745.75625
FSC-A_q25,405642.09375
FSC-A_q75,3187856.625
FSC-A_q95,3872736.8
FSC-A_max,98278448.0
FSC-A_entropy,6.7810968945732615
FSC-A_num_outliers,5846.0
FSC-A_num_modes,51.0
SSC-H_mean,1029093.875
SSC-H_median,376580.09375
SSC-H_mode,88511.296875
SSC-H_std,1217329.75
SSC-H_var,1481891643392.0
SSC-H_range,5662075.5
SSC-H_iqr,1888888.5390625
SSC-H_cv,1.182914137840271
SSC-H_skew,1.2659725052668858
SSC-H_kurtosis,0.5884577626685243
SSC-H_min,1.399999976158142
SSC-H_q05,78356.14218750001
SSC-H_q25,146106.8984375
SSC-H_q75,2034995.4375
SSC-H_q95,3416298.374999999
SSC-H_max,5662077.0
SSC-H_entropy,4.489939793037488
SSC-H_num_outliers,30482.0
SSC-H_num_modes,3.0
SSC-A_mean,1300276.0
SSC-A_median,441188.6875
SSC-A_mode,93776.8984375
SSC-A_std,1747011.75
SSC-A_var,3052050055168.0
SSC-A_range,110936688.0
SSC-A_iqr,2323713.2734375
SSC-A_cv,1.3435699939727783
SSC-A_skew,4.840141945426021
SSC-A_kurtosis,89.92601910521188
SSC-A_min,-3063450.5
SSC-A_q05,71717.809375
SSC-A_q25,154433.3515625
SSC-A_q75,2478146.625
SSC-A_q95,4400499.099999999
SSC-A_max,107873240.0
SSC-A_entropy,7.036040546251917
SSC-A_num_outliers,53947.0
SSC-A_num_modes,41.0
CD103 FITC-H_mean,3266.8173828125
CD103 FITC-H_median,1618.0
CD103 FITC-H_mode,474.29998779296875
CD103 FITC-H_std,30414.015625
CD103 FITC-H_var,925012288.0
CD103 FITC-H_range,5528979.5
CD103 FITC-H_iqr,2674.39990234375
CD103 FITC-H_cv,9.309983253479004
CD103 FITC-H_skew,47.75366107833504
CD103 FITC-H_kurtosis,3485.2321412326664
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,342.1000061035156
CD103 FITC-H_q25,549.0
CD103 FITC-H_q75,3223.39990234375
CD103 FITC-H_q95,5912.60009765625
