,0
FSC-H_mean,827656.4375
FSC-H_median,393335.1875
FSC-H_mode,263520.0
FSC-H_std,750481.8125
FSC-H_var,563222937600.0
FSC-H_range,3749205.5
FSC-H_iqr,1081518.25
FSC-H_cv,0.906755268573761
FSC-H_skew,1.2439961848221648
FSC-H_kurtosis,0.31237546795843407
FSC-H_min,237593.0
FSC-H_q05,257020.09375
FSC-H_q25,294584.90625
FSC-H_q75,1376103.15625
FSC-H_q95,2397678.1624999987
FSC-H_max,3986798.5
FSC-H_entropy,4.593960120400486
FSC-H_num_outliers,32760.0
FSC-H_num_modes,4.0
FSC-A_mean,1165470.0
FSC-A_median,474134.15625
FSC-A_mode,261702.0
FSC-A_std,1396417.375
FSC-A_var,1949981474816.0
FSC-A_range,98042544.0
FSC-A_iqr,1506761.0390625
FSC-A_cv,1.1981581449508667
FSC-A_skew,4.586313471446036
FSC-A_kurtosis,79.18013316086014
FSC-A_min,-43085.1015625
FSC-A_q05,262834.37343750003
FSC-A_q25,331245.1171875
FSC-A_q75,1838006.15625
FSC-A_q95,3542120.5874999985
FSC-A_max,97999456.0
FSC-A_entropy,7.298752615686043
FSC-A_num_outliers,116066.0
FSC-A_num_modes,45.0
SSC-H_mean,603926.9375
SSC-H_median,156731.90625
SSC-H_mode,106749.8984375
SSC-H_std,998395.1875
SSC-H_var,996792991744.0
SSC-H_range,5660863.0
SSC-H_iqr,311907.0703125
SSC-H_cv,1.6531721353530884
SSC-H_skew,2.2993319145413014
SSC-H_kurtosis,4.630216571851762
SSC-H_min,0.5
SSC-H_q05,68726.5
SSC-H_q25,104723.0
SSC-H_q75,416630.0703125
SSC-H_q95,2975315.0374999996
SSC-H_max,5660863.5
SSC-H_entropy,5.724463034886265
SSC-H_num_outliers,1141471.0
SSC-H_num_modes,3.0
SSC-A_mean,745325.6875
SSC-A_median,170130.59375
SSC-A_mode,95460.5
SSC-A_std,1489639.125
SSC-A_var,2219024580608.0
SSC-A_range,131829440.0
SSC-A_iqr,368651.328125
SSC-A_cv,1.998641848564148
SSC-A_skew,6.367476962062246
SSC-A_kurtosis,115.44078931038545
SSC-A_min,-908088.6875
SSC-A_q05,67565.1015625
SSC-A_q25,105791.0
SSC-A_q75,474442.328125
SSC-A_q95,3540096.5124999993
SSC-A_max,130921352.0
SSC-A_entropy,8.938670443589075
SSC-A_num_outliers,1158564.0
SSC-A_num_modes,37.0
CD103 FITC-H_mean,2626.456787109375
CD103 FITC-H_median,566.9000244140625
CD103 FITC-H_mode,442.29998779296875
CD103 FITC-H_std,30812.078125
CD103 FITC-H_var,949384128.0
CD103 FITC-H_range,5677665.5
CD103 FITC-H_iqr,1428.1000061035156
CD103 FITC-H_cv,11.731424331665039
CD103 FITC-H_skew,68.54468411465085
CD103 FITC-H_kurtosis,7720.430408610872
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,306.6000061035156
CD103 FITC-H_q25,431.3999938964844
CD103 FITC-H_q75,1859.5
CD103 FITC-H_q95,5921.7001953125
CD103 FITC-H_max,5677665.5
CD103 FITC-H_entropy,5.746077422722477
CD103 FITC-H_num_outliers,773519.0
CD103 FITC-H_num_modes,61.0
CD103 FITC-A_mean,3048.751708984375
CD103 FITC-A_median,404.20001220703125
CD103 FITC-A_mode,206.3000030517578
CD103 FITC-A_std,59323.92578125
CD103 FITC-A_var,3519328256.0
CD103 FITC-A_range,52327580.0
CD103 FITC-A_iqr,1713.1999969482422
CD103 FITC-A_cv,19.458431243896484
CD103 FITC-A_skew,380.2802318298036
CD103 FITC-A_kurtosis,245883.3188028029
CD103 FITC-A_min,-4990.10009765625
CD103 FITC-A_q05,-139.3000030517578
CD103 FITC-A_q25,149.3000030517578
CD103 FITC-A_q75,1862.5
CD103 FITC-A_q95,7446.10009765625
CD103 FITC-A_max,52322588.0
CD103 FITC-A_entropy,9.34510925760661
CD103 FITC-A_num_outliers,834633.0
CD103 FITC-A_num_modes,17.0
B7 PE-H_mean,4118.6181640625
B7 PE-H_median,688.5999755859375
B7 PE-H_mode,522.7999877929688
B7 PE-H_std,27982.04296875
B7 PE-H_var,782994688.0
B7 PE-H_range,5704821.5
B7 PE-H_iqr,2228.6998901367188
B7 PE-H_cv,6.794036865234375
B7 PE-H_skew,92.40349769757601
B7 PE-H_kurtosis,15485.615308258662
B7 PE-H_min,0.0
B7 PE-H_q05,334.5
B7 PE-H_q25,510.70001220703125
B7 PE-H_q75,2739.39990234375
B7 PE-H_q95,11305.099609375
B7 PE-H_max,5704821.5
B7 PE-H_entropy,5.63756971388818
B7 PE-H_num_outliers,563978.0
B7 PE-H_num_modes,54.0
B7 PE-A_mean,5176.18994140625
B7 PE-A_median,518.2999877929688
B7 PE-A_mode,90.19999694824219
B7 PE-A_std,83438.828125
B7 PE-A_var,6962037760.0
B7 PE-A_range,64012676.0
B7 PE-A_iqr,2943.499954223633
B7 PE-A_cv,16.11973762512207
B7 PE-A_skew,407.8153441020125
B7 PE-A_kurtosis,217592.67274014762
B7 PE-A_min,-22068.30078125
B7 PE-A_q05,-335.29998779296875
B7 PE-A_q25,114.69999694824219
B7 PE-A_q75,3058.199951171875
B7 PE-A_q95,16555.0
B7 PE-A_max,63990608.0
B7 PE-A_entropy,9.635847435357817
B7 PE-A_num_outliers,585000.0
B7 PE-A_num_modes,37.0
CD38 PC7-H_mean,12576.7529296875
CD38 PC7-H_median,3492.39990234375
CD38 PC7-H_mode,2048.800048828125
CD38 PC7-H_std,40766.80859375
CD38 PC7-H_var,1661932544.0
CD38 PC7-H_range,5735049.5
CD38 PC7-H_iqr,6247.69970703125
CD38 PC7-H_cv,3.241441488265991
CD38 PC7-H_skew,23.4007646361565
CD38 PC7-H_kurtosis,2053.0665394588323
CD38 PC7-H_min,0.10000000149011612
CD38 PC7-H_q05,1140.800048828125
CD38 PC7-H_q25,2123.60009765625
CD38 PC7-H_q75,8371.2998046875
CD38 PC7-H_q95,50434.146093749834
CD38 PC7-H_max,5735049.5
CD38 PC7-H_entropy,6.156437287137601
CD38 PC7-H_num_outliers,751716.0
CD38 PC7-H_num_modes,42.0
CD38 PC7-A_mean,16010.271484375
CD38 PC7-A_median,3471.199951171875
CD38 PC7-A_mode,1682.800048828125
CD38 PC7-A_std,82853.5859375
CD38 PC7-A_var,6864717312.0
CD38 PC7-A_range,86443168.0
CD38 PC7-A_iqr,7788.774566650391
CD38 PC7-A_cv,5.175026893615723
CD38 PC7-A_skew,302.4474563436602
CD38 PC7-A_kurtosis,225469.86989555683
CD38 PC7-A_min,-6367.89990234375
CD38 PC7-A_q05,773.9000244140625
CD38 PC7-A_q25,1904.3250427246094
CD38 PC7-A_q75,9693.099609375
CD38 PC7-A_q95,64593.31933593705
CD38 PC7-A_max,86436800.0
