,0
FSC-H_mean,1012081.75
FSC-H_median,725726.5
FSC-H_mode,278368.1875
FSC-H_std,742099.6875
FSC-H_var,550711984128.0
FSC-H_range,6264275.0
FSC-H_iqr,1206538.90625
FSC-H_cv,0.7332408428192139
FSC-H_skew,0.7423214815800688
FSC-H_kurtosis,-0.8332818151602495
FSC-H_min,237438.09375
FSC-H_q05,265569.0
FSC-H_q25,359119.90625
FSC-H_q75,1565658.8125
FSC-H_q95,2375668.5
FSC-H_max,6501713.0
FSC-H_entropy,5.172771617260584
FSC-H_num_outliers,1392.0
FSC-H_num_modes,4.0
FSC-A_mean,1375917.375
FSC-A_median,955236.5
FSC-A_mode,270464.5
FSC-A_std,1148366.125
FSC-A_var,1318744621056.0
FSC-A_range,107532912.0
FSC-A_iqr,1651553.21875
FSC-A_cv,0.8346185088157654
FSC-A_skew,2.034355409886096
FSC-A_kurtosis,59.00396003525133
FSC-A_min,-2062518.25
FSC-A_q05,281509.59375
FSC-A_q25,423227.3125
FSC-A_q75,2074780.53125
FSC-A_q95,3443640.25
FSC-A_max,105470392.0
FSC-A_entropy,7.634815332905024
FSC-A_num_outliers,43826.0
FSC-A_num_modes,48.0
SSC-H_mean,665572.375
SSC-H_median,233947.0
SSC-H_mode,78221.1015625
SSC-H_std,937438.8125
SSC-H_var,878791491584.0
SSC-H_range,5661439.5
SSC-H_iqr,548444.140625
SSC-H_cv,1.4084701538085938
SSC-H_skew,1.8918222972690404
SSC-H_kurtosis,2.7762892738272136
SSC-H_min,1.100000023841858
SSC-H_q05,52184.954296875
SSC-H_q25,100441.703125
SSC-H_q75,648885.84375
SSC-H_q95,2799421.8625
SSC-H_max,5661440.5
SSC-H_entropy,5.6161547201999715
SSC-H_num_outliers,1597740.0
SSC-H_num_modes,4.0
SSC-A_mean,767788.625
SSC-A_median,264554.8125
SSC-A_mode,86353.3984375
SSC-A_std,1123582.625
SSC-A_var,1262437924864.0
SSC-A_range,128096864.0
SSC-A_iqr,633420.1484375
SSC-A_cv,1.463400959968567
SSC-A_skew,3.1207854688806274
SSC-A_kurtosis,69.30212767814808
SSC-A_min,-3981115.5
SSC-A_q05,57578.0
SSC-A_q25,103737.2734375
SSC-A_q75,737157.421875
SSC-A_q95,3264445.0
SSC-A_max,124115752.0
SSC-A_entropy,8.59304322267738
SSC-A_num_outliers,1607748.0
SSC-A_num_modes,36.0
CD103 FITC-H_mean,1919.6131591796875
CD103 FITC-H_median,603.0
CD103 FITC-H_mode,466.0
CD103 FITC-H_std,19676.05078125
CD103 FITC-H_var,387146944.0
CD103 FITC-H_range,5680199.5
CD103 FITC-H_iqr,1827.0000610351562
CD103 FITC-H_cv,10.250008583068848
CD103 FITC-H_skew,235.69406994194287
CD103 FITC-H_kurtosis,61656.92608154651
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,331.70001220703125
CD103 FITC-H_q25,458.79998779296875
CD103 FITC-H_q75,2285.800048828125
CD103 FITC-H_q95,5790.2001953125
CD103 FITC-H_max,5680199.5
CD103 FITC-H_entropy,5.639084874073782
CD103 FITC-H_num_outliers,715218.0
CD103 FITC-H_num_modes,56.0
CD103 FITC-A_mean,2117.763671875
CD103 FITC-A_median,473.0
CD103 FITC-A_mode,178.10000610351562
CD103 FITC-A_std,51864.81640625
CD103 FITC-A_var,2689959168.0
CD103 FITC-A_range,38235960.0
CD103 FITC-A_iqr,2163.800048828125
CD103 FITC-A_cv,24.49036979675293
CD103 FITC-A_skew,466.38199356355483
CD103 FITC-A_kurtosis,262710.0184742331
CD103 FITC-A_min,-14282.400390625
CD103 FITC-A_q05,-92.4000015258789
CD103 FITC-A_q25,202.0
CD103 FITC-A_q75,2365.800048828125
CD103 FITC-A_q95,6945.7998046875
CD103 FITC-A_max,38221676.0
CD103 FITC-A_entropy,8.46672310844343
CD103 FITC-A_num_outliers,824264.0
CD103 FITC-A_num_modes,38.0
B7 PE-H_mean,4070.306884765625
B7 PE-H_median,717.0999755859375
B7 PE-H_mode,569.0
B7 PE-H_std,19243.87109375
B7 PE-H_var,370326560.0
B7 PE-H_range,5706770.5
B7 PE-H_iqr,3351.7000732421875
B7 PE-H_cv,4.727867603302002
B7 PE-H_skew,94.96032974947084
B7 PE-H_kurtosis,22102.28568699125
B7 PE-H_min,0.0
B7 PE-H_q05,363.20001220703125
B7 PE-H_q25,534.9000244140625
B7 PE-H_q75,3886.60009765625
B7 PE-H_q95,16464.345605468676
B7 PE-H_max,5706770.5
B7 PE-H_entropy,5.408808544933494
B7 PE-H_num_outliers,646828.0
B7 PE-H_num_modes,44.0
B7 PE-A_mean,4908.43212890625
B7 PE-A_median,616.9000244140625
B7 PE-A_mode,336.5
B7 PE-A_std,36802.2578125
B7 PE-A_var,1354406272.0
B7 PE-A_range,36630028.0
B7 PE-A_iqr,4229.899810791016
B7 PE-A_cv,7.497762203216553
B7 PE-A_skew,375.42970362619747
B7 PE-A_kurtosis,259641.39460008667
B7 PE-A_min,-73372.8984375
B7 PE-A_q05,-236.0
B7 PE-A_q25,202.89999389648438
B7 PE-A_q75,4432.7998046875
B7 PE-A_q95,20982.19921875
B7 PE-A_max,36556656.0
B7 PE-A_entropy,8.07835507676412
B7 PE-A_num_outliers,673707.0
B7 PE-A_num_modes,24.0
CD38 PC7-H_mean,11332.4892578125
CD38 PC7-H_median,2458.699951171875
CD38 PC7-H_mode,1086.300048828125
CD38 PC7-H_std,35928.94140625
CD38 PC7-H_var,1290888832.0
CD38 PC7-H_range,5201673.5
CD38 PC7-H_iqr,6116.925048828125
CD38 PC7-H_cv,3.1704368591308594
CD38 PC7-H_skew,13.25832512566849
CD38 PC7-H_kurtosis,574.6836123380383
CD38 PC7-H_min,0.5
CD38 PC7-H_q05,610.0
CD38 PC7-H_q25,1293.800048828125
CD38 PC7-H_q75,7410.72509765625
CD38 PC7-H_q95,54791.3984375
CD38 PC7-H_max,5201674.0
CD38 PC7-H_entropy,6.09711843686131
CD38 PC7-H_num_outliers,962879.0
CD38 PC7-H_num_modes,40.0
CD38 PC7-A_mean,13776.3984375
CD38 PC7-A_median,2472.10009765625
CD38 PC7-A_mode,1185.4000244140625
CD38 PC7-A_std,45989.8125
CD38 PC7-A_var,2115062784.0
CD38 PC7-A_range,15279072.0
CD38 PC7-A_iqr,7588.900146484375
CD38 PC7-A_cv,3.3383045196533203
CD38 PC7-A_skew,19.77397511310902
CD38 PC7-A_kurtosis,2418.6238465946476
CD38 PC7-A_min,-4123.89990234375
CD38 PC7-A_q05,393.70001220703125
CD38 PC7-A_q25,1222.800048828125
CD38 PC7-A_q75,8811.7001953125
CD38 PC7-A_q95,68111.8984375
CD38 PC7-A_max,15274948.0
CD38 PC7-A_entropy,6.8576551979675235
CD38 PC7-A_num_outliers,1002302.0
CD38 PC7-A_num_modes,23.0
CD8 APC-H_mean,6152.25341796875
CD8 APC-H_median,472.6000061035156
CD8 APC-H_mode,354.6000061035156
CD8 APC-H_std,55408.7578125
CD8 APC-H_var,3070130432.0
CD8 APC-H_range,5643471.5
CD8 APC-H_iqr,366.1000061035156
CD8 APC-H_cv,9.006254196166992
CD8 APC-H_skew,11.697749860676284
CD8 APC-H_kurtosis,180.0997687864612
CD8 APC-H_min,0.0
CD8 APC-H_q05,202.6999969482422
CD8 APC-H_q25,332.8999938964844
CD8 APC-H_q75,699.0
CD8 APC-H_q95,1376.199951171875
CD8 APC-H_max,5643471.5
CD8 APC-H_entropy,6.591276692948909
CD8 APC-H_num_outliers,574347.0
CD8 APC-H_num_modes,10.0
CD8 APC-A_mean,8366.38671875
CD8 APC-A_median,122.30000305175781
CD8 APC-A_mode,11.899999618530273
CD8 APC-A_std,81044.1484375
CD8 APC-A_var,6568153600.0
CD8 APC-A_range,18983338.0
CD8 APC-A_iqr,537.1999893188477
CD8 APC-A_cv,9.686875343322754
CD8 APC-A_skew,13.47125245496659
CD8 APC-A_kurtosis,597.0164343679799
CD8 APC-A_min,-18263.599609375
CD8 APC-A_q05,-347.3999938964844
CD8 APC-A_q25,-96.4000015258789
CD8 APC-A_q75,440.79998779296875
CD8 APC-A_q95,1385.800048828125
CD8 APC-A_max,18965074.0
CD8 APC-A_entropy,7.901497219387915
CD8 APC-A_num_outliers,553955.0
CD8 APC-A_num_modes,7.0
FSC-Width_mean,1313.1910400390625
FSC-Width_median,1315.6630859375
FSC-Width_mode,1088.0
FSC-Width_std,226.73416137695312
FSC-Width_var,51408.3828125
FSC-Width_range,30690.615234375
FSC-Width_iqr,324.5660400390625
FSC-Width_cv,0.17265893518924713
FSC-Width_skew,3.65787627978349
FSC-Width_kurtosis,151.8574386891884
FSC-Width_min,-3365.961181640625
FSC-Width_q05,1025.291015625
FSC-Width_q25,1123.231689453125
FSC-Width_q75,1447.7977294921875
FSC-Width_q95,1630.8442260742186
FSC-Width_max,27324.654296875
FSC-Width_entropy,5.507836097857635
FSC-Width_num_outliers,107499.0
FSC-Width_num_modes,42.0
Time_mean,47517524.0
Time_median,44673424.0
Time_mode,94997984.0
Time_std,29246462.0
Time_var,855355487682560.0
Time_range,105242352.0
Time_iqr,49056267.5
Time_cv,0.6154879331588745
Time_skew,0.21002754630086878
Time_kurtosis,-1.1110021336502343
Time_min,0.0
Time_q05,4702683.350000001
Time_q25,22616392.5
Time_q75,71672660.0
Time_q95,95820251.6
Time_max,105242352.0
Time_entropy,5.4077478603726945
Time_num_outliers,0.0
Time_num_modes,10.0
