,0
FSC-H_mean,984043.125
FSC-H_median,815671.125
FSC-H_mode,251805.5
FSC-H_std,663396.5
FSC-H_var,440094883840.0
FSC-H_range,3766665.0
FSC-H_iqr,1057135.75
FSC-H_cv,0.6741538643836975
FSC-H_skew,0.8101603644417836
FSC-H_kurtosis,-0.3085421085103186
FSC-H_min,249160.59375
FSC-H_q05,269439.69375
FSC-H_q25,389862.1875
FSC-H_q75,1446997.9375
FSC-H_q95,2323013.1375
FSC-H_max,4015825.5
FSC-H_entropy,5.1064840309420845
FSC-H_num_outliers,5521.0
FSC-H_num_modes,5.0
FSC-A_mean,1386675.75
FSC-A_median,1119938.5
FSC-A_mode,303216.90625
FSC-A_std,1105084.75
FSC-A_var,1221212241920.0
FSC-A_range,84690760.0
FSC-A_iqr,1522775.15625
FSC-A_cv,0.7969309091567993
FSC-A_skew,1.9392642174500316
FSC-A_kurtosis,34.80466391044661
FSC-A_min,162196.703125
FSC-A_q05,294293.915625
FSC-A_q25,464594.0
FSC-A_q75,1987369.15625
FSC-A_q95,3601192.4000000004
FSC-A_max,84852960.0
FSC-A_entropy,7.27068298450226
FSC-A_num_outliers,69241.0
FSC-A_num_modes,30.0
SSC-H_mean,658712.6875
SSC-H_median,257499.203125
SSC-H_mode,92612.203125
SSC-H_std,938024.875
SSC-H_var,879890661376.0
SSC-H_range,5660850.0
SSC-H_iqr,500226.765625
SSC-H_cv,1.4240273237228394
SSC-H_skew,2.1513869151268508
SSC-H_kurtosis,3.9722460273765767
SSC-H_min,404.1000061035156
SSC-H_q05,69054.212890625
SSC-H_q25,123246.5
SSC-H_q75,623473.265625
SSC-H_q95,2928386.4875000007
SSC-H_max,5661254.0
SSC-H_entropy,5.592623817714493
SSC-H_num_outliers,878513.0
SSC-H_num_modes,3.0
SSC-A_mean,806766.625
SSC-A_median,295333.4375
SSC-A_mode,106752.6015625
SSC-A_std,1221742.5
SSC-A_var,1492654882816.0
SSC-A_range,133573792.0
SSC-A_iqr,613260.544921875
SSC-A_cv,1.5143691301345825
SSC-A_skew,3.190652174292288
SSC-A_kurtosis,54.99917638386346
SSC-A_min,-21126.099609375
SSC-A_q05,73637.796875
SSC-A_q25,128787.923828125
SSC-A_q75,742048.46875
SSC-A_q95,3653467.9625000004
SSC-A_max,133552664.0
SSC-A_entropy,8.572090027936081
SSC-A_num_outliers,889791.0
SSC-A_num_modes,26.0
CD103 FITC-H_mean,3944.312255859375
CD103 FITC-H_median,624.2999877929688
CD103 FITC-H_mode,470.20001220703125
CD103 FITC-H_std,44193.1328125
CD103 FITC-H_var,1953033088.0
CD103 FITC-H_range,5679090.5
CD103 FITC-H_iqr,1428.4000549316406
CD103 FITC-H_cv,11.204268455505371
CD103 FITC-H_skew,60.67044567872903
CD103 FITC-H_kurtosis,5719.927273967172
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,335.29998779296875
CD103 FITC-H_q25,473.3999938964844
CD103 FITC-H_q75,1901.800048828125
CD103 FITC-H_q95,9408.594628906269
CD103 FITC-H_max,5679090.5
CD103 FITC-H_entropy,5.88613793029429
CD103 FITC-H_num_outliers,799073.0
CD103 FITC-H_num_modes,53.0
CD103 FITC-A_mean,4650.1455078125
CD103 FITC-A_median,517.5999755859375
CD103 FITC-A_mode,186.89999389648438
CD103 FITC-A_std,76069.46875
CD103 FITC-A_var,5786564096.0
CD103 FITC-A_range,38117988.0
CD103 FITC-A_iqr,1853.199951171875
CD103 FITC-A_cv,16.35851287841797
CD103 FITC-A_skew,201.2578226566425
CD103 FITC-A_kurtosis,68725.9076206227
CD103 FITC-A_min,-5517.89990234375
CD103 FITC-A_q05,-145.10000610351562
CD103 FITC-A_q25,200.0
CD103 FITC-A_q75,2053.199951171875
CD103 FITC-A_q95,12176.7998046875
CD103 FITC-A_max,38112472.0
CD103 FITC-A_entropy,8.624594508091567
CD103 FITC-A_num_outliers,835176.0
CD103 FITC-A_num_modes,39.0
B7 PE-H_mean,4508.677734375
B7 PE-H_median,837.0999755859375
B7 PE-H_mode,655.7999877929688
B7 PE-H_std,30668.685546875
B7 PE-H_var,940568256.0
B7 PE-H_range,5704734.5
B7 PE-H_iqr,2240.4000854492188
B7 PE-H_cv,6.8021464347839355
B7 PE-H_skew,62.64300567386852
B7 PE-H_kurtosis,7480.600009598135
B7 PE-H_min,0.0
B7 PE-H_q05,387.70001220703125
B7 PE-H_q25,612.2000122070312
B7 PE-H_q75,2852.60009765625
B7 PE-H_q95,15302.400390625
B7 PE-H_max,5704734.5
B7 PE-H_entropy,5.795861658471195
B7 PE-H_num_outliers,703739.0
B7 PE-H_num_modes,54.0
B7 PE-A_mean,5641.40380859375
B7 PE-A_median,780.5
B7 PE-A_mode,206.39999389648438
B7 PE-A_std,49452.17578125
B7 PE-A_var,2445517824.0
B7 PE-A_range,29755300.0
B7 PE-A_iqr,3309.900100708008
B7 PE-A_cv,8.765933990478516
B7 PE-A_skew,194.5162617533502
B7 PE-A_kurtosis,79978.22958078889
B7 PE-A_min,-22435.099609375
B7 PE-A_q05,-444.3999938964844
B7 PE-A_q25,198.1999969482422
B7 PE-A_q75,3508.10009765625
B7 PE-A_q95,20594.900390625
B7 PE-A_max,29732864.0
B7 PE-A_entropy,7.9287042288042855
B7 PE-A_num_outliers,692074.0
B7 PE-A_num_modes,33.0
CD38 PC7-H_mean,16958.0078125
CD38 PC7-H_median,3206.199951171875
CD38 PC7-H_mode,1313.5
CD38 PC7-H_std,60572.03125
CD38 PC7-H_var,3668971008.0
CD38 PC7-H_range,5736277.5
CD38 PC7-H_iqr,9733.5
CD38 PC7-H_cv,3.5718836784362793
CD38 PC7-H_skew,18.289600703145453
CD38 PC7-H_kurtosis,827.6953673913555
CD38 PC7-H_min,2.5999999046325684
CD38 PC7-H_q05,936.5999755859375
CD38 PC7-H_q25,1643.5
CD38 PC7-H_q75,11377.0
CD38 PC7-H_q95,70601.296875
CD38 PC7-H_max,5736280.0
CD38 PC7-H_entropy,5.809917533598121
CD38 PC7-H_num_outliers,631190.0
CD38 PC7-H_num_modes,49.0
CD38 PC7-A_mean,21990.09375
CD38 PC7-A_median,3302.10009765625
CD38 PC7-A_mode,1394.199951171875
CD38 PC7-A_std,97357.1875
CD38 PC7-A_var,9478421504.0
CD38 PC7-A_range,55028628.0
CD38 PC7-A_iqr,12382.699584960938
CD38 PC7-A_cv,4.42732048034668
CD38 PC7-A_skew,89.02117904624619
CD38 PC7-A_kurtosis,28752.274486815397
CD38 PC7-A_min,-2677.0
CD38 PC7-A_q05,742.5999755859375
CD38 PC7-A_q25,1653.9000244140625
CD38 PC7-A_q75,14036.599609375
CD38 PC7-A_q95,90050.8683593751
CD38 PC7-A_max,55025952.0
CD38 PC7-A_entropy,8.621189040153181
CD38 PC7-A_num_outliers,691944.0
CD38 PC7-A_num_modes,27.0
CD8 APC-H_mean,15611.40625
CD8 APC-H_median,726.7000122070312
CD8 APC-H_mode,464.20001220703125
CD8 APC-H_std,90986.3203125
CD8 APC-H_var,8278511104.0
CD8 APC-H_range,5642678.0
CD8 APC-H_iqr,706.7999877929688
CD8 APC-H_cv,5.828195095062256
CD8 APC-H_skew,7.164678563252216
CD8 APC-H_kurtosis,60.14570613024704
CD8 APC-H_min,0.0
CD8 APC-H_q05,295.3999938964844
CD8 APC-H_q25,496.79998779296875
CD8 APC-H_q75,1203.5999755859375
CD8 APC-H_q95,5208.595092773456
CD8 APC-H_max,5642678.0
CD8 APC-H_entropy,6.5217965536997955
CD8 APC-H_num_outliers,547907.0
CD8 APC-H_num_modes,10.0
CD8 APC-A_mean,22824.560546875
CD8 APC-A_median,473.5
CD8 APC-A_mode,244.60000610351562
CD8 APC-A_std,138064.28125
CD8 APC-A_var,19061743616.0
CD8 APC-A_range,25285684.0
CD8 APC-A_iqr,1032.1000518798828
CD8 APC-A_cv,6.0489349365234375
CD8 APC-A_skew,9.991697768414655
CD8 APC-A_kurtosis,564.7143191499594
CD8 APC-A_min,-1328.5999755859375
CD8 APC-A_q05,-224.10000610351562
CD8 APC-A_q25,129.6999969482422
CD8 APC-A_q75,1161.800048828125
CD8 APC-A_q95,7386.994995117206
CD8 APC-A_max,25284356.0
CD8 APC-A_entropy,8.21721597895421
CD8 APC-A_num_outliers,572566.0
CD8 APC-A_num_modes,10.0
FSC-Width_mean,1358.508544921875
FSC-Width_median,1344.2335205078125
FSC-Width_mode,1152.0
FSC-Width_std,249.3763885498047
FSC-Width_var,62188.5859375
FSC-Width_range,21347.5078125
FSC-Width_iqr,336.5315856933594
FSC-Width_cv,0.18356630206108093
FSC-Width_skew,2.5373993959298513
FSC-Width_kurtosis,53.64123243843337
FSC-Width_min,605.0873413085938
FSC-Width_q05,1055.61474609375
FSC-Width_q25,1159.9748840332031
FSC-Width_q75,1496.5064697265625
FSC-Width_q95,1733.812744140625
FSC-Width_max,21952.595703125
FSC-Width_entropy,5.415901184159027
FSC-Width_num_outliers,89561.0
FSC-Width_num_modes,26.0
Time_mean,29967896.0
Time_median,29853592.0
Time_mode,43415544.0
Time_std,16938966.0
Time_var,286928544989184.0
Time_range,62087348.0
Time_iqr,28569775.5
Time_cv,0.5652371048927307
Time_skew,0.04886720087113714
Time_kurtosis,-1.1292054614209772
Time_min,0.0
Time_q05,3756801.2
Time_q25,15453041.5
Time_q75,44022817.0
Time_q95,57279219.6
Time_max,62087348.0
Time_entropy,5.262215793077108
Time_num_outliers,0.0
Time_num_modes,7.0
