,0
FSC-H_mean,933574.25
FSC-H_median,479108.15625
FSC-H_mode,322131.09375
FSC-H_std,759101.75
FSC-H_var,576235438080.0
FSC-H_range,3754339.5
FSC-H_iqr,1324613.21875
FSC-H_cv,0.8131133913993835
FSC-H_skew,0.8304118267100613
FSC-H_kurtosis,-0.7083792124199944
FSC-H_min,248527.0
FSC-H_q05,261582.84609375
FSC-H_q25,321968.59375
FSC-H_q75,1646581.8125
FSC-H_q95,2287275.5999999996
FSC-H_max,4002866.5
FSC-H_entropy,4.371207514112186
FSC-H_num_outliers,3681.0
FSC-H_num_modes,4.0
FSC-A_mean,1223508.625
FSC-A_median,511667.5
FSC-A_mode,292008.6875
FSC-A_std,1328863.875
FSC-A_var,1765879316480.0
FSC-A_range,90285880.0
FSC-A_iqr,1736477.96875
FSC-A_cv,1.0861091613769531
FSC-A_skew,4.033392924709724
FSC-A_kurtosis,61.552391611412276
FSC-A_min,119971.296875
FSC-A_q05,261963.53984375
FSC-A_q25,333634.1875
FSC-A_q75,2070112.15625
FSC-A_q95,3211687.249999999
FSC-A_max,90405848.0
FSC-A_entropy,6.83150462505032
FSC-A_num_outliers,49950.0
FSC-A_num_modes,37.0
SSC-H_mean,442343.0
SSC-H_median,132691.453125
SSC-H_mode,93247.5
SSC-H_std,700501.8125
SSC-H_var,490702831616.0
SSC-H_range,5658481.5
SSC-H_iqr,284848.5078125
SSC-H_cv,1.583616852760315
SSC-H_skew,2.6186515117512976
SSC-H_kurtosis,7.522351119098531
SSC-H_min,1653.300048828125
SSC-H_q05,60721.8447265625
SSC-H_q25,85562.8984375
SSC-H_q75,370411.40625
SSC-H_q95,2101844.275
SSC-H_max,5660135.0
SSC-H_entropy,5.400205414735384
SSC-H_num_outliers,585485.0
SSC-H_num_modes,6.0
SSC-A_mean,524249.875
SSC-A_median,133373.546875
SSC-A_mode,73222.3984375
SSC-A_std,1044802.125
SSC-A_var,1091611525120.0
SSC-A_range,99358432.0
SSC-A_iqr,323167.28125
SSC-A_cv,1.9929468631744385
SSC-A_skew,8.578076865685075
SSC-A_kurtosis,232.76291682487906
SSC-A_min,1425.9000244140625
SSC-A_q05,56932.69921875
SSC-A_q25,82594.5
SSC-A_q75,405761.78125
SSC-A_q95,2423667.775
SSC-A_max,99359856.0
SSC-A_entropy,8.255829040577948
SSC-A_num_outliers,601901.0
SSC-A_num_modes,41.0
CD103 FITC-H_mean,1953.4993896484375
CD103 FITC-H_median,633.5
CD103 FITC-H_mode,467.5
CD103 FITC-H_std,39091.578125
CD103 FITC-H_var,1528151552.0
CD103 FITC-H_range,5678187.5
CD103 FITC-H_iqr,1310.9000549316406
CD103 FITC-H_cv,20.011051177978516
CD103 FITC-H_skew,124.0409467248632
CD103 FITC-H_kurtosis,16533.634026034415
CD103 FITC-H_min,0.10000000149011612
CD103 FITC-H_q05,307.3999938964844
CD103 FITC-H_q25,453.3999938964844
CD103 FITC-H_q75,1764.300048828125
CD103 FITC-H_q95,5027.7998046875
CD103 FITC-H_max,5678187.5
CD103 FITC-H_entropy,5.749222359954923
CD103 FITC-H_num_outliers,502098.0
CD103 FITC-H_num_modes,62.0
CD103 FITC-A_mean,2554.34228515625
CD103 FITC-A_median,482.0
CD103 FITC-A_mode,178.8000030517578
CD103 FITC-A_std,116357.7578125
CD103 FITC-A_var,13539127296.0
CD103 FITC-A_range,49709876.0
CD103 FITC-A_iqr,1721.6000213623047
CD103 FITC-A_cv,45.552921295166016
CD103 FITC-A_skew,227.32580498785066
CD103 FITC-A_kurtosis,62567.12603819319
CD103 FITC-A_min,-15339.0
CD103 FITC-A_q05,-189.3000030517578
CD103 FITC-A_q25,144.3000030517578
CD103 FITC-A_q75,1865.9000244140625
CD103 FITC-A_q95,6168.89990234375
CD103 FITC-A_max,49694536.0
CD103 FITC-A_entropy,9.094407375688768
CD103 FITC-A_num_outliers,473355.0
CD103 FITC-A_num_modes,50.0
B7 PE-H_mean,4748.68994140625
B7 PE-H_median,883.0999755859375
B7 PE-H_mode,608.2999877929688
B7 PE-H_std,33785.27734375
B7 PE-H_var,1141444992.0
B7 PE-H_range,5704882.0
B7 PE-H_iqr,3140.5001220703125
B7 PE-H_cv,7.114652156829834
B7 PE-H_skew,108.92909308498223
B7 PE-H_kurtosis,15803.918011698717
B7 PE-H_min,0.0
B7 PE-H_q05,337.3999938964844
B7 PE-H_q25,593.0999755859375
B7 PE-H_q75,3733.60009765625
B7 PE-H_q95,19646.599609375
B7 PE-H_max,5704882.0
B7 PE-H_entropy,5.554010167246446
B7 PE-H_num_outliers,369965.0
B7 PE-H_num_modes,62.0
B7 PE-A_mean,6009.419921875
B7 PE-A_median,738.4000244140625
B7 PE-A_mode,38.900001525878906
B7 PE-A_std,85092.7265625
B7 PE-A_var,7240772096.0
B7 PE-A_range,43128192.0
B7 PE-A_iqr,4493.200096130371
B7 PE-A_cv,14.159890174865723
B7 PE-A_skew,271.14210420279295
B7 PE-A_kurtosis,97578.91891052533
B7 PE-A_min,-19944.0
B7 PE-A_q05,-696.5999755859375
B7 PE-A_q25,45.400001525878906
B7 PE-A_q75,4538.60009765625
B7 PE-A_q95,26083.35556640623
B7 PE-A_max,43108248.0
B7 PE-A_entropy,8.40483834652329
B7 PE-A_num_outliers,379892.0
B7 PE-A_num_modes,39.0
CD38 PC7-H_mean,18109.111328125
CD38 PC7-H_median,2865.89990234375
CD38 PC7-H_mode,1571.199951171875
CD38 PC7-H_std,70203.4453125
CD38 PC7-H_var,4928523776.0
CD38 PC7-H_range,5733349.0
CD38 PC7-H_iqr,7223.9000244140625
CD38 PC7-H_cv,3.8766918182373047
CD38 PC7-H_skew,17.378838810546927
CD38 PC7-H_kurtosis,544.4671506848251
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,609.5999755859375
CD38 PC7-H_q25,1517.0999755859375
CD38 PC7-H_q75,8741.0
CD38 PC7-H_q95,91771.85273437499
CD38 PC7-H_max,5733349.0
CD38 PC7-H_entropy,5.950192607509737
CD38 PC7-H_num_outliers,507513.0
CD38 PC7-H_num_modes,40.0
CD38 PC7-A_mean,22202.576171875
CD38 PC7-A_median,2708.39990234375
CD38 PC7-A_mode,1572.300048828125
CD38 PC7-A_std,91164.1015625
CD38 PC7-A_var,8310894080.0
CD38 PC7-A_range,20614842.0
CD38 PC7-A_iqr,9038.074951171875
CD38 PC7-A_cv,4.106014728546143
CD38 PC7-A_skew,20.694992936979705
CD38 PC7-A_kurtosis,1237.4752475795779
CD38 PC7-A_min,-2806.199951171875
CD38 PC7-A_q05,303.79998779296875
CD38 PC7-A_q25,1271.699951171875
CD38 PC7-A_q75,10309.77490234375
CD38 PC7-A_q95,117126.86640624994
CD38 PC7-A_max,20612036.0
CD38 PC7-A_entropy,6.971003383852626
CD38 PC7-A_num_outliers,514209.0
CD38 PC7-A_num_modes,19.0
CD8 APC-H_mean,34772.74609375
CD8 APC-H_median,506.3999938964844
CD8 APC-H_mode,339.6000061035156
CD8 APC-H_std,131607.5625
CD8 APC-H_var,17320552448.0
CD8 APC-H_range,5641170.5
CD8 APC-H_iqr,466.0
CD8 APC-H_cv,3.784790515899658
CD8 APC-H_skew,4.144719517628239
CD8 APC-H_kurtosis,20.310864898964383
CD8 APC-H_min,0.0
CD8 APC-H_q05,195.3000030517578
CD8 APC-H_q25,342.20001220703125
CD8 APC-H_q75,808.2000122070312
CD8 APC-H_q95,385681.44218749856
CD8 APC-H_max,5641170.5
CD8 APC-H_entropy,6.726975583189745
CD8 APC-H_num_outliers,472149.0
CD8 APC-H_num_modes,14.0
CD8 APC-A_mean,49019.34765625
CD8 APC-A_median,132.39999389648438
CD8 APC-A_mode,-38.29999923706055
CD8 APC-A_std,189793.375
CD8 APC-A_var,36021526528.0
CD8 APC-A_range,29861454.0
CD8 APC-A_iqr,652.6000213623047
CD8 APC-A_cv,3.871805429458618
CD8 APC-A_skew,6.025280192572417
CD8 APC-A_kurtosis,297.5580092013313
CD8 APC-A_min,-3738.300048828125
CD8 APC-A_q05,-373.0
CD8 APC-A_q25,-108.19999694824219
CD8 APC-A_q75,544.4000244140625
CD8 APC-A_q95,544348.8874999986
CD8 APC-A_max,29857716.0
CD8 APC-A_entropy,8.776532914885893
CD8 APC-A_num_outliers,477472.0
CD8 APC-A_num_modes,13.0
FSC-Width_mean,1196.1572265625
FSC-Width_median,1104.8587646484375
FSC-Width_mode,1024.0
FSC-Width_std,284.4925842285156
FSC-Width_var,80936.0234375
FSC-Width_range,22653.056640625
FSC-Width_iqr,278.95709228515625
FSC-Width_cv,0.23783878982067108
FSC-Width_skew,6.551819629786903
FSC-Width_kurtosis,117.4882587696091
FSC-Width_min,474.28155517578125
FSC-Width_q05,970.5021026611328
FSC-Width_q25,1030.65087890625
FSC-Width_q75,1309.6079711914062
FSC-Width_q95,1545.3261840820312
FSC-Width_max,23127.337890625
FSC-Width_entropy,5.197499575000574
FSC-Width_num_outliers,85740.0
FSC-Width_num_modes,38.0
Time_mean,28981838.0
Time_median,28149556.0
Time_mode,20465048.0
Time_std,14640608.0
Time_var,214347406114816.0
Time_range,57322456.0
Time_iqr,20440317.5
Time_cv,0.5051649212837219
Time_skew,0.20703290154506532
Time_kurtosis,-0.7101365839375524
Time_min,0.0
Time_q05,4932117.15
Time_q25,17815872.5
Time_q75,38256190.0
Time_q95,55400176.0
Time_max,57322456.0
Time_entropy,5.353154276026274
Time_num_outliers,0.0
Time_num_modes,10.0
