,0
FSC-H_mean,1016320.75
FSC-H_median,533881.5
FSC-H_mode,251349.90625
FSC-H_std,788996.125
FSC-H_var,622514929664.0
FSC-H_range,3730300.5
FSC-H_iqr,1400980.125
FSC-H_cv,0.7763258814811707
FSC-H_skew,0.5869660671920862
FSC-H_kurtosis,-1.2646546106753345
FSC-H_min,248941.09375
FSC-H_q05,262638.1875
FSC-H_q25,330299.46875
FSC-H_q75,1731279.59375
FSC-H_q95,2338983.775
FSC-H_max,3979241.5
FSC-H_entropy,4.352867633339883
FSC-H_num_outliers,412.0
FSC-H_num_modes,4.0
FSC-A_mean,1345044.5
FSC-A_median,583520.5
FSC-A_mode,284187.09375
FSC-A_std,1217811.0
FSC-A_var,1483063689216.0
FSC-A_range,69715024.0
FSC-A_iqr,1926714.7109375
FSC-A_cv,0.9054057598114014
FSC-A_skew,1.509446429514508
FSC-A_kurtosis,18.377595052299093
FSC-A_min,-399927.59375
FSC-A_q05,266153.0
FSC-A_q25,348249.8515625
FSC-A_q75,2274964.5625
FSC-A_q95,3336231.8125
FSC-A_max,69315096.0
FSC-A_entropy,6.3571513564738265
FSC-A_num_outliers,11557.0
FSC-A_num_modes,42.0
SSC-H_mean,546068.3125
SSC-H_median,146239.203125
SSC-H_mode,77867.203125
SSC-H_std,819649.9375
SSC-H_var,671825985536.0
SSC-H_range,5659872.0
SSC-H_iqr,341365.921875
SSC-H_cv,1.501002550125122
SSC-H_skew,2.034610490893196
SSC-H_kurtosis,3.4153787941404836
SSC-H_min,2.200000047683716
SSC-H_q05,60488.19921875
SSC-H_q25,86352.5
SSC-H_q75,427718.421875
SSC-H_q95,2457752.525
SSC-H_max,5659874.0
SSC-H_entropy,5.353550337275053
SSC-H_num_outliers,580793.0
SSC-H_num_modes,5.0
SSC-A_mean,624286.75
SSC-A_median,149673.75
SSC-A_mode,79381.6015625
SSC-A_std,1047458.0625
SSC-A_var,1097168388096.0
SSC-A_range,126709864.0
SSC-A_iqr,396559.0
SSC-A_cv,1.6778476238250732
SSC-A_skew,7.788929430559908
SSC-A_kurtosis,300.6071449363213
SSC-A_min,-14960983.0
SSC-A_q05,57063.6015625
SSC-A_q25,84721.6015625
SSC-A_q75,481280.6015625
SSC-A_q95,2822290.025
SSC-A_max,111748880.0
SSC-A_entropy,8.526911455632703
SSC-A_num_outliers,598551.0
SSC-A_num_modes,38.0
CD103 FITC-H_mean,2760.257080078125
CD103 FITC-H_median,702.2000122070312
CD103 FITC-H_mode,488.70001220703125
CD103 FITC-H_std,46371.2734375
CD103 FITC-H_var,2150295040.0
CD103 FITC-H_range,5677023.5
CD103 FITC-H_iqr,2202.0999450683594
CD103 FITC-H_cv,16.79962158203125
CD103 FITC-H_skew,104.09887696377109
CD103 FITC-H_kurtosis,11712.99381460744
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,318.095005798341
CD103 FITC-H_q25,477.1000061035156
CD103 FITC-H_q75,2679.199951171875
CD103 FITC-H_q95,8265.0
CD103 FITC-H_max,5677023.5
CD103 FITC-H_entropy,5.460214750103384
CD103 FITC-H_num_outliers,241334.0
CD103 FITC-H_num_modes,62.0
CD103 FITC-A_mean,3747.26123046875
CD103 FITC-A_median,583.7999877929688
CD103 FITC-A_mode,226.89999389648438
CD103 FITC-A_std,148949.65625
CD103 FITC-A_var,22185998336.0
CD103 FITC-A_range,53067640.0
CD103 FITC-A_iqr,2744.300048828125
CD103 FITC-A_cv,39.748939514160156
CD103 FITC-A_skew,197.9340162073685
CD103 FITC-A_kurtosis,47256.67161557549
CD103 FITC-A_min,-23667.69921875
CD103 FITC-A_q05,-208.60000610351562
CD103 FITC-A_q25,161.0
CD103 FITC-A_q75,2905.300048828125
CD103 FITC-A_q95,10220.2998046875
CD103 FITC-A_max,53043972.0
CD103 FITC-A_entropy,8.92222334694305
CD103 FITC-A_num_outliers,253886.0
CD103 FITC-A_num_modes,50.0
B7 PE-H_mean,5993.30810546875
B7 PE-H_median,1037.5
B7 PE-H_mode,708.7000122070312
B7 PE-H_std,37828.1484375
B7 PE-H_var,1430968960.0
B7 PE-H_range,5702981.0
B7 PE-H_iqr,4003.8001098632812
B7 PE-H_cv,6.311730861663818
B7 PE-H_skew,97.67452514342413
B7 PE-H_kurtosis,12923.812529493345
B7 PE-H_min,0.0
B7 PE-H_q05,360.79998779296875
B7 PE-H_q25,669.7999877929688
B7 PE-H_q75,4673.60009765625
B7 PE-H_q95,26361.60458984373
B7 PE-H_max,5702981.0
B7 PE-H_entropy,5.5374728465298535
B7 PE-H_num_outliers,384927.0
B7 PE-H_num_modes,52.0
B7 PE-A_mean,7743.564453125
B7 PE-A_median,945.5999755859375
B7 PE-A_mode,-74.0
B7 PE-A_std,120301.921875
B7 PE-A_var,14472552448.0
B7 PE-A_range,51420744.0
B7 PE-A_iqr,5639.399803161621
B7 PE-A_cv,15.53572940826416
B7 PE-A_skew,237.67274273673587
B7 PE-A_kurtosis,70587.33601914262
B7 PE-A_min,-34635.80078125
