,0
FSC-H_mean,1163499.875
FSC-H_median,606328.375
FSC-H_mode,251035.796875
FSC-H_std,893147.5625
FSC-H_var,797712580608.0
FSC-H_range,3868346.25
FSC-H_iqr,1832340.21875
FSC-H_cv,0.7676387429237366
FSC-H_skew,0.32082355614740615
FSC-H_kurtosis,-1.6018790511755803
FSC-H_min,236159.796875
FSC-H_q05,259483.8078125
FSC-H_q25,313206.40625
FSC-H_q75,2145546.625
FSC-H_q95,2465191.4499999997
FSC-H_max,4104506.0
FSC-H_entropy,4.1369163462491
FSC-H_num_outliers,0.0
FSC-H_num_modes,4.0
FSC-A_mean,1562126.375
FSC-A_median,688844.6875
FSC-A_mode,269925.6875
FSC-A_std,1369369.5
FSC-A_var,1875172786176.0
FSC-A_range,108066536.0
FSC-A_iqr,2627703.984375
FSC-A_cv,0.8766061067581177
FSC-A_skew,1.3743774877070047
FSC-A_kurtosis,30.225327504786073
FSC-A_min,135023.40625
FSC-A_q05,259170.5
FSC-A_q25,331040.640625
FSC-A_q75,2958744.625
FSC-A_q95,3451348.6999999997
FSC-A_max,108201560.0
FSC-A_entropy,6.780392728156745
FSC-A_num_outliers,7519.0
FSC-A_num_modes,36.0
SSC-H_mean,823204.0625
SSC-H_median,186344.5
SSC-H_mode,65172.80078125
SSC-H_std,1082551.5
SSC-H_var,1171917635584.0
SSC-H_range,5660033.0
SSC-H_iqr,1632897.75
SSC-H_cv,1.3150463104248047
SSC-H_skew,1.3721058626393234
SSC-H_kurtosis,0.9035868650266901
SSC-H_min,7.199999809265137
SSC-H_q05,60315.810546875
SSC-H_q25,85770.0
SSC-H_q75,1718667.75
SSC-H_q95,2953815.874999999
SSC-H_max,5660040.0
SSC-H_entropy,4.15767071485045
SSC-H_num_outliers,35860.0
SSC-H_num_modes,5.0
SSC-A_mean,935048.8125
SSC-A_median,199351.796875
SSC-A_mode,68012.8984375
SSC-A_std,1310618.375
SSC-A_var,1717720580096.0
SSC-A_range,194087104.0
SSC-A_iqr,1816374.16015625
SSC-A_cv,1.4016577005386353
SSC-A_skew,3.0811310746951825
SSC-A_kurtosis,66.24160893476113
SSC-A_min,-87436064.0
SSC-A_q05,56071.01015625
SSC-A_q25,84239.65234375
SSC-A_q75,1900613.8125
SSC-A_q95,3356953.524999995
SSC-A_max,106651040.0
SSC-A_entropy,7.953687287388135
SSC-A_num_outliers,54256.0
SSC-A_num_modes,22.0
CD103 FITC-H_mean,2955.858154296875
CD103 FITC-H_median,852.2999877929688
CD103 FITC-H_mode,438.6000061035156
CD103 FITC-H_std,36183.89453125
CD103 FITC-H_var,1309274112.0
CD103 FITC-H_range,5677426.0
CD103 FITC-H_iqr,3756.9999084472656
CD103 FITC-H_cv,12.24141788482666
CD103 FITC-H_skew,130.97585627235304
CD103 FITC-H_kurtosis,18683.082257211197
CD103 FITC-H_min,0.0
CD103 FITC-H_q05,300.1000061035156
CD103 FITC-H_q25,457.8999938964844
CD103 FITC-H_q75,4214.89990234375
CD103 FITC-H_q95,9426.7001953125
