,0
FSC-H_mean,1186566.375
FSC-H_median,1346683.125
FSC-H_mode,266142.3125
FSC-H_std,731046.125
FSC-H_var,534428418048.0
FSC-H_range,3745134.75
FSC-H_iqr,1277765.53125
FSC-H_cv,0.6161021590232849
FSC-H_skew,0.24005019002766553
FSC-H_kurtosis,-0.9382819727162017
FSC-H_min,246160.796875
FSC-H_q05,266876.484375
FSC-H_q25,394725.65625
FSC-H_q75,1672491.1875
FSC-H_q95,2369286.5749999997
FSC-H_max,3991295.5
FSC-H_entropy,4.721520286897377
FSC-H_num_outliers,3824.0
FSC-H_num_modes,4.0
FSC-A_mean,1738568.625
FSC-A_median,1894767.0
FSC-A_mode,2104529.0
FSC-A_std,1401265.5
FSC-A_var,1963545067520.0
FSC-A_range,103279184.0
FSC-A_iqr,1886387.1640625
FSC-A_cv,0.8059880137443542
FSC-A_skew,3.0870851827416237
FSC-A_kurtosis,58.379077022857636
FSC-A_min,-1477489.375
FSC-A_q05,282118.584375
FSC-A_q25,450151.5234375
FSC-A_q75,2336538.6875
FSC-A_q95,3772247.737499999
FSC-A_max,101801696.0
FSC-A_entropy,7.154764347732632
FSC-A_num_outliers,47548.0
FSC-A_num_modes,28.0
SSC-H_mean,825751.4375
SSC-H_median,354755.90625
SSC-H_mode,86394.0
SSC-H_std,990072.5
SSC-H_var,980243578880.0
SSC-H_range,5661104.0
SSC-H_iqr,1156744.921875
SSC-H_cv,1.19899582862854
SSC-H_skew,1.5608112687088957
SSC-H_kurtosis,1.6698187862640292
SSC-H_min,1.2000000476837158
SSC-H_q05,79120.703125
SSC-H_q25,181282.296875
SSC-H_q75,1338027.21875
SSC-H_q95,2872534.1499999994
SSC-H_max,5661105.0
SSC-H_entropy,4.748072341340127
SSC-H_num_outliers,120688.0
SSC-H_num_modes,4.0
SSC-A_mean,1029999.25
SSC-A_median,407425.84375
SSC-A_mode,93957.203125
SSC-A_std,1433832.5
SSC-A_var,2055875723264.0
SSC-A_range,121816600.0
SSC-A_iqr,1468937.03515625
SSC-A_cv,1.3920713663101196
SSC-A_skew,4.62169420483441
SSC-A_kurtosis,96.5116950701528
SSC-A_min,-2727638.25
SSC-A_q05,78971.698046875
SSC-A_q25,190545.65234375
SSC-A_q75,1659482.6875
SSC-A_q95,3577833.4624999994
SSC-A_max,119088960.0
SSC-A_entropy,7.466633796725846
SSC-A_num_outliers,121893.0
SSC-A_num_modes,29.0
CD103 FITC-H_mean,18429.111328125
CD103 FITC-H_median,2024.300048828125
CD103 FITC-H_mode,535.7999877929688
CD103 FITC-H_std,160881.234375
CD103 FITC-H_var,25882771456.0
CD103 FITC-H_range,5679682.0
CD103 FITC-H_iqr,3474.5999755859375
CD103 FITC-H_cv,8.72973346710205
CD103 FITC-H_skew,15.1622599729106
CD103 FITC-H_kurtosis,312.1932077850468
CD103 FITC-H_min,0.699999988079071
CD103 FITC-H_q05,421.1000061035156
CD103 FITC-H_q25,833.4000244140625
CD103 FITC-H_q75,4308.0
CD103 FITC-H_q95,13499.905371093731
CD103 FITC-H_max,5679682.5
CD103 FITC-H_entropy,5.8427449337635
CD103 FITC-H_num_outliers,314412.0
CD103 FITC-H_num_modes,54.0
CD103 FITC-A_mean,22560.298828125
CD103 FITC-A_median,2192.89990234375
CD103 FITC-A_mode,346.1000061035156
CD103 FITC-A_std,237729.21875
CD103 FITC-A_var,56515182592.0
CD103 FITC-A_range,62256424.0
CD103 FITC-A_iqr,4567.8997802734375
CD103 FITC-A_cv,10.537503242492676
CD103 FITC-A_skew,56.376100147932235
CD103 FITC-A_kurtosis,7918.026431544503
CD103 FITC-A_min,-13809.0
CD103 FITC-A_q05,60.400001525878906
CD103 FITC-A_q25,733.9000244140625
CD103 FITC-A_q75,5301.7998046875
CD103 FITC-A_q95,18019.70429687498
CD103 FITC-A_max,62242616.0
CD103 FITC-A_entropy,9.28092846805293
CD103 FITC-A_num_outliers,319808.0
CD103 FITC-A_num_modes,40.0
B7 PE-H_mean,12930.2353515625
B7 PE-H_median,2204.800048828125
B7 PE-H_mode,632.4000244140625
B7 PE-H_std,78682.5859375
B7 PE-H_var,6190948864.0
B7 PE-H_range,5706156.0
B7 PE-H_iqr,4745.8997802734375
B7 PE-H_cv,6.08516263961792
B7 PE-H_skew,20.706190934938466
B7 PE-H_kurtosis,771.4125817627086
B7 PE-H_min,0.0
B7 PE-H_q05,442.29998779296875
B7 PE-H_q25,852.4000244140625
B7 PE-H_q75,5598.2998046875
B7 PE-H_q95,36137.30078125
B7 PE-H_max,5706156.0
B7 PE-H_entropy,5.860174385439739
B7 PE-H_num_outliers,410278.0
B7 PE-H_num_modes,55.0
B7 PE-A_mean,16990.25390625
B7 PE-A_median,2731.0
B7 PE-A_mode,250.6999969482422
B7 PE-A_std,131491.546875
B7 PE-A_var,17290024960.0
B7 PE-A_range,61008428.0
B7 PE-A_iqr,6648.60009765625
B7 PE-A_cv,7.73923397064209
B7 PE-A_skew,117.64582895405469
B7 PE-A_kurtosis,33204.556704521325
B7 PE-A_min,-12420.400390625
B7 PE-A_q05,-157.60000610351562
B7 PE-A_q25,754.5
B7 PE-A_q75,7403.10009765625
B7 PE-A_q95,49664.71425781245
B7 PE-A_max,60996008.0
B7 PE-A_entropy,9.14887685640136
B7 PE-A_num_outliers,418538.0
B7 PE-A_num_modes,30.0
CD38 PC7-H_mean,24749.75390625
CD38 PC7-H_median,5020.89990234375
CD38 PC7-H_mode,1588.699951171875
CD38 PC7-H_std,76028.9296875
CD38 PC7-H_var,5780398080.0
CD38 PC7-H_range,5515223.0
CD38 PC7-H_iqr,10934.500366210938
CD38 PC7-H_cv,3.071906566619873
CD38 PC7-H_skew,7.745151626699459
CD38 PC7-H_kurtosis,111.01958321612189
CD38 PC7-H_min,0.0
CD38 PC7-H_q05,637.7000122070312
CD38 PC7-H_q25,2006.9000244140625
CD38 PC7-H_q75,12941.400390625
CD38 PC7-H_q95,119852.69140624967
CD38 PC7-H_max,5515223.0
CD38 PC7-H_entropy,5.902436283516701
CD38 PC7-H_num_outliers,428076.0
CD38 PC7-H_num_modes,28.0
CD38 PC7-A_mean,32226.216796875
CD38 PC7-A_median,5850.2001953125
CD38 PC7-A_mode,1078.5999755859375
CD38 PC7-A_std,97378.8671875
CD38 PC7-A_var,9482644480.0
CD38 PC7-A_range,7470860.5
CD38 PC7-A_iqr,15847.900756835938
CD38 PC7-A_cv,3.021728277206421
CD38 PC7-A_skew,7.693037738939888
