,0
FSC-H_mean,801107.5
FSC-H_median,501473.15625
FSC-H_mode,254139.296875
FSC-H_std,641770.125
FSC-H_var,411868889088.0
FSC-H_range,3745247.75
FSC-H_iqr,730723.0078125
FSC-H_cv,0.8011036515235901
FSC-H_skew,1.3292511546111319
FSC-H_kurtosis,0.5564367986167538
FSC-H_min,249246.203125
FSC-H_q05,265357.859375
FSC-H_q25,343901.6171875
FSC-H_q75,1074624.625
FSC-H_q95,2253871.875
FSC-H_max,3994494.0
FSC-H_entropy,5.126650733518455
FSC-H_num_outliers,351627.0
FSC-H_num_modes,4.0
FSC-A_mean,1166397.375
FSC-A_median,700048.25
FSC-A_mode,402635.8125
FSC-A_std,1042815.75
FSC-A_var,1087464669184.0
FSC-A_range,103191032.0
FSC-A_iqr,1034006.671875
FSC-A_cv,0.8940484523773193
FSC-A_skew,2.6651739814017383
FSC-A_kurtosis,71.00960176658616
FSC-A_min,-396373.90625
FSC-A_q05,318264.3359375
FSC-A_q25,475146.578125
FSC-A_q75,1509153.25
FSC-A_q95,3477330.875
FSC-A_max,102794656.0
FSC-A_entropy,7.7887320040005195
FSC-A_num_outliers,499019.0
FSC-A_num_modes,32.0
SSC-H_mean,559264.0
SSC-H_median,229090.15625
SSC-H_mode,79662.203125
SSC-H_std,825004.4375
SSC-H_var,680632320000.0
SSC-H_range,5661003.5
SSC-H_iqr,361567.6484375
SSC-H_cv,1.4751609563827515
SSC-H_skew,2.2621732276831263
SSC-H_kurtosis,4.574311198125451
SSC-H_min,4.900000095367432
SSC-H_q05,44753.6015625
SSC-H_q25,104524.203125
SSC-H_q75,466091.8515625
SSC-H_q95,2563275.0
SSC-H_max,5661008.5
SSC-H_entropy,5.759747912520234
SSC-H_num_outliers,808776.0
SSC-H_num_modes,3.0
SSC-A_mean,692367.9375
SSC-A_median,273212.34375
SSC-A_mode,68414.3984375
SSC-A_std,1071501.375
SSC-A_var,1148115222528.0
SSC-A_range,76196104.0
SSC-A_iqr,442633.552734375
SSC-A_cv,1.5475895404815674
SSC-A_skew,4.0008651416892045
SSC-A_kurtosis,73.680169654753
SSC-A_min,-1090291.25
SSC-A_q05,55808.3984375
SSC-A_q25,121947.322265625
SSC-A_q75,564580.875
SSC-A_q95,3170599.125
SSC-A_max,75105816.0
SSC-A_entropy,7.924034221911571
SSC-A_num_outliers,828856.0
SSC-A_num_modes,48.0
CD103 FITC-H_mean,8555.7158203125
CD103 FITC-H_median,667.4000244140625
CD103 FITC-H_mode,551.0999755859375
CD103 FITC-H_std,125814.171875
CD103 FITC-H_var,15829204992.0
CD103 FITC-H_range,5679005.0
CD103 FITC-H_iqr,1209.2999877929688
CD103 FITC-H_cv,14.705277442932129
CD103 FITC-H_skew,30.16015339590288
CD103 FITC-H_kurtosis,1079.0069691832025
CD103 FITC-H_min,0.10000000149011612
CD103 FITC-H_q05,375.6000061035156
CD103 FITC-H_q25,520.2000122070312
CD103 FITC-H_q75,1729.5
CD103 FITC-H_q95,12385.2001953125
CD103 FITC-H_max,5679005.0
CD103 FITC-H_entropy,6.012071031892071
CD103 FITC-H_num_outliers,957980.0
CD103 FITC-H_num_modes,56.0
CD103 FITC-A_mean,11185.724609375
CD103 FITC-A_median,620.0
CD103 FITC-A_mode,360.6000061035156
CD103 FITC-A_std,205418.671875
CD103 FITC-A_var,42196828160.0
CD103 FITC-A_range,56824028.0
CD103 FITC-A_iqr,1566.800048828125
CD103 FITC-A_cv,18.36435890197754
CD103 FITC-A_skew,63.455120094296895
CD103 FITC-A_kurtosis,7370.820808792295
CD103 FITC-A_min,-19620.0
CD103 FITC-A_q05,-51.900001525878906
CD103 FITC-A_q25,305.0
CD103 FITC-A_q75,1871.800048828125
CD103 FITC-A_q95,16351.57470703125
CD103 FITC-A_max,56804408.0
CD103 FITC-A_entropy,9.749279411737314
